Date,Mccoy Park (1040) Air Temperature Average (degF),Mccoy Park (1040) Air Temperature Minimum (degF),Mccoy Park (1040) Air Temperature Maximum (degF),Mccoy Park (1040) Precipitation Accumulation (in) Start of Day Values,Mccoy Park (1040) Precipitation Increment (in),Mccoy Park (1040) Snow Water Equivalent (in) Start of Day Values,Mccoy Park (1040) Snow Depth (in) Start of Day Values
2015-10-01,58.5,43.7,,0.0,0.0,0.0,0
2015-10-02,52.2,36.5,68.7,0.0,0.1,0.0,0
2015-10-03,46.2,34.0,59.5,0.1,0.0,0.0,0
2015-10-04,47.8,39.0,60.4,0.1,0.1,0.0,0
2015-10-05,46.2,37.8,59.5,0.2,0.0,0.0,0
2015-10-06,43.9,35.2,57.9,0.2,0.4,0.0,0
2015-10-07,45.7,33.4,61.5,0.6,0.0,0.0,0
2015-10-08,49.1,38.5,,0.6,0.2,0.0,0
2015-10-09,49.8,36.5,,0.8,0.3,0.0,0
2015-10-10,52.5,40.5,69.8,1.1,0.0,0.0,0
2015-10-11,52.0,40.5,68.2,1.1,0.0,0.0,0
2015-10-12,49.6,36.5,66.9,1.1,0.0,0.0,0
2015-10-13,51.3,38.3,66.0,1.1,0.1,0.0,0
2015-10-14,52.9,41.2,68.5,1.2,0.0,0.0,0
2015-10-15,51.4,40.1,66.4,1.2,0.0,0.0,0
2015-10-16,50.7,36.9,67.6,1.2,0.0,0.0,0
2015-10-17,50.7,42.6,64.4,1.2,0.0,0.0,0
2015-10-18,46.4,41.9,54.3,1.2,0.0,0.0,0
2015-10-19,42.1,37.9,50.4,1.2,0.2,0.0,0
2015-10-20,41.9,36.0,53.2,1.4,0.0,0.0,0
2015-10-21,41.4,33.4,50.7,1.4,0.0,0.0,0
2015-10-22,33.4,20.3,,1.4,0.8,0.0,0
2015-10-23,34.9,19.8,,2.2,0.4,0.9,6
2015-10-24,36.3,26.6,,2.6,0.0,0.8,3
2015-10-25,41.0,30.9,,2.6,0.1,0.4,1
2015-10-26,35.2,29.7,44.4,2.7,0.3,0.3,1
2015-10-27,29.5,19.8,,3.0,0.1,0.0,0
2015-10-28,31.6,19.2,44.4,3.1,0.2,0.0,0
2015-10-29,36.7,30.2,48.0,3.3,0.1,0.0,0
2015-10-30,30.0,17.8,,3.4,0.2,0.0,0
2015-10-31,36.1,27.1,,3.6,0.1,0.3,1
2015-11-01,40.5,29.3,53.8,3.7,0.0,0.0,0
2015-11-02,44.8,35.8,60.6,3.7,0.0,0.0,0
2015-11-03,43.5,33.3,52.5,3.7,0.0,0.0,0
2015-11-04,29.8,24.1,40.3,3.7,1.1,0.0,0
2015-11-05,22.6,17.8,30.0,4.8,0.4,0.9,8
2015-11-06,20.8,8.8,,5.2,0.3,1.3,11
2015-11-07,23.5,9.0,,5.5,0.0,1.4,10
2015-11-08,29.8,15.8,,5.5,0.1,1.4,9
2015-11-09,32.7,22.1,,5.6,0.1,1.4,8
2015-11-10,34.3,12.4,47.5,5.7,0.2,1.4,8
2015-11-11,18.7,5.0,,5.9,0.7,1.7,9
2015-11-12,21.4,10.2,39.2,6.6,0.0,2.0,15
2015-11-13,27.5,6.6,,6.6,0.1,2.0,13
2015-11-14,32.5,21.7,52.2,6.7,0.0,2.0,11
2015-11-15,32.7,25.3,50.9,6.7,0.1,2.0,10
2015-11-16,25.3,21.0,,6.8,0.4,2.1,10
2015-11-17,19.6,15.8,,7.2,0.2,2.8,17
2015-11-18,23.7,8.4,,7.4,0.0,2.9,14
2015-11-19,28.0,14.4,,7.4,0.0,2.9,16
2015-11-20,23.5,-2.6,,7.4,0.0,2.9,14
2015-11-21,15.3,-4.0,31.8,7.4,0.0,2.7,14
2015-11-22,27.1,7.5,,7.4,0.0,2.7,14
2015-11-23,32.9,22.1,51.3,7.4,0.0,2.7,13
2015-11-24,32.0,25.3,,7.4,0.1,2.8,13
2015-11-25,36.9,27.1,47.5,7.5,0.1,2.8,13
2015-11-26,25.5,12.4,32.9,7.6,0.1,2.9,12
2015-11-27,22.1,8.6,,7.7,0.0,2.9,13
2015-11-28,18.3,10.0,32.5,7.7,0.0,2.9,12
2015-11-29,16.5,10.4,28.8,7.7,0.4,3.0,17
2015-11-30,8.6,5.0,13.8,8.1,0.1,3.4,20
2015-12-01,11.7,-4.7,,8.2,0.0,3.5,23
2015-12-02,20.8,2.3,,8.2,0.1,3.5,20
2015-12-03,27.0,15.4,,8.3,0.1,3.6,19
2015-12-04,34.0,16.2,,8.4,0.1,3.6,18
2015-12-05,21.0,5.0,,8.5,0.0,3.6,17
2015-12-06,26.2,5.0,52.0,8.5,0.0,3.6,17
2015-12-07,30.6,21.0,,8.5,0.2,3.7,19
2015-12-08,31.8,15.1,,8.7,0.0,3.9,18
2015-12-09,33.4,15.6,,8.7,0.0,3.9,18
2015-12-10,34.5,17.6,,8.7,0.0,4.0,17
2015-12-11,30.6,17.6,,8.7,0.0,4.0,17
2015-12-12,20.8,6.4,,8.7,0.2,4.0,17
2015-12-13,19.8,5.7,,8.9,0.0,4.1,19
2015-12-14,24.8,6.8,,8.9,0.3,4.1,19
2015-12-15,11.3,-2.7,,9.2,0.2,4.4,23
2015-12-16,7.2,0.3,,9.4,0.1,4.7,25
2015-12-17,7.2,-4.5,,9.5,0.0,4.8,25
2015-12-18,21.4,1.9,,9.5,0.2,4.9,25
2015-12-19,31.8,20.8,,9.7,0.2,4.8,23
2015-12-20,24.3,9.7,,9.9,0.0,5.1,22
2015-12-21,21.2,8.2,,9.9,0.1,5.1,24
2015-12-22,23.0,7.0,29.5,10.0,0.2,5.3,25
2015-12-23,13.5,-0.8,,10.2,0.2,5.5,27
2015-12-24,9.0,1.0,,10.4,0.2,5.7,30
2015-12-25,13.6,5.7,,10.6,0.0,5.9,28
2015-12-26,4.1,-6.3,,10.6,0.0,5.9,29
2015-12-27,10.4,-4.4,,10.6,0.0,5.9,30
2015-12-28,15.8,0.7,,10.6,0.0,5.9,29
2015-12-29,14.0,6.1,,10.6,0.2,5.9,28
2015-12-30,7.9,0.3,,10.8,0.1,6.1,28
2015-12-31,5.5,-9.9,,10.9,0.0,6.2,32
2016-01-01,7.9,-11.4,,10.9,0.0,6.2,31
2016-01-02,18.9,-3.5,,10.9,0.1,6.2,29
2016-01-03,27.9,12.9,44.6,11.0,0.1,6.2,29
2016-01-04,29.8,20.7,,11.1,0.0,6.3,28
2016-01-05,25.9,20.3,,11.1,0.1,6.4,28
2016-01-06,25.2,11.3,,11.2,0.0,6.4,28
2016-01-07,21.6,7.2,,11.2,0.2,6.4,27
2016-01-08,16.7,8.4,,11.4,0.0,6.7,30
2016-01-09,14.0,2.8,31.6,11.4,0.0,6.7,29
2016-01-10,10.8,-4.5,,11.4,0.0,6.7,34
2016-01-11,10.4,-1.3,,11.4,0.0,6.7,33
2016-01-12,19.0,8.1,,11.4,0.1,6.7,32
2016-01-13,22.6,13.6,,11.5,0.0,6.7,31
2016-01-14,18.3,13.3,26.8,11.5,0.1,6.9,31
2016-01-15,14.9,10.8,21.0,11.6,0.0,6.9,30
2016-01-16,13.3,5.7,,11.6,0.3,7.0,29
2016-01-17,20.3,3.4,,11.9,0.1,7.2,35
2016-01-18,25.0,8.1,38.7,12.0,0.1,7.3,34
2016-01-19,21.2,8.6,,12.1,0.0,7.4,34
2016-01-20,16.9,6.4,,12.1,0.2,7.4,34
2016-01-21,16.0,-0.2,,12.3,0.0,7.7,37
2016-01-22,25.5,12.7,,12.3,0.0,7.7,35
2016-01-23,31.8,21.7,,12.3,0.0,7.7,34
2016-01-24,22.3,13.8,31.6,12.3,0.2,7.7,34
2016-01-25,15.1,-2.6,36.3,12.5,0.0,7.9,37
2016-01-26,11.7,1.0,,12.5,0.0,7.9,36
2016-01-27,21.2,-1.3,,12.5,0.0,7.9,35
2016-01-28,26.8,12.7,,12.5,0.1,7.9,35
2016-01-29,28.0,10.6,38.5,12.6,0.2,8.0,34
2016-01-30,30.0,5.7,,12.8,0.4,8.1,34
2016-01-31,16.7,11.5,,13.2,0.4,8.7,40
2016-02-01,18.0,-0.9,,13.6,0.4,9.2,42
2016-02-02,7.7,-6.7,,14.0,0.2,9.7,48
2016-02-03,2.1,-13.0,,14.2,0.0,9.9,48
2016-02-04,7.3,-5.6,23.0,14.2,0.2,9.9,48
2016-02-05,11.1,-2.6,,14.4,0.0,10.2,46
2016-02-06,19.2,0.1,,14.4,0.0,10.2,46
2016-02-07,23.0,3.9,,14.4,0.1,10.2,44
2016-02-08,25.2,5.9,41.2,14.5,0.0,10.2,43
2016-02-09,27.5,16.9,,14.5,0.0,10.2,42
2016-02-10,33.3,21.9,,14.5,0.0,10.2,42
2016-02-11,33.8,23.0,51.6,14.5,0.0,10.2,41
2016-02-12,37.8,20.8,57.0,14.5,0.0,10.2,40
2016-02-13,34.5,17.2,,14.5,0.0,10.2,39
2016-02-14,24.8,20.3,31.3,14.5,0.1,10.3,39
2016-02-15,28.4,23.2,,14.6,0.1,10.3,39
2016-02-16,32.0,14.2,43.7,14.7,0.0,10.3,39
2016-02-17,38.8,15.6,,14.7,0.0,10.4,38
2016-02-18,34.3,15.4,46.0,14.7,0.1,10.4,37
2016-02-19,27.9,4.1,,14.8,0.0,10.6,40
2016-02-20,33.1,15.1,,14.8,0.0,10.7,39
2016-02-21,30.4,21.0,,14.8,0.0,10.7,39
2016-02-22,23.4,16.5,34.3,14.8,0.0,10.7,39
2016-02-23,19.8,10.6,33.1,14.8,0.0,10.7,38
2016-02-24,20.7,5.0,,14.8,0.0,10.7,38
2016-02-25,27.5,9.5,,14.8,0.0,10.7,38
2016-02-26,32.5,14.7,50.7,14.8,0.1,10.7,38
2016-02-27,36.3,25.7,,14.9,0.0,10.8,38
2016-02-28,30.9,15.8,,14.9,0.0,10.8,37
2016-02-29,30.0,16.2,43.7,14.9,0.0,10.8,37
