Date,Beaver Ck Village (1041) Air Temperature Average (degF),Beaver Ck Village (1041) Air Temperature Minimum (degF),Beaver Ck Village (1041) Air Temperature Maximum (degF),Beaver Ck Village (1041) Precipitation Accumulation (in) Start of Day Values,Beaver Ck Village (1041) Precipitation Increment (in),Beaver Ck Village (1041) Snow Water Equivalent (in) Start of Day Values,Beaver Ck Village (1041) Snow Depth (in) Start of Day Values
2015-10-01,57.0,45.0,76.6,0.0,0.0,0.0,0
2015-10-02,53.1,38.7,76.1,0.0,0.0,0.0,0
2015-10-03,45.5,30.9,59.9,0.0,0.1,0.0,0
2015-10-04,48.2,38.3,63.7,0.1,0.0,0.0,0
2015-10-05,46.0,39.2,62.2,0.1,0.1,0.0,0
2015-10-06,43.7,35.8,56.7,0.2,0.4,0.0,0
2015-10-07,44.4,31.8,61.7,0.6,0.1,0.0,0
2015-10-08,47.5,34.0,64.9,0.7,0.0,0.0,0
2015-10-09,49.6,38.1,65.8,0.7,0.0,0.0,0
2015-10-10,50.7,38.8,71.6,0.7,0.0,0.0,0
2015-10-11,51.3,40.6,67.8,0.7,0.0,0.0,0
2015-10-12,48.4,33.8,66.0,0.7,0.0,0.0,0
2015-10-13,49.3,37.4,66.2,0.7,0.0,0.0,0
2015-10-14,49.5,37.0,68.2,0.7,0.0,0.0,0
2015-10-15,48.9,37.9,67.8,0.7,0.0,0.0,0
2015-10-16,49.3,36.5,66.6,0.7,0.0,0.0,0
2015-10-17,48.9,39.9,62.2,0.7,0.1,0.0,0
2015-10-18,47.8,42.3,56.1,0.8,0.0,0.0,0
2015-10-19,42.4,37.4,49.6,0.8,0.1,0.0,0
2015-10-20,42.4,34.3,52.2,0.9,0.1,0.0,0
2015-10-21,43.2,34.7,52.5,1.0,0.1,0.1,1
2015-10-22,33.3,28.8,38.7,1.1,0.8,0.1,1
2015-10-23,35.8,31.3,45.7,1.9,0.3,0.6,3
2015-10-24,34.7,25.7,50.4,2.2,0.1,0.1,1
2015-10-25,39.0,27.7,53.2,2.3,0.1,0.0,0
2015-10-26,36.7,30.7,44.4,2.4,0.1,0.0,0
2015-10-27,30.9,23.5,42.6,2.5,0.2,0.0,0
2015-10-28,30.9,18.7,42.3,2.7,0.0,0.0,0
2015-10-29,36.5,27.0,47.5,2.7,0.1,0.0,0
2015-10-30,32.7,27.7,40.8,2.8,0.1,0.0,0
2015-10-31,36.3,28.8,48.9,2.9,0.0,0.0,0
2015-11-01,38.7,29.5,54.3,2.9,0.0,0.0,0
2015-11-02,41.4,31.5,58.6,2.9,0.0,0.0,0
2015-11-03,41.9,34.2,56.7,2.9,0.1,0.0,0
2015-11-04,32.2,24.4,42.8,3.0,0.4,0.0,0
2015-11-05,25.2,21.4,29.3,3.4,0.3,0.6,5
2015-11-06,23.7,15.3,32.2,3.7,0.3,0.7,6
2015-11-07,19.9,7.9,32.2,4.0,0.0,0.9,7
2015-11-08,24.4,17.2,37.0,4.0,0.0,0.9,5
2015-11-09,27.5,17.4,40.3,4.0,0.1,0.9,4
2015-11-10,32.2,25.0,46.6,4.1,0.2,1.0,2
2015-11-11,21.2,12.7,28.8,4.3,0.4,1.2,7
2015-11-12,19.0,11.1,33.3,4.7,0.1,1.5,13
2015-11-13,22.5,13.6,38.1,4.8,0.0,1.5,10
2015-11-14,25.2,16.2,38.5,4.8,0.1,1.5,8
2015-11-15,27.1,18.3,41.4,4.9,0.0,1.5,8
2015-11-16,26.6,22.1,31.3,4.9,0.3,1.5,8
2015-11-17,22.1,17.1,28.0,5.2,0.2,1.9,9
2015-11-18,26.6,17.6,34.3,5.4,0.1,1.9,8
2015-11-19,30.9,25.3,37.0,5.5,0.1,1.9,8
2015-11-20,27.0,8.6,38.1,5.6,0.0,1.9,8
2015-11-21,12.9,0.7,25.5,5.6,0.0,1.9,9
2015-11-22,22.5,13.1,33.4,5.6,0.0,1.9,9
2015-11-23,26.8,18.0,37.8,5.6,0.0,1.9,9
2015-11-24,28.4,20.5,41.0,5.6,0.0,1.9,9
2015-11-25,34.5,25.0,46.4,5.6,0.0,1.9,9
2015-11-26,29.1,22.6,35.2,5.6,0.1,1.9,9
2015-11-27,23.0,16.5,31.5,5.7,0.0,1.9,9
2015-11-28,19.0,13.5,28.0,5.7,0.1,1.9,9
2015-11-29,18.7,10.9,25.9,5.8,0.3,2.0,10
2015-11-30,11.1,6.1,15.6,6.1,0.1,2.4,16
2015-12-01,12.2,2.5,23.5,6.2,0.0,2.5,14
2015-12-02,14.9,3.0,26.4,6.2,0.0,2.5,14
2015-12-03,23.4,17.6,31.6,6.2,0.0,2.5,13
2015-12-04,27.9,18.9,42.3,6.2,0.0,2.5,13
2015-12-05,23.0,12.2,32.5,6.2,0.1,2.5,12
2015-12-06,19.2,9.3,29.1,6.3,0.1,2.6,13
2015-12-07,28.2,18.0,38.8,6.4,0.0,2.6,13
2015-12-08,32.4,24.6,42.4,6.4,0.0,2.7,12
2015-12-09,32.9,23.4,41.9,6.4,0.0,2.7,12
2015-12-10,34.7,26.4,47.1,6.4,0.0,2.7,12
2015-12-11,33.4,26.2,40.8,6.4,0.0,2.7,12
2015-12-12,24.1,15.1,28.8,6.4,0.1,2.7,12
2015-12-13,17.1,6.1,26.4,6.5,0.0,2.8,12
2015-12-14,,,,6.5,0.3,2.8,13
2015-12-15,14.5,6.4,19.2,6.8,0.2,3.0,16
2015-12-16,10.2,3.4,15.6,7.0,0.1,3.2,18
2015-12-17,8.8,3.4,15.4,7.1,0.0,3.3,18
2015-12-18,19.8,5.7,31.8,7.1,0.1,3.4,18
2015-12-19,25.2,16.2,34.0,7.2,0.0,3.4,17
