Date,Wild Basin (1042) Air Temperature Average (degF),Wild Basin (1042) Air Temperature Minimum (degF),Wild Basin (1042) Air Temperature Maximum (degF),Wild Basin (1042) Precipitation Accumulation (in) Start of Day Values,Wild Basin (1042) Precipitation Increment (in),Wild Basin (1042) Snow Water Equivalent (in) Start of Day Values,Wild Basin (1042) Snow Depth (in) Start of Day Values
2015-10-01,51.3,43.2,65.3,0.0,0.0,0.0,0
2015-10-02,48.7,38.7,63.7,0.0,0.0,0.0,0
2015-10-03,43.0,33.4,55.0,0.0,0.0,0.0,0
2015-10-04,42.4,35.8,55.4,0.0,0.0,0.0,0
2015-10-05,46.4,36.5,58.8,0.0,0.0,0.0,0
2015-10-06,42.1,36.9,53.4,0.0,0.8,0.0,0
2015-10-07,43.2,34.7,57.0,0.8,0.0,0.0,0
2015-10-08,46.0,36.0,58.1,0.8,0.1,0.0,0
2015-10-09,47.8,36.0,58.3,0.9,0.1,0.0,0
2015-10-10,53.4,47.1,61.2,1.0,0.0,0.0,0
2015-10-11,53.4,47.5,61.3,1.0,0.0,0.0,0
2015-10-12,51.3,45.1,59.0,1.0,0.0,0.0,0
2015-10-13,53.4,46.0,60.4,1.0,0.0,0.0,0
2015-10-14,52.0,41.9,60.8,1.0,0.0,0.0,0
2015-10-15,43.2,31.6,52.2,1.0,0.0,0.0,0
2015-10-16,44.2,30.6,60.8,1.0,0.1,0.0,0
2015-10-17,46.4,36.7,58.1,1.1,0.1,0.0,0
2015-10-18,49.1,42.1,56.3,1.2,0.0,0.0,0
2015-10-19,43.5,34.7,52.7,1.2,0.0,0.0,0
2015-10-20,44.4,,52.5,1.2,0.7,0.0,0
2015-10-21,35.1,33.1,45.0,1.9,0.8,0.1,1
2015-10-22,34.7,32.7,40.3,2.7,0.9,0.4,3
2015-10-23,35.1,30.2,40.6,3.6,0.0,0.9,8
2015-10-24,35.8,30.9,44.1,3.6,0.0,0.8,7
2015-10-25,39.7,33.1,48.4,3.6,0.0,0.8,7
2015-10-26,39.7,36.5,45.0,3.6,0.1,0.8,6
2015-10-27,33.1,28.9,39.9,3.7,0.0,0.7,5
2015-10-28,34.5,27.7,42.1,3.7,0.1,0.7,6
2015-10-29,37.2,30.0,46.4,3.8,0.0,0.8,6
2015-10-30,33.1,30.2,37.6,3.8,0.1,0.8,6
2015-10-31,37.0,31.1,40.6,3.9,0.1,0.9,6
2015-11-01,42.6,37.8,47.1,4.0,0.0,1.0,6
2015-11-02,43.0,35.4,51.3,4.0,0.0,0.9,6
2015-11-03,41.9,34.5,49.8,4.0,0.0,0.9,6
2015-11-04,34.9,28.0,41.4,4.0,0.1,0.9,6
2015-11-05,25.7,22.8,30.0,4.1,0.2,1.0,7
2015-11-06,23.2,19.9,26.4,4.3,0.2,1.1,9
2015-11-07,28.6,13.8,38.8,4.5,0.0,1.3,9
2015-11-08,36.9,28.8,49.8,4.5,0.1,1.3,9
2015-11-09,37.6,30.2,44.8,4.6,0.0,1.4,8
2015-11-10,35.2,26.2,42.8,4.6,0.4,1.4,8
2015-11-11,22.3,18.9,26.2,5.0,0.3,1.9,12
2015-11-12,25.0,20.3,29.1,5.3,0.0,2.0,14
2015-11-13,32.5,25.0,37.8,5.3,0.0,2.0,13
2015-11-14,38.1,30.9,45.7,5.3,0.0,2.1,12
2015-11-15,36.7,32.5,41.7,5.3,0.0,2.1,12
2015-11-16,30.7,25.7,38.1,5.3,0.1,2.1,11
2015-11-17,24.4,21.6,27.9,5.4,0.0,2.2,12
2015-11-18,24.1,21.0,27.0,5.4,0.4,2.2,12
2015-11-19,27.3,21.6,31.8,5.8,0.2,2.5,16
2015-11-20,23.9,9.1,31.1,6.0,0.5,2.8,16
2015-11-21,17.6,8.4,25.0,6.5,0.2,3.3,21
2015-11-22,30.2,23.7,36.9,6.7,0.0,3.4,19
2015-11-23,35.2,29.1,41.0,6.7,0.0,3.4,18
2015-11-24,35.1,26.8,38.3,6.7,0.0,3.4,17
2015-11-25,27.9,16.2,39.4,6.7,0.0,3.4,17
2015-11-26,10.2,1.2,16.5,6.7,0.1,3.4,17
2015-11-27,5.5,-7.2,18.5,6.8,0.1,3.6,20
2015-11-28,14.9,1.4,22.8,6.9,0.3,3.6,19
2015-11-29,15.1,4.8,21.9,7.2,0.0,3.8,19
2015-11-30,10.2,8.8,12.6,7.2,0.1,3.9,19
2015-12-01,15.3,9.5,20.3,7.3,0.1,3.9,19
2015-12-02,26.4,19.6,29.1,7.4,0.1,4.0,19
2015-12-03,29.5,24.1,34.0,7.5,0.0,4.0,19
2015-12-04,37.4,30.0,42.6,7.5,0.0,4.0,19
2015-12-05,26.8,20.3,33.6,7.5,0.0,4.0,18
2015-12-06,33.3,22.8,42.6,7.5,0.0,4.0,18
2015-12-07,35.4,29.1,39.6,7.5,0.0,4.0,18
2015-12-08,34.7,31.3,37.4,7.5,0.1,4.0,18
2015-12-09,38.1,33.8,43.2,7.6,0.0,4.1,18
2015-12-10,36.1,29.5,40.8,7.6,0.0,4.1,17
2015-12-11,28.2,22.1,35.2,7.6,0.2,4.1,17
2015-12-12,21.4,13.5,26.1,7.8,0.2,4.3,18
2015-12-13,25.7,14.0,33.8,8.0,0.0,4.5,20
2015-12-14,25.7,18.3,33.6,8.0,0.1,4.5,20
2015-12-15,13.6,8.1,19.8,8.1,0.4,4.6,20
2015-12-16,10.9,8.4,14.5,8.5,0.0,4.9,24
2015-12-17,9.1,7.2,13.5,8.5,0.1,5.0,23
2015-12-18,24.8,13.3,34.3,8.6,0.1,5.1,23
2015-12-19,36.3,29.5,41.0,8.7,0.1,5.2,22
2015-12-20,28.9,22.3,36.5,8.8,0.0,5.2,22
2015-12-21,23.5,21.0,26.6,8.8,0.2,5.3,22
2015-12-22,25.3,19.0,28.6,9.0,0.7,5.5,24
2015-12-23,14.9,7.7,20.5,9.7,0.1,6.2,30
2015-12-24,8.8,4.3,14.0,9.8,0.1,6.4,32
2015-12-25,16.5,9.1,24.4,9.9,0.1,6.5,30
2015-12-26,3.9,-6.2,12.9,10.0,0.0,6.6,30
2015-12-27,9.1,-5.3,25.7,10.0,0.0,6.6,29
2015-12-28,20.7,7.5,26.8,10.0,0.0,6.6,29
2015-12-29,14.7,4.3,22.3,10.0,0.0,6.6,28
2015-12-30,13.3,7.2,17.6,10.0,0.0,6.6,28
2015-12-31,7.9,-0.2,13.5,10.0,0.0,6.5,28
2016-01-01,9.7,-0.9,24.6,10.0,0.0,6.5,27
2016-01-02,24.3,8.6,32.9,10.0,0.1,6.5,27
2016-01-03,28.4,19.6,38.1,10.1,0.0,6.6,27
2016-01-04,26.1,17.2,38.7,10.1,0.0,6.6,27
2016-01-05,28.4,19.6,37.4,10.1,0.0,6.6,26
2016-01-06,25.2,15.8,34.0,10.1,0.0,6.6,26
2016-01-07,23.9,18.9,30.2,10.1,0.0,6.6,26
2016-01-08,16.5,8.2,20.5,10.1,0.0,6.7,26
2016-01-09,16.0,11.1,21.9,10.1,0.0,6.7,25
2016-01-10,14.2,12.0,19.6,10.1,0.1,6.8,28
2016-01-11,19.4,13.6,27.1,10.2,0.0,6.8,28
2016-01-12,23.7,18.5,28.9,10.2,0.0,6.8,27
2016-01-13,30.6,23.4,36.1,10.2,0.0,6.8,27
2016-01-14,21.7,16.2,28.9,10.2,0.1,6.8,27
2016-01-15,17.4,12.2,22.8,10.3,0.1,6.9,28
2016-01-16,14.5,8.6,19.6,10.4,0.2,7.0,30
2016-01-17,21.6,19.4,25.3,10.6,0.3,7.2,31
2016-01-18,26.4,21.0,30.4,10.9,0.0,7.5,33
2016-01-19,25.0,21.0,27.7,10.9,0.0,7.6,32
2016-01-20,21.4,15.6,27.3,10.9,0.1,7.7,32
2016-01-21,20.8,15.6,31.6,11.0,0.0,7.7,33
2016-01-22,33.6,26.8,39.6,11.0,0.1,7.7,32
2016-01-23,35.6,32.5,40.5,11.1,0.0,7.8,32
2016-01-24,27.5,19.0,34.5,11.1,0.0,7.8,30
2016-01-25,17.6,13.3,23.9,11.1,0.0,7.8,32
2016-01-26,19.9,10.9,29.5,11.1,0.0,7.8,32
2016-01-27,32.7,25.5,39.9,11.1,0.0,7.8,32
2016-01-28,32.4,25.0,37.0,11.1,0.0,7.8,31
2016-01-29,30.7,25.0,34.7,11.1,0.0,7.8,31
2016-01-30,31.3,21.4,36.5,11.1,0.6,7.8,31
2016-01-31,17.2,12.9,22.8,11.7,0.4,8.4,36
2016-02-01,14.4,10.0,19.2,12.1,0.6,8.9,40
2016-02-02,8.1,-0.9,14.4,12.7,0.0,9.4,45
2016-02-03,4.6,1.4,9.9,12.7,0.0,9.4,43
2016-02-04,12.6,3.9,18.7,12.7,0.2,9.5,42
2016-02-05,14.4,9.9,18.5,12.9,0.0,9.7,41
2016-02-06,25.0,15.3,30.6,12.9,0.0,9.7,40
2016-02-07,25.7,23.5,30.4,12.9,0.0,9.8,39
2016-02-08,29.8,23.5,35.8,12.9,0.0,9.8,38
2016-02-09,33.3,27.0,39.7,12.9,0.0,9.8,37
2016-02-10,36.7,31.8,43.5,12.9,0.0,9.8,37
2016-02-11,36.7,32.0,41.7,12.9,0.0,9.8,37
2016-02-12,39.7,34.9,45.1,12.9,0.0,9.8,36
2016-02-13,37.4,29.3,44.8,12.9,0.0,9.8,36
2016-02-14,27.3,24.4,33.8,12.9,0.2,9.8,36
2016-02-15,29.1,24.4,32.0,13.1,0.5,9.9,38
2016-02-16,32.7,29.8,37.4,13.6,0.1,10.5,42
2016-02-17,40.8,32.2,48.4,13.7,0.0,10.7,41
2016-02-18,36.3,20.5,44.6,13.7,0.2,10.7,40
2016-02-19,30.4,18.9,38.1,13.9,0.0,10.8,43
2016-02-20,35.2,29.3,43.3,13.9,0.0,10.9,41
2016-02-21,28.4,17.6,35.2,13.9,0.0,10.9,41
2016-02-22,25.9,18.7,33.3,13.9,0.4,11.0,41
2016-02-23,18.7,12.9,25.9,14.3,0.2,11.3,43
2016-02-24,23.0,14.7,30.0,14.5,0.0,11.6,45
2016-02-25,30.2,21.9,38.1,14.5,0.0,11.7,44
2016-02-26,36.0,28.2,44.4,14.5,0.0,11.7,43
2016-02-27,37.6,29.5,45.1,14.5,0.0,11.7,42
2016-02-28,33.6,26.4,41.7,14.5,0.0,11.7,41
2016-02-29,29.7,18.9,38.5,14.5,0.1,11.8,41
2016-03-01,28.4,18.0,34.5,14.6,0.1,11.8,42
2016-03-02,31.6,27.3,35.8,14.7,0.1,11.8,41
2016-03-03,36.3,26.6,44.1,14.8,0.0,11.9,43
2016-03-04,35.1,23.4,46.8,14.8,0.0,11.9,42
2016-03-05,37.9,22.8,49.1,14.8,0.0,11.9,42
2016-03-06,37.9,32.9,45.9,14.8,0.1,12.0,41
2016-03-07,28.4,22.5,34.0,14.9,0.3,12.1,40
2016-03-08,25.2,18.7,32.7,15.2,0.1,12.4,43
2016-03-09,27.3,16.7,34.5,15.3,0.0,12.4,42
2016-03-10,35.8,27.5,46.0,15.3,0.0,12.4,42
2016-03-11,41.2,30.2,54.0,15.3,0.1,12.6,42
2016-03-12,37.9,32.0,50.7,15.4,0.0,12.8,42
2016-03-13,36.5,32.4,44.2,15.4,0.0,12.8,41
2016-03-14,29.7,20.1,35.4,15.4,0.5,12.8,41
2016-03-15,18.1,14.0,21.7,15.9,0.1,13.1,48
2016-03-16,19.2,14.4,23.0,16.0,0.2,13.2,48
2016-03-17,20.5,16.9,25.2,16.2,0.6,13.6,47
2016-03-18,14.2,9.5,18.7,16.8,0.2,14.3,54
2016-03-19,16.2,9.0,25.3,17.0,0.0,14.6,53
2016-03-20,33.6,17.4,43.9,17.0,0.0,14.7,51
2016-03-21,42.1,35.4,52.0,17.0,0.1,15.0,49
2016-03-22,39.7,28.4,49.3,17.1,0.1,15.0,48
2016-03-23,24.3,20.5,28.2,17.2,0.5,15.1,47
2016-03-24,26.2,20.3,33.3,17.7,0.1,15.5,51
2016-03-25,22.8,10.4,31.3,17.8,0.1,15.5,51
2016-03-26,16.0,1.2,28.2,17.9,0.1,15.6,52
2016-03-27,27.5,14.7,37.0,18.0,0.1,15.7,52
2016-03-28,37.4,29.1,48.2,18.1,0.0,16.0,51
2016-03-29,34.0,22.5,47.7,18.1,0.1,16.1,50
2016-03-30,24.4,19.9,31.8,18.2,0.1,16.3,49
2016-03-31,21.4,9.0,29.3,18.3,0.0,16.4,50
2016-04-01,25.5,13.6,36.5,18.3,0.0,16.4,49
2016-04-02,36.0,23.9,47.3,18.3,0.1,16.4,50
2016-04-03,39.4,33.4,49.8,18.4,0.0,16.5,49
2016-04-04,42.6,31.3,54.1,18.4,0.0,16.5,48
2016-04-05,31.6,24.8,44.8,18.4,0.1,16.5,47
2016-04-06,37.0,25.2,48.2,18.5,0.0,16.6,49
2016-04-07,39.4,29.3,52.9,18.5,0.0,16.6,48
2016-04-08,38.1,25.9,51.1,18.5,0.0,16.6,47
2016-04-09,42.4,36.3,53.8,18.5,0.0,16.6,46
2016-04-10,38.3,31.5,49.1,18.5,0.2,16.5,45
2016-04-11,35.8,29.8,47.1,18.7,0.0,16.4,45
2016-04-12,41.0,34.2,53.1,18.7,0.0,16.3,44
2016-04-13,43.2,34.7,57.2,18.7,0.0,16.3,43
2016-04-14,45.5,36.5,62.1,18.7,0.1,16.1,42
2016-04-15,32.9,26.4,39.0,18.8,0.8,15.9,40
2016-04-16,25.9,23.4,32.5,19.6,1.0,16.8,48
2016-04-17,26.1,20.8,35.2,20.6,0.3,17.9,58
2016-04-18,24.8,13.1,35.6,20.9,0.0,18.4,54
2016-04-19,29.1,16.5,41.4,20.9,0.1,18.5,54
2016-04-20,35.8,28.8,45.5,21.0,0.0,18.6,51
2016-04-21,40.3,30.2,54.0,21.0,0.0,18.6,49
2016-04-22,45.1,30.0,62.1,21.0,0.0,18.5,46
2016-04-23,42.6,30.9,63.0,21.0,0.1,18.3,44
2016-04-24,35.2,29.5,43.3,21.1,0.1,18.2,43
2016-04-25,40.3,30.2,50.9,21.2,0.1,18.2,43
2016-04-26,31.3,26.8,41.5,21.3,0.2,18.1,43
2016-04-27,32.4,25.9,43.2,21.5,0.1,18.2,41
2016-04-28,27.3,25.7,32.0,21.6,0.3,18.2,43
2016-04-29,27.7,24.1,34.5,21.9,0.4,18.6,42
2016-04-30,26.2,22.8,33.6,22.3,0.2,19.1,44
2016-05-01,23.4,11.5,32.4,22.5,0.0,19.2,46
2016-05-02,34.2,11.7,50.2,22.5,0.1,19.4,45
2016-05-03,39.7,25.3,54.7,22.6,0.0,19.3,44
2016-05-04,44.6,31.8,60.4,22.6,0.0,19.1,42
2016-05-05,48.2,34.7,64.4,22.6,0.0,18.6,41
2016-05-06,46.4,34.9,61.5,22.6,0.0,17.6,38
2016-05-07,35.4,31.1,43.2,22.6,0.7,17.0,37
2016-05-08,34.7,30.9,42.1,23.3,0.3,17.3,38
2016-05-09,38.1,30.7,49.3,23.6,0.3,17.5,39
2016-05-10,37.8,31.3,47.5,23.9,0.2,17.5,39
2016-05-11,37.2,29.8,47.5,24.1,0.0,16.9,38
2016-05-12,44.1,33.3,55.9,24.1,0.0,16.3,36
2016-05-13,45.7,34.7,60.1,24.1,0.0,15.5,35
2016-05-14,38.8,32.0,57.0,24.1,0.0,14.2,33
2016-05-15,41.5,34.3,57.6,24.1,0.5,13.6,32
2016-05-16,34.5,29.3,40.5,24.6,0.2,13.0,31
2016-05-17,32.9,29.3,37.6,24.8,0.1,12.7,30
2016-05-18,38.7,27.7,52.2,24.9,0.0,12.8,30
2016-05-19,45.3,34.7,58.6,24.9,0.0,12.4,29
2016-05-20,48.4,39.9,61.7,24.9,0.0,11.2,27
2016-05-21,50.2,36.9,65.3,24.9,0.0,10.0,25
2016-05-22,46.6,35.1,56.8,24.9,0.0,8.8,23
2016-05-23,41.5,32.2,53.4,24.9,0.0,7.9,21
2016-05-24,42.3,31.1,51.8,24.9,0.0,7.3,18
2016-05-25,44.8,33.8,56.5,24.9,0.0,7.0,16
2016-05-26,37.0,31.1,50.2,24.9,1.1,5.7,13
2016-05-27,38.7,33.8,47.5,26.0,0.1,6.8,15
2016-05-28,43.0,34.9,53.4,26.1,0.0,6.7,14
2016-05-29,46.8,34.2,63.3,26.1,0.0,5.7,11
2016-05-30,46.2,35.8,62.1,26.1,0.1,4.4,9
2016-05-31,44.6,36.3,58.3,26.2,0.0,3.4,7
2016-06-01,46.6,37.2,60.8,26.2,0.0,2.3,5
2016-06-02,52.5,35.6,67.6,26.2,0.0,1.1,3
2016-06-03,54.0,41.0,67.3,26.2,0.0,0.2,2
2016-06-04,51.8,37.8,67.3,26.2,0.0,0.0,0
2016-06-05,51.4,38.1,69.8,26.2,0.1,0.0,0
2016-06-06,52.5,38.8,70.7,26.3,0.0,0.0,0
2016-06-07,53.4,39.9,72.1,26.3,0.0,0.0,0
2016-06-08,54.7,41.2,71.1,26.3,0.1,0.0,0
2016-06-09,58.3,44.6,76.5,26.4,0.0,0.0,0
2016-06-10,60.1,43.7,77.7,26.4,0.0,0.0,0
2016-06-11,57.6,44.4,77.7,26.4,0.0,0.0,0
2016-06-12,55.0,41.9,73.4,26.4,0.0,0.0,0
2016-06-13,48.6,39.2,66.7,26.4,0.3,0.0,0
2016-06-14,50.4,41.0,62.1,26.7,0.1,0.0,0
2016-06-15,58.3,40.8,73.6,26.8,0.0,0.0,0
2016-06-16,61.0,44.6,74.7,26.8,0.0,0.0,0
2016-06-17,60.3,45.1,75.2,26.8,0.0,0.0,0
2016-06-18,60.6,41.2,79.2,26.8,0.0,0.0,0
2016-06-19,62.8,48.4,78.6,26.8,0.0,0.0,0
2016-06-20,59.4,48.7,73.2,26.8,0.1,0.0,0
2016-06-21,66.6,50.0,82.2,26.9,0.0,0.0,0
2016-06-22,57.6,48.4,76.1,26.9,0.0,0.0,0
2016-06-23,58.5,45.1,73.9,26.9,0.1,0.0,0
2016-06-24,61.7,49.6,77.7,27.0,0.0,0.0,0
2016-06-25,58.8,44.4,74.5,27.0,0.0,0.0,0
2016-06-26,58.8,40.6,76.8,27.0,0.0,0.0,0
2016-06-27,60.1,42.8,77.2,27.0,0.1,0.0,0
2016-06-28,61.0,44.6,78.6,27.1,0.0,0.0,0
2016-06-29,59.5,48.6,74.7,27.1,0.0,0.0,0
2016-06-30,52.5,46.4,63.0,27.1,0.3,0.0,0
2016-07-01,51.6,46.9,58.6,27.4,0.1,0.0,0
2016-07-02,52.2,46.9,60.8,27.5,0.1,0.0,0
2016-07-03,56.5,48.7,68.7,27.6,0.0,0.0,0
2016-07-04,61.3,50.5,74.7,27.6,0.0,0.0,0
2016-07-05,55.9,44.1,70.3,27.6,0.0,0.0,0
2016-07-06,60.4,43.2,73.8,27.6,0.0,0.0,0
2016-07-07,59.2,45.9,72.1,27.6,0.0,0.0,0
2016-07-08,60.1,44.4,78.1,27.6,0.0,0.0,0
2016-07-09,63.0,44.2,77.9,27.6,0.0,0.0,0
2016-07-10,66.9,58.3,79.0,27.6,0.0,0.0,0
2016-07-11,58.1,41.9,68.9,27.6,0.0,0.0,0
2016-07-12,58.5,40.8,74.5,27.6,0.0,0.0,0
2016-07-13,60.8,46.0,75.4,27.6,0.0,0.0,0
2016-07-14,56.7,42.4,73.8,27.6,0.0,0.0,0
