Date,Grayback (1058) Air Temperature Average (degF),Grayback (1058) Air Temperature Minimum (degF),Grayback (1058) Air Temperature Maximum (degF),Grayback (1058) Precipitation Accumulation (in) Start of Day Values,Grayback (1058) Precipitation Increment (in),Grayback (1058) Snow Water Equivalent (in) Start of Day Values,Grayback (1058) Snow Depth (in) Start of Day Values
2015-10-01,50.9,40.8,60.6,0.0,0.0,0.0,0
2015-10-02,44.4,36.1,52.5,0.0,0.1,0.0,0
2015-10-03,39.2,32.9,49.5,0.1,0.0,0.0,0
2015-10-04,36.9,30.0,52.5,0.1,0.2,0.0,0
2015-10-05,38.1,33.8,48.0,0.3,0.0,0.0,0
2015-10-06,38.1,30.9,50.9,0.3,0.0,0.0,0
2015-10-07,34.9,30.6,52.7,0.3,0.0,0.0,0
2015-10-08,39.6,30.2,53.8,0.3,0.1,0.0,0
2015-10-09,41.4,30.6,55.8,0.4,0.0,0.0,0
2015-10-10,45.5,34.5,62.2,0.4,0.0,0.0,0
2015-10-11,44.2,32.0,60.6,0.4,0.0,0.0,0
2015-10-12,44.1,31.5,61.2,0.4,0.0,0.0,0
2015-10-13,45.5,32.7,62.6,0.4,0.0,0.0,0
2015-10-14,45.9,36.1,61.3,0.4,0.0,0.0,0
2015-10-15,44.4,33.4,60.6,0.4,0.0,0.0,0
2015-10-16,40.8,32.5,54.9,0.4,0.0,0.0,0
2015-10-17,39.0,30.6,51.8,0.4,0.0,0.0,0
2015-10-18,36.9,34.0,43.9,0.4,0.2,0.0,0
2015-10-19,34.5,30.4,40.6,0.6,0.3,0.0,0
2015-10-20,33.8,27.5,45.7,0.9,0.1,0.0,0
2015-10-21,29.3,26.6,34.3,1.0,0.3,0.0,0
2015-10-22,28.8,25.5,36.0,1.3,0.3,0.4,3
2015-10-23,28.8,21.4,41.0,1.6,0.0,0.6,4
2015-10-24,32.2,21.7,48.0,1.6,0.0,0.6,3
2015-10-25,35.2,25.2,49.8,1.6,0.0,0.5,2
2015-10-26,30.0,19.9,37.2,1.6,0.0,0.2,1
2015-10-27,26.8,17.6,37.2,1.6,0.0,0.0,0
2015-10-28,29.8,17.4,43.9,1.6,0.0,0.0,0
2015-10-29,30.2,25.7,39.0,1.6,0.1,0.1,1
2015-10-30,25.2,15.8,31.6,1.7,0.0,0.2,1
2015-10-31,32.0,17.1,47.1,1.7,0.0,0.0,0
2015-11-01,35.8,25.2,52.0,1.7,0.0,0.0,0
2015-11-02,36.7,30.0,47.1,1.7,0.1,0.0,0
2015-11-03,33.1,28.8,42.4,1.8,0.0,0.0,0
2015-11-04,21.4,12.4,30.0,1.8,0.6,0.0,0
2015-11-05,14.7,7.2,24.3,2.4,0.0,1.0,8
2015-11-06,17.4,9.1,31.3,2.4,0.0,1.0,6
2015-11-07,20.5,6.1,40.8,2.4,0.1,1.0,5
2015-11-08,27.3,13.8,49.1,2.5,0.0,1.0,5
2015-11-09,26.4,14.5,36.1,2.5,0.1,1.0,4
2015-11-10,22.5,8.4,33.3,2.6,0.1,1.1,3
2015-11-11,13.6,7.2,27.7,2.7,0.0,1.3,6
2015-11-12,19.8,7.5,35.1,2.7,0.0,1.3,5
2015-11-13,25.3,13.5,45.3,2.7,0.0,1.3,5
2015-11-14,28.8,17.4,43.9,2.7,0.3,1.4,4
2015-11-15,25.2,19.9,33.8,3.0,0.0,1.6,4
2015-11-16,18.3,12.6,26.2,3.0,1.0,1.7,5
2015-11-17,15.6,8.4,27.0,4.0,0.0,2.7,17
2015-11-18,17.6,8.4,34.3,4.0,0.0,2.7,17
2015-11-19,26.2,7.3,36.5,4.0,0.0,2.7,14
2015-11-20,23.0,5.0,34.3,4.0,0.0,2.7,13
2015-11-21,17.4,5.5,34.0,4.0,0.0,2.7,12
2015-11-22,26.2,9.7,43.7,4.0,0.1,2.7,12
2015-11-23,27.1,18.9,40.3,4.1,0.0,2.7,11
2015-11-24,26.6,19.9,35.1,4.1,0.1,2.7,10
2015-11-25,26.6,20.8,31.5,4.2,0.2,2.7,10
2015-11-26,21.7,18.9,24.8,4.4,0.4,2.9,10
2015-11-27,20.7,16.0,27.3,4.8,0.3,3.4,14
2015-11-28,15.6,10.2,22.1,5.1,0.1,3.7,17
2015-11-29,12.0,4.6,17.1,5.2,0.2,3.7,17
2015-11-30,3.7,-3.3,11.5,5.4,0.0,4.3,22
