Date,Sharkstooth (1060) Air Temperature Average (degF),Sharkstooth (1060) Air Temperature Minimum (degF),Sharkstooth (1060) Air Temperature Maximum (degF),Sharkstooth (1060) Precipitation Accumulation (in) Start of Day Values,Sharkstooth (1060) Precipitation Increment (in),Sharkstooth (1060) Snow Water Equivalent (in) Start of Day Values,Sharkstooth (1060) Snow Depth (in) Start of Day Values
2015-10-01,55.2,48.9,64.0,0.0,0.0,0.0,0
2015-10-02,48.6,39.0,56.7,0.0,0.0,0.0,0
2015-10-03,43.5,36.5,51.3,0.0,0.0,0.0,0
2015-10-04,43.0,37.9,51.3,0.0,0.0,0.0,0
2015-10-05,38.5,32.7,45.0,0.0,1.3,0.0,0
2015-10-06,38.1,32.4,47.7,1.3,0.1,0.0,0
2015-10-07,38.1,33.1,48.4,1.4,0.2,0.0,0
2015-10-08,45.7,36.7,56.7,1.6,0.0,0.0,0
2015-10-09,45.7,40.1,56.1,1.6,0.0,0.0,0
2015-10-10,46.2,39.0,58.8,1.6,0.0,0.0,0
2015-10-11,46.0,37.9,57.9,1.6,0.0,0.0,0
2015-10-12,49.5,41.0,61.9,1.6,0.0,0.0,0
2015-10-13,49.6,42.6,62.1,1.6,0.0,0.0,0
2015-10-14,49.6,41.9,61.9,1.6,0.1,0.0,0
2015-10-15,50.2,42.4,61.7,1.7,0.0,0.0,0
2015-10-16,44.4,39.6,52.0,1.7,0.0,0.0,0
2015-10-17,41.0,37.9,47.1,1.7,0.0,0.0,0
2015-10-18,40.6,36.0,46.4,1.7,0.6,0.0,0
2015-10-19,39.9,34.9,47.1,2.3,0.3,0.0,0
2015-10-20,36.3,30.0,45.3,2.6,0.4,0.0,0
2015-10-21,33.4,30.9,38.1,3.0,0.1,0.0,0
2015-10-22,32.2,30.0,35.8,3.1,0.4,0.0,0
2015-10-23,32.9,29.5,40.8,3.5,0.0,0.2,1
2015-10-24,35.6,28.8,45.0,3.5,0.0,0.0,0
2015-10-25,38.1,31.3,46.8,3.5,0.1,0.0,0
2015-10-26,32.7,27.1,37.0,3.6,0.0,0.0,0
2015-10-27,32.7,25.3,40.5,3.6,0.0,0.0,0
2015-10-28,34.9,24.8,45.3,3.6,0.0,0.0,0
2015-10-29,32.7,29.3,39.9,3.6,0.1,0.0,0
2015-10-30,32.2,27.5,41.2,3.7,0.0,0.0,0
2015-10-31,37.4,29.1,48.6,3.7,0.0,0.0,0
2015-11-01,38.8,31.3,49.3,3.7,0.0,0.0,0
2015-11-02,41.2,34.3,50.2,3.7,0.1,0.0,0
2015-11-03,36.9,29.1,43.9,3.8,0.0,0.0,0
2015-11-04,22.6,16.0,29.7,3.8,1.2,0.0,0
2015-11-05,18.9,14.0,27.3,5.0,0.1,1.1,10
2015-11-06,18.9,14.0,26.4,5.1,0.0,1.1,9
2015-11-07,23.9,13.3,34.5,5.1,0.0,1.1,8
2015-11-08,26.6,18.3,37.4,5.1,0.0,1.1,8
2015-11-09,30.7,23.2,39.6,5.1,0.1,1.2,7
2015-11-10,25.2,14.5,36.1,5.2,0.9,1.3,6
2015-11-11,17.1,11.8,27.0,6.1,0.2,2.2,18
2015-11-12,23.4,13.8,36.9,6.3,0.0,2.3,19
2015-11-13,29.7,21.2,41.0,6.3,0.0,2.3,16
2015-11-14,32.5,25.2,45.3,6.3,0.1,2.4,15
2015-11-15,30.0,24.6,39.2,6.4,0.5,2.4,13
2015-11-16,19.0,12.7,28.8,6.9,1.3,2.8,17
2015-11-17,17.4,13.8,23.0,8.2,0.0,4.1,28
2015-11-18,19.9,14.9,28.4,8.2,0.0,4.1,25
2015-11-19,25.9,14.9,35.2,8.2,0.1,4.1,23
2015-11-20,26.2,17.1,36.1,8.3,0.0,4.1,21
2015-11-21,24.4,18.0,36.7,8.3,0.0,4.0,20
2015-11-22,30.2,21.0,43.2,8.3,0.0,4.0,20
2015-11-23,31.6,25.3,44.1,8.3,0.1,4.0,19
2015-11-24,29.8,23.7,37.0,8.4,0.0,4.0,18
2015-11-25,30.0,23.9,34.0,8.4,0.0,4.0,18
2015-11-26,23.0,19.0,27.0,8.4,0.2,4.0,17
2015-11-27,23.0,16.9,29.3,8.6,0.0,4.1,18
2015-11-28,18.7,7.9,25.9,8.6,0.0,4.1,18
2015-11-29,13.5,6.4,20.3,8.6,0.1,4.1,17
2015-11-30,7.2,-1.5,20.1,8.7,0.0,4.1,22
2015-12-01,14.0,2.1,24.8,8.7,0.0,4.1,21
2015-12-02,24.3,16.2,34.2,8.7,0.0,4.1,20
2015-12-03,28.8,19.6,39.6,8.7,0.1,4.2,19
2015-12-04,31.3,22.3,41.0,8.8,0.1,4.3,18
2015-12-05,21.7,14.9,26.8,8.9,0.1,4.4,18
2015-12-06,31.8,23.2,43.9,9.0,0.0,4.4,20
2015-12-07,32.9,26.4,44.1,9.0,0.1,4.5,19
2015-12-08,32.7,27.5,43.0,9.1,0.0,4.5,19
