Date,Bear River (1061) Air Temperature Average (degF),Bear River (1061) Air Temperature Minimum (degF),Bear River (1061) Air Temperature Maximum (degF),Bear River (1061) Precipitation Accumulation (in) Start of Day Values,Bear River (1061) Precipitation Increment (in),Bear River (1061) Snow Water Equivalent (in) Start of Day Values,Bear River (1061) Snow Depth (in) Start of Day Values
2015-10-01,54.1,42.1,70.5,0.0,0.0,0.0,0
2015-10-02,50.9,34.0,65.8,0.0,0.0,0.0,0
2015-10-03,41.7,28.8,55.2,0.0,0.1,0.0,0
2015-10-04,44.6,32.7,58.8,0.1,0.0,0.0,0
2015-10-05,44.6,35.2,54.7,0.1,0.0,0.0,0
2015-10-06,44.4,36.7,52.2,0.1,0.0,0.0,0
2015-10-07,42.1,32.2,57.0,0.1,0.0,0.0,0
2015-10-08,43.9,33.4,58.6,0.1,0.0,0.0,0
2015-10-09,44.8,34.3,62.1,0.1,0.0,0.0,0
2015-10-10,47.1,32.5,68.0,0.1,0.0,0.0,0
2015-10-11,46.4,30.2,63.5,0.1,0.0,0.0,0
2015-10-12,42.3,26.6,63.0,0.1,0.0,0.0,0
2015-10-13,44.2,28.8,63.5,0.1,0.0,0.0,0
2015-10-14,45.5,32.7,65.7,0.1,0.0,0.0,0
2015-10-15,44.1,32.7,63.5,0.1,0.0,0.0,0
2015-10-16,46.4,34.0,63.5,0.1,0.0,0.0,0
2015-10-17,47.3,36.3,62.6,0.1,0.0,0.0,0
2015-10-18,43.7,36.9,55.2,0.1,0.0,0.0,0
2015-10-19,41.2,33.1,55.0,0.1,0.1,0.0,0
2015-10-20,39.2,33.4,51.6,0.2,0.0,0.0,0
2015-10-21,39.4,32.9,49.8,0.2,0.1,0.0,0
2015-10-22,33.3,31.3,36.9,0.3,0.4,0.0,0
2015-10-23,32.5,26.2,42.8,0.7,0.2,0.0,0
2015-10-24,31.8,22.3,46.4,0.9,0.0,0.0,0
2015-10-25,38.1,26.8,50.2,0.9,0.0,0.0,0
2015-10-26,35.8,26.6,46.4,0.9,0.1,0.0,0
2015-10-27,28.8,18.9,41.0,1.0,0.1,0.0,0
2015-10-28,25.9,15.4,36.0,1.1,0.1,0.0,0
2015-10-29,31.6,25.2,41.4,1.2,0.0,0.1,1
2015-10-30,29.5,23.5,34.0,1.2,0.3,0.1,1
2015-10-31,32.5,27.5,42.3,1.5,0.0,0.3,1
2015-11-01,36.3,25.0,49.5,1.5,0.0,0.3,1
2015-11-02,40.8,27.0,53.6,1.5,0.0,0.4,1
2015-11-03,41.4,32.9,50.2,1.5,0.0,0.4,1
2015-11-04,30.6,25.2,38.1,1.5,0.3,0.4,1
2015-11-05,22.5,18.9,27.3,1.8,0.0,0.6,2
2015-11-06,19.9,10.8,25.9,1.8,0.1,0.6,3
2015-11-07,17.8,6.6,30.7,1.9,0.1,0.6,5
2015-11-08,21.2,13.5,34.7,2.0,0.0,0.6,5
