Date,Saint Elmo (1100) Air Temperature Average (degF),Saint Elmo (1100) Air Temperature Minimum (degF),Saint Elmo (1100) Air Temperature Maximum (degF),Saint Elmo (1100) Precipitation Accumulation (in) Start of Day Values,Saint Elmo (1100) Precipitation Increment (in),Saint Elmo (1100) Snow Water Equivalent (in) Start of Day Values,Saint Elmo (1100) Snow Depth (in) Start of Day Values
2015-10-01,49.3,35.1,68.0,0.0,0.0,0.0,0
2015-10-02,46.8,34.2,58.6,0.0,0.0,0.0,0
2015-10-03,42.4,28.8,59.9,0.0,0.0,0.0,0
2015-10-04,39.4,29.3,54.0,0.0,0.0,0.0,0
2015-10-05,40.5,32.7,54.9,0.0,0.0,0.0,0
2015-10-06,40.3,30.7,55.6,0.0,0.1,0.0,0
2015-10-07,39.2,30.7,53.4,0.1,0.0,0.0,0
2015-10-08,42.1,28.8,58.6,0.1,0.0,0.0,0
2015-10-09,43.9,30.0,61.0,0.1,0.0,0.0,0
2015-10-10,44.6,29.7,66.2,0.1,0.0,0.0,0
2015-10-11,46.8,32.5,61.0,0.1,0.0,0.0,0
2015-10-12,44.4,30.7,63.5,0.1,0.0,0.0,0
2015-10-13,43.9,30.0,62.6,0.1,0.0,0.0,0
2015-10-14,43.2,29.7,64.9,0.1,0.0,0.0,0
2015-10-15,41.0,29.7,60.1,0.1,0.0,0.0,0
2015-10-16,40.3,27.7,58.6,0.1,0.0,0.0,0
2015-10-17,39.4,29.7,56.1,0.1,0.0,0.0,0
2015-10-18,40.1,34.3,52.2,0.1,0.1,0.0,0
2015-10-19,36.9,29.7,45.7,0.2,0.2,0.0,0
2015-10-20,36.7,29.7,49.6,0.4,0.1,0.0,0
2015-10-21,32.5,30.0,34.3,0.5,0.3,0.0,0
2015-10-22,32.0,30.0,36.9,0.8,0.4,0.4,1
2015-10-23,31.6,22.6,40.1,1.2,0.0,0.6,2
2015-10-24,27.9,19.4,42.3,1.2,0.1,0.6,2
2015-10-25,33.1,24.6,49.1,1.3,0.0,0.6,3
2015-10-26,32.0,22.3,41.4,1.3,0.0,0.6,3
2015-10-27,27.0,13.3,42.6,1.3,0.2,0.6,3
2015-10-28,28.8,12.7,42.3,1.5,0.0,0.7,5
2015-10-29,33.1,27.0,42.8,1.5,0.1,0.8,4
2015-10-30,27.7,17.4,34.2,1.6,0.1,0.8,2
2015-10-31,30.7,23.7,43.2,1.7,0.0,0.9,6
2015-11-01,32.9,23.5,48.2,1.7,0.0,0.9,6
2015-11-02,36.5,27.1,51.8,1.7,0.0,0.9,5
2015-11-03,35.2,26.4,48.0,1.7,0.0,0.9,4
2015-11-04,29.3,20.1,34.7,1.7,0.5,0.9,4
2015-11-05,19.0,12.0,27.7,2.2,0.1,1.3,9
2015-11-06,16.9,1.2,26.6,2.3,0.0,1.4,10
2015-11-07,14.5,0.0,31.8,2.3,0.0,1.4,9
2015-11-08,22.5,12.4,43.9,2.3,0.0,1.4,9
2015-11-09,24.3,11.8,41.4,2.3,0.0,1.4,9
2015-11-10,25.9,16.5,39.4,2.3,0.2,1.5,9
2015-11-11,15.4,7.3,23.7,2.5,0.0,1.6,10
2015-11-12,19.2,10.8,32.5,2.5,0.0,1.6,11
2015-11-13,20.7,9.1,40.5,2.5,0.0,1.7,11
2015-11-14,21.7,10.0,41.9,2.5,0.0,1.7,10
2015-11-15,23.2,12.4,39.2,2.5,0.0,1.7,10
2015-11-16,24.8,20.5,32.5,2.5,0.3,1.7,10
2015-11-17,18.3,15.1,23.5,2.8,0.0,2.1,12
2015-11-18,23.2,19.0,29.3,2.8,0.1,2.1,12
2015-11-19,25.2,13.8,32.4,2.9,0.0,2.1,12
2015-11-20,25.5,8.2,32.5,2.9,0.0,2.1,12
2015-11-21,18.0,2.8,28.0,2.9,0.0,2.1,12
2015-11-22,23.7,13.5,36.7,2.9,0.0,2.1,12
2015-11-23,22.1,13.5,37.4,2.9,0.0,2.1,12
2015-11-24,25.2,13.5,35.8,2.9,0.0,2.1,12
2015-11-25,29.5,16.9,38.5,2.9,0.1,2.1,11
2015-11-26,23.4,8.4,33.4,3.0,0.0,2.1,11
2015-11-27,7.3,4.5,11.5,3.0,0.3,2.2,13
2015-11-28,13.6,6.4,19.9,3.3,0.0,2.4,17
2015-11-29,16.2,9.7,23.2,3.3,0.1,2.4,15
