Date,Chapman Tunnel (1101) Air Temperature Average (degF),Chapman Tunnel (1101) Air Temperature Minimum (degF),Chapman Tunnel (1101) Air Temperature Maximum (degF),Chapman Tunnel (1101) Precipitation Accumulation (in) Start of Day Values,Chapman Tunnel (1101) Precipitation Increment (in),Chapman Tunnel (1101) Snow Water Equivalent (in) Start of Day Values,Chapman Tunnel (1101) Snow Depth (in) Start of Day Values
2015-10-01,49.8,37.9,67.5,0.0,0.0,0.0,0
2015-10-02,46.2,34.9,65.5,0.0,0.0,0.0,0
2015-10-03,39.9,30.2,54.3,0.0,0.0,0.0,0
2015-10-04,41.0,29.3,59.9,0.0,0.0,0.0,0
2015-10-05,41.0,30.7,53.4,0.0,0.0,0.0,0
2015-10-06,40.3,31.5,55.2,0.0,0.3,0.0,0
2015-10-07,37.8,30.0,54.3,0.3,0.0,0.0,0
2015-10-08,40.3,28.8,59.2,0.3,0.0,0.0,0
2015-10-09,42.4,30.4,60.6,0.3,0.0,0.0,0
2015-10-10,43.0,30.9,63.9,0.3,0.0,0.0,0
2015-10-11,42.3,32.4,58.3,0.3,0.0,0.0,0
2015-10-12,41.0,28.4,61.5,0.3,0.0,0.0,0
2015-10-13,40.8,29.3,61.2,0.3,0.0,0.0,0
2015-10-14,41.9,30.0,63.9,0.3,0.0,0.0,0
2015-10-15,41.2,28.8,63.0,0.3,0.0,0.0,0
2015-10-16,41.7,28.2,62.1,0.3,0.0,0.0,0
2015-10-17,43.2,30.9,61.7,0.3,0.0,0.0,0
2015-10-18,40.8,34.0,50.4,0.3,0.1,0.0,0
2015-10-19,38.5,30.6,49.6,0.4,0.0,0.0,0
2015-10-20,35.6,30.4,46.6,0.4,0.1,0.0,0
2015-10-21,36.5,27.9,48.9,0.5,0.0,0.0,0
2015-10-22,31.8,28.0,36.0,0.5,0.6,0.0,0
2015-10-23,31.6,25.2,39.0,1.1,0.1,0.7,2
2015-10-24,27.5,19.6,42.4,1.2,0.0,0.8,2
2015-10-25,31.8,22.5,48.2,1.2,0.1,0.8,2
2015-10-26,30.9,23.5,37.4,1.3,0.1,0.8,2
2015-10-27,25.0,13.6,39.4,1.4,0.3,0.9,3
2015-10-28,24.3,11.8,38.3,1.7,0.1,1.2,3
2015-10-29,30.0,21.6,41.7,1.8,0.0,1.2,4
2015-10-30,27.5,18.3,35.2,1.8,0.0,1.2,4
2015-10-31,30.6,25.0,44.8,1.8,0.0,1.2,4
2015-11-01,32.2,22.3,49.6,1.8,0.0,1.2,4
2015-11-02,35.8,25.7,54.9,1.8,0.0,1.2,4
2015-11-03,36.3,25.5,50.0,1.8,0.1,1.2,4
2015-11-04,28.0,16.3,37.2,1.9,0.7,1.2,4
2015-11-05,19.9,16.0,26.2,2.6,0.1,1.9,9
2015-11-06,16.2,4.6,23.4,2.7,0.1,2.1,10
2015-11-07,14.7,0.3,36.5,2.8,0.0,2.2,10
2015-11-08,19.4,11.3,37.2,2.8,0.0,2.2,10
2015-11-09,20.7,8.8,42.1,2.8,0.0,2.2,10
2015-11-10,25.7,15.6,40.8,2.8,0.3,2.2,9
2015-11-11,14.2,3.9,20.1,3.1,0.2,2.5,11
2015-11-12,12.2,2.3,30.6,3.3,0.1,2.7,12
2015-11-13,15.4,5.7,34.7,3.4,0.0,2.7,12
2015-11-14,17.6,8.4,38.1,3.4,0.0,2.7,12
2015-11-15,22.1,10.6,41.2,3.4,0.0,2.7,12
2015-11-16,22.3,19.4,27.1,3.4,0.5,2.7,11
2015-11-17,17.2,14.4,23.0,3.9,0.2,3.2,17
2015-11-18,21.0,17.2,26.4,4.1,0.2,3.3,17
2015-11-19,24.3,18.9,30.4,4.3,0.0,3.6,18
2015-11-20,22.6,-0.4,32.2,4.3,0.0,3.6,17
2015-11-21,6.1,-8.1,29.1,4.3,0.0,3.6,17
2015-11-22,16.3,4.6,35.6,4.3,0.1,3.6,16
2015-11-23,19.8,9.7,41.4,4.4,0.0,3.6,16
2015-11-24,24.3,13.3,40.5,4.4,0.0,3.6,16
2015-11-25,30.6,17.6,45.0,4.4,0.0,3.6,15
2015-11-26,23.2,13.6,33.1,4.4,0.1,3.6,15
2015-11-27,20.1,11.5,27.5,4.5,0.1,3.6,15
2015-11-28,14.7,4.5,28.0,4.6,0.1,3.8,17
2015-11-29,14.5,9.5,23.2,4.7,0.2,4.0,18
2015-11-30,6.6,4.3,10.8,4.9,0.1,4.1,18
2015-12-01,5.5,-2.2,19.2,5.0,0.0,4.2,20
2015-12-02,10.6,-2.9,29.1,5.0,0.0,4.2,19
2015-12-03,17.1,8.2,32.2,5.0,0.0,4.2,18
2015-12-04,24.4,8.1,43.2,5.0,0.0,4.2,18
2015-12-05,16.2,0.3,27.3,5.0,0.1,4.2,18
2015-12-06,14.7,-0.2,36.3,5.1,0.1,4.4,18
2015-12-07,23.0,7.9,39.4,5.2,0.1,4.4,18
2015-12-08,27.7,18.7,38.8,5.3,0.0,4.4,18
2015-12-09,28.4,14.9,47.1,5.3,0.0,4.4,18
2015-12-10,33.8,20.8,41.4,5.3,0.0,4.4,18
2015-12-11,30.6,26.2,36.0,5.3,0.0,4.4,18
2015-12-12,21.0,11.8,28.0,5.3,0.4,4.4,18
2015-12-13,12.4,0.7,29.7,5.7,0.0,4.8,20
2015-12-14,19.6,11.3,29.3,5.7,0.1,4.8,20
2015-12-15,8.6,-0.9,14.0,5.8,0.1,4.9,21
2015-12-16,4.6,-2.2,12.9,5.9,0.0,5.0,23
2015-12-17,3.6,-3.3,13.1,5.9,0.1,5.1,23
2015-12-18,14.2,4.3,27.7,6.0,0.0,5.2,23
2015-12-19,24.1,9.7,37.9,6.0,0.1,5.2,21
2015-12-20,19.9,12.0,27.1,6.1,0.2,5.2,22
2015-12-21,18.3,13.1,22.1,6.3,0.2,5.4,24
2015-12-22,22.3,16.0,27.7,6.5,0.6,5.6,26
2015-12-23,10.8,2.1,17.1,7.1,0.5,6.2,33
2015-12-24,3.0,-9.9,10.6,7.6,0.1,6.6,36
2015-12-25,9.7,-0.6,21.0,7.7,0.1,6.7,34
2015-12-26,-2.0,-10.1,10.2,7.8,0.0,6.9,33
2015-12-27,2.8,-9.8,24.3,7.8,0.0,6.9,32
2015-12-28,6.3,-3.6,21.7,7.8,0.0,6.9,31
2015-12-29,2.3,-7.1,18.0,7.8,0.0,6.9,30
2015-12-30,0.1,-6.5,13.3,7.8,0.1,6.9,30
