Date,Elliot Ridge (1120) Air Temperature Average (degF),Elliot Ridge (1120) Air Temperature Minimum (degF),Elliot Ridge (1120) Air Temperature Maximum (degF),Elliot Ridge (1120) Precipitation Accumulation (in) Start of Day Values,Elliot Ridge (1120) Precipitation Increment (in),Elliot Ridge (1120) Snow Water Equivalent (in) Start of Day Values,Elliot Ridge (1120) Snow Depth (in) Start of Day Values
2015-10-01,53.4,,,0.0,0.1,0.0,0
2015-10-02,48.9,33.4,,0.1,0.0,0.0,0
2015-10-03,42.6,,,0.1,0.0,0.0,0
2015-10-04,44.6,,,0.1,0.0,0.0,0
2015-10-05,43.7,,,0.1,0.1,0.0,0
2015-10-06,40.1,,,0.2,0.3,0.0,0
2015-10-07,40.5,,,0.5,0.0,0.0,0
2015-10-08,44.1,,,0.5,0.0,0.0,0
2015-10-09,45.9,,,0.5,0.0,0.0,0
2015-10-10,49.1,40.6,,0.5,0.0,0.0,0
2015-10-11,47.1,,,0.5,0.0,0.0,0
2015-10-12,44.2,,,0.5,0.0,0.0,0
2015-10-13,47.3,,,0.5,0.0,0.0,0
2015-10-14,47.5,,58.3,0.5,0.0,0.0,0
2015-10-15,45.9,38.3,,0.5,0.0,0.0,0
2015-10-16,47.8,,,0.5,0.0,0.0,0
2015-10-17,46.0,,,0.5,0.0,0.0,0
2015-10-18,42.6,38.1,,0.5,0.0,0.0,0
2015-10-19,38.5,,,0.5,0.2,0.0,0
2015-10-20,37.9,,,0.7,0.0,0.0,0
2015-10-21,35.2,,41.0,0.7,0.1,0.0,0
2015-10-22,31.3,,,0.8,0.8,0.1,1
2015-10-23,29.7,,36.0,1.6,0.2,1.0,5
2015-10-24,32.2,,,1.8,0.0,0.9,1
2015-10-25,37.4,,,1.8,0.1,0.8,1
2015-10-26,32.4,,,1.9,0.2,0.9,1
2015-10-27,25.5,,,2.1,0.2,1.0,3
2015-10-28,28.0,,,2.3,0.1,1.1,5
2015-10-29,32.4,,,2.4,0.0,1.1,5
2015-10-30,25.2,,,2.4,0.1,1.1,4
2015-10-31,30.6,,,2.5,0.1,1.2,4
2015-11-01,36.3,,,2.6,0.0,1.2,4
2015-11-02,41.2,34.9,,2.6,0.0,1.2,4
2015-11-03,39.2,,,2.6,0.0,1.2,3
2015-11-04,26.8,,,2.6,0.4,1.2,3
2015-11-05,17.8,,,3.0,0.3,1.5,8
2015-11-06,15.4,,,3.3,0.3,1.7,9
2015-11-07,21.0,,,3.6,0.0,2.0,11
2015-11-08,30.2,,,3.6,0.0,2.0,12
2015-11-09,30.2,19.8,,3.6,0.1,2.0,11
2015-11-10,29.7,16.9,,3.7,0.3,2.1,9
2015-11-11,14.0,,,4.0,0.5,2.4,13
2015-11-12,17.4,,25.2,4.5,0.0,2.8,19
2015-11-13,25.9,16.3,,4.5,0.1,2.8,15
2015-11-14,32.4,,,4.6,0.0,2.8,14
2015-11-15,29.7,,,4.6,0.0,2.8,14
2015-11-16,23.0,,,4.6,0.7,2.9,13
2015-11-17,13.8,,,5.3,0.1,3.6,20
2015-11-18,17.2,,,5.4,0.5,3.7,19
2015-11-19,21.7,,,5.9,0.1,4.1,22
2015-11-20,16.9,0.7,,6.0,0.7,4.1,17
2015-11-21,12.4,,,6.7,0.0,4.5,23
2015-11-22,26.6,17.1,,6.7,0.1,4.5,21
2015-11-23,31.3,24.8,,6.8,0.0,4.5,20
2015-11-24,28.8,,,6.8,0.0,4.5,20
2015-11-25,32.5,24.6,41.2,6.8,0.1,4.5,19
2015-11-26,21.0,,,6.9,0.0,4.5,19
2015-11-27,19.2,,,6.9,0.0,4.6,18
2015-11-28,14.0,,,6.9,0.2,4.6,18
2015-11-29,12.2,,,7.1,0.2,4.6,20
2015-11-30,2.3,,,7.3,0.1,4.8,24
2015-12-01,7.7,,,7.4,0.1,4.8,24
2015-12-02,18.0,,,7.5,0.0,4.8,23
2015-12-03,23.5,,,7.5,0.0,4.9,22
2015-12-04,30.7,,,7.5,0.0,4.9,21
2015-12-05,16.5,,,7.5,0.0,4.9,21
2015-12-06,27.0,,,7.5,0.1,4.9,20
2015-12-07,28.8,,,7.6,0.1,5.0,21
2015-12-08,27.1,,,7.7,0.0,5.0,20
2015-12-09,31.8,,,7.7,0.0,5.0,20
2015-12-10,30.2,,,7.7,0.0,4.9,19
2015-12-11,24.1,,,7.7,0.2,4.8,17
2015-12-12,17.2,,,7.9,0.2,4.9,20
2015-12-13,17.2,,,8.1,0.0,5.1,21
2015-12-14,21.6,,,8.1,0.2,5.1,21
2015-12-15,6.1,,,8.3,0.5,5.3,22
2015-12-16,3.2,,,8.8,0.0,5.8,29
2015-12-17,2.3,,,8.8,0.2,5.8,28
2015-12-18,17.8,1.2,,9.0,0.1,5.9,27
2015-12-19,28.8,,,9.1,0.0,6.0,25
2015-12-20,19.9,,,9.1,0.0,6.0,25
2015-12-21,15.8,-9.8,,9.1,0.3,6.0,25
2015-12-22,18.9,,,9.4,0.5,6.2,25
