Date,Sargents Mesa (1128) Air Temperature Average (degF),Sargents Mesa (1128) Air Temperature Minimum (degF),Sargents Mesa (1128) Air Temperature Maximum (degF),Sargents Mesa (1128) Precipitation Accumulation (in) Start of Day Values,Sargents Mesa (1128) Precipitation Increment (in),Sargents Mesa (1128) Snow Water Equivalent (in) Start of Day Values,Sargents Mesa (1128) Snow Depth (in) Start of Day Values
2015-10-01,48.6,,,0.0,0.0,0.0,0
2015-10-02,44.2,33.3,,0.0,0.0,0.0,0
2015-10-03,39.2,29.8,,0.0,0.0,0.0,0
2015-10-04,36.9,,,0.0,0.1,0.0,0
2015-10-05,36.9,,43.9,0.1,0.1,0.0,0
2015-10-06,38.1,,,0.2,0.0,0.0,0
2015-10-07,38.8,33.3,,0.2,0.1,0.0,0
2015-10-08,42.1,32.0,,0.3,0.0,0.0,0
2015-10-09,43.7,35.1,,0.3,0.0,0.0,0
2015-10-10,45.3,37.0,,0.3,0.0,0.0,0
2015-10-11,43.5,,,0.3,0.0,0.0,0
2015-10-12,43.9,35.8,,0.3,0.0,0.0,0
2015-10-13,44.2,,,0.3,0.0,0.0,0
2015-10-14,45.7,,57.0,0.3,0.0,0.0,0
2015-10-15,45.0,33.1,,0.3,0.0,0.0,0
2015-10-16,40.3,31.8,,0.3,0.0,0.0,0
2015-10-17,39.6,,51.1,0.3,0.0,0.0,0
2015-10-18,36.3,31.3,44.4,0.3,0.2,0.0,0
2015-10-19,35.2,31.5,,0.5,0.0,0.0,0
2015-10-20,34.0,,,0.5,0.4,0.0,0
2015-10-21,30.6,27.5,,0.9,0.5,0.5,1
2015-10-22,28.8,,,1.4,0.8,1.0,5
2015-10-23,28.8,,,2.2,0.0,1.8,11
2015-10-24,28.8,22.1,39.0,2.2,0.0,1.7,7
2015-10-25,33.4,,43.9,2.2,0.0,1.6,7
2015-10-26,29.8,,37.2,2.2,0.0,1.6,7
2015-10-27,25.7,7.0,,2.2,0.0,1.6,6
2015-10-28,26.4,,,2.2,0.0,1.5,5
2015-10-29,29.5,24.8,,2.2,0.3,1.5,7
2015-10-30,24.8,,28.8,2.5,0.0,1.8,7
2015-10-31,25.9,18.7,,2.5,0.0,1.8,8
2015-11-01,33.1,25.2,,2.5,0.0,1.9,8
2015-11-02,36.1,29.1,,2.5,0.0,1.9,8
2015-11-03,31.8,,,2.5,0.0,1.9,8
2015-11-04,23.2,7.5,,2.5,0.2,1.9,6
2015-11-05,14.5,,,2.7,0.1,2.1,10
2015-11-06,14.0,,,2.8,0.0,2.1,10
2015-11-07,21.6,9.0,,2.8,0.0,2.1,10
2015-11-08,27.5,,,2.8,0.0,2.1,10
2015-11-09,24.3,,,2.8,0.0,2.1,10
2015-11-10,23.4,,,2.8,0.1,2.1,10
2015-11-11,11.5,,16.3,2.9,0.0,2.2,11
2015-11-12,18.7,8.6,,2.9,0.0,2.2,12
2015-11-13,25.2,,,2.9,0.0,2.3,11
2015-11-14,28.4,,,2.9,0.0,2.3,11
2015-11-15,23.9,,34.9,2.9,0.1,2.3,11
2015-11-16,18.7,4.6,,3.0,0.6,2.3,11
2015-11-17,13.1,0.7,,3.6,0.1,3.0,17
2015-11-18,16.0,,,3.7,0.0,3.2,17
2015-11-19,19.4,,,3.7,0.1,3.2,16
2015-11-20,19.9,5.7,,3.8,0.0,3.2,16
2015-11-21,12.7,,23.0,3.8,0.0,3.2,16
2015-11-22,23.7,,,3.8,0.0,3.2,16
2015-11-23,28.8,22.5,,3.8,0.0,3.2,16
2015-11-24,25.0,16.3,,3.8,0.0,3.2,16
2015-11-25,24.4,16.5,37.2,3.8,0.1,3.2,16
2015-11-26,22.1,16.9,,3.9,0.0,3.3,16
2015-11-27,18.7,,,3.9,0.1,3.3,16
2015-11-28,14.2,,,4.0,0.0,3.4,16
2015-11-29,11.8,,,4.0,0.0,3.5,16
2015-11-30,1.9,,,4.0,0.0,3.5,16
2015-12-01,5.0,,,4.0,0.1,3.5,19
2015-12-02,15.8,,,4.1,0.1,3.5,19
2015-12-03,21.4,,,4.2,0.0,3.6,18
2015-12-04,25.7,,,4.2,0.0,3.6,18
2015-12-05,15.6,,,4.2,0.1,3.6,18
2015-12-06,26.8,,,4.3,0.1,3.7,19
2015-12-07,25.9,,,4.4,0.0,3.7,19
2015-12-08,24.4,,,4.4,0.0,3.7,19
2015-12-09,27.5,,,4.4,0.0,3.8,19
2015-12-10,28.2,,,4.4,0.0,3.8,18
2015-12-11,23.9,,,4.4,0.0,3.8,18
2015-12-12,18.7,,,4.4,0.7,3.9,18
2015-12-13,13.5,,,5.1,0.0,4.6,25
2015-12-14,13.3,,,5.1,0.1,4.6,23
2015-12-15,2.8,,,5.2,0.2,4.7,25
2015-12-16,0.7,,,5.4,0.1,4.9,26
2015-12-17,-0.4,-2.6,,5.5,0.1,4.9,26
2015-12-18,16.5,1.8,,5.6,0.2,5.0,27
2015-12-19,20.8,,,5.8,0.0,5.2,28
2015-12-20,14.7,,,5.8,0.1,5.2,28
2015-12-21,13.1,9.3,,5.9,0.2,5.3,28
