Date,Upper Taylor (1141) Air Temperature Average (degF),Upper Taylor (1141) Air Temperature Minimum (degF),Upper Taylor (1141) Air Temperature Maximum (degF),Upper Taylor (1141) Precipitation Accumulation (in) Start of Day Values,Upper Taylor (1141) Precipitation Increment (in),Upper Taylor (1141) Snow Water Equivalent (in) Start of Day Values,Upper Taylor (1141) Snow Depth (in) Start of Day Values
2015-10-01,50.0,39.0,66.6,0.0,0.0,0.0,0
2015-10-02,46.6,35.1,59.4,0.0,0.0,0.0,0
2015-10-03,42.1,30.9,55.4,0.0,0.0,0.0,0
2015-10-04,42.3,31.8,56.7,0.0,0.0,0.0,0
2015-10-05,41.0,34.3,53.1,0.0,0.2,0.0,0
2015-10-06,41.4,33.8,53.4,0.2,0.1,0.0,0
2015-10-07,40.3,32.7,55.6,0.3,0.0,0.0,0
2015-10-08,43.7,31.6,59.2,0.3,0.0,0.0,0
2015-10-09,44.4,33.3,61.9,0.3,0.0,0.0,0
2015-10-10,45.7,33.8,64.0,0.3,0.0,0.0,0
2015-10-11,44.6,34.7,59.7,0.3,0.0,0.0,0
2015-10-12,45.3,34.5,61.9,0.3,0.0,0.0,0
2015-10-13,44.6,34.2,62.1,0.3,0.0,0.0,0
2015-10-14,45.3,33.6,63.7,0.3,0.0,0.0,0
2015-10-15,44.6,33.4,62.1,0.3,0.0,0.0,0
2015-10-16,43.5,31.3,61.3,0.3,0.0,0.0,0
2015-10-17,41.9,33.4,56.8,0.3,0.0,0.0,0
2015-10-18,40.3,36.0,49.3,0.3,0.1,0.0,0
2015-10-19,38.3,33.4,44.6,0.4,0.2,0.0,0
2015-10-20,38.1,32.7,50.5,0.6,0.1,0.0,0
2015-10-21,37.2,30.9,43.2,0.7,0.1,0.0,0
2015-10-22,33.3,30.9,37.0,0.8,0.6,0.0,0
2015-10-23,33.1,23.4,43.5,1.4,0.0,0.6,2
2015-10-24,30.6,19.9,46.8,1.4,0.0,0.4,1
2015-10-25,36.3,25.9,50.9,1.4,0.0,0.3,1
2015-10-26,32.9,23.2,41.5,1.4,0.1,0.1,1
2015-10-27,25.5,15.8,36.9,1.5,0.3,0.0,0
2015-10-28,29.8,14.2,44.4,1.8,0.1,0.2,1
2015-10-29,33.3,25.5,44.2,1.9,0.1,0.3,1
2015-10-30,29.7,23.7,34.5,2.0,0.1,0.3,1
2015-10-31,32.5,24.6,44.6,2.1,0.0,0.1,1
2015-11-01,34.0,22.8,50.7,2.1,0.0,0.0,0
2015-11-02,36.3,25.5,52.3,2.1,0.0,0.0,0
2015-11-03,37.2,26.8,48.0,2.1,0.0,0.1,1
2015-11-04,29.1,21.0,35.1,2.1,0.4,0.1,1
2015-11-05,21.2,15.4,32.2,2.5,0.1,0.4,1
2015-11-06,18.0,7.5,25.3,2.6,0.2,0.5,2
2015-11-07,19.8,1.9,38.8,2.8,0.0,0.6,5
2015-11-08,24.8,13.3,44.1,2.8,0.0,0.7,2
2015-11-09,26.4,13.3,42.3,2.8,0.0,0.7,1
2015-11-10,27.9,18.0,41.7,2.8,0.3,0.7,1
2015-11-11,16.7,7.5,25.7,3.1,0.0,1.0,4
2015-11-12,17.2,5.4,36.3,3.1,0.0,1.0,4
2015-11-13,21.9,7.7,42.1,3.1,0.0,1.0,3
2015-11-14,25.2,13.5,46.2,3.1,0.0,1.0,2
2015-11-15,25.9,14.7,41.2,3.1,0.1,1.0,2
2015-11-16,23.5,18.7,33.1,3.2,0.6,1.1,2
2015-11-17,18.5,14.7,24.4,3.8,0.3,1.8,9
2015-11-18,23.4,16.7,34.7,4.1,0.1,2.1,11
2015-11-19,23.9,14.0,32.7,4.2,0.0,2.2,7
2015-11-20,24.4,4.6,36.0,4.2,0.0,2.2,9
2015-11-21,14.4,-0.2,31.5,4.2,0.0,2.2,10
2015-11-22,23.4,10.2,40.5,4.2,0.0,2.2,9
2015-11-23,24.8,13.5,43.5,4.2,0.0,2.2,9
2015-11-24,26.2,16.5,39.7,4.2,0.0,2.2,8
2015-11-25,28.8,15.6,37.8,4.2,0.2,2.2,8
2015-11-26,24.8,15.6,32.4,4.4,0.0,2.3,7
2015-11-27,24.1,17.1,30.4,4.4,0.2,2.3,7
2015-11-28,19.6,11.1,28.0,4.6,0.0,2.5,10
