Date,Weminuche Creek (1160) Air Temperature Average (degF),Weminuche Creek (1160) Air Temperature Minimum (degF),Weminuche Creek (1160) Air Temperature Maximum (degF),Weminuche Creek (1160) Precipitation Accumulation (in) Start of Day Values,Weminuche Creek (1160) Precipitation Increment (in),Weminuche Creek (1160) Snow Water Equivalent (in) Start of Day Values,Weminuche Creek (1160) Snow Depth (in) Start of Day Values
2015-10-01,51.8,43.7,66.2,0.0,0.0,0.0,0
2015-10-02,45.9,36.5,57.4,0.0,0.0,0.0,0
2015-10-03,40.5,30.7,52.0,0.0,0.0,0.0,0
2015-10-04,39.2,34.0,51.1,0.0,0.3,0.0,0
2015-10-05,38.3,32.4,45.9,0.3,1.1,0.0,0
2015-10-06,38.7,32.9,49.5,1.4,0.0,0.0,0
2015-10-07,40.3,34.0,50.0,1.4,0.0,0.0,0
2015-10-08,45.3,36.1,57.6,1.4,0.0,0.0,0
2015-10-09,45.0,36.5,57.6,1.4,0.0,0.0,0
2015-10-10,46.4,37.4,59.5,1.4,0.0,0.0,0
2015-10-11,46.6,37.4,58.5,1.4,0.0,0.0,0
2015-10-12,48.9,36.7,62.8,1.4,0.0,0.0,0
2015-10-13,51.1,41.4,61.7,1.4,0.0,0.0,0
2015-10-14,50.2,43.0,62.1,1.4,0.0,0.0,0
2015-10-15,49.1,40.6,61.9,1.4,0.0,0.0,0
2015-10-16,43.5,35.6,54.3,1.4,0.0,0.0,0
2015-10-17,39.0,34.5,48.0,1.4,0.3,0.0,0
2015-10-18,38.3,34.5,42.8,1.7,1.0,0.0,0
2015-10-19,36.5,32.9,44.4,2.7,0.7,0.0,0
2015-10-20,35.2,29.5,46.8,3.4,0.3,0.0,0
2015-10-21,32.0,29.5,39.2,3.7,0.4,0.2,1
2015-10-22,31.6,28.8,39.0,4.1,0.3,0.4,2
2015-10-23,31.5,25.0,40.5,4.4,0.0,0.6,3
2015-10-24,33.3,27.0,44.6,4.4,0.0,0.5,4
2015-10-25,34.7,28.4,47.7,4.4,0.0,0.3,2
2015-10-26,31.3,23.5,37.2,4.4,0.0,0.2,1
2015-10-27,32.4,24.4,45.5,4.4,0.1,0.0,0
2015-10-28,31.8,23.4,42.3,4.5,0.0,0.0,0
2015-10-29,30.6,26.8,39.0,4.5,0.4,0.0,0
2015-10-30,29.8,23.9,38.5,4.9,0.0,0.4,2
2015-10-31,35.6,23.7,47.3,4.9,0.0,0.4,2
2015-11-01,37.9,30.0,50.4,4.9,0.0,0.4,2
2015-11-02,35.2,27.1,49.3,4.9,0.0,0.2,1
2015-11-03,34.2,25.7,45.0,4.9,0.1,0.1,1
2015-11-04,23.7,12.9,30.7,5.0,1.1,0.2,1
2015-11-05,17.2,8.4,29.1,6.1,0.0,1.2,13
2015-11-06,18.3,10.4,32.7,6.1,0.0,1.2,8
2015-11-07,21.2,13.3,36.5,6.1,0.0,1.2,10
2015-11-08,23.7,13.8,37.4,6.1,0.1,1.2,10
2015-11-09,25.7,16.9,40.1,6.2,0.0,1.3,11
2015-11-10,23.4,13.1,36.5,6.2,0.3,1.3,10
2015-11-11,16.9,9.3,30.9,6.5,0.0,1.5,9
2015-11-12,22.3,12.6,36.9,6.5,0.0,1.5,16
2015-11-13,28.2,18.9,41.9,6.5,0.0,1.5,11
2015-11-14,29.5,21.7,43.7,6.5,0.0,1.5,11
2015-11-15,25.7,18.7,35.6,6.5,0.4,1.5,8
2015-11-16,20.7,13.6,27.0,6.9,0.9,2.1,11
2015-11-17,20.7,14.7,28.2,7.8,0.0,2.9,18
2015-11-18,22.3,14.4,36.7,7.8,0.0,2.9,16
2015-11-19,24.1,15.3,37.8,7.8,0.0,2.9,20
