Date,Black Mesa (1185) Air Temperature Average (degF),Black Mesa (1185) Air Temperature Minimum (degF),Black Mesa (1185) Air Temperature Maximum (degF),Black Mesa (1185) Precipitation Accumulation (in) Start of Day Values,Black Mesa (1185) Precipitation Increment (in),Black Mesa (1185) Snow Water Equivalent (in) Start of Day Values,Black Mesa (1185) Snow Depth (in) Start of Day Values
2015-10-01,51.6,45.7,61.5,0.0,0.0,0.0,0
2015-10-02,44.4,35.1,52.9,0.0,0.1,0.0,0
2015-10-03,39.9,32.4,49.1,0.1,0.0,0.0,0
2015-10-04,39.4,35.1,47.7,0.1,0.0,0.0,0
2015-10-05,36.3,32.2,43.0,0.1,0.6,0.0,0
2015-10-06,34.7,31.5,41.7,0.7,0.1,0.0,0
2015-10-07,35.2,30.9,43.0,0.8,0.2,0.0,0
2015-10-08,41.9,34.2,52.5,1.0,0.0,0.0,0
2015-10-09,42.4,37.8,52.7,1.0,0.0,0.0,0
2015-10-10,43.5,36.5,54.3,1.0,0.0,0.0,0
2015-10-11,42.6,36.7,53.1,1.0,0.0,0.0,0
2015-10-12,45.5,37.8,57.7,1.0,0.0,0.0,0
2015-10-13,45.5,39.9,56.8,1.0,0.0,0.0,0
2015-10-14,45.7,40.1,56.8,1.0,0.0,0.0,0
2015-10-15,46.0,40.1,57.0,1.0,0.0,0.0,0
2015-10-16,42.4,35.2,53.4,1.0,0.0,0.0,0
2015-10-17,37.9,33.4,44.2,1.0,0.0,0.0,0
2015-10-18,37.0,34.3,43.0,1.0,0.2,0.0,0
2015-10-19,34.9,31.8,37.4,1.2,0.7,0.1,1
2015-10-20,32.2,27.9,38.1,1.9,0.4,0.4,2
2015-10-21,31.6,28.4,37.4,2.3,0.0,0.5,3
2015-10-22,29.7,28.8,31.6,2.3,0.7,0.5,3
2015-10-23,29.5,25.0,37.9,3.0,0.0,1.2,7
2015-10-24,31.8,25.5,42.6,3.0,0.0,1.2,7
2015-10-25,33.4,27.3,44.1,3.0,0.0,1.2,7
2015-10-26,29.7,23.4,37.2,3.0,0.2,1.2,6
2015-10-27,28.0,22.1,36.7,3.2,0.0,1.3,6
2015-10-28,31.8,22.5,42.1,3.2,0.0,1.3,6
2015-10-29,29.3,26.6,37.4,3.2,0.2,1.3,6
2015-10-30,24.3,20.1,29.8,3.4,0.0,1.5,7
2015-10-31,29.5,21.0,38.3,3.4,0.0,1.5,9
2015-11-01,34.3,27.3,44.6,3.4,0.0,1.6,8
2015-11-02,36.5,30.6,46.0,3.4,0.0,1.6,7
2015-11-03,32.2,26.2,38.5,3.4,0.1,1.6,7
2015-11-04,19.9,13.6,26.4,3.5,1.4,1.6,8
2015-11-05,15.3,11.7,23.4,4.9,0.1,3.0,19
2015-11-06,14.9,10.2,25.3,5.0,0.1,3.0,18
2015-11-07,19.4,10.2,32.0,5.1,0.0,3.0,16
2015-11-08,20.8,12.6,30.2,5.1,0.0,3.1,17
2015-11-09,26.4,19.8,33.4,5.1,0.0,3.1,16
2015-11-10,20.7,10.8,29.7,5.1,0.6,3.2,16
2015-11-11,12.7,8.8,23.0,5.7,0.4,3.7,22
2015-11-12,17.6,10.0,29.1,6.1,0.0,3.9,24
2015-11-13,24.4,16.3,36.0,6.1,0.0,3.9,22
2015-11-14,28.2,21.7,41.9,6.1,0.0,4.0,21
2015-11-15,25.9,21.2,33.4,6.1,0.1,4.1,20
2015-11-16,16.3,10.0,25.5,6.2,1.5,4.3,20
2015-11-17,12.9,8.8,17.4,7.7,0.2,5.6,31
2015-11-18,17.1,13.6,23.7,7.9,0.0,5.8,32
2015-11-19,20.8,13.3,31.5,7.9,0.0,5.8,30
2015-11-20,20.5,7.7,28.4,7.9,0.1,5.8,27
2015-11-21,17.4,7.7,30.6,8.0,0.0,5.8,27
2015-11-22,26.2,17.6,38.3,8.0,0.0,5.8,27
2015-11-23,27.9,23.2,37.2,8.0,0.0,5.8,26
2015-11-24,25.2,19.9,32.2,8.0,0.0,5.9,25
2015-11-25,25.2,19.2,30.6,8.0,0.0,5.9,25
2015-11-26,17.8,14.5,22.1,8.0,0.1,5.9,25
2015-11-27,17.8,11.1,24.4,8.1,0.1,6.0,25
2015-11-28,13.1,6.1,19.2,8.2,0.1,6.0,25
2015-11-29,9.7,3.2,16.9,8.3,0.1,6.1,26
2015-11-30,2.7,-3.3,9.7,8.4,0.0,6.1,28
2015-12-01,7.9,0.7,16.7,8.4,0.1,6.1,25
2015-12-02,20.1,10.8,30.4,8.5,0.0,6.2,26
2015-12-03,25.5,16.3,35.1,8.5,0.0,6.2,26
2015-12-04,26.8,18.3,33.1,8.5,0.1,6.3,26
2015-12-05,18.3,10.4,26.8,8.6,0.2,6.4,27
2015-12-06,28.0,22.1,38.8,8.8,0.0,6.5,27
2015-12-07,29.1,23.7,38.1,8.8,0.0,6.5,27
2015-12-08,27.9,24.1,36.3,8.8,0.0,6.6,25
2015-12-09,31.6,26.4,41.0,8.8,0.0,6.6,27
2015-12-10,29.1,24.4,35.1,8.8,0.0,6.6,26
2015-12-11,22.1,18.3,25.9,8.8,0.1,6.6,26
2015-12-12,14.9,6.4,21.7,8.9,0.3,6.6,24
2015-12-13,18.7,7.0,29.1,9.2,0.0,6.8,29
2015-12-14,12.2,3.4,19.9,9.2,0.8,6.9,28
2015-12-15,3.0,-2.0,9.1,10.0,0.4,7.7,39
2015-12-16,2.8,-2.2,17.6,10.4,0.1,7.9,39
2015-12-17,4.1,-0.8,12.4,10.5,0.1,8.0,37
