Date,Fool Creek (1186) Air Temperature Average (degF),Fool Creek (1186) Air Temperature Minimum (degF),Fool Creek (1186) Air Temperature Maximum (degF),Fool Creek (1186) Precipitation Accumulation (in) Start of Day Values,Fool Creek (1186) Precipitation Increment (in),Fool Creek (1186) Snow Water Equivalent (in) Start of Day Values,Fool Creek (1186) Snow Depth (in) Start of Day Values
2015-10-01,49.3,41.2,60.3,0.0,0.0,0.0,0
2015-10-02,47.8,35.4,61.7,0.0,0.0,0.0,0
2015-10-03,40.5,34.5,51.1,0.0,0.0,0.0,0
2015-10-04,41.5,32.0,52.5,0.0,0.0,0.0,0
2015-10-05,41.5,35.4,53.8,0.0,0.2,0.0,0
2015-10-06,37.8,34.3,45.5,0.2,0.4,0.0,0
2015-10-07,37.8,32.7,46.6,0.6,0.0,0.0,0
2015-10-08,41.7,33.8,52.7,0.6,0.1,0.0,0
2015-10-09,43.3,35.1,54.3,0.7,0.0,0.0,0
2015-10-10,44.4,34.9,56.7,0.7,0.0,0.0,0
2015-10-11,45.0,37.2,52.9,0.7,0.0,0.0,0
2015-10-12,42.3,30.9,55.0,0.7,0.0,0.0,0
2015-10-13,45.1,38.7,54.3,0.7,0.0,0.0,0
2015-10-14,45.1,36.9,56.8,0.7,0.0,0.0,0
2015-10-15,43.7,35.4,54.9,0.7,0.0,0.0,0
2015-10-16,43.7,34.7,56.1,0.7,0.0,0.0,0
2015-10-17,42.6,36.0,51.6,0.7,0.0,0.0,0
2015-10-18,39.7,35.1,47.7,0.7,0.0,0.0,0
2015-10-19,36.7,32.4,42.8,0.7,0.1,0.0,0
2015-10-20,36.3,30.7,45.7,0.8,0.1,0.0,0
2015-10-21,33.8,31.1,37.9,0.9,0.0,0.0,0
2015-10-22,32.9,30.6,36.1,0.9,0.6,0.0,0
2015-10-23,30.0,24.3,35.6,1.5,0.1,0.8,4
2015-10-24,28.2,21.6,37.8,1.6,0.0,0.8,5
2015-10-25,32.7,25.3,42.1,1.6,0.1,0.8,5
2015-10-26,32.4,27.5,38.1,1.7,0.0,0.9,5
2015-10-27,27.0,19.4,35.2,1.7,0.3,0.9,5
2015-10-28,26.8,16.3,35.2,2.0,0.0,1.2,4
2015-10-29,30.7,25.2,39.0,2.0,0.1,1.3,4
2015-10-30,26.4,20.7,31.3,2.1,0.0,1.3,6
2015-10-31,29.7,24.4,35.1,2.1,0.1,1.4,9
2015-11-01,35.8,30.4,44.1,2.2,0.0,1.5,8
2015-11-02,39.2,31.3,50.2,2.2,0.0,1.5,7
2015-11-03,38.3,33.1,47.5,2.2,0.0,1.5,7
2015-11-04,29.3,21.6,37.9,2.2,0.8,1.5,7
2015-11-05,19.4,15.6,23.4,3.0,0.1,2.3,15
2015-11-06,15.8,11.5,19.2,3.1,0.2,2.4,15
2015-11-07,20.7,3.6,45.0,3.3,0.1,2.7,16
2015-11-08,25.3,17.2,44.6,3.4,0.0,2.8,14
2015-11-09,25.7,15.4,37.2,3.4,0.1,2.8,14
2015-11-10,28.8,21.0,40.1,3.5,0.2,2.8,14
2015-11-11,15.1,9.3,21.0,3.7,0.3,3.2,18
2015-11-12,15.1,8.1,27.5,4.0,0.0,3.4,18
2015-11-13,19.2,10.9,35.6,4.0,0.1,3.4,18
2015-11-14,25.3,19.0,41.7,4.1,0.0,3.5,18
2015-11-15,24.4,18.1,36.9,4.1,0.0,3.5,17
2015-11-16,24.1,18.3,30.2,4.1,0.5,3.5,17
2015-11-17,15.4,12.7,21.9,4.6,0.1,4.1,22
2015-11-18,19.2,16.9,22.1,4.7,0.5,4.2,23
2015-11-19,22.1,17.6,27.0,5.2,0.3,4.7,26
2015-11-20,18.3,1.2,26.6,5.5,0.4,4.9,24
2015-11-21,8.6,-6.5,22.8,5.9,0.1,5.3,31
2015-11-22,20.3,12.9,31.8,6.0,0.1,5.4,28
2015-11-23,25.2,19.4,37.4,6.1,0.0,5.5,26
2015-11-24,24.8,18.5,34.7,6.1,0.0,5.5,25
2015-11-25,29.1,17.1,41.4,6.1,0.0,5.5,24
2015-11-26,21.2,14.2,28.6,6.1,0.3,5.6,23
2015-11-27,19.4,11.8,28.0,6.4,0.0,5.8,26
2015-11-28,16.3,12.0,20.8,6.4,0.2,5.9,26
2015-11-29,13.6,9.3,20.1,6.6,0.1,6.0,27
2015-11-30,3.9,0.5,10.2,6.7,0.1,6.2,30
2015-12-01,5.9,-2.6,12.6,6.8,0.0,6.2,30
2015-12-02,15.1,3.7,25.7,6.8,0.1,6.2,29
2015-12-03,19.0,12.9,27.9,6.9,0.0,6.3,26
2015-12-04,27.3,17.2,38.7,6.9,0.1,6.3,27
2015-12-05,16.2,5.7,25.3,7.0,0.0,6.4,26
2015-12-06,25.2,5.9,39.9,7.0,0.1,6.4,25
2015-12-07,28.6,16.5,35.8,7.1,0.1,6.5,26
2015-12-08,27.3,23.7,31.5,7.2,0.0,6.7,26
2015-12-09,32.9,23.2,42.4,7.2,0.0,6.7,24
2015-12-10,32.2,23.2,37.8,7.2,0.0,6.7,25
2015-12-11,24.4,19.9,31.1,7.2,0.2,6.7,25
2015-12-12,19.9,13.6,24.3,7.4,0.4,6.8,27
2015-12-13,14.7,2.5,25.7,7.8,0.0,7.3,31
2015-12-14,21.0,15.1,32.2,7.8,0.4,7.3,29
2015-12-15,8.4,1.6,17.4,8.2,0.3,7.7,33
2015-12-16,3.6,0.5,9.0,8.5,0.1,8.1,38
2015-12-17,2.1,-2.2,9.3,8.6,0.1,8.2,38
2015-12-18,16.0,8.8,21.6,8.7,0.2,8.3,37
2015-12-19,26.2,13.8,35.2,8.9,0.1,8.5,35
2015-12-20,20.7,15.3,27.1,9.0,0.0,8.6,36
2015-12-21,18.1,14.7,22.6,9.0,0.1,8.6,36
2015-12-22,21.0,12.9,25.9,9.1,0.3,8.8,38
2015-12-23,8.2,0.3,16.0,9.4,0.1,9.1,40
2015-12-24,3.6,-3.5,12.6,9.5,0.2,9.3,42
2015-12-25,11.7,2.1,19.9,9.7,0.1,9.4,40
2015-12-26,-0.6,-7.4,9.7,9.8,0.0,9.5,41
2015-12-27,9.7,-1.8,30.7,9.8,0.0,9.5,41
2015-12-28,9.5,4.1,20.5,9.8,0.0,9.6,39
2015-12-29,6.6,0.3,16.2,9.8,0.0,9.6,38
2015-12-30,1.8,-5.1,10.9,9.8,0.0,9.6,38
2015-12-31,-2.6,-6.5,9.0,9.8,0.0,9.6,38
2016-01-01,4.1,-6.3,21.9,9.8,0.1,9.6,38
2016-01-02,14.5,5.2,31.3,9.9,0.2,9.7,36
2016-01-03,21.0,15.8,32.9,10.1,0.0,9.9,36
2016-01-04,23.9,19.0,34.0,10.1,0.0,10.0,37
2016-01-05,21.4,14.2,30.0,10.1,0.0,10.0,37
2016-01-06,18.7,12.9,28.4,10.1,0.0,10.0,37
2016-01-07,18.3,13.8,22.8,10.1,0.2,10.0,35
2016-01-08,14.2,8.6,22.3,10.3,0.0,10.2,39
2016-01-09,9.3,3.7,16.2,10.3,0.0,10.2,38
2016-01-10,4.3,-3.8,13.5,10.3,0.0,10.2,40
2016-01-11,7.7,-3.8,20.5,10.3,0.0,10.2,40
2016-01-12,16.2,8.6,27.1,10.3,0.1,10.2,39
2016-01-13,23.2,14.9,32.0,10.4,0.1,10.3,39
2016-01-14,15.3,10.2,22.8,10.5,0.0,10.4,39
2016-01-15,10.8,5.9,16.2,10.5,0.0,10.4,38
2016-01-16,9.0,1.9,17.1,10.5,0.2,10.6,42
2016-01-17,15.8,13.6,19.2,10.7,0.3,10.7,41
2016-01-18,21.7,15.6,29.7,11.0,0.1,11.0,43
2016-01-19,17.6,11.1,26.8,11.1,0.0,11.1,43
2016-01-20,14.4,7.9,21.0,11.1,0.2,11.2,43
2016-01-21,10.9,7.7,21.2,11.3,0.1,11.4,46
2016-01-22,21.7,12.0,35.6,11.4,0.1,11.5,45
2016-01-23,24.3,15.3,35.1,11.5,0.0,11.6,44
2016-01-24,18.3,11.5,26.4,11.5,0.0,11.6,43
2016-01-25,10.0,4.3,16.5,11.5,0.0,11.6,43
2016-01-26,5.7,-2.9,18.1,11.5,0.0,11.6,42
2016-01-27,17.2,6.6,30.6,11.5,0.0,11.6,44
2016-01-28,21.7,12.2,34.3,11.5,0.1,11.7,44
2016-01-29,22.8,19.9,27.9,11.6,0.1,11.9,43
2016-01-30,26.1,13.5,34.3,11.7,0.5,12.0,44
2016-01-31,13.5,5.7,20.8,12.2,0.3,12.5,49
2016-02-01,16.0,3.2,25.9,12.5,0.1,12.9,50
2016-02-02,2.7,-3.5,9.9,12.6,0.0,13.1,54
2016-02-03,-4.0,-11.0,2.1,12.6,0.0,13.1,52
2016-02-04,5.2,-6.2,14.9,12.6,0.3,13.1,52
2016-02-05,5.9,0.3,16.2,12.9,0.0,13.3,52
2016-02-06,17.4,5.9,26.1,12.9,0.2,13.3,50
2016-02-07,18.1,16.2,21.9,13.1,0.0,13.5,51
2016-02-08,21.9,15.6,31.1,13.1,0.0,13.5,50
2016-02-09,23.4,14.2,36.0,13.1,0.0,13.5,49
2016-02-10,29.5,19.2,41.5,13.1,0.0,13.5,49
2016-02-11,30.2,22.5,40.1,13.1,0.1,13.5,49
2016-02-12,33.6,27.1,42.4,13.2,0.1,13.6,48
2016-02-13,31.1,17.4,39.7,13.3,0.0,13.6,48
2016-02-14,21.0,15.3,25.9,13.3,0.1,13.6,47
2016-02-15,24.3,18.9,27.7,13.4,0.2,13.8,49
2016-02-16,28.2,24.3,34.3,13.6,0.0,14.1,50
2016-02-17,36.3,27.3,48.0,13.6,0.1,14.1,50
2016-02-18,31.5,15.8,42.1,13.7,0.3,14.2,50
2016-02-19,25.2,10.9,34.5,14.0,0.0,14.4,53
2016-02-20,28.0,15.1,38.3,14.0,0.0,14.5,52
2016-02-21,23.2,14.0,37.2,14.0,0.0,14.5,51
2016-02-22,18.9,11.8,25.0,14.0,0.0,14.5,51
2016-02-23,11.8,4.1,22.8,14.0,0.0,14.5,51
2016-02-24,14.9,2.5,27.0,14.0,0.0,14.5,51
2016-02-25,23.5,12.6,34.7,14.0,0.2,14.5,51
2016-02-26,26.8,15.3,40.3,14.2,0.0,14.6,50
2016-02-27,30.2,21.6,42.1,14.2,0.0,14.6,50
2016-02-28,25.5,15.3,37.8,14.2,0.0,14.7,49
2016-02-29,23.4,12.2,35.8,14.2,0.4,14.7,48
2016-03-01,22.8,10.6,32.9,14.6,0.0,15.1,54
2016-03-02,25.0,18.9,30.0,14.6,0.2,15.3,53
2016-03-03,29.7,17.2,43.0,14.8,0.1,15.5,55
2016-03-04,30.9,24.1,39.9,14.9,0.0,15.6,54
2016-03-05,33.8,25.2,45.5,14.9,0.0,15.6,53
2016-03-06,30.0,23.4,39.9,14.9,0.0,15.6,52
2016-03-07,22.3,16.9,26.4,14.9,0.2,15.6,51
2016-03-08,17.1,8.4,26.8,15.1,0.0,15.8,55
2016-03-09,19.8,10.8,30.2,15.1,0.1,15.8,54
2016-03-10,26.6,14.4,39.6,15.2,0.0,15.8,53
2016-03-11,35.6,25.0,47.8,15.2,0.1,16.0,54
2016-03-12,32.7,23.7,41.5,15.3,0.1,16.1,54
2016-03-13,30.0,24.6,39.7,15.4,0.0,16.1,54
2016-03-14,23.9,12.4,29.8,15.4,0.9,16.2,54
2016-03-15,11.7,7.0,15.6,16.3,0.4,17.1,66
2016-03-16,13.5,7.3,18.3,16.7,0.3,17.6,68
2016-03-17,18.7,13.5,24.4,17.0,0.5,18.2,69
2016-03-18,13.1,7.5,20.5,17.5,0.0,18.6,72
2016-03-19,13.5,5.4,26.2,17.5,0.1,18.8,68
2016-03-20,23.5,7.2,38.1,17.6,0.2,18.8,68
2016-03-21,35.8,28.2,44.4,17.8,0.0,19.0,65
2016-03-22,32.9,21.9,42.6,17.8,0.0,19.1,63
2016-03-23,17.6,15.1,21.7,17.8,0.6,19.1,61
2016-03-24,19.6,13.1,30.0,18.4,0.1,19.7,66
2016-03-25,16.0,3.7,24.1,18.5,0.4,20.0,70
2016-03-26,12.4,0.0,26.8,18.9,0.0,20.4,73
2016-03-27,18.7,3.6,33.1,18.9,0.1,20.4,70
2016-03-28,29.7,17.6,41.9,19.0,0.1,20.5,69
2016-03-29,29.8,15.8,44.1,19.1,0.2,20.6,68
2016-03-30,17.4,11.1,26.6,19.3,0.0,20.7,65
2016-03-31,15.3,5.0,27.9,19.3,0.1,21.0,68
2016-04-01,17.6,7.9,30.2,19.4,0.1,21.0,68
2016-04-02,27.7,17.2,40.8,19.5,0.0,21.0,67
2016-04-03,32.9,24.4,45.3,19.5,0.1,21.0,66
2016-04-04,36.9,25.7,49.1,19.6,0.0,21.0,64
2016-04-05,24.8,18.0,36.0,19.6,0.4,21.1,63
2016-04-06,29.3,14.5,42.8,20.0,0.1,21.5,69
2016-04-07,34.7,26.1,49.1,20.1,0.0,21.6,65
