Date,Wager Gulch (1188) Air Temperature Average (degF),Wager Gulch (1188) Air Temperature Minimum (degF),Wager Gulch (1188) Air Temperature Maximum (degF),Wager Gulch (1188) Precipitation Accumulation (in) Start of Day Values,Wager Gulch (1188) Precipitation Increment (in),Wager Gulch (1188) Snow Water Equivalent (in) Start of Day Values,Wager Gulch (1188) Snow Depth (in) Start of Day Values
2015-10-01,51.8,40.5,64.8,0.0,0.0,0.0,0
2015-10-02,47.5,33.4,54.3,0.0,0.0,0.0,0
2015-10-03,39.4,26.8,53.2,0.0,0.0,0.0,0
2015-10-04,40.1,30.7,53.1,0.0,0.1,0.0,0
2015-10-05,38.3,32.2,49.8,0.1,0.8,0.0,0
2015-10-06,36.3,29.3,49.6,0.9,0.1,0.0,0
2015-10-07,36.7,30.2,45.7,1.0,0.0,0.0,0
2015-10-08,40.6,29.7,56.8,1.0,0.0,0.0,0
2015-10-09,43.2,31.6,59.9,1.0,0.0,0.0,0
2015-10-10,44.2,30.7,61.7,1.0,0.0,0.0,0
2015-10-11,43.9,31.6,57.2,1.0,0.0,0.0,0
2015-10-12,43.7,28.8,61.3,1.0,0.0,0.0,0
2015-10-13,43.5,30.0,61.2,1.0,0.0,0.0,0
2015-10-14,43.9,30.4,61.5,1.0,0.0,0.0,0
2015-10-15,44.1,31.3,61.9,1.0,0.0,0.0,0
2015-10-16,41.0,32.2,57.0,1.0,0.4,0.0,0
2015-10-17,38.7,29.1,49.6,1.4,0.0,0.0,0
2015-10-18,40.1,34.7,51.4,1.4,0.2,0.0,0
2015-10-19,36.5,30.0,46.2,1.6,0.4,0.0,0
2015-10-20,34.3,26.6,49.5,2.0,0.2,0.0,0
2015-10-21,32.9,30.2,38.1,2.2,0.1,0.0,0
2015-10-22,31.8,29.7,38.8,2.3,0.4,0.0,0
2015-10-23,30.9,22.3,40.1,2.7,0.0,0.4,2
2015-10-24,32.2,20.5,48.4,2.7,0.0,0.2,1
2015-10-25,35.8,24.4,49.1,2.7,0.0,0.0,0
2015-10-26,32.2,19.9,41.9,2.7,0.0,0.0,0
2015-10-27,30.4,19.8,43.0,2.7,0.0,0.0,0
2015-10-28,33.4,21.0,44.6,2.7,0.0,0.1,1
2015-10-29,30.9,24.1,40.5,2.7,0.1,0.1,1
2015-10-30,25.0,13.1,35.6,2.8,0.2,0.2,1
2015-10-31,28.4,15.8,43.7,3.0,0.0,0.2,1
2015-11-01,33.8,20.5,51.3,3.0,0.0,0.0,0
2015-11-02,38.1,23.5,49.6,3.0,0.0,0.0,0
2015-11-03,34.2,27.3,43.0,3.0,0.2,0.3,1
2015-11-04,24.1,14.5,30.7,3.2,0.7,0.4,4
2015-11-05,15.3,5.0,30.6,3.9,0.0,0.9,9
2015-11-06,14.7,2.7,27.9,3.9,0.0,0.9,7
