Date,Sawtooth (1251) Air Temperature Average (degF),Sawtooth (1251) Air Temperature Minimum (degF),Sawtooth (1251) Air Temperature Maximum (degF),Sawtooth (1251) Precipitation Accumulation (in) Start of Day Values,Sawtooth (1251) Precipitation Increment (in),Sawtooth (1251) Snow Water Equivalent (in) Start of Day Values,Sawtooth (1251) Snow Depth (in) Start of Day Values
2015-10-01,50.4,42.3,64.8,0.0,0.0,0.0,0
2015-10-02,48.4,37.0,62.1,0.0,0.1,0.0,0
2015-10-03,40.3,31.8,52.9,0.1,0.4,0.0,0
2015-10-04,39.9,33.3,49.6,0.5,0.0,0.0,0
2015-10-05,43.9,34.9,56.1,0.5,0.0,0.0,0
2015-10-06,40.6,35.1,52.2,0.5,0.4,0.0,0
2015-10-07,44.4,36.1,52.2,0.9,0.0,0.0,0
2015-10-08,44.8,36.3,58.8,0.9,0.0,0.0,0
2015-10-09,47.7,34.7,57.9,0.9,0.0,0.0,0
2015-10-10,52.7,44.6,61.2,0.9,0.0,0.0,0
2015-10-11,52.0,45.9,60.4,0.9,0.0,0.0,0
2015-10-12,48.6,40.1,57.7,0.9,0.0,0.0,0
2015-10-13,51.4,44.1,60.1,0.9,0.0,0.0,0
2015-10-14,51.3,43.0,60.8,0.9,0.0,0.0,0
2015-10-15,43.7,32.0,53.1,0.9,0.0,0.0,0
2015-10-16,43.9,29.5,60.8,0.9,0.0,0.0,0
2015-10-17,46.0,34.5,59.2,0.9,0.0,0.0,0
2015-10-18,48.9,44.8,56.1,0.9,0.0,0.0,0
2015-10-19,42.6,34.0,49.8,0.9,0.1,0.0,0
2015-10-20,42.1,33.4,51.8,1.0,0.3,0.0,0
2015-10-21,33.8,32.5,,1.3,0.6,0.2,1
2015-10-22,33.1,31.6,43.9,1.9,1.0,0.4,2
2015-10-23,32.7,29.8,39.4,2.9,0.1,1.2,5
2015-10-24,31.5,28.4,38.8,3.0,0.1,1.2,6
2015-10-25,34.5,28.4,41.7,3.1,0.0,1.1,7
2015-10-26,36.7,32.7,41.4,3.1,0.1,1.1,6
2015-10-27,30.4,25.3,36.9,3.2,0.2,1.1,5
2015-10-28,30.6,23.9,38.5,3.4,0.0,1.1,5
2015-10-29,35.6,30.7,44.8,3.4,0.0,1.2,7
2015-10-30,31.3,27.3,36.7,3.4,0.2,1.2,7
2015-10-31,33.4,27.9,37.8,3.6,0.0,1.2,7
2015-11-01,39.0,33.4,45.7,3.6,0.0,1.2,7
2015-11-02,40.3,32.0,50.4,3.6,0.0,1.2,6
2015-11-03,40.1,32.5,48.6,3.6,0.0,1.1,6
2015-11-04,32.5,25.3,39.9,3.6,0.5,1.1,5
2015-11-05,22.1,18.7,25.7,4.1,0.3,1.4,8
2015-11-06,19.9,16.3,24.4,4.4,0.2,1.6,10
2015-11-07,23.2,13.3,33.3,4.6,0.0,1.7,10
2015-11-08,32.4,21.9,44.8,4.6,0.0,1.7,10
2015-11-09,34.3,30.0,40.1,4.6,0.1,1.7,10
2015-11-10,32.5,24.3,40.8,4.7,0.3,1.7,9
2015-11-11,19.4,16.0,24.4,5.0,0.4,2.0,11
2015-11-12,21.0,16.5,25.3,5.4,0.0,2.3,14
2015-11-13,28.4,21.0,34.5,5.4,0.0,2.3,13
2015-11-14,33.4,27.0,42.8,5.4,0.0,2.3,12
2015-11-15,33.8,29.1,40.1,5.4,0.0,2.3,12
2015-11-16,28.8,22.6,35.1,5.4,0.2,2.3,11
2015-11-17,18.3,14.9,23.2,5.6,0.1,2.4,12
2015-11-18,20.7,17.8,24.1,5.7,0.7,2.5,14
2015-11-19,23.5,18.3,27.5,6.4,0.3,3.0,16
2015-11-20,20.8,6.1,27.9,6.7,1.1,3.2,15
2015-11-21,12.6,4.6,18.9,7.8,0.1,4.2,22
2015-11-22,25.9,17.2,33.1,7.9,0.0,4.2,20
2015-11-23,33.1,26.4,39.4,7.9,0.0,4.2,19
2015-11-24,32.4,27.0,36.3,7.9,0.0,4.2,18
2015-11-25,25.7,13.5,38.5,7.9,0.0,4.2,18
2015-11-26,8.4,-1.5,14.0,7.9,0.3,4.2,18
2015-11-27,4.6,-5.8,16.2,8.2,0.0,4.4,23
2015-11-28,13.3,0.1,21.7,8.2,0.1,4.4,20
