Date,Bear Lake (322) Air Temperature Average (degF),Bear Lake (322) Air Temperature Minimum (degF),Bear Lake (322) Air Temperature Maximum (degF),Bear Lake (322) Precipitation Accumulation (in) Start of Day Values,Bear Lake (322) Precipitation Increment (in),Bear Lake (322) Snow Water Equivalent (in) Start of Day Values,Bear Lake (322) Snow Depth (in) Start of Day Values
2015-10-01,51.3,42.8,66.0,0.0,0.2,0.0,0
2015-10-02,47.8,36.9,62.8,0.2,0.2,0.0,0
2015-10-03,42.4,33.8,56.1,0.4,0.1,0.0,0
2015-10-04,43.2,36.7,59.9,0.5,0.0,0.0,0
2015-10-05,48.2,38.8,59.5,0.5,0.0,0.0,0
2015-10-06,42.3,36.3,55.9,0.5,0.2,0.0,0
2015-10-07,44.4,34.3,58.5,0.7,0.0,0.0,0
2015-10-08,46.4,38.1,62.1,0.7,0.0,0.0,0
2015-10-09,49.5,36.7,60.1,0.7,0.0,0.0,0
2015-10-10,55.9,47.5,63.0,0.7,0.0,0.0,0
2015-10-11,53.4,48.0,61.0,0.7,0.0,0.0,0
2015-10-12,51.1,43.9,59.9,0.7,0.0,0.0,0
2015-10-13,52.9,45.0,61.2,0.7,0.0,0.0,0
2015-10-14,53.2,45.7,62.8,0.7,0.0,0.0,0
2015-10-15,45.5,32.5,54.7,0.7,0.0,0.0,0
2015-10-16,45.5,30.9,61.7,0.7,0.0,0.0,0
2015-10-17,49.6,38.8,61.9,0.7,0.0,0.0,0
2015-10-18,49.6,42.6,55.9,0.7,0.0,0.0,0
2015-10-19,43.9,36.3,51.4,0.7,0.1,0.0,0
2015-10-20,43.0,32.9,52.2,0.8,0.2,0.0,0
2015-10-21,33.4,32.0,35.8,1.0,0.3,0.1,1
2015-10-22,32.9,30.7,36.3,1.3,0.7,0.1,1
2015-10-23,34.0,29.1,41.7,2.0,0.0,0.6,4
2015-10-24,36.3,30.2,42.4,2.0,0.0,0.5,4
2015-10-25,40.5,34.0,48.2,2.0,0.0,0.4,3
2015-10-26,37.9,34.5,41.9,2.0,0.1,0.4,2
2015-10-27,30.6,26.4,35.8,2.1,0.3,0.2,1
2015-10-28,32.4,25.3,39.6,2.4,0.0,0.3,3
2015-10-29,36.1,29.3,44.4,2.4,0.0,0.3,2
2015-10-30,32.4,28.8,40.3,2.4,0.1,0.3,1
2015-10-31,34.7,27.5,38.8,2.5,0.1,0.4,2
2015-11-01,41.0,35.1,47.7,2.6,0.0,0.4,2
2015-11-02,43.9,37.0,51.4,2.6,0.0,0.4,1
2015-11-03,43.5,36.5,50.9,2.6,0.0,0.4,1
2015-11-04,33.8,25.3,43.0,2.6,0.3,0.4,1
2015-11-05,23.2,19.8,27.5,2.9,0.2,0.5,4
2015-11-06,20.7,17.2,24.8,3.1,0.1,0.7,6
2015-11-07,30.6,14.7,45.7,3.2,0.0,0.7,5
2015-11-08,39.0,27.3,51.8,3.2,0.0,0.7,5
2015-11-09,36.7,30.6,41.4,3.2,0.0,0.7,4
2015-11-10,33.8,23.5,44.1,3.2,0.7,0.7,4
2015-11-11,19.6,16.2,25.2,3.9,0.3,1.2,12
2015-11-12,22.5,17.6,28.0,4.2,0.1,1.5,15
2015-11-13,30.4,23.2,37.9,4.3,0.0,1.5,13
2015-11-14,37.0,27.7,45.9,4.3,0.0,1.5,11
2015-11-15,36.3,33.1,41.9,4.3,0.0,1.5,10
2015-11-16,28.0,21.6,36.3,4.3,0.2,1.5,9
2015-11-17,19.9,16.5,27.1,4.5,0.1,1.6,11
2015-11-18,21.4,18.7,24.8,4.6,0.2,1.7,12
2015-11-19,25.3,19.4,30.6,4.8,0.1,2.0,13
2015-11-20,21.2,7.7,28.8,4.9,0.5,2.1,12
2015-11-21,16.3,7.9,24.4,5.4,0.1,2.6,18
2015-11-22,29.8,21.9,36.7,5.5,0.0,2.6,15
2015-11-23,35.2,29.1,40.1,5.5,0.0,2.6,14
2015-11-24,34.7,32.2,37.8,5.5,0.0,2.6,13
2015-11-25,27.1,13.6,40.1,5.5,0.0,2.6,13
2015-11-26,7.7,-1.3,13.8,5.5,0.5,2.6,13
2015-11-27,4.3,-7.8,17.2,6.0,0.0,3.0,22
2015-11-28,12.7,1.8,21.4,6.0,0.2,3.0,19
2015-11-29,13.1,7.5,18.9,6.2,0.2,3.1,19
2015-11-30,6.8,5.2,9.9,6.4,0.2,3.3,21
2015-12-01,12.9,5.9,23.5,6.6,0.1,3.5,21
2015-12-02,24.3,21.0,27.1,6.7,0.0,3.7,19
2015-12-03,27.7,22.6,33.1,6.7,0.0,3.7,18
2015-12-04,34.7,30.7,41.4,6.7,0.0,3.7,18
2015-12-05,23.9,17.8,31.3,6.7,0.0,3.6,17
2015-12-06,31.6,22.6,40.1,6.7,0.0,3.6,17
2015-12-07,32.5,28.4,36.1,6.7,0.0,3.6,16
2015-12-08,32.0,28.8,34.5,6.7,0.1,3.6,16
2015-12-09,35.1,30.4,39.6,6.8,0.0,3.7,16
2015-12-10,34.0,27.7,38.8,6.8,0.0,3.7,16
2015-12-11,25.2,19.4,30.7,6.8,0.2,3.7,15
2015-12-12,19.0,11.7,23.9,7.0,0.3,4.0,20
2015-12-13,24.8,12.0,32.9,7.3,0.0,4.4,21
2015-12-14,25.7,16.7,35.8,7.3,0.1,4.4,20
2015-12-15,10.6,5.4,17.2,7.4,0.4,4.4,20
2015-12-16,7.2,5.4,10.2,7.8,0.2,4.9,26
2015-12-17,5.5,4.3,8.4,8.0,0.1,5.0,25
2015-12-18,20.8,8.2,28.4,8.1,0.1,5.3,25
