Date,Beartown (327) Air Temperature Average (degF),Beartown (327) Air Temperature Minimum (degF),Beartown (327) Air Temperature Maximum (degF),Beartown (327) Precipitation Accumulation (in) Start of Day Values,Beartown (327) Precipitation Increment (in),Beartown (327) Snow Water Equivalent (in) Start of Day Values,Beartown (327) Snow Depth (in) Start of Day Values
2015-10-01,49.8,39.4,61.7,0.0,0.1,0.0,0
2015-10-02,44.6,36.9,51.6,0.1,0.0,0.0,0
2015-10-03,38.8,30.9,49.3,0.1,0.0,0.0,0
2015-10-04,36.3,31.6,47.8,0.1,0.1,0.0,0
2015-10-05,34.3,31.6,42.4,0.2,1.1,0.2,1
2015-10-06,34.5,28.2,44.4,1.3,0.2,0.4,2
2015-10-07,34.0,27.9,48.2,1.5,0.0,0.0,0
2015-10-08,39.6,28.2,55.4,1.5,0.3,0.0,0
2015-10-09,41.9,29.5,59.5,1.8,0.0,0.0,0
2015-10-10,44.2,32.2,61.3,1.8,0.0,0.0,0
2015-10-11,42.6,32.9,57.0,1.8,0.0,0.0,0
2015-10-12,44.2,31.8,63.1,1.8,0.0,0.0,0
2015-10-13,44.8,34.2,62.2,1.8,0.0,0.0,0
2015-10-14,43.7,31.6,62.1,1.8,0.0,0.0,0
2015-10-15,43.0,30.6,59.5,1.8,0.0,0.0,0
2015-10-16,39.6,31.8,53.6,1.8,0.0,0.0,0
2015-10-17,34.9,29.5,43.0,1.8,0.1,0.0,0
2015-10-18,35.2,31.6,41.2,1.9,0.4,0.0,0
2015-10-19,34.5,31.6,40.1,2.3,0.7,0.0,0
2015-10-20,32.9,26.8,43.5,3.0,0.1,0.3,1
2015-10-21,30.2,27.0,36.0,3.1,0.3,0.3,1
2015-10-22,29.5,26.4,36.5,3.4,0.1,0.3,1
2015-10-23,28.8,19.4,40.3,3.5,0.0,0.5,3
2015-10-24,32.0,19.2,46.6,3.5,0.1,0.3,1
2015-10-25,33.8,23.0,47.5,3.6,0.0,0.0,0
2015-10-26,29.7,20.7,41.4,3.6,0.0,0.0,0
2015-10-27,28.2,18.0,42.3,3.6,0.0,0.0,0
2015-10-28,31.3,17.8,44.8,3.6,0.1,0.0,0
2015-10-29,27.9,22.1,36.3,3.7,0.2,0.1,1
2015-10-30,25.2,14.4,36.7,3.9,0.0,0.3,1
2015-10-31,29.8,17.8,42.8,3.9,0.0,0.2,1
2015-11-01,34.2,23.0,50.0,3.9,0.1,0.1,1
2015-11-02,35.2,24.8,48.2,4.0,0.1,0.0,0
2015-11-03,30.6,22.6,39.2,4.1,0.0,0.0,0
2015-11-04,20.7,8.8,27.3,4.1,0.9,0.0,0
2015-11-05,13.6,3.4,27.3,5.0,0.3,1.5,14
2015-11-06,13.6,1.6,27.9,5.3,0.0,1.5,12
2015-11-07,18.3,1.4,38.8,5.3,0.1,1.5,10
2015-11-08,24.4,12.4,41.9,5.4,0.0,1.5,9
2015-11-09,25.7,13.6,37.8,5.4,0.1,1.5,8
2015-11-10,20.3,9.9,30.2,5.5,0.1,1.6,7
2015-11-11,14.0,6.3,25.2,5.6,0.2,2.1,14
2015-11-12,20.7,10.2,37.0,5.8,0.1,2.2,13
2015-11-13,23.7,12.9,41.9,5.9,0.0,2.2,12
2015-11-14,25.2,14.5,42.1,5.9,0.0,2.2,10
2015-11-15,22.6,16.9,35.2,5.9,0.2,2.2,11
2015-11-16,17.4,10.8,25.0,6.1,0.8,2.6,13
2015-11-17,15.4,10.4,20.7,6.9,0.2,3.6,21
2015-11-18,18.3,11.5,31.3,7.1,0.0,3.6,20
2015-11-19,25.2,12.7,38.3,7.1,0.0,3.6,18
2015-11-20,23.0,9.0,38.1,7.1,0.0,3.6,17
2015-11-21,17.6,5.5,35.6,7.1,0.0,3.6,16
2015-11-22,25.7,16.5,41.9,7.1,0.1,3.6,16
2015-11-23,25.0,16.3,41.9,7.2,0.0,3.6,15
2015-11-24,25.2,15.6,36.7,7.2,0.0,3.6,15
2015-11-25,24.1,20.3,28.4,7.2,0.1,3.6,14
2015-11-26,19.6,17.8,22.5,7.3,0.4,3.7,15
2015-11-27,18.0,13.3,22.3,7.7,0.4,4.3,24
2015-11-28,13.8,5.9,22.3,8.1,0.1,4.9,26
2015-11-29,10.6,3.2,16.0,8.2,0.2,5.0,25
2015-11-30,1.9,-6.7,15.3,8.4,0.0,5.1,26
2015-12-01,8.8,-5.1,23.0,8.4,0.2,5.1,25
2015-12-02,18.7,7.5,34.9,8.6,0.0,5.1,24
2015-12-03,23.0,14.0,39.9,8.6,0.1,5.1,23
2015-12-04,25.2,18.7,37.0,8.7,0.1,5.1,22
2015-12-05,17.6,4.6,30.4,8.8,0.2,5.4,23
2015-12-06,26.8,16.9,43.5,9.0,0.1,5.5,24
2015-12-07,28.2,19.4,44.4,9.1,0.0,5.5,24
2015-12-08,28.2,21.2,43.5,9.1,0.0,5.5,23
