Date,Berthoud Summit (335) Air Temperature Average (degF),Berthoud Summit (335) Air Temperature Minimum (degF),Berthoud Summit (335) Air Temperature Maximum (degF),Berthoud Summit (335) Precipitation Accumulation (in) Start of Day Values,Berthoud Summit (335) Precipitation Increment (in),Berthoud Summit (335) Snow Water Equivalent (in) Start of Day Values,Berthoud Summit (335) Snow Depth (in) Start of Day Values
2015-10-01,48.2,38.8,62.6,0.0,0.0,0.0,0
2015-10-02,45.9,32.0,58.3,0.0,0.1,0.0,0
2015-10-03,38.3,29.5,51.8,0.1,0.2,0.0,0
2015-10-04,38.1,29.5,49.1,0.3,0.0,0.0,0
2015-10-05,40.5,34.0,54.7,0.3,0.1,0.0,0
2015-10-06,36.7,32.4,49.5,0.4,0.3,0.0,0
2015-10-07,38.3,30.4,52.5,0.7,0.0,0.0,0
2015-10-08,40.6,30.6,54.7,0.7,0.0,0.0,0
2015-10-09,41.7,32.4,56.8,0.7,0.0,0.0,0
2015-10-10,44.1,32.7,58.6,0.7,0.0,0.0,0
2015-10-11,44.4,33.1,56.1,0.7,0.0,0.0,0
2015-10-12,40.3,27.1,55.8,0.7,0.0,0.0,0
2015-10-13,43.7,36.0,56.8,0.7,0.0,0.0,0
2015-10-14,44.2,34.3,58.8,0.7,0.0,0.0,0
2015-10-15,40.3,30.6,54.3,0.7,0.0,0.0,0
2015-10-16,44.2,33.3,57.4,0.7,0.0,0.0,0
2015-10-17,42.8,34.5,58.8,0.7,0.1,0.0,0
2015-10-18,39.0,32.4,47.8,0.8,0.0,0.1,1
2015-10-19,36.1,31.5,42.6,0.8,0.1,0.1,1
2015-10-20,34.7,28.2,46.8,0.9,0.2,0.1,1
2015-10-21,28.8,26.6,32.0,1.1,0.2,0.3,2
2015-10-22,29.8,27.3,38.3,1.3,0.7,0.4,2
2015-10-23,27.1,20.5,37.0,2.0,0.2,1.1,8
2015-10-24,28.0,16.7,43.5,2.2,0.0,1.1,7
2015-10-25,33.4,23.5,50.7,2.2,0.0,1.1,6
2015-10-26,30.6,24.6,41.9,2.2,0.0,1.1,5
2015-10-27,23.9,15.8,36.0,2.2,0.4,1.1,5
2015-10-28,24.1,11.8,38.8,2.6,0.0,1.5,9
2015-10-29,28.8,20.3,41.7,2.6,0.0,1.5,7
2015-10-30,23.2,17.1,28.0,2.6,0.2,1.5,7
2015-10-31,26.6,20.1,37.0,2.8,0.2,1.6,8
2015-11-01,34.0,23.5,46.2,3.0,0.0,1.8,9
2015-11-02,39.0,27.1,54.3,3.0,0.0,1.8,8
2015-11-03,37.9,31.5,50.0,3.0,0.0,1.8,7
2015-11-04,27.0,17.8,40.8,3.0,0.4,1.8,6
2015-11-05,15.8,9.9,30.9,3.4,0.2,2.3,12
2015-11-06,12.6,8.8,19.6,3.6,0.4,2.5,14
2015-11-07,22.1,1.8,48.0,4.0,0.0,2.8,16
2015-11-08,27.9,14.9,50.9,4.0,0.0,2.8,14
2015-11-09,27.3,13.3,44.8,4.0,0.0,2.8,13
2015-11-10,29.3,17.2,44.2,4.0,0.3,2.8,12
2015-11-11,11.8,4.3,18.9,4.3,0.4,3.0,15
2015-11-12,12.7,3.9,31.6,4.7,0.0,3.4,21
2015-11-13,18.0,5.7,40.1,4.7,0.0,3.4,18
2015-11-14,26.6,17.8,45.0,4.7,0.0,3.4,16
2015-11-15,26.6,16.7,40.5,4.7,0.0,3.4,15
2015-11-16,21.7,14.5,31.5,4.7,0.7,3.4,15
2015-11-17,11.8,7.9,25.5,5.4,0.4,4.1,25
2015-11-18,15.3,10.9,19.0,5.8,0.8,4.6,30
2015-11-19,19.0,11.8,24.4,6.6,0.2,5.0,32
2015-11-20,14.9,-3.6,24.4,6.8,0.8,5.1,29
2015-11-21,8.4,-9.2,24.6,7.6,0.1,5.7,35
2015-11-22,19.4,7.0,37.2,7.7,0.0,5.7,31
2015-11-23,25.0,16.3,43.2,7.7,0.0,5.7,28
2015-11-24,23.9,15.6,38.7,7.7,0.0,5.7,26
2015-11-25,25.2,15.6,40.1,7.7,0.0,5.7,26
2015-11-26,11.7,-1.7,20.8,7.7,0.0,5.7,25
2015-11-27,16.0,2.3,27.1,7.7,0.1,5.7,25
2015-11-28,14.2,9.0,25.3,7.8,0.1,5.7,25
2015-11-29,10.4,3.6,23.9,7.9,0.1,5.8,27
2015-11-30,0.3,-4.2,7.0,8.0,0.2,5.9,27
2015-12-01,1.0,-4.2,7.9,8.2,0.0,6.1,28
2015-12-02,12.6,1.2,29.8,8.2,0.0,6.1,27
2015-12-03,17.1,7.0,33.4,8.2,0.0,6.1,27
2015-12-04,27.3,14.2,45.0,8.2,0.0,6.1,26
2015-12-05,12.7,3.2,23.9,8.2,0.0,6.1,26
2015-12-06,23.7,3.0,43.2,8.2,0.0,6.2,28
2015-12-07,25.7,12.9,35.1,8.2,0.0,6.2,27
2015-12-08,23.9,19.0,34.2,8.2,0.1,6.2,25
2015-12-09,30.2,17.2,44.6,8.3,0.0,5.9,24
2015-12-10,30.4,18.3,36.3,8.3,0.0,5.7,23
2015-12-11,21.2,15.1,32.7,8.3,0.2,5.7,22
2015-12-12,15.8,10.2,20.3,8.5,0.5,5.9,26
2015-12-13,14.0,1.6,31.5,9.0,0.0,6.4,29
2015-12-14,20.3,13.5,32.5,9.0,0.2,6.4,28
2015-12-15,4.5,-2.6,13.5,9.2,0.8,6.7,33
2015-12-16,-0.2,-5.3,9.5,10.0,0.2,7.5,37
2015-12-17,-1.7,-8.1,8.8,10.2,0.1,7.7,37
2015-12-18,12.7,3.4,26.8,10.3,0.1,7.8,36
2015-12-19,28.8,11.8,39.9,10.4,0.0,7.9,35
2015-12-20,18.0,9.1,28.2,10.4,0.2,7.9,34
2015-12-21,15.6,10.2,24.6,10.6,0.2,7.9,35
2015-12-22,18.0,9.0,24.6,10.8,0.4,8.0,35
2015-12-23,5.0,-3.5,16.0,11.2,0.4,8.4,36
2015-12-24,1.2,-5.6,14.4,11.6,0.1,8.8,42
2015-12-25,7.5,-2.6,17.8,11.7,0.2,8.8,40
2015-12-26,-2.2,-9.6,11.3,11.9,0.0,9.0,41
2015-12-27,10.8,-2.0,35.6,11.9,0.0,9.0,39
2015-12-28,10.2,2.5,25.9,11.9,0.0,9.0,38
2015-12-29,5.0,-2.6,22.3,11.9,0.0,9.0,38
2015-12-30,-0.9,-10.7,11.3,11.9,0.1,9.0,38
2015-12-31,-3.3,-9.4,13.6,12.0,0.0,9.1,39
2016-01-01,5.0,-8.0,24.4,12.0,0.0,9.1,39
2016-01-02,16.0,5.0,34.3,12.0,0.0,9.1,38
2016-01-03,21.4,13.1,37.9,12.0,0.0,9.2,37
2016-01-04,24.8,17.4,39.6,12.0,0.0,9.2,37
2016-01-05,20.3,10.4,35.1,12.0,0.0,9.2,37
2016-01-06,17.6,11.5,34.2,12.0,0.0,9.2,37
2016-01-07,14.7,11.3,19.4,12.0,0.3,9.2,37
2016-01-08,10.0,6.1,18.3,12.3,0.0,9.5,40
2016-01-09,5.2,-2.2,15.4,12.3,0.2,9.5,40
2016-01-10,1.8,-5.1,12.4,12.5,0.0,9.7,42
2016-01-11,2.8,-5.4,20.5,12.5,0.0,9.7,42
2016-01-12,13.6,0.0,31.5,12.5,0.0,9.7,41
2016-01-13,19.4,4.5,35.6,12.5,0.0,9.7,40
2016-01-14,11.5,5.7,21.6,12.5,0.3,9.7,40
2016-01-15,7.2,1.9,16.3,12.8,0.3,9.9,43
2016-01-16,5.0,-1.8,13.1,13.1,0.2,10.3,45
2016-01-17,12.6,9.1,19.9,13.3,0.3,10.4,44
2016-01-18,19.6,11.3,34.7,13.6,0.0,10.7,48
2016-01-19,15.1,7.5,26.8,13.6,0.2,10.8,46
2016-01-20,10.6,3.4,23.5,13.8,0.4,11.0,48
2016-01-21,7.2,4.3,19.2,14.2,0.1,11.4,51
2016-01-22,19.9,7.2,36.3,14.3,0.0,11.4,50
2016-01-23,24.6,12.2,42.1,14.3,0.0,11.4,48
2016-01-24,18.3,7.3,34.2,14.3,0.0,11.5,47
2016-01-25,6.4,0.3,19.2,14.3,0.2,11.5,47
2016-01-26,4.6,-2.9,18.9,14.5,0.0,11.6,49
2016-01-27,15.6,3.2,34.0,14.5,0.0,11.6,48
2016-01-28,19.9,10.6,35.6,14.5,0.0,11.6,47
2016-01-29,19.8,12.4,31.3,14.5,0.1,11.7,46
2016-01-30,23.5,10.0,38.1,14.6,0.6,11.8,47
2016-01-31,9.1,0.9,19.8,15.2,0.4,12.3,52
2016-02-01,9.0,-1.1,16.2,15.6,0.3,12.8,55
2016-02-02,-0.6,-7.2,7.7,15.9,0.0,13.0,55
2016-02-03,-7.2,-14.4,1.2,15.9,0.1,13.1,55
2016-02-04,0.1,-13.0,16.0,16.0,0.1,13.2,54
2016-02-05,2.7,-3.1,15.1,16.1,0.1,13.2,54
2016-02-06,13.8,0.3,28.0,16.2,0.0,13.3,54
2016-02-07,14.7,10.4,23.0,16.2,0.0,13.3,53
2016-02-08,19.2,11.8,33.8,16.2,0.0,13.3,52
2016-02-09,19.6,9.5,36.3,16.2,0.0,13.3,52
2016-02-10,27.1,15.1,44.6,16.2,0.0,13.3,51
2016-02-11,27.9,14.0,42.1,16.2,0.0,13.3,51
2016-02-12,32.0,20.1,43.7,16.2,0.0,13.3,50
2016-02-13,28.0,13.5,43.0,16.2,0.0,13.3,49
2016-02-14,17.1,9.5,24.8,16.2,0.2,13.3,49
2016-02-15,21.0,14.9,26.2,16.4,0.4,13.5,53
2016-02-16,25.5,20.7,36.3,16.8,0.1,13.6,53
2016-02-17,36.0,22.1,50.4,16.9,0.0,13.6,52
2016-02-18,30.6,12.9,43.7,16.9,0.4,13.6,51
2016-02-19,23.9,7.0,38.1,17.3,0.0,13.8,53
2016-02-20,26.4,13.8,38.1,17.3,0.0,13.8,52
2016-02-21,21.6,10.9,39.6,17.3,0.0,13.8,51
2016-02-22,14.0,8.1,26.6,17.3,0.2,13.8,50
2016-02-23,9.7,-0.2,27.1,17.5,0.1,14.0,55
2016-02-24,10.8,-2.2,27.3,17.6,0.0,14.0,54
2016-02-25,19.8,2.8,37.0,17.6,0.0,14.0,53
2016-02-26,24.6,10.2,44.2,17.6,0.0,14.0,52
2016-02-27,26.4,16.3,42.8,17.6,0.0,14.0,51
2016-02-28,23.4,11.3,39.9,17.6,0.0,14.0,51
2016-02-29,20.7,9.7,34.0,17.6,0.4,14.0,51
2016-03-01,20.7,7.2,32.5,18.0,0.0,14.2,55
2016-03-02,22.1,15.4,30.4,18.0,0.4,14.2,54
2016-03-03,27.1,13.6,44.8,18.4,0.0,14.5,55
2016-03-04,28.8,19.2,39.9,18.4,0.0,14.5,55
2016-03-05,33.1,24.3,48.0,18.4,0.0,14.5,54
2016-03-06,27.9,19.6,41.9,18.4,0.0,14.5,53
2016-03-07,18.3,12.4,25.5,18.4,0.3,14.5,53
2016-03-08,15.4,6.8,34.0,18.7,0.2,14.7,57
2016-03-09,18.0,6.8,32.5,18.9,0.0,14.7,57
