Date,Bison Lake (345) Air Temperature Average (degF),Bison Lake (345) Air Temperature Minimum (degF),Bison Lake (345) Air Temperature Maximum (degF),Bison Lake (345) Precipitation Accumulation (in) Start of Day Values,Bison Lake (345) Precipitation Increment (in),Bison Lake (345) Snow Water Equivalent (in) Start of Day Values,Bison Lake (345) Snow Depth (in) Start of Day Values
2015-10-01,50.0,42.6,60.1,0.0,0.0,0.0,0
2015-10-02,44.2,30.2,55.6,0.0,0.0,0.0,0
2015-10-03,37.8,29.1,49.1,0.0,0.0,0.0,0
2015-10-04,39.0,30.6,50.0,0.0,0.0,0.0,0
2015-10-05,38.7,34.3,47.5,0.0,0.1,0.0,0
2015-10-06,38.8,31.8,50.7,0.1,0.0,0.0,0
2015-10-07,39.0,31.3,49.6,0.1,0.0,0.0,0
2015-10-08,41.0,32.5,52.7,0.1,0.0,0.0,0
2015-10-09,42.3,33.4,53.2,0.1,0.0,0.0,0
2015-10-10,45.7,38.1,55.8,0.1,0.0,0.0,0
2015-10-11,44.1,35.8,53.2,0.1,0.0,0.0,0
2015-10-12,42.4,31.6,53.1,0.1,0.0,0.0,0
2015-10-13,44.1,34.2,52.7,0.1,0.0,0.0,0
2015-10-14,45.0,34.7,54.9,0.1,0.0,0.0,0
2015-10-15,43.7,35.6,55.0,0.1,0.0,0.0,0
2015-10-16,43.9,35.6,53.8,0.1,0.0,0.0,0
2015-10-17,41.9,34.3,53.8,0.1,0.0,0.0,0
2015-10-18,37.8,34.5,41.4,0.1,0.1,0.0,0
2015-10-19,34.5,30.6,38.5,0.2,0.5,0.0,0
2015-10-20,33.8,30.6,39.0,0.7,0.1,0.1,1
2015-10-21,33.3,28.8,40.8,0.8,0.0,0.1,1
2015-10-22,30.6,28.8,32.7,0.8,0.6,0.1,1
2015-10-23,27.9,20.3,36.9,1.4,0.1,0.5,4
2015-10-24,28.2,19.8,37.9,1.5,0.0,0.6,4
2015-10-25,32.9,25.2,42.6,1.5,0.1,0.6,4
2015-10-26,30.0,25.5,35.6,1.6,0.3,0.7,4
2015-10-27,23.0,11.8,32.5,1.9,0.0,0.9,6
2015-10-28,25.9,14.9,35.2,1.9,0.1,1.1,7
2015-10-29,28.8,23.7,37.4,2.0,0.0,1.1,6
2015-10-30,23.0,16.7,27.3,2.0,0.1,1.1,6
2015-10-31,27.7,22.1,33.4,2.1,0.1,1.3,8
2015-11-01,32.2,24.3,39.6,2.2,0.0,1.3,7
2015-11-02,35.2,29.1,45.3,2.2,0.0,1.3,7
2015-11-03,33.3,26.6,41.9,2.2,0.0,1.3,7
2015-11-04,23.5,17.6,27.9,2.2,0.7,1.3,7
2015-11-05,15.4,13.6,19.9,2.9,0.2,2.0,13
2015-11-06,12.7,4.5,16.3,3.1,0.2,2.2,14
2015-11-07,18.9,2.7,38.7,3.3,0.1,2.4,14
2015-11-08,23.7,15.8,36.9,3.4,0.1,2.4,14
2015-11-09,25.2,15.1,34.7,3.5,0.0,2.4,14
2015-11-10,24.3,15.6,30.9,3.5,0.5,2.4,14
2015-11-11,11.5,7.7,15.8,4.0,0.1,2.8,18
2015-11-12,13.6,6.1,20.3,4.1,0.1,3.3,21
2015-11-13,20.8,10.8,32.2,4.2,0.0,3.3,19
2015-11-14,26.6,20.1,39.2,4.2,0.0,3.3,18
2015-11-15,24.6,19.9,34.3,4.2,0.0,3.3,18
2015-11-16,19.9,15.1,25.0,4.2,0.7,3.3,17
2015-11-17,12.2,9.5,15.6,4.9,0.0,4.0,23
2015-11-18,16.3,13.1,19.2,4.9,0.1,4.2,23
2015-11-19,19.6,15.1,22.6,5.0,0.2,4.3,21
2015-11-20,15.8,-2.7,25.3,5.2,0.0,4.5,22
2015-11-21,10.8,-5.8,19.8,5.2,0.0,4.6,23
2015-11-22,23.2,15.6,31.8,5.2,0.1,4.6,22
2015-11-23,26.4,20.3,34.9,5.3,0.0,4.6,21
2015-11-24,24.4,19.4,30.9,5.3,0.0,4.6,21
2015-11-25,26.8,20.3,34.2,5.3,0.0,4.6,21
2015-11-26,16.3,9.1,24.6,5.3,0.0,4.6,20
2015-11-27,15.4,5.0,21.9,5.3,0.4,4.7,18
2015-11-28,9.9,3.0,17.6,5.7,0.1,5.0,25
2015-11-29,8.1,0.7,15.1,5.8,0.1,5.2,27
2015-11-30,-0.6,-5.1,5.9,5.9,0.1,5.3,28
2015-12-01,5.2,-0.6,10.6,6.0,0.1,5.4,27
2015-12-02,16.2,8.1,22.6,6.1,0.1,5.5,26
2015-12-03,19.9,9.7,26.6,6.2,0.0,5.5,24
2015-12-04,25.3,20.7,34.0,6.2,0.0,5.5,24
2015-12-05,12.4,2.8,21.4,6.2,0.0,5.5,23
2015-12-06,23.5,7.5,33.4,6.2,0.1,5.6,26
2015-12-07,25.0,18.3,30.6,6.3,0.2,5.6,25
2015-12-08,24.4,20.5,30.6,6.5,0.0,5.6,25
2015-12-09,27.5,20.8,36.0,6.5,0.0,5.6,24
2015-12-10,25.7,20.7,31.3,6.5,0.0,5.6,24
2015-12-11,20.7,18.7,24.3,6.5,0.6,5.7,24
2015-12-12,13.1,4.6,19.4,7.1,0.2,6.3,33
2015-12-13,14.9,3.4,24.6,7.3,0.1,6.5,33
2015-12-14,15.4,7.3,19.9,7.4,0.7,6.5,32
2015-12-15,2.8,-3.5,7.3,8.1,0.0,7.2,39
2015-12-16,1.2,-0.2,7.3,8.1,0.2,7.3,36
2015-12-17,-0.2,-2.6,4.5,8.3,0.4,7.4,36
2015-12-18,14.7,3.6,20.8,8.7,0.0,7.5,37
2015-12-19,21.9,17.1,30.0,8.7,0.0,7.7,35
2015-12-20,16.3,12.2,22.1,8.7,0.1,7.7,34
2015-12-21,13.8,11.5,16.3,8.8,0.9,7.9,36
2015-12-22,16.9,11.5,21.0,9.7,1.5,8.6,48
2015-12-23,5.0,-2.2,12.4,11.2,0.3,9.8,54
2015-12-24,0.7,-4.5,6.1,11.5,0.1,10.3,55
2015-12-25,6.3,-4.7,14.9,11.6,0.6,10.4,54
2015-12-26,-4.0,-11.9,7.5,12.2,0.0,11.1,57
2015-12-27,7.2,-4.2,20.7,12.2,0.1,11.1,54
2015-12-28,8.2,2.3,15.1,12.3,0.0,11.1,51
2015-12-29,6.6,3.4,14.5,12.3,0.1,11.1,50
2015-12-30,1.2,-5.1,6.1,12.4,0.1,11.1,50
2015-12-31,-2.9,-8.5,6.1,12.5,0.0,11.3,50
2016-01-01,4.6,-6.7,19.2,12.5,0.1,11.3,48
2016-01-02,14.4,1.2,25.0,12.6,0.1,11.3,47
2016-01-03,20.5,13.1,30.4,12.7,0.1,11.3,46
2016-01-04,22.5,14.9,33.3,12.8,0.0,11.3,45
2016-01-05,18.3,13.6,23.5,12.8,0.0,11.3,43
2016-01-06,19.6,14.7,26.8,12.8,0.1,11.3,44
2016-01-07,14.5,6.3,19.6,12.9,0.1,11.4,44
2016-01-08,10.4,5.0,17.2,13.0,0.0,11.5,46
2016-01-09,6.3,1.0,14.2,13.0,0.0,11.5,43
2016-01-10,2.8,-5.3,10.0,13.0,0.0,11.5,43
2016-01-11,8.8,1.2,14.7,13.0,0.0,11.6,45
2016-01-12,16.0,11.5,24.4,13.0,0.1,11.6,45
2016-01-13,19.4,12.7,28.2,13.1,0.0,11.6,44
2016-01-14,10.9,6.1,17.6,13.1,0.1,11.6,44
2016-01-15,8.6,4.6,15.6,13.2,0.2,11.7,46
2016-01-16,7.0,1.4,11.5,13.4,0.5,12.0,48
2016-01-17,13.6,10.2,19.6,13.9,0.3,12.4,52
2016-01-18,17.1,13.1,22.3,14.2,0.4,12.6,52
2016-01-19,14.7,11.1,24.6,14.6,0.0,12.8,55
2016-01-20,11.1,2.7,19.0,14.6,0.6,12.9,55
2016-01-21,8.8,4.5,16.0,15.2,0.0,13.5,59
2016-01-22,21.0,14.9,30.4,15.2,0.1,13.5,58
2016-01-23,23.7,16.7,32.9,15.3,0.0,13.6,56
2016-01-24,14.4,7.0,19.9,15.3,0.1,13.6,54
2016-01-25,5.9,-4.0,16.3,15.4,0.0,13.7,55
2016-01-26,7.5,-1.3,17.6,15.4,0.0,13.7,54
2016-01-27,20.1,13.1,26.4,15.4,0.1,13.7,53
2016-01-28,23.0,16.0,33.3,15.5,0.0,13.7,49
2016-01-29,20.3,16.7,24.3,15.5,0.2,13.8,52
2016-01-30,20.8,7.5,28.8,15.7,0.7,13.9,52
2016-01-31,11.1,1.4,18.9,16.4,0.6,14.6,59
2016-02-01,11.3,-1.5,20.1,17.0,0.3,15.1,63
2016-02-02,-0.4,-8.5,10.0,17.3,0.0,15.6,67
2016-02-03,-5.4,-9.4,1.2,17.3,0.0,15.7,64
2016-02-04,2.7,-5.6,11.3,17.3,0.2,15.7,64
2016-02-05,4.1,-2.0,11.3,17.5,0.1,15.8,63
2016-02-06,15.8,7.5,23.9,17.6,0.1,15.9,62
2016-02-07,15.3,11.8,20.1,17.7,0.0,15.9,61
2016-02-08,19.4,11.7,28.8,17.7,0.0,16.0,60
2016-02-09,25.3,16.2,34.0,17.7,0.0,16.0,59
2016-02-10,28.8,21.6,38.5,17.7,0.0,16.0,58
2016-02-11,27.9,21.7,35.6,17.7,0.0,16.0,57
2016-02-12,30.7,24.3,39.9,17.7,0.0,16.0,57
2016-02-13,27.1,16.0,33.8,17.7,0.0,16.0,56
2016-02-14,18.9,16.3,24.3,17.7,0.2,16.0,56
2016-02-15,21.6,17.2,26.4,17.9,0.0,16.2,57
2016-02-16,22.6,19.4,27.9,17.9,0.0,16.2,57
2016-02-17,32.2,21.6,43.5,17.9,0.1,16.2,56
2016-02-18,23.9,9.9,33.1,18.0,0.5,16.3,55
2016-02-19,20.5,7.2,30.6,18.5,0.1,16.9,60
2016-02-20,23.0,14.7,31.8,18.6,0.0,16.9,59
2016-02-21,21.2,10.8,30.4,18.6,0.0,16.9,58
2016-02-22,13.8,6.3,21.7,18.6,0.0,16.9,58
2016-02-23,10.0,2.7,20.3,18.6,0.0,16.9,58
2016-02-24,14.2,4.1,21.4,18.6,0.0,16.9,58
2016-02-25,21.4,13.3,31.3,18.6,0.0,16.9,57
2016-02-26,26.2,16.9,38.1,18.6,0.1,17.0,57
2016-02-27,28.0,17.1,37.8,18.7,0.0,17.0,56
2016-02-28,23.4,13.6,33.8,18.7,0.0,17.0,56
2016-02-29,21.9,15.4,30.2,18.7,0.0,17.0,56
2016-03-01,22.3,12.2,29.8,18.7,0.0,17.0,56
2016-03-02,24.4,17.6,29.7,18.7,0.1,17.1,55
2016-03-03,27.9,14.5,37.2,18.8,0.0,17.3,56
2016-03-04,28.2,22.5,36.3,18.8,0.0,17.3,55
2016-03-05,30.7,23.0,44.2,18.8,0.1,17.3,55
2016-03-06,26.8,22.5,30.6,18.9,0.5,17.3,55
2016-03-07,18.0,7.9,25.2,19.4,0.3,17.8,58
2016-03-08,14.5,5.9,27.9,19.7,0.0,18.1,62
2016-03-09,16.5,7.0,24.8,19.7,0.3,18.2,60
2016-03-10,25.5,12.9,36.7,20.0,0.0,18.2,62
2016-03-11,32.7,23.0,46.0,20.0,0.0,18.3,60
2016-03-12,29.7,23.0,38.1,20.0,0.0,18.3,58
2016-03-13,26.2,18.0,34.5,20.0,0.2,18.3,58
2016-03-14,19.9,10.0,26.4,20.2,0.5,18.3,59
2016-03-15,10.6,5.4,16.5,20.7,0.2,19.0,64
2016-03-16,12.4,3.0,18.9,20.9,0.3,19.3,66
2016-03-17,16.9,10.0,24.4,21.2,0.0,19.6,68
2016-03-18,12.7,7.5,19.9,21.2,0.0,19.6,66
2016-03-19,14.0,5.7,23.0,21.2,0.0,19.6,65
2016-03-20,27.0,16.2,35.6,21.2,0.2,19.6,64
2016-03-21,34.0,27.1,41.4,21.4,0.1,19.6,62
2016-03-22,26.4,13.5,34.7,21.5,0.0,19.6,61
2016-03-23,13.3,10.9,18.3,21.5,0.0,19.7,61
2016-03-24,16.3,8.1,23.5,21.5,0.1,19.9,63
2016-03-25,13.3,1.2,21.2,21.6,0.0,20.0,63
2016-03-26,8.2,0.3,21.2,21.6,0.0,20.1,64
2016-03-27,17.6,0.3,27.9,21.6,0.1,20.1,64
2016-03-28,28.4,19.8,39.6,21.7,0.2,20.1,63
2016-03-29,21.7,10.4,35.2,21.9,0.3,20.1,62
2016-03-30,13.3,6.4,21.9,22.2,0.2,20.6,68
2016-03-31,13.5,3.7,27.5,22.4,0.1,20.8,69
2016-04-01,13.5,2.1,27.0,22.5,0.1,20.9,67
2016-04-02,23.9,10.2,38.7,22.6,0.1,20.9,67
2016-04-03,29.1,21.2,39.0,22.7,0.0,21.0,64
2016-04-04,34.3,24.6,44.1,22.7,0.0,20.9,63
2016-04-05,24.4,16.0,33.8,22.7,0.0,20.7,62
2016-04-06,28.0,14.4,38.1,22.7,0.0,20.7,62
2016-04-07,32.7,22.6,44.6,22.7,0.0,20.5,61
2016-04-08,36.3,23.7,47.8,22.7,0.1,20.2,60
2016-04-09,30.7,28.2,37.2,22.8,0.2,20.0,59
2016-04-10,29.3,21.9,37.8,23.0,0.5,20.2,59
2016-04-11,30.4,23.5,40.1,23.5,0.0,20.7,63
2016-04-12,30.6,24.6,43.9,23.5,0.1,20.8,62
2016-04-13,35.1,27.0,47.5,23.6,0.1,20.9,61
2016-04-14,33.8,23.0,46.8,23.7,0.0,21.0,61
2016-04-15,23.2,19.8,32.2,23.7,0.7,21.0,61
2016-04-16,18.3,14.4,23.2,24.4,0.2,21.7,67
2016-04-17,18.3,10.0,30.4,24.6,0.1,22.1,73
2016-04-18,19.0,11.3,26.8,24.7,0.2,22.3,72
2016-04-19,21.4,9.1,33.8,24.9,0.2,22.6,74
2016-04-20,27.9,19.4,36.5,25.1,0.0,22.7,72
2016-04-21,33.4,21.6,46.4,25.1,0.0,22.7,69
2016-04-22,41.2,29.5,55.4,25.1,0.1,22.4,66
2016-04-23,32.5,21.6,46.8,25.2,0.3,22.3,64
2016-04-24,27.5,20.7,37.0,25.5,0.1,22.7,66
2016-04-25,29.3,18.7,43.5,25.6,0.4,22.9,66
2016-04-26,21.6,17.1,30.0,26.0,0.5,23.2,67
2016-04-27,23.9,18.3,33.3,26.5,0.1,23.6,70
2016-04-28,25.7,17.4,38.1,26.6,0.9,23.7,67
2016-04-29,24.8,18.3,30.9,27.5,0.1,24.5,75
2016-04-30,21.7,14.5,31.6,27.6,0.2,24.7,75
2016-05-01,23.9,12.0,37.0,27.8,0.2,25.0,78
2016-05-02,28.0,17.1,41.2,28.0,0.0,25.2,75
2016-05-03,34.0,23.5,45.7,28.0,0.0,24.9,71
2016-05-04,40.5,27.5,52.0,28.0,0.0,24.5,69
2016-05-05,44.8,33.4,57.0,28.0,0.0,24.3,68
2016-05-06,41.0,29.5,55.6,28.0,0.0,24.2,67
2016-05-07,28.8,23.5,39.2,28.0,0.2,24.0,65
2016-05-08,27.5,23.9,35.6,28.2,0.5,24.2,67
2016-05-09,31.3,25.9,37.9,28.7,1.2,24.7,69
2016-05-10,27.5,19.6,39.2,29.9,0.3,25.6,71
2016-05-11,25.2,15.3,35.1,30.2,0.0,25.8,72
2016-05-12,34.3,22.5,44.6,30.2,0.1,25.8,71
2016-05-13,42.3,31.6,52.9,30.3,0.0,25.6,69
2016-05-14,45.0,38.1,57.0,30.3,0.0,25.2,68
2016-05-15,36.7,28.2,47.3,30.3,0.2,24.8,66
2016-05-16,30.9,25.0,40.3,30.5,0.6,24.8,64
2016-05-17,32.5,25.2,46.2,31.1,0.2,25.3,67
2016-05-18,33.4,24.6,45.3,31.3,0.1,25.4,64
2016-05-19,37.9,29.5,48.6,31.4,0.1,25.3,64
2016-05-20,41.4,32.2,51.8,31.5,0.0,24.9,64
2016-05-21,43.9,36.9,54.1,31.5,0.0,24.6,64
2016-05-22,35.8,25.5,46.8,31.5,0.0,24.1,63
2016-05-23,34.2,21.4,44.8,31.5,0.0,23.7,62
2016-05-24,38.8,28.8,49.8,31.5,0.0,23.5,61
2016-05-25,35.6,27.5,45.3,31.5,0.0,22.9,58
2016-05-26,35.1,27.5,49.5,31.5,0.0,22.6,58
2016-05-27,30.7,27.0,39.9,31.5,0.0,22.1,58
2016-05-28,34.7,26.2,46.2,31.5,0.1,22.1,57
2016-05-29,39.9,30.7,52.9,31.6,0.1,22.0,57
2016-05-30,40.6,32.5,50.0,31.7,0.0,21.4,55
2016-05-31,40.1,30.2,49.3,31.7,0.0,21.0,54
2016-06-01,42.6,30.6,53.6,31.7,0.0,20.6,53
2016-06-02,46.4,35.2,55.2,31.7,0.0,19.9,52
2016-06-03,47.1,40.6,53.8,31.7,0.0,19.0,48
2016-06-04,49.3,36.9,61.2,31.7,0.0,18.1,46
2016-06-05,50.4,41.2,61.0,31.7,0.0,17.0,44
2016-06-06,47.7,39.0,64.9,31.7,0.0,16.1,42
2016-06-07,50.2,39.2,61.0,31.7,0.0,15.5,41
2016-06-08,47.5,40.1,57.6,31.7,0.0,14.5,37
2016-06-09,50.0,43.9,63.3,31.7,0.1,14.0,36
2016-06-10,53.4,44.8,63.7,31.8,0.0,13.2,34
2016-06-11,50.0,38.7,64.8,31.8,0.1,12.1,32
2016-06-12,47.5,39.2,59.9,31.9,0.0,11.1,28
2016-06-13,41.0,31.5,51.1,31.9,0.0,10.2,27
2016-06-14,41.7,30.9,51.8,31.9,0.1,9.5,24
2016-06-15,49.5,38.1,59.4,32.0,0.0,8.7,23
2016-06-16,48.4,40.5,57.9,32.0,0.0,7.6,21
2016-06-17,52.2,40.1,63.3,32.0,0.0,6.5,19
2016-06-18,55.6,41.9,66.9,32.0,0.0,5.3,17
2016-06-19,57.4,47.1,67.6,32.0,0.0,4.1,15
2016-06-20,61.5,48.0,72.7,32.0,0.0,2.4,10
2016-06-21,60.1,49.5,72.5,32.0,0.0,1.1,6
2016-06-22,53.8,43.9,70.2,32.0,0.0,0.4,1
2016-06-23,53.1,43.5,64.4,32.0,0.0,0.0,0
2016-06-24,54.3,42.8,65.5,32.0,0.0,0.0,0
2016-06-25,52.9,42.3,63.3,32.0,0.0,0.0,0
2016-06-26,54.9,44.6,64.0,32.0,0.0,0.0,0
2016-06-27,56.5,45.0,66.9,32.0,0.0,0.0,0
2016-06-28,58.5,47.5,69.1,32.0,0.0,0.0,0
2016-06-29,53.4,43.9,64.8,32.0,0.0,0.0,0
2016-06-30,,,,32.0,0.7,0.0,0
2016-07-01,45.7,41.4,51.4,32.7,0.1,0.0,0
2016-07-02,45.7,40.1,54.0,32.8,0.2,0.0,0
2016-07-03,47.8,39.9,57.2,33.0,0.0,0.0,0
2016-07-04,52.7,43.5,61.5,33.0,0.0,0.0,0
2016-07-05,54.1,44.1,63.1,33.0,0.0,0.0,0
2016-07-06,55.0,47.5,64.2,33.0,0.0,0.0,0
2016-07-07,54.0,47.1,63.0,33.0,0.0,0.0,0
2016-07-08,56.8,47.5,66.9,33.0,0.0,0.0,0
2016-07-09,57.0,47.5,66.6,33.0,0.0,0.0,0
2016-07-10,57.0,48.0,66.0,33.0,0.0,0.0,0
2016-07-11,49.3,42.6,57.6,33.0,0.0,0.0,0
2016-07-12,53.2,43.7,61.9,33.0,0.0,0.0,0
2016-07-13,54.7,44.4,65.1,33.0,0.0,0.0,0
2016-07-14,54.3,40.8,64.9,33.0,0.0,0.0,0
2016-07-15,56.5,45.3,67.5,33.0,0.0,0.0,0
2016-07-16,57.9,50.4,68.5,33.0,0.0,0.0,0
2016-07-17,58.3,48.9,68.0,33.0,0.0,0.0,0
2016-07-18,53.8,45.5,62.2,33.0,0.0,0.0,0
2016-07-19,52.5,45.7,61.3,33.0,0.0,0.0,0
2016-07-20,53.6,43.0,65.3,33.0,0.0,0.0,0
2016-07-21,50.9,44.6,61.3,33.0,0.7,0.0,0
2016-07-22,53.6,44.6,64.2,33.7,0.0,0.0,0
2016-07-23,57.0,50.0,67.1,33.7,0.0,0.0,0
2016-07-24,56.5,45.0,66.9,33.7,0.0,0.0,0
2016-07-25,58.5,49.5,69.1,33.7,0.0,0.0,0
2016-07-26,54.1,47.1,67.6,33.7,0.0,0.0,0
2016-07-27,58.5,46.6,68.0,33.7,0.0,0.0,0
2016-07-28,60.1,49.1,70.0,33.7,0.0,0.0,0
2016-07-29,58.6,50.4,67.3,33.7,0.1,0.0,0
2016-07-30,58.5,48.9,68.2,33.8,0.0,0.0,0
2016-07-31,52.0,42.8,65.3,33.8,0.0,0.0,0
2016-08-01,54.0,43.5,66.0,33.8,0.0,0.0,0
2016-08-02,54.9,49.3,64.4,33.8,0.0,0.0,0
2016-08-03,55.9,48.0,64.4,33.8,0.0,0.0,0
2016-08-04,47.1,43.9,52.2,33.8,0.3,0.0,0
2016-08-05,48.4,45.0,52.9,34.1,0.0,0.0,0
2016-08-06,48.2,43.0,59.0,34.1,0.4,0.0,0
2016-08-07,52.5,42.1,63.7,34.5,0.0,0.0,0
2016-08-08,51.1,42.3,61.2,34.5,0.0,0.0,0
2016-08-09,54.1,46.6,64.4,34.5,0.0,0.0,0
2016-08-10,49.8,41.4,61.9,34.5,0.4,0.0,0
2016-08-11,47.5,40.1,59.2,34.9,0.0,0.0,0
2016-08-12,47.8,39.4,57.6,34.9,0.0,0.0,0
2016-08-13,50.4,41.4,61.3,34.9,0.0,0.0,0
2016-08-14,53.1,41.9,63.3,34.9,0.0,0.0,0
2016-08-15,53.6,45.0,64.9,34.9,0.0,0.0,0
2016-08-16,49.6,43.9,58.8,34.9,0.0,0.0,0
2016-08-17,48.6,42.4,58.3,34.9,0.1,0.0,0
2016-08-18,46.8,37.9,58.5,35.0,0.0,0.0,0
2016-08-19,48.0,38.7,58.3,35.0,0.0,0.0,0
2016-08-20,48.0,39.2,57.2,35.0,0.1,0.0,0
2016-08-21,52.5,39.0,63.1,35.1,0.0,0.0,0
2016-08-22,48.2,41.9,61.2,35.1,0.0,0.0,0
2016-08-23,42.3,36.0,57.0,35.1,0.5,0.0,0
2016-08-24,42.6,36.0,54.1,35.6,0.2,0.0,0
