Date,Brumley (369) Air Temperature Average (degF),Brumley (369) Air Temperature Minimum (degF),Brumley (369) Air Temperature Maximum (degF),Brumley (369) Precipitation Accumulation (in) Start of Day Values,Brumley (369) Precipitation Increment (in),Brumley (369) Snow Water Equivalent (in) Start of Day Values,Brumley (369) Snow Depth (in) Start of Day Values
2015-10-01,47.7,34.5,68.0,0.0,0.0,0.0,0
2015-10-02,43.9,32.2,61.3,0.0,0.0,0.0,0
2015-10-03,40.1,26.4,56.7,0.0,0.0,0.0,0
2015-10-04,38.7,24.3,57.2,0.0,0.0,0.0,0
2015-10-05,39.0,28.8,54.1,0.0,0.0,0.0,0
2015-10-06,41.0,31.8,57.0,0.0,0.0,0.0,0
2015-10-07,38.8,27.5,55.0,0.0,0.0,0.0,0
2015-10-08,40.3,25.2,60.1,0.0,0.0,0.0,0
2015-10-09,42.4,26.6,62.2,0.0,0.0,0.0,0
2015-10-10,43.9,30.4,64.8,0.0,0.0,0.0,0
2015-10-11,43.9,31.5,59.5,0.0,0.0,0.0,0
2015-10-12,42.6,28.2,61.2,0.0,0.0,0.0,0
2015-10-13,41.9,29.1,61.7,0.0,0.0,0.0,0
2015-10-14,41.4,27.9,63.1,0.0,0.0,0.0,0
2015-10-15,40.8,25.2,63.5,0.0,0.0,0.0,0
2015-10-16,39.9,22.6,61.5,0.0,0.0,0.0,0
2015-10-17,41.0,27.3,57.7,0.0,0.0,0.0,0
2015-10-18,41.2,32.0,53.6,0.0,0.0,0.0,0
2015-10-19,37.9,28.8,47.5,0.0,0.0,0.0,0
2015-10-20,36.5,27.9,52.9,0.0,0.0,0.0,0
2015-10-21,35.6,30.6,40.6,0.0,0.1,0.0,0
2015-10-22,32.0,30.2,36.5,0.1,0.6,0.0,0
2015-10-23,31.3,19.0,40.1,0.7,0.0,0.6,5
2015-10-24,25.7,14.9,46.0,0.7,0.0,0.6,4
2015-10-25,32.9,20.3,51.8,0.7,0.0,0.6,2
2015-10-26,31.8,21.0,41.9,0.7,0.0,0.5,1
2015-10-27,24.8,10.6,38.1,0.7,0.1,0.4,1
2015-10-28,29.1,14.0,41.9,0.8,0.1,0.5,2
2015-10-29,30.7,19.8,43.9,0.9,0.0,0.6,3
2015-10-30,26.4,16.2,34.9,0.9,0.0,0.6,2
2015-10-31,30.7,22.6,43.5,0.9,0.0,0.7,4
2015-11-01,32.0,21.0,48.4,0.9,0.0,0.7,3
2015-11-02,34.3,21.9,53.1,0.9,0.0,0.7,3
2015-11-03,34.5,18.3,49.1,0.9,0.0,0.7,2
2015-11-04,27.7,13.6,35.1,0.9,0.3,0.7,2
2015-11-05,16.2,7.9,24.1,1.2,0.2,1.0,7
2015-11-06,13.8,-1.1,23.5,1.4,0.0,1.2,9
2015-11-07,15.1,-6.3,43.5,1.4,0.2,1.2,8
2015-11-08,23.0,8.6,50.2,1.6,0.0,1.3,8
2015-11-09,23.7,9.7,44.8,1.6,0.1,1.3,7
2015-11-10,27.9,13.5,40.5,1.7,0.2,1.3,7
2015-11-11,13.6,3.6,19.0,1.9,0.1,1.7,11
2015-11-12,15.3,3.4,34.9,2.0,0.0,1.9,13
2015-11-13,17.4,3.0,41.7,2.0,0.0,1.9,12
2015-11-14,21.4,7.7,48.2,2.0,0.0,1.9,11
2015-11-15,20.8,7.7,40.5,2.0,0.1,1.9,11
2015-11-16,23.0,18.0,34.3,2.1,0.3,1.9,10
2015-11-17,17.1,13.8,23.0,2.4,0.0,2.4,14
2015-11-18,21.0,17.2,27.1,2.4,0.1,2.5,16
2015-11-19,24.1,14.4,32.2,2.5,0.2,2.7,17
2015-11-20,23.0,2.5,31.6,2.7,0.0,2.7,14
2015-11-21,12.7,-4.5,29.1,2.7,0.2,2.7,16
2015-11-22,19.2,5.4,40.5,2.9,0.0,2.7,14
2015-11-23,20.5,8.1,43.0,2.9,0.0,2.7,14
2015-11-24,22.3,9.0,40.1,2.9,0.1,2.7,15
2015-11-25,29.8,14.5,39.4,3.0,0.1,2.7,14
2015-11-26,23.5,9.9,32.4,3.1,0.0,2.8,13
2015-11-27,8.2,5.7,12.9,3.1,0.0,2.8,14
2015-11-28,13.6,1.4,25.7,3.1,0.2,3.0,20
2015-11-29,15.6,7.0,23.9,3.3,0.0,3.2,20
2015-11-30,5.9,3.6,9.7,3.3,0.0,3.2,19
2015-12-01,7.5,-2.7,17.8,3.3,0.0,3.2,19
2015-12-02,14.2,-2.0,31.6,3.3,0.3,3.2,18
2015-12-03,19.2,5.9,35.6,3.6,0.0,3.3,18
2015-12-04,23.7,7.2,42.3,3.6,0.0,3.3,17
2015-12-05,16.0,-3.1,25.0,3.6,0.0,3.3,17
2015-12-06,19.0,-1.3,44.1,3.6,0.0,3.3,18
2015-12-07,28.0,8.6,42.1,3.6,0.1,3.3,17
2015-12-08,29.3,24.8,36.7,3.7,0.0,3.3,17
2015-12-09,35.1,23.5,46.8,3.7,0.0,3.3,17
2015-12-10,32.4,14.4,41.0,3.7,0.0,3.3,16
2015-12-11,28.8,23.7,34.2,3.7,0.0,3.3,16
2015-12-12,20.8,10.9,27.3,3.7,0.1,3.3,16
2015-12-13,14.5,-2.6,34.3,3.8,0.1,3.7,22
2015-12-14,17.6,4.3,26.2,3.9,0.1,3.7,21
2015-12-15,7.7,0.3,12.6,4.0,0.0,3.8,22
2015-12-16,4.3,-7.1,12.4,4.0,0.0,3.9,22
2015-12-17,3.4,-1.5,15.1,4.0,0.2,3.9,22
2015-12-18,18.9,7.2,33.3,4.2,0.1,4.0,23
2015-12-19,21.6,5.0,38.5,4.3,0.1,4.0,22
2015-12-20,18.0,4.3,28.8,4.4,0.0,4.1,22
2015-12-21,18.0,10.4,25.7,4.4,0.1,4.1,22
2015-12-22,21.9,15.3,29.8,4.5,0.1,4.2,23
2015-12-23,10.4,0.7,21.0,4.6,0.0,4.5,25
2015-12-24,2.3,-17.0,14.7,4.6,0.3,4.7,27
2015-12-25,7.9,-7.8,18.3,4.9,0.0,4.8,27
2015-12-26,-6.5,-19.3,12.0,4.9,0.0,4.8,28
2015-12-27,0.3,-18.4,29.1,4.9,0.3,4.8,27
2015-12-28,6.3,-6.2,27.1,5.2,0.0,4.8,27
2015-12-29,0.3,-10.5,22.5,5.2,0.0,4.8,26
2015-12-30,-0.6,-11.6,15.4,5.2,0.0,4.8,26
2015-12-31,-1.3,-17.0,15.4,5.2,0.0,4.8,26
2016-01-01,-2.9,-19.1,29.1,5.2,0.0,4.8,26
2016-01-02,9.3,-11.2,34.3,5.2,0.1,4.8,26
2016-01-03,16.2,2.8,37.2,5.3,0.0,4.8,26
2016-01-04,18.7,5.0,38.1,5.3,0.1,4.8,26
2016-01-05,17.4,7.0,32.5,5.4,0.0,4.8,25
2016-01-06,17.6,3.6,31.6,5.4,0.0,4.8,25
2016-01-07,14.0,-3.3,26.2,5.4,0.0,4.8,25
2016-01-08,7.2,-8.1,20.8,5.4,0.0,4.8,26
2016-01-09,9.9,-6.9,19.6,5.4,0.0,4.8,25
2016-01-10,-1.5,-13.7,16.0,5.4,0.0,4.8,26
2016-01-11,8.1,-9.2,25.7,5.4,0.0,4.8,26
2016-01-12,15.8,1.0,34.7,5.4,0.0,4.8,26
2016-01-13,19.4,3.6,37.0,5.4,0.0,4.8,26
2016-01-14,12.2,0.7,18.9,5.4,0.0,4.8,26
2016-01-15,11.3,0.7,19.0,5.4,0.2,4.8,27
2016-01-16,11.5,5.7,18.0,5.6,0.1,5.0,28
2016-01-17,15.6,8.8,20.5,5.7,0.2,5.3,29
2016-01-18,23.7,11.7,34.9,5.9,0.1,5.7,36
2016-01-19,15.4,-0.4,30.6,6.0,0.0,5.8,33
2016-01-20,14.0,-1.8,22.5,6.0,0.3,5.8,34
2016-01-21,11.7,4.3,26.4,6.3,0.0,6.1,36
2016-01-22,18.9,7.0,39.6,6.3,0.1,6.1,35
2016-01-23,22.6,7.0,44.2,6.4,0.0,6.1,34
2016-01-24,15.3,1.4,32.4,6.4,0.1,6.1,33
2016-01-25,8.2,-6.0,19.9,6.5,0.0,6.3,36
2016-01-26,3.6,-11.2,22.1,6.5,0.1,6.3,35
2016-01-27,17.4,2.3,38.1,6.6,0.1,6.3,35
2016-01-28,21.4,7.3,42.4,6.7,0.0,6.3,34
