Date,Burro Mountain (378) Air Temperature Average (degF),Burro Mountain (378) Air Temperature Minimum (degF),Burro Mountain (378) Air Temperature Maximum (degF),Burro Mountain (378) Precipitation Accumulation (in) Start of Day Values,Burro Mountain (378) Precipitation Increment (in),Burro Mountain (378) Snow Water Equivalent (in) Start of Day Values,Burro Mountain (378) Snow Depth (in) Start of Day Values
2015-10-01,57.7,46.9,69.6,0.0,0.0,0.0,0
2015-10-02,52.9,38.3,63.3,0.0,0.0,0.0,0
2015-10-03,47.1,39.2,58.1,0.0,0.0,0.0,0
2015-10-04,48.4,39.7,60.1,0.0,0.0,0.0,0
2015-10-05,46.0,42.1,54.5,0.0,0.0,0.0,0
2015-10-06,46.6,38.7,55.4,0.0,0.0,0.0,0
2015-10-07,45.5,35.4,59.0,0.0,0.0,0.0,0
2015-10-08,46.6,34.9,58.5,0.0,0.0,0.0,0
2015-10-09,47.7,38.5,60.3,0.0,0.0,0.0,0
2015-10-10,51.6,37.6,65.8,0.0,0.0,0.0,0
2015-10-11,50.7,40.5,63.3,0.0,0.0,0.0,0
2015-10-12,47.7,35.1,62.6,0.0,0.0,0.0,0
2015-10-13,48.4,36.9,63.0,0.0,0.0,0.0,0
2015-10-14,49.6,37.8,64.8,0.0,0.0,0.0,0
2015-10-15,50.0,36.7,63.3,0.0,0.0,0.0,0
2015-10-16,51.4,40.3,64.6,0.0,0.0,0.0,0
2015-10-17,48.6,41.0,61.3,0.0,0.0,0.0,0
2015-10-18,47.5,42.8,53.6,0.0,0.0,0.0,0
2015-10-19,44.6,37.2,51.3,0.0,0.1,0.0,0
2015-10-20,41.5,35.1,50.4,0.1,0.3,0.0,0
2015-10-21,40.5,34.2,48.0,0.4,0.1,0.0,0
2015-10-22,35.6,34.0,39.4,0.5,0.8,0.0,0
2015-10-23,36.0,30.2,45.3,1.3,0.3,0.7,3
2015-10-24,36.0,27.5,50.4,1.6,0.0,0.3,2
2015-10-25,41.2,33.4,50.4,1.6,0.0,0.0,0
2015-10-26,38.5,34.9,46.2,1.6,0.1,0.0,0
2015-10-27,32.7,22.5,44.1,1.7,0.1,0.0,0
2015-10-28,31.5,21.2,43.0,1.8,0.1,0.2,1
2015-10-29,36.0,28.9,45.1,1.9,0.0,0.2,1
2015-10-30,30.9,25.9,36.5,1.9,0.3,0.2,1
2015-10-31,36.5,29.7,46.2,2.2,0.1,0.4,3
2015-11-01,41.7,31.3,52.0,2.3,0.0,0.4,2
