Date,Butte (380) Air Temperature Average (degF),Butte (380) Air Temperature Minimum (degF),Butte (380) Air Temperature Maximum (degF),Butte (380) Precipitation Accumulation (in) Start of Day Values,Butte (380) Precipitation Increment (in),Butte (380) Snow Water Equivalent (in) Start of Day Values,Butte (380) Snow Depth (in) Start of Day Values
2015-10-01,55.0,45.7,67.8,0.0,0.0,0.0,0
2015-10-02,49.8,39.0,62.6,0.0,0.1,0.0,0
2015-10-03,44.8,34.0,58.3,0.1,0.0,0.0,0
2015-10-04,46.2,37.8,60.8,0.1,0.0,0.0,0
2015-10-05,42.8,37.9,50.2,0.1,0.2,0.0,0
2015-10-06,42.4,34.9,55.0,0.3,0.1,0.0,0
2015-10-07,43.2,35.8,53.6,0.4,0.0,0.0,0
2015-10-08,47.3,37.2,61.2,0.4,0.0,0.0,0
2015-10-09,47.8,38.5,61.7,0.4,0.0,0.0,0
2015-10-10,50.0,38.8,66.2,0.4,0.0,0.0,0
2015-10-11,50.2,43.9,62.8,0.4,0.0,0.0,0
2015-10-12,50.2,40.5,64.9,0.4,0.0,0.0,0
2015-10-13,51.1,41.9,65.1,0.4,0.0,0.0,0
2015-10-14,50.9,39.9,66.2,0.4,0.0,0.0,0
2015-10-15,49.6,39.6,64.4,0.4,0.0,0.0,0
2015-10-16,46.6,37.0,61.7,0.4,0.0,0.0,0
2015-10-17,43.5,38.3,55.4,0.4,0.0,0.0,0
2015-10-18,42.3,39.0,48.2,0.4,0.1,0.0,0
2015-10-19,39.0,33.3,46.0,0.5,0.3,0.0,0
2015-10-20,38.8,33.1,48.6,0.8,0.1,0.0,0
2015-10-21,37.4,32.5,45.3,0.9,0.0,0.0,0
2015-10-22,32.5,30.4,35.6,0.9,0.6,0.0,0
2015-10-23,32.5,26.8,41.7,1.5,0.0,0.4,1
2015-10-24,33.1,23.7,45.7,1.5,0.0,0.4,3
2015-10-25,38.5,30.4,50.9,1.5,0.0,0.4,2
2015-10-26,34.2,28.0,42.1,1.5,0.1,0.4,1
2015-10-27,29.1,20.8,42.1,1.6,0.2,0.3,1
2015-10-28,31.5,19.0,42.3,1.8,0.0,0.3,1
2015-10-29,34.3,28.8,42.6,1.8,0.0,0.3,1
