Date,Cascade (386) Air Temperature Average (degF),Cascade (386) Air Temperature Minimum (degF),Cascade (386) Air Temperature Maximum (degF),Cascade (386) Precipitation Accumulation (in) Start of Day Values,Cascade (386) Precipitation Increment (in),Cascade (386) Snow Water Equivalent (in) Start of Day Values,Cascade (386) Snow Depth (in) Start of Day Values
2015-10-01,56.7,45.0,72.7,0.0,0.0,0.0,0
2015-10-02,54.0,44.2,66.0,0.0,0.0,0.0,0
2015-10-03,46.9,35.8,60.4,0.0,0.1,0.0,0
2015-10-04,46.2,37.4,60.1,0.1,0.2,0.0,0
2015-10-05,44.1,37.0,53.6,0.3,1.7,0.0,0
2015-10-06,44.6,37.0,58.8,2.0,0.1,0.0,0
2015-10-07,44.6,38.3,56.3,2.1,0.0,0.0,0
2015-10-08,50.4,37.4,68.4,2.1,0.0,0.0,0
2015-10-09,49.6,37.9,63.3,2.1,0.0,0.0,0
2015-10-10,50.4,38.7,68.4,2.1,0.0,0.0,0
2015-10-11,51.3,39.6,69.1,2.1,0.0,0.0,0
2015-10-12,51.1,38.8,70.3,2.1,0.0,0.0,0
2015-10-13,52.0,38.3,73.0,2.1,0.0,0.0,0
2015-10-14,52.2,39.4,70.0,2.1,0.0,0.0,0
2015-10-15,51.3,37.6,70.3,2.1,0.0,0.0,0
2015-10-16,48.2,39.0,62.1,2.1,0.0,0.0,0
2015-10-17,45.7,37.4,57.4,2.1,0.1,0.0,0
2015-10-18,45.7,40.3,54.7,2.2,0.9,0.0,0
2015-10-19,44.2,39.7,54.5,3.1,0.6,0.0,0
2015-10-20,41.2,33.8,54.7,3.7,0.4,0.0,0
2015-10-21,39.9,33.8,51.3,4.1,0.0,0.0,0
2015-10-22,37.8,34.3,41.0,4.1,0.4,0.0,0
2015-10-23,39.2,31.3,52.9,4.5,0.0,0.1,1
2015-10-24,41.5,30.4,55.8,4.5,0.0,0.0,0
2015-10-25,42.6,32.9,55.0,4.5,0.0,0.0,0
2015-10-26,38.8,30.2,50.5,4.5,0.0,0.0,0
2015-10-27,39.4,29.3,53.6,4.5,0.0,0.0,0
2015-10-28,38.1,27.1,50.5,4.5,0.0,0.0,0
2015-10-29,38.1,32.2,49.6,4.5,0.1,0.1,1
2015-10-30,38.5,30.6,50.4,4.6,0.0,0.1,1
2015-10-31,41.4,30.7,59.4,4.6,0.0,0.1,1
2015-11-01,42.6,30.7,63.7,4.6,0.0,0.1,1
2015-11-02,41.5,31.8,58.1,4.6,0.0,0.1,1
2015-11-03,41.5,29.8,51.8,4.6,0.0,0.1,1
2015-11-04,31.3,25.7,37.0,4.6,1.4,0.2,1
2015-11-05,27.0,20.8,41.7,6.0,0.0,0.9,8
2015-11-06,27.5,17.1,42.4,6.0,0.0,0.8,6
2015-11-07,27.3,14.0,45.5,6.0,0.0,0.7,5
2015-11-08,30.2,18.1,48.4,6.0,0.0,0.7,4
2015-11-09,33.3,22.3,48.2,6.0,0.0,0.8,3
2015-11-10,31.6,23.5,44.1,6.0,0.2,0.9,3
2015-11-11,26.2,16.0,41.4,6.2,0.2,0.9,5
2015-11-12,28.4,15.1,46.6,6.4,0.0,0.9,5
2015-11-13,32.2,19.8,51.4,6.4,0.0,1.2,5
2015-11-14,33.1,21.6,52.5,6.4,0.0,1.2,3
2015-11-15,32.7,23.7,46.4,6.4,0.3,1.2,3
2015-11-16,27.9,22.1,33.8,6.7,1.0,1.2,8
2015-11-17,28.6,21.0,37.6,7.7,0.0,1.9,13
2015-11-18,28.0,18.9,41.4,7.7,0.0,1.9,13
2015-11-19,30.9,18.5,48.6,7.7,0.0,1.9,12
2015-11-20,33.8,22.8,47.7,7.7,0.0,1.9,11
2015-11-21,28.2,16.0,46.6,7.7,0.0,1.9,9
2015-11-22,31.8,19.8,52.5,7.7,0.0,1.9,9
2015-11-23,32.7,21.6,50.4,7.7,0.0,1.8,9
2015-11-24,32.7,22.8,46.6,7.7,0.0,1.8,9
2015-11-25,34.9,27.3,40.6,7.7,0.0,1.8,8
2015-11-26,32.5,28.9,37.0,7.7,0.1,1.8,8
2015-11-27,31.3,25.0,37.6,7.8,0.1,1.9,10
2015-11-28,26.2,20.5,35.6,7.9,0.0,2.0,11
2015-11-29,24.3,15.3,29.3,7.9,0.2,2.1,10
2015-11-30,14.2,4.8,28.9,8.1,0.1,2.2,12
2015-12-01,19.8,5.4,39.7,8.2,0.0,2.2,12
2015-12-02,26.1,13.3,44.2,8.2,0.0,2.3,11
2015-12-03,30.0,19.4,47.3,8.2,0.0,2.3,11
2015-12-04,33.1,23.7,44.2,8.2,0.1,2.3,11
2015-12-05,28.0,17.6,41.9,8.3,0.0,2.3,10
2015-12-06,29.7,16.5,49.6,8.3,0.0,2.3,12
2015-12-07,33.3,22.6,50.0,8.3,0.0,2.4,12
2015-12-08,38.3,29.7,57.4,8.3,0.0,2.4,11
2015-12-09,36.1,28.8,47.5,8.3,0.0,2.4,10
2015-12-10,35.6,28.8,45.0,8.3,0.0,2.4,10
2015-12-11,35.1,29.5,40.6,8.3,0.1,2.4,9
2015-12-12,28.8,22.3,36.3,8.4,0.5,2.5,10
2015-12-13,28.9,18.7,49.3,8.9,0.0,3.0,17
2015-12-14,21.9,16.7,26.2,8.9,0.6,3.0,16
2015-12-15,14.4,2.1,25.7,9.5,0.1,3.6,23
2015-12-16,12.7,0.3,29.5,9.6,0.0,3.6,21
2015-12-17,17.4,11.7,35.1,9.6,0.0,3.6,20
2015-12-18,24.3,12.7,38.5,9.6,0.0,3.6,19
2015-12-19,32.0,19.4,44.1,9.6,0.0,3.6,18
2015-12-20,27.9,21.6,35.4,9.6,0.2,3.7,16
2015-12-21,25.9,16.3,35.4,9.8,0.5,4.1,20
2015-12-22,26.1,24.8,28.8,10.3,1.3,4.6,24
2015-12-23,19.9,1.0,31.6,11.6,0.3,5.9,40
2015-12-24,11.3,-5.4,23.5,11.9,0.5,6.1,41
2015-12-25,19.4,4.8,26.1,12.4,0.9,6.5,42
2015-12-26,12.6,-2.7,27.0,13.3,0.1,7.4,47
2015-12-27,19.8,8.2,38.3,13.4,0.0,7.4,42
2015-12-28,18.7,10.4,36.3,13.4,0.0,7.4,39
2015-12-29,14.9,5.2,28.9,13.4,0.0,7.4,36
2015-12-30,,,,13.4,0.2,7.4,33
2015-12-31,,,,13.6,0.0,7.5,35
2016-01-01,,,,13.6,0.0,7.5,35
2016-01-02,,,,13.6,0.0,7.5,33
2016-01-03,,,,13.6,0.0,7.5,32
2016-01-04,,,,13.6,0.0,7.5,31
2016-01-05,,,,13.6,0.1,7.6,31
2016-01-06,,,,13.7,0.3,7.8,32
2016-01-07,,,,14.0,0.1,8.1,34
2016-01-08,,,,14.1,0.4,8.2,34
2016-01-09,,,,14.5,0.0,8.4,38
2016-01-10,,,,14.5,0.0,8.4,36
2016-01-11,,,,14.5,0.0,8.4,33
2016-01-12,,,,14.5,0.0,8.4,33
2016-01-13,,,,14.5,0.0,8.4,33
2016-01-14,,,,14.5,0.0,8.4,32
2016-01-15,,,,14.5,0.1,8.4,31
2016-01-16,,,,14.6,0.0,8.4,31
2016-01-17,,,,14.6,0.0,8.5,30
2016-01-18,,,,14.6,0.1,8.5,31
2016-01-19,,,,14.7,0.0,8.6,29
2016-01-20,,,,14.7,0.2,8.6,30
2016-01-21,,,,14.9,0.0,8.8,33
2016-01-22,,,,14.9,0.0,8.8,32
2016-01-23,,,,14.9,0.0,8.8,31
2016-01-24,,,,14.9,0.2,8.8,30
2016-01-25,,,,15.1,0.0,8.9,32
2016-01-26,,,,15.1,0.1,8.9,32
2016-01-27,,,,15.2,0.0,8.9,31
2016-01-28,,,,15.2,0.0,8.9,30
2016-01-29,,,,15.2,0.0,8.9,29
2016-01-30,,,,15.2,0.1,8.9,28
2016-01-31,,,,15.3,1.4,9.3,29
2016-02-01,,,,16.7,1.2,11.0,44
2016-02-02,,,,17.9,0.1,12.1,50
2016-02-03,,,,18.0,0.0,12.1,48
2016-02-04,,,,18.0,0.0,12.1,46
2016-02-05,,,,18.0,0.0,12.1,44
2016-02-06,,,,18.0,0.0,12.0,42
2016-02-07,,,,18.0,0.0,11.9,41
2016-02-08,,,,18.0,0.0,11.9,39
2016-02-09,,,,18.0,0.0,11.9,38
2016-02-10,,,,18.0,0.0,11.9,37
2016-02-11,,,,18.0,0.0,11.9,36
2016-02-12,,,,18.0,0.0,11.9,35
2016-02-13,,,,18.0,0.0,11.6,34
2016-02-14,,,,18.0,0.0,11.4,32
2016-02-15,38.3,29.5,53.2,18.0,0.0,11.4,32
2016-02-16,38.5,27.1,58.3,18.0,0.0,11.4,30
2016-02-17,38.1,26.1,54.9,18.0,0.0,11.2,30
2016-02-18,39.0,31.3,45.0,18.0,0.0,11.1,30
2016-02-19,36.9,28.8,48.7,18.0,0.0,11.1,29
2016-02-20,38.1,26.6,55.4,18.0,0.0,11.0,29
2016-02-21,36.1,23.4,53.4,18.0,0.0,10.7,28
2016-02-22,30.2,20.8,42.8,18.0,0.0,10.6,27
2016-02-23,24.4,10.8,35.6,18.0,0.1,10.9,27
2016-02-24,23.9,5.7,41.9,18.1,0.1,11.1,29
2016-02-25,34.3,21.0,53.6,18.2,0.0,11.5,28
2016-02-26,35.8,22.8,51.8,18.2,0.0,11.4,27
2016-02-27,36.7,25.2,50.9,18.2,0.0,11.1,26
2016-02-28,38.7,28.8,54.1,18.2,0.0,11.1,25
2016-02-29,38.7,27.3,52.9,18.2,0.0,11.0,24
2016-03-01,39.2,29.8,53.4,18.2,0.0,10.7,23
2016-03-02,37.8,29.1,51.8,18.2,0.0,10.4,23
2016-03-03,39.6,27.3,55.0,18.2,0.0,10.3,22
2016-03-04,39.9,29.5,55.4,18.2,0.0,9.9,21
2016-03-05,40.1,29.3,51.1,18.2,0.0,9.5,20
2016-03-06,35.6,32.9,43.0,18.2,0.3,9.0,20
2016-03-07,27.9,17.8,39.7,18.5,0.2,9.5,24
2016-03-08,28.6,13.1,46.2,18.7,0.0,9.8,26
2016-03-09,29.7,14.5,45.0,18.7,0.0,9.8,22
2016-03-10,38.3,22.5,57.6,18.7,0.0,9.8,22
2016-03-11,41.5,28.2,57.2,18.7,0.0,9.8,20
2016-03-12,35.8,29.7,44.2,18.7,0.0,9.2,18
2016-03-13,36.3,26.1,47.1,18.7,0.0,9.1,18
2016-03-14,39.0,29.3,50.9,18.7,0.0,8.5,17
2016-03-15,32.9,24.6,43.5,18.7,0.0,7.9,16
2016-03-16,34.2,24.1,46.0,18.7,0.1,7.8,16
2016-03-17,35.4,23.2,51.6,18.8,0.0,7.7,16
2016-03-18,37.6,27.0,51.6,18.8,0.0,7.3,15
2016-03-19,36.1,23.7,50.9,18.8,0.0,6.8,13
2016-03-20,37.2,22.5,54.5,18.8,0.0,6.2,13
2016-03-21,42.8,28.4,57.6,18.8,0.0,5.3,11
2016-03-22,39.6,23.2,50.0,18.8,0.0,4.4,10
2016-03-23,28.4,22.1,38.1,18.8,0.1,4.7,12
2016-03-24,32.9,19.9,48.9,18.9,0.0,5.0,14
2016-03-25,31.6,23.9,43.9,18.9,0.0,4.4,10
2016-03-26,26.8,14.7,40.3,18.9,0.4,4.0,9
2016-03-27,30.0,10.6,45.5,19.3,0.0,4.0,9
2016-03-28,37.0,29.8,48.7,19.3,0.0,4.0,9
2016-03-29,31.3,21.0,39.9,19.3,0.2,4.0,9
2016-03-30,23.4,15.6,33.8,19.5,0.1,4.3,11
2016-03-31,28.0,14.5,43.7,19.6,0.0,4.3,11
2016-04-01,31.6,17.2,45.9,19.6,0.0,4.3,11
2016-04-02,35.4,20.8,50.2,19.6,0.0,4.3,10
2016-04-03,40.5,27.0,58.3,19.6,0.0,3.5,8
2016-04-04,43.2,29.5,58.6,19.6,0.0,2.4,6
2016-04-05,39.9,28.2,54.3,19.6,0.0,1.3,3
2016-04-06,42.1,27.0,60.1,19.6,0.0,1.1,3
2016-04-07,46.9,32.4,64.8,19.6,0.0,0.5,1
2016-04-08,40.8,33.6,52.3,19.6,0.1,0.0,0
2016-04-09,38.5,34.5,48.2,19.7,0.2,0.0,0
2016-04-10,41.0,31.6,54.1,19.9,0.0,0.0,0
2016-04-11,38.7,30.6,54.0,19.9,0.0,0.0,0
2016-04-12,38.5,31.5,50.2,19.9,0.1,0.0,0
2016-04-13,42.3,29.8,55.4,20.0,0.1,0.0,0
2016-04-14,44.4,34.5,54.3,20.1,0.0,0.0,0
2016-04-15,35.8,28.9,42.4,20.1,0.4,0.0,0
2016-04-16,31.5,28.0,38.5,20.5,0.5,0.6,2
2016-04-17,30.2,22.5,42.4,21.0,0.0,0.8,5
2016-04-18,28.9,20.1,39.9,21.0,0.3,0.8,3
2016-04-19,32.4,16.9,45.7,21.3,0.0,0.9,4
2016-04-20,39.9,29.7,55.9,21.3,0.0,0.7,2
2016-04-21,45.1,30.0,60.6,21.3,0.0,0.0,0
2016-04-22,47.7,33.8,62.1,21.3,0.0,0.0,0
2016-04-23,41.5,30.0,54.3,21.3,0.0,0.0,0
2016-04-24,41.7,28.9,57.6,21.3,0.0,0.0,0
2016-04-25,36.7,28.6,47.1,21.3,0.0,0.0,0
2016-04-26,31.3,27.3,36.3,21.3,0.0,0.0,0
2016-04-27,37.6,24.8,49.6,21.3,0.2,0.0,0
2016-04-28,38.1,30.9,46.9,21.5,0.1,0.0,0
2016-04-29,33.8,28.2,42.8,21.6,0.2,0.0,0
2016-04-30,36.0,27.1,51.4,21.8,0.1,0.0,0
2016-05-01,34.0,30.0,38.7,21.9,0.3,0.0,0
2016-05-02,37.9,31.3,49.3,22.2,0.1,0.0,0
2016-05-03,44.4,28.8,60.1,22.3,0.0,0.0,0
2016-05-04,47.1,32.9,62.2,22.3,0.0,0.0,0
2016-05-05,51.1,34.5,65.5,22.3,0.0,0.0,0
2016-05-06,48.7,36.7,60.6,22.3,0.0,0.0,0
2016-05-07,37.8,30.7,49.1,22.3,0.0,0.0,0
2016-05-08,34.5,30.0,40.5,22.3,0.4,0.0,0
2016-05-09,42.1,33.8,55.0,22.7,0.5,0.0,0
2016-05-10,41.5,36.0,54.0,23.2,0.2,0.0,0
