Date,Columbine Pass (409) Air Temperature Average (degF),Columbine Pass (409) Air Temperature Minimum (degF),Columbine Pass (409) Air Temperature Maximum (degF),Columbine Pass (409) Precipitation Accumulation (in) Start of Day Values,Columbine Pass (409) Precipitation Increment (in),Columbine Pass (409) Snow Water Equivalent (in) Start of Day Values,Columbine Pass (409) Snow Depth (in) Start of Day Values
2015-10-01,60.8,52.9,73.8,0.0,0.0,0.0,0
2015-10-02,53.2,38.1,64.9,0.0,0.0,0.0,0
2015-10-03,47.5,36.1,60.4,0.0,0.0,0.0,0
2015-10-04,48.4,40.5,60.4,0.0,0.0,0.0,0
2015-10-05,42.4,38.8,49.3,0.0,0.0,0.0,0
2015-10-06,42.6,34.0,55.2,0.0,0.0,0.0,0
2015-10-07,44.2,33.4,59.5,0.0,0.0,0.0,0
2015-10-08,48.6,37.8,61.9,0.0,0.0,0.0,0
2015-10-09,50.0,40.3,61.2,0.0,0.0,0.0,0
2015-10-10,51.3,42.3,63.5,0.0,0.0,0.0,0
2015-10-11,51.3,42.1,64.9,0.0,0.0,0.0,0
2015-10-12,50.7,36.7,66.9,0.0,0.0,0.0,0
2015-10-13,52.2,40.6,67.5,0.0,0.0,0.0,0
2015-10-14,52.7,42.1,67.6,0.0,0.0,0.0,0
2015-10-15,52.7,41.9,68.0,0.0,0.0,0.0,0
2015-10-16,51.3,43.0,61.9,0.0,0.0,0.0,0
2015-10-17,46.8,40.3,54.9,0.0,0.0,0.0,0
2015-10-18,44.8,41.9,53.6,0.0,0.0,0.0,0
2015-10-19,43.0,38.7,50.4,0.0,0.0,0.0,0
2015-10-20,39.6,34.9,49.6,0.0,0.3,0.0,0
2015-10-21,39.9,33.4,50.4,0.3,0.1,0.0,0
2015-10-22,33.4,32.4,36.1,0.4,0.7,0.0,0
2015-10-23,35.2,31.5,45.5,1.1,0.0,0.5,3
2015-10-24,38.5,29.1,50.7,1.1,0.2,0.1,0
2015-10-25,41.9,34.7,52.9,1.3,0.2,0.0,0
2015-10-26,36.0,31.3,41.9,1.5,0.0,0.0,0
2015-10-27,35.8,24.3,47.8,1.5,0.0,0.0,0
2015-10-28,34.9,22.5,46.6,1.5,0.3,0.0,0
2015-10-29,36.9,30.0,50.0,1.8,0.1,0.0,0
2015-10-30,28.4,21.4,35.6,1.9,0.0,0.0,0
2015-10-31,34.2,21.7,46.6,1.9,0.1,0.0,0
2015-11-01,40.8,31.3,52.9,2.0,0.1,0.0,0
2015-11-02,43.5,36.0,54.0,2.1,0.1,0.0,0
2015-11-03,40.6,29.7,50.2,2.2,0.0,0.0,0
2015-11-04,26.8,22.3,30.9,2.2,1.3,0.3,1
2015-11-05,23.5,21.4,29.8,3.5,0.3,1.8,12
2015-11-06,22.3,14.2,35.2,3.8,0.0,1.9,13
2015-11-07,23.4,12.7,36.7,3.8,0.1,1.9,10
2015-11-08,28.8,18.9,40.5,3.9,0.1,1.9,8
2015-11-09,34.2,25.5,43.0,4.0,0.2,1.9,7
2015-11-10,28.8,19.9,39.6,4.2,0.5,1.9,8
2015-11-11,19.4,13.1,28.4,4.7,0.3,2.8,14
2015-11-12,22.3,10.6,35.8,5.0,0.2,3.0,15
2015-11-13,28.0,18.7,43.2,5.2,0.0,3.0,16
2015-11-14,32.5,23.0,46.4,5.2,0.1,3.0,14
2015-11-15,32.0,27.0,40.8,5.3,0.2,3.0,12
2015-11-16,24.3,21.4,29.7,5.5,0.8,3.2,14
2015-11-17,19.2,12.0,25.7,6.3,0.0,4.2,23
2015-11-18,23.7,14.0,36.0,6.3,0.2,4.2,21
2015-11-19,28.8,19.9,39.4,6.5,0.0,4.2,18
2015-11-20,28.2,13.5,40.3,6.5,0.0,4.2,17
2015-11-21,20.3,5.2,38.1,6.5,0.0,4.2,17
2015-11-22,29.8,17.4,47.1,6.5,0.1,4.2,17
2015-11-23,32.5,24.4,46.4,6.6,0.1,4.2,18
2015-11-24,32.7,25.2,40.8,6.7,0.1,4.2,19
2015-11-25,34.0,27.9,38.3,6.8,0.0,4.2,19
2015-11-26,24.8,18.3,34.2,6.8,0.0,4.2,18
2015-11-27,24.1,17.6,33.1,6.8,0.0,4.2,20
2015-11-28,18.0,14.5,26.6,6.8,0.0,4.5,23
2015-11-29,16.7,11.1,23.2,6.8,0.3,4.6,24
2015-11-30,8.1,2.8,16.2,7.1,0.1,4.7,28
2015-12-01,12.7,1.4,36.1,7.2,0.1,4.7,27
2015-12-02,21.7,6.1,37.8,7.3,0.1,4.7,20
2015-12-03,28.0,19.8,40.3,7.4,0.1,4.8,19
2015-12-04,32.0,25.2,38.7,7.5,0.1,4.8,21
2015-12-05,23.2,13.3,32.2,7.6,0.0,4.8,19
2015-12-06,27.0,13.8,40.8,7.6,0.0,4.8,21
2015-12-07,32.2,24.8,41.7,7.6,0.0,4.8,21
2015-12-08,32.9,25.7,44.1,7.6,0.0,4.8,21
2015-12-09,34.3,26.4,41.2,7.6,0.0,4.8,20
2015-12-10,34.0,28.0,38.3,7.6,0.1,4.8,20
2015-12-11,30.0,22.6,34.7,7.7,0.0,4.8,14
2015-12-12,18.9,11.5,23.0,7.7,0.0,5.1,18
2015-12-13,18.9,7.7,33.4,7.7,0.2,5.3,19
2015-12-14,18.9,12.6,23.7,7.9,0.7,5.3,18
2015-12-15,9.1,-3.1,16.3,8.6,0.3,6.2,31
2015-12-16,7.2,-3.5,19.0,8.9,0.1,6.3,31
2015-12-17,9.5,2.7,24.8,9.0,0.0,6.4,32
2015-12-18,19.2,6.4,30.0,9.0,0.2,6.4,32
2015-12-19,30.6,20.7,40.1,9.2,0.2,6.4,29
2015-12-20,23.4,19.9,31.6,9.4,0.1,6.5,31
2015-12-21,20.7,18.7,22.6,9.5,0.8,7.0,36
2015-12-22,23.0,20.3,24.6,10.3,2.7,7.8,40
2015-12-23,12.6,-1.7,21.9,13.0,0.1,10.5,53
2015-12-24,9.0,-3.5,19.2,13.1,0.5,10.7,53
2015-12-25,14.0,4.6,18.9,13.6,0.7,11.2,55
2015-12-26,2.3,-2.2,9.1,14.3,0.0,11.8,55
2015-12-27,9.1,-2.9,30.0,14.3,0.1,11.8,55
2015-12-28,11.3,3.4,23.4,14.4,0.0,11.8,52
2015-12-29,14.7,12.0,20.1,14.4,0.1,11.8,51
2015-12-30,10.9,5.0,18.9,14.5,0.4,12.0,49
2015-12-31,8.2,-3.6,27.7,14.9,0.1,12.4,60
2016-01-01,10.9,-2.2,33.1,15.0,0.1,12.4,60
2016-01-02,19.9,8.2,36.3,15.1,0.1,12.4,58
2016-01-03,28.2,20.3,42.4,15.2,0.1,12.5,53
2016-01-04,27.0,19.9,38.1,15.3,0.0,12.5,51
2016-01-05,24.1,20.1,25.9,15.3,0.1,12.5,50
2016-01-06,25.0,21.6,29.3,15.4,0.9,12.7,48
2016-01-07,19.8,12.7,25.5,16.3,0.4,13.7,55
2016-01-08,18.0,14.9,24.6,16.7,0.1,14.2,58
2016-01-09,14.4,5.0,26.8,16.8,0.1,14.2,56
2016-01-10,10.0,2.3,28.2,16.9,0.0,14.3,60
2016-01-11,11.7,-0.9,26.4,16.9,0.2,14.3,57
2016-01-12,20.7,9.7,40.8,17.1,0.1,14.3,54
