Date,Copeland Lake (412) Air Temperature Average (degF),Copeland Lake (412) Air Temperature Minimum (degF),Copeland Lake (412) Air Temperature Maximum (degF),Copeland Lake (412) Precipitation Accumulation (in) Start of Day Values,Copeland Lake (412) Precipitation Increment (in),Copeland Lake (412) Snow Water Equivalent (in) Start of Day Values,Copeland Lake (412) Snow Depth (in) Start of Day Values
2015-10-01,54.5,44.2,71.6,0.0,0.0,0.0,0
2015-10-02,51.3,41.7,65.8,0.0,0.0,0.0,0
2015-10-03,45.5,33.4,63.1,0.0,0.2,0.0,0
2015-10-04,44.2,36.9,55.0,0.2,0.0,0.0,0
2015-10-05,49.6,36.3,65.8,0.2,0.0,0.0,0
2015-10-06,44.4,39.0,58.1,0.2,0.5,0.0,0
2015-10-07,46.6,37.0,,0.7,0.0,0.0,0
2015-10-08,48.7,38.7,65.3,0.7,0.0,0.0,0
2015-10-09,50.2,37.9,64.9,0.7,0.0,0.0,0
2015-10-10,58.1,50.9,68.2,0.7,0.0,0.0,0
2015-10-11,57.7,50.0,68.9,0.7,0.0,0.0,0
2015-10-12,55.8,48.7,67.5,0.7,0.0,0.0,0
2015-10-13,57.6,48.2,67.6,0.7,0.1,0.0,0
2015-10-14,43.5,,68.2,0.8,0.0,0.0,0
2015-10-15,46.0,34.9,57.7,0.8,0.0,0.0,0
2015-10-16,47.1,31.3,68.7,0.8,0.0,0.0,0
2015-10-17,49.8,39.6,65.8,0.8,0.0,0.0,0
2015-10-18,52.2,44.2,61.9,0.8,0.0,0.0,0
2015-10-19,47.1,39.2,56.8,0.8,0.0,0.0,0
2015-10-20,47.1,37.0,59.4,0.8,0.4,0.0,0
2015-10-21,36.9,32.4,41.0,1.2,1.1,0.0,0
2015-10-22,35.6,32.7,41.4,2.3,0.7,0.2,1
2015-10-23,38.1,30.0,50.4,3.0,0.0,0.3,2
2015-10-24,39.9,32.9,52.0,3.0,0.1,0.0,0
2015-10-25,44.8,35.8,56.5,3.1,0.0,0.0,0
2015-10-26,43.5,38.1,50.0,3.1,0.0,0.0,0
2015-10-27,37.0,31.8,44.2,3.1,0.1,0.0,0
2015-10-28,39.0,32.2,49.5,3.2,0.0,0.0,0
2015-10-29,39.4,30.4,52.9,3.2,0.0,0.0,0
2015-10-30,36.3,34.3,41.7,3.2,0.1,0.0,0
2015-10-31,41.5,35.1,47.7,3.3,0.0,0.0,0
2015-11-01,47.1,41.4,55.0,3.3,0.0,0.0,0
2015-11-02,46.6,34.2,60.1,3.3,0.0,0.0,0
2015-11-03,43.9,32.9,59.7,3.3,0.0,0.0,0
2015-11-04,38.5,31.1,46.4,3.3,0.1,0.0,0
2015-11-05,30.0,27.5,37.2,3.4,0.1,0.0,0
2015-11-06,27.3,24.8,31.3,3.5,0.1,0.0,0
2015-11-07,31.8,18.3,48.7,3.6,0.0,0.2,2
2015-11-08,38.8,29.8,58.6,3.6,0.1,0.2,1
2015-11-09,39.9,29.3,52.0,3.7,0.0,0.2,1
2015-11-10,39.7,29.1,51.6,3.7,0.3,0.2,1
2015-11-11,27.0,24.8,29.5,4.0,0.2,0.4,1
2015-11-12,30.2,25.7,37.6,4.2,0.0,0.5,6
2015-11-13,37.0,29.7,46.2,4.2,0.0,0.5,3
2015-11-14,40.3,30.9,55.2,4.2,0.0,0.7,1
2015-11-15,38.1,28.6,51.3,4.2,0.1,0.3,1
2015-11-16,33.8,28.9,41.4,4.3,0.0,0.1,1
2015-11-17,29.3,27.0,35.8,4.3,0.1,0.1,1
2015-11-18,28.9,26.4,31.3,4.4,0.1,0.0,1
2015-11-19,33.1,27.0,37.2,4.5,0.2,0.1,2
2015-11-20,28.0,14.7,36.9,4.7,0.4,0.2,2
2015-11-21,24.1,14.2,30.9,5.1,0.1,0.5,6
2015-11-22,35.4,28.8,43.3,5.2,0.0,0.7,5
2015-11-23,40.1,32.4,49.6,5.2,0.0,0.7,4
2015-11-24,37.0,27.7,47.1,5.2,0.0,0.7,3
2015-11-25,27.5,18.7,42.3,5.2,0.0,0.7,3
2015-11-26,13.3,6.1,19.0,5.2,0.3,0.7,4
2015-11-27,8.2,-3.6,23.9,5.5,0.0,0.8,8
2015-11-28,17.2,0.9,32.9,5.5,0.1,0.8,7
2015-11-29,18.7,10.9,30.9,5.6,0.1,0.8,7
2015-11-30,14.7,11.1,18.9,5.7,0.0,0.9,8
2015-12-01,20.5,14.4,27.1,5.7,0.0,0.9,7
2015-12-02,31.5,25.7,38.1,5.7,0.0,1.0,7
2015-12-03,32.7,25.0,39.7,5.7,0.0,1.1,6
2015-12-04,39.7,28.4,50.2,5.7,0.1,1.1,6
2015-12-05,30.6,23.7,36.5,5.8,0.0,1.1,5
2015-12-06,37.4,28.4,49.6,5.8,0.0,1.1,5
2015-12-07,40.1,34.5,46.9,5.8,0.0,1.1,5
2015-12-08,38.8,35.4,43.2,5.8,0.0,1.1,5
