Date,Copper Mountain (415) Air Temperature Average (degF),Copper Mountain (415) Air Temperature Minimum (degF),Copper Mountain (415) Air Temperature Maximum (degF),Copper Mountain (415) Precipitation Accumulation (in) Start of Day Values,Copper Mountain (415) Precipitation Increment (in),Copper Mountain (415) Snow Water Equivalent (in) Start of Day Values,Copper Mountain (415) Snow Depth (in) Start of Day Values
2015-10-01,46.8,34.9,63.1,0.0,0.1,0.0,0
2015-10-02,46.6,32.4,64.0,0.1,0.0,0.0,0
2015-10-03,39.4,27.9,55.2,0.1,0.0,0.0,0
2015-10-04,40.1,28.8,55.2,0.1,0.0,0.0,0
2015-10-05,38.5,29.8,54.1,0.1,0.1,0.0,0
2015-10-06,37.4,31.6,48.2,0.2,0.3,0.0,0
2015-10-07,36.9,29.3,54.0,0.5,0.0,0.0,0
2015-10-08,40.1,28.4,57.7,0.5,0.0,0.0,0
2015-10-09,41.9,30.0,59.2,0.5,0.0,0.0,0
2015-10-10,42.6,30.6,62.2,0.5,0.0,0.0,0
2015-10-11,43.7,32.4,58.6,0.5,0.0,0.0,0
2015-10-12,41.4,28.8,59.0,0.5,0.0,0.0,0
2015-10-13,40.8,28.4,58.8,0.5,0.0,0.0,0
2015-10-14,41.4,28.4,61.5,0.5,0.0,0.0,0
2015-10-15,40.8,28.8,60.1,0.5,0.0,0.0,0
2015-10-16,40.6,26.8,59.4,0.5,0.0,0.0,0
2015-10-17,40.8,29.7,59.2,0.5,0.0,0.0,0
2015-10-18,40.6,32.5,54.9,0.5,0.0,0.0,0
2015-10-19,37.4,29.1,47.7,0.5,0.0,0.0,0
2015-10-20,36.7,28.4,48.9,0.5,0.1,0.0,0
2015-10-21,34.5,27.1,40.8,0.6,0.0,0.0,0
2015-10-22,30.9,27.0,36.7,0.6,0.5,0.0,0
2015-10-23,30.6,21.0,36.9,1.1,0.1,0.6,2
2015-10-24,26.8,17.2,44.1,1.2,0.0,0.6,3
2015-10-25,31.6,20.5,49.1,1.2,0.0,0.6,2
2015-10-26,31.8,21.9,40.1,1.2,0.0,0.6,2
2015-10-27,24.3,15.8,38.7,1.2,0.3,0.7,2
2015-10-28,23.7,10.4,40.1,1.5,0.1,0.9,4
2015-10-29,29.7,20.1,42.8,1.6,0.0,1.0,5
2015-10-30,25.7,14.7,34.0,1.6,0.0,1.0,4
2015-10-31,29.3,23.0,43.5,1.6,0.0,1.1,5
2015-11-01,31.3,21.7,47.8,1.6,0.0,1.1,5
2015-11-02,37.2,24.4,55.0,1.6,0.0,1.1,4
2015-11-03,37.9,28.2,49.3,1.6,0.0,1.1,3
2015-11-04,29.1,20.8,40.6,1.6,0.3,1.1,3
2015-11-05,18.7,12.4,25.7,1.9,0.3,1.4,6
2015-11-06,15.4,2.3,24.3,2.2,0.1,1.6,10
2015-11-07,15.8,-3.6,44.8,2.3,0.0,1.7,12
2015-11-08,22.3,12.2,47.1,2.3,0.0,1.8,10
2015-11-09,24.4,9.5,46.0,2.3,0.1,1.8,9
2015-11-10,29.1,19.6,42.3,2.4,0.3,1.8,8
2015-11-11,13.6,3.7,22.3,2.7,0.2,2.2,12
2015-11-12,12.4,1.6,32.5,2.9,0.0,2.3,15
2015-11-13,16.3,4.6,39.4,2.9,0.1,2.3,14
2015-11-14,21.6,10.8,48.4,3.0,0.0,2.3,13
2015-11-15,22.5,12.0,41.9,3.0,0.0,2.3,12
2015-11-16,23.7,18.3,31.6,3.0,0.3,2.4,12
2015-11-17,15.1,11.8,21.7,3.3,0.1,2.8,15
2015-11-18,19.8,13.5,24.8,3.4,0.4,3.0,17
2015-11-19,23.7,17.6,32.0,3.8,0.1,3.2,18
2015-11-20,20.1,-2.9,28.8,3.9,0.1,3.3,17
2015-11-21,5.7,-8.3,25.2,4.0,0.1,3.4,19
2015-11-22,16.7,4.5,40.1,4.1,0.0,3.4,18
2015-11-23,20.3,10.9,41.0,4.1,0.0,3.4,17
2015-11-24,23.0,14.0,39.9,4.1,0.0,3.5,17
2015-11-25,28.8,14.2,42.3,4.1,0.1,3.5,17
2015-11-26,24.3,11.8,32.7,4.2,0.0,3.6,16
2015-11-27,14.7,1.2,30.6,4.2,0.0,3.6,17
2015-11-28,15.6,7.2,26.6,4.2,0.1,3.6,17
2015-11-29,14.5,7.9,24.6,4.3,0.0,3.7,19
2015-11-30,4.6,1.0,10.2,4.3,0.2,3.8,19
2015-12-01,5.0,-1.8,15.4,4.5,0.0,3.9,19
2015-12-02,11.3,-0.6,30.9,4.5,0.0,3.9,19
2015-12-03,17.4,8.4,32.5,4.5,0.0,3.9,19
2015-12-04,25.9,9.7,44.1,4.5,0.0,3.9,19
2015-12-05,15.6,0.3,25.2,4.5,0.0,4.0,18
2015-12-06,19.6,0.3,42.8,4.5,0.1,4.0,18
2015-12-07,26.4,11.7,39.4,4.6,0.1,4.1,19
2015-12-08,27.0,18.9,36.0,4.7,0.0,4.1,19
2015-12-09,29.8,16.5,46.4,4.7,0.1,4.1,19
2015-12-10,32.5,18.0,40.1,4.8,0.0,4.2,18
2015-12-11,28.8,25.2,34.3,4.8,0.0,4.2,18
2015-12-12,19.9,9.0,26.8,4.8,0.2,4.2,18
2015-12-13,11.5,-2.2,32.5,5.0,0.1,4.5,22
2015-12-14,19.9,10.2,29.8,5.1,0.2,4.5,22
2015-12-15,7.9,1.2,15.1,5.3,0.1,4.7,24
2015-12-16,3.7,-0.9,13.8,5.4,0.0,4.8,25
2015-12-17,1.9,-4.0,7.9,5.4,0.2,4.9,25
2015-12-18,16.2,4.6,29.1,5.6,0.0,5.0,25
2015-12-19,23.7,9.7,37.9,5.6,0.1,5.1,25
2015-12-20,19.0,12.9,27.0,5.7,0.1,5.2,24
2015-12-21,18.0,14.0,25.7,5.8,0.1,5.3,27
2015-12-22,21.6,13.8,28.4,5.9,0.3,5.4,26
2015-12-23,9.3,0.9,18.3,6.2,0.2,5.7,31
2015-12-24,1.8,-11.2,10.4,6.4,0.1,6.0,33
2015-12-25,8.6,-0.8,19.4,6.5,0.0,6.1,31
2015-12-26,-2.2,-10.5,12.0,6.5,0.1,6.2,31
2015-12-27,3.9,-10.7,29.7,6.6,0.1,6.2,31
2015-12-28,8.1,0.9,23.5,6.7,0.0,6.2,30
2015-12-29,4.5,-4.0,21.4,6.7,0.0,6.2,29
2015-12-30,0.1,-6.0,14.5,6.7,0.0,6.2,29
2015-12-31,-2.0,-11.2,11.1,6.7,0.0,6.2,29
2016-01-01,0.7,-11.6,29.3,6.7,0.1,6.3,30
2016-01-02,10.0,-3.1,34.3,6.8,0.0,6.3,29
2016-01-03,16.5,7.5,36.3,6.8,0.1,6.3,29
2016-01-04,19.8,10.6,37.4,6.9,0.0,6.4,28
2016-01-05,18.9,11.1,33.1,6.9,0.0,6.4,28
2016-01-06,19.6,9.3,30.7,6.9,0.1,6.4,28
2016-01-07,16.9,5.2,23.9,7.0,0.0,6.4,28
2016-01-08,10.8,0.3,23.7,7.0,0.0,6.6,32
2016-01-09,10.2,2.5,19.8,7.0,0.0,6.6,30
2016-01-10,4.1,-6.9,15.1,7.0,0.0,6.6,31
2016-01-11,5.0,-6.7,22.1,7.0,0.1,6.6,31
2016-01-12,11.5,-1.8,31.3,7.1,0.1,6.6,31
2016-01-13,17.6,5.0,40.1,7.2,0.0,6.7,30
2016-01-14,14.5,7.3,24.3,7.2,0.0,6.7,30
2016-01-15,10.8,5.4,19.6,7.2,0.2,6.8,32
2016-01-16,9.1,3.0,16.7,7.4,0.4,7.1,34
2016-01-17,14.7,5.4,20.1,7.8,0.2,7.4,38
2016-01-18,19.6,9.7,33.3,8.0,0.2,7.6,40
2016-01-19,16.3,5.4,32.9,8.2,0.0,7.8,40
2016-01-20,12.9,0.7,23.0,8.2,0.3,7.8,40
2016-01-21,9.1,2.1,25.0,8.5,0.1,8.1,43
2016-01-22,18.3,4.5,39.4,8.6,0.0,8.2,41
2016-01-23,21.6,11.3,42.1,8.6,0.0,8.2,39
2016-01-24,16.5,10.4,30.2,8.6,0.1,8.3,38
2016-01-25,8.8,-0.2,21.7,8.7,0.1,8.4,40
2016-01-26,5.2,-6.5,23.5,8.8,0.1,8.5,41
2016-01-27,15.8,2.8,35.1,8.9,0.0,8.5,40
2016-01-28,19.2,8.6,40.3,8.9,0.0,8.5,39
2016-01-29,21.0,12.7,33.3,8.9,0.1,8.5,38
2016-01-30,26.4,14.7,37.4,9.0,0.4,8.6,39
2016-01-31,15.1,9.5,23.9,9.4,0.5,9.1,44
2016-02-01,14.5,4.6,25.2,9.9,0.2,9.6,46
2016-02-02,2.8,-6.0,12.6,10.1,0.0,9.9,47
2016-02-03,-3.3,-10.8,5.5,10.1,0.0,9.9,46
2016-02-04,2.1,-12.3,17.6,10.1,0.2,9.9,46
2016-02-05,3.9,-4.2,18.0,10.3,0.1,10.0,45
2016-02-06,11.8,-3.5,31.6,10.4,0.1,10.0,45
2016-02-07,17.8,8.6,30.4,10.5,0.0,10.1,44
2016-02-08,18.9,10.0,34.7,10.5,0.0,10.1,43
2016-02-09,19.6,7.9,41.2,10.5,0.0,10.1,43
2016-02-10,24.3,10.9,47.5,10.5,0.0,10.1,43
2016-02-11,25.0,12.2,43.5,10.5,0.0,10.1,42
2016-02-12,28.4,17.2,45.9,10.5,0.1,10.1,42
2016-02-13,28.4,15.8,44.1,10.6,0.0,10.2,41
2016-02-14,19.8,11.8,28.8,10.6,0.1,10.3,41
2016-02-15,24.3,19.0,30.2,10.7,0.3,10.5,46
2016-02-16,25.0,12.0,38.8,11.0,0.1,10.8,48
