Date,Crosho (426) Air Temperature Average (degF),Crosho (426) Air Temperature Minimum (degF),Crosho (426) Air Temperature Maximum (degF),Crosho (426) Precipitation Accumulation (in) Start of Day Values,Crosho (426) Precipitation Increment (in),Crosho (426) Snow Water Equivalent (in) Start of Day Values,Crosho (426) Snow Depth (in) Start of Day Values
2015-10-01,55.8,44.6,71.6,0.0,0.0,0.0,0
2015-10-02,51.6,36.1,67.6,0.0,0.0,0.0,0
2015-10-03,43.7,31.8,55.9,0.0,0.0,0.0,0
2015-10-04,48.2,32.9,62.1,0.0,0.0,0.0,0
2015-10-05,45.5,37.0,56.1,0.0,0.0,0.0,0
2015-10-06,43.2,35.6,55.0,0.0,0.0,0.0,0
2015-10-07,45.0,32.5,57.6,0.0,0.0,0.0,0
2015-10-08,46.6,33.1,60.1,0.0,0.0,0.0,0
2015-10-09,47.1,34.2,63.1,0.0,0.0,0.0,0
2015-10-10,50.0,34.3,68.9,0.0,0.0,0.0,0
2015-10-11,51.4,39.6,65.7,0.0,0.0,0.0,0
2015-10-12,49.5,32.5,63.1,0.0,0.0,0.0,0
2015-10-13,52.5,39.6,64.4,0.0,0.0,0.0,0
2015-10-14,50.2,36.5,66.4,0.0,0.0,0.0,0
2015-10-15,49.3,34.3,64.2,0.0,0.0,0.0,0
2015-10-16,46.0,31.5,66.4,0.0,0.0,0.0,0
2015-10-17,48.4,35.2,62.8,0.0,0.0,0.0,0
2015-10-18,46.0,37.8,59.7,0.0,0.0,0.0,0
2015-10-19,44.6,37.8,56.1,0.0,0.0,0.0,0
2015-10-20,41.4,32.4,52.9,0.0,0.0,0.0,0
2015-10-21,41.9,31.6,51.1,0.0,0.0,0.0,0
2015-10-22,34.5,30.6,38.3,0.0,0.4,0.0,0
2015-10-23,34.9,27.7,44.1,0.4,0.3,0.0,0
2015-10-24,36.1,25.5,51.1,0.7,0.0,0.0,0
2015-10-25,40.5,27.7,54.3,0.7,0.2,0.0,0
2015-10-26,40.1,31.5,50.9,0.9,0.0,0.0,0
2015-10-27,32.2,21.2,44.8,0.9,0.0,0.0,0
2015-10-28,29.1,17.2,40.8,0.9,0.0,0.2,1
2015-10-29,34.3,27.3,45.7,0.9,0.1,0.2,1
2015-10-30,30.9,27.0,37.0,1.0,0.2,0.2,1
2015-10-31,35.6,29.3,44.8,1.2,0.1,0.4,1
2015-11-01,44.4,29.7,54.3,1.3,0.2,0.3,1
