Date,Culebra #2 (430) Air Temperature Average (degF),Culebra #2 (430) Air Temperature Minimum (degF),Culebra #2 (430) Air Temperature Maximum (degF),Culebra #2 (430) Precipitation Accumulation (in) Start of Day Values,Culebra #2 (430) Precipitation Increment (in),Culebra #2 (430) Snow Water Equivalent (in) Start of Day Values,Culebra #2 (430) Snow Depth (in) Start of Day Values
2015-10-01,50.7,34.9,,0.0,0.0,0.0,0
2015-10-02,49.3,39.0,61.9,0.0,0.1,0.0,0
2015-10-03,41.4,33.4,,0.1,0.0,0.0,0
2015-10-04,42.4,,61.2,0.1,0.0,0.0,0
2015-10-05,42.8,32.9,57.2,0.1,0.0,0.0,0
2015-10-06,43.9,34.5,58.8,0.1,0.0,0.0,0
2015-10-07,40.3,33.4,48.6,0.1,0.1,0.0,0
2015-10-08,44.2,34.9,53.2,0.2,0.0,0.0,0
2015-10-09,45.0,34.0,60.1,0.2,0.0,0.0,0
2015-10-10,45.7,33.8,63.5,0.2,0.0,0.0,0
2015-10-11,45.9,34.2,63.3,0.2,0.0,0.0,0
2015-10-12,45.5,31.3,63.3,0.2,0.0,0.0,0
2015-10-13,44.8,30.2,64.2,0.2,0.0,0.0,0
2015-10-14,45.7,31.5,65.7,0.2,0.0,0.0,0
2015-10-15,44.8,33.8,61.0,0.2,0.0,0.0,0
2015-10-16,41.9,30.9,56.7,0.2,0.0,0.0,0
2015-10-17,41.2,30.2,57.0,0.2,0.0,0.0,0
2015-10-18,42.8,35.2,52.5,0.2,0.0,0.0,0
2015-10-19,40.1,,,0.2,0.1,0.0,0
2015-10-20,38.5,,,0.3,0.1,0.0,0
2015-10-21,34.9,,40.6,0.4,0.7,0.0,0
2015-10-22,33.3,31.3,,1.1,0.1,0.5,2
2015-10-23,34.3,,44.2,1.2,0.1,0.6,3
2015-10-24,36.1,29.8,48.2,1.3,0.0,0.6,2
2015-10-25,36.5,27.9,52.7,1.3,0.0,0.4,2
2015-10-26,35.6,29.1,44.8,1.3,0.1,0.3,1
2015-10-27,32.9,23.4,47.3,1.4,0.0,0.2,1
2015-10-28,30.7,18.3,46.2,1.4,0.0,0.0,0
2015-10-29,33.1,28.2,43.0,1.4,0.0,0.2,1
2015-10-30,31.6,25.2,38.5,1.4,0.2,0.2,1
2015-10-31,29.8,19.2,45.0,1.6,0.0,0.4,1
2015-11-01,34.3,23.7,52.5,1.6,0.0,0.4,1
2015-11-02,35.8,23.5,53.8,1.6,0.0,0.3,1
2015-11-03,38.5,27.7,49.6,1.6,0.1,0.3,1
2015-11-04,31.3,19.8,44.2,1.7,0.2,0.3,1
2015-11-05,20.7,12.2,26.6,1.9,0.0,0.7,2
2015-11-06,19.8,8.1,32.4,1.9,0.0,0.7,3
2015-11-07,20.3,10.6,36.3,1.9,0.0,0.7,3
2015-11-08,21.4,8.2,39.4,1.9,0.0,0.7,1
2015-11-09,25.2,,44.8,1.9,0.0,0.7,1
2015-11-10,27.7,15.4,43.2,1.9,0.0,0.7,1
2015-11-11,16.9,5.9,29.8,1.9,0.0,0.7,3
2015-11-12,21.9,,,1.9,0.1,0.7,4
2015-11-13,25.3,13.1,45.0,2.0,0.0,0.8,4
2015-11-14,27.1,15.1,47.7,2.0,0.0,0.8,4
2015-11-15,27.5,16.0,40.6,2.0,0.0,0.8,3
2015-11-16,25.2,18.0,31.8,2.0,0.8,0.8,3
2015-11-17,15.8,4.3,25.2,2.8,0.5,2.0,13
2015-11-18,19.4,9.1,30.6,3.3,0.1,2.6,21
2015-11-19,21.4,9.3,34.5,3.4,0.0,2.7,17
2015-11-20,24.4,8.6,38.5,3.4,0.0,2.7,15
2015-11-21,12.9,-0.2,32.0,3.4,0.0,2.7,14
2015-11-22,20.5,5.0,40.6,3.4,0.0,2.7,13
2015-11-23,24.4,13.8,43.2,3.4,0.0,2.7,13
2015-11-24,24.8,11.1,37.9,3.4,0.1,2.7,13
2015-11-25,32.2,22.1,41.7,3.5,0.1,2.7,12
2015-11-26,32.0,28.8,38.1,3.6,0.3,2.8,10
2015-11-27,27.3,17.8,,3.9,0.1,3.2,15
2015-11-28,21.0,,,4.0,0.0,3.3,15
2015-11-29,21.7,12.7,30.9,4.0,0.2,3.3,15
2015-11-30,9.5,5.0,16.3,4.2,0.0,3.8,22
2015-12-01,7.0,-4.4,23.2,4.2,0.0,3.8,21
2015-12-02,13.6,,33.8,4.2,0.0,3.8,20
2015-12-03,19.6,,,4.2,0.0,3.8,18
2015-12-04,23.7,,,4.2,0.0,3.8,18
2015-12-05,22.3,5.2,33.8,4.2,0.0,3.8,17
2015-12-06,21.6,5.0,49.1,4.2,0.1,3.8,17
2015-12-07,25.3,11.8,46.2,4.3,0.0,3.9,17
2015-12-08,28.8,16.7,42.3,4.3,0.1,3.9,17
2015-12-09,30.4,16.7,49.5,4.4,0.0,4.0,17
2015-12-10,32.9,19.6,46.8,4.4,0.0,4.0,17
2015-12-11,31.3,25.2,38.3,4.4,0.1,4.0,16
2015-12-12,25.3,21.6,38.8,4.5,0.3,4.1,17
2015-12-13,19.9,9.3,31.5,4.8,0.0,4.7,23
2015-12-14,17.8,8.1,31.6,4.8,0.3,4.7,22
2015-12-15,6.4,-5.3,10.2,5.1,0.1,5.0,26
2015-12-16,2.8,-8.3,20.5,5.2,0.0,5.3,31
2015-12-17,3.9,-4.4,,5.2,0.0,5.3,28
2015-12-18,15.3,0.1,35.1,5.2,0.2,5.3,27
2015-12-19,22.1,6.1,38.8,5.4,0.0,5.5,26
2015-12-20,19.6,11.5,24.6,5.4,0.3,5.5,25
2015-12-21,16.5,9.1,25.0,5.7,0.0,5.9,27
2015-12-22,20.3,18.0,22.5,5.7,0.3,6.0,27
2015-12-23,16.0,4.5,,6.0,0.0,6.3,30
2015-12-24,12.2,3.6,20.3,6.0,0.1,6.3,31
2015-12-25,15.8,1.9,23.0,6.1,0.2,6.5,29
2015-12-26,6.6,-5.1,19.9,6.3,0.2,6.9,36
2015-12-27,16.3,9.7,25.5,6.5,0.1,7.0,34
2015-12-28,14.2,4.5,30.0,6.6,0.0,7.1,32
2015-12-29,13.5,7.0,22.1,6.6,0.0,7.1,31
2015-12-30,8.6,-3.3,14.5,6.6,0.0,7.1,31
2015-12-31,6.3,-6.2,22.3,6.6,0.0,7.1,31
2016-01-01,8.6,-3.5,24.6,6.6,0.0,7.1,30
2016-01-02,16.0,4.6,34.5,6.6,0.1,7.1,29
2016-01-03,20.8,10.0,40.1,6.7,0.1,7.2,28
2016-01-04,21.6,9.3,36.7,6.8,0.0,7.2,29
2016-01-05,20.7,11.1,24.4,6.8,0.1,7.3,29
2016-01-06,20.3,9.0,30.2,6.9,0.1,7.4,29
2016-01-07,16.5,6.6,23.2,7.0,0.3,7.5,30
2016-01-08,13.3,3.6,25.3,7.3,0.5,8.0,41
2016-01-09,11.3,3.6,20.3,7.8,0.1,8.5,42
2016-01-10,4.1,-9.4,23.4,7.9,0.0,8.6,41
2016-01-11,6.1,-9.2,26.8,7.9,0.0,8.6,40
2016-01-12,12.7,-1.3,37.0,7.9,0.0,8.6,40
2016-01-13,18.0,5.2,37.2,7.9,0.0,8.6,37
2016-01-14,13.3,1.9,25.7,7.9,0.0,8.6,36
2016-01-15,11.5,-0.8,20.8,7.9,0.0,8.6,36
2016-01-16,10.2,1.6,19.2,7.9,0.0,8.7,35
2016-01-17,15.6,6.4,26.2,7.9,0.0,8.7,37
2016-01-18,19.9,4.5,35.6,7.9,0.2,8.7,36
2016-01-19,20.8,9.7,34.3,8.1,0.0,8.8,36
2016-01-20,18.0,4.3,25.2,8.1,0.2,8.8,36
2016-01-21,8.6,-2.6,25.3,8.3,0.0,9.2,39
2016-01-22,20.1,5.5,39.0,8.3,0.0,9.2,39
2016-01-23,21.7,8.6,44.1,8.3,0.0,9.2,38
2016-01-24,20.7,15.3,27.9,8.3,0.1,9.3,36
2016-01-25,11.3,-0.2,25.9,8.4,0.0,9.5,39
2016-01-26,7.3,-3.5,25.3,8.4,0.0,9.5,42
2016-01-27,19.8,2.7,40.1,8.4,0.1,9.5,39
2016-01-28,23.2,11.8,41.9,8.5,0.1,9.6,39
2016-01-29,21.9,10.9,38.1,8.6,0.0,9.6,39
2016-01-30,27.7,14.5,40.1,8.6,0.1,9.6,38
2016-01-31,25.5,23.5,28.8,8.7,0.0,9.7,37
2016-02-01,15.1,7.0,27.0,8.7,0.2,9.8,38
2016-02-02,6.4,-2.9,15.8,8.9,0.1,10.4,45
2016-02-03,-2.2,-15.7,15.6,9.0,0.0,10.5,47
2016-02-04,2.8,-17.1,26.4,9.0,0.1,10.5,46
2016-02-05,7.3,-2.6,21.2,9.1,0.1,10.6,45
2016-02-06,15.1,-1.1,34.5,9.2,0.1,10.7,43
2016-02-07,19.8,7.2,36.3,9.3,0.0,10.9,44
2016-02-08,21.0,7.9,38.7,9.3,0.1,10.9,44
2016-02-09,23.4,7.9,43.5,9.4,0.0,10.9,42
2016-02-10,27.0,10.4,48.0,9.4,0.1,10.9,42
2016-02-11,28.4,11.8,48.2,9.5,0.0,10.9,41
2016-02-12,31.8,18.9,51.6,9.5,0.0,10.9,41
2016-02-13,30.7,20.5,46.6,9.5,0.0,10.9,39
2016-02-14,25.9,10.8,41.9,9.5,0.0,10.9,40
2016-02-15,26.6,18.0,37.8,9.5,0.0,10.9,40
2016-02-16,28.2,15.1,46.2,9.5,0.0,10.9,40
2016-02-17,33.4,17.4,49.6,9.5,0.0,10.9,40
2016-02-18,38.1,32.5,47.3,9.5,0.0,10.9,40
2016-02-19,32.2,21.0,45.7,9.5,0.0,10.9,39
2016-02-20,31.5,21.2,48.2,9.5,0.0,10.9,39
2016-02-21,30.6,16.9,45.5,9.5,0.0,10.9,38
2016-02-22,23.0,14.0,36.7,9.5,0.1,11.0,38
2016-02-23,12.6,-1.8,23.7,9.6,0.0,11.1,43
2016-02-24,14.0,-2.6,34.5,9.6,0.1,11.1,42
2016-02-25,21.7,4.6,41.0,9.7,0.0,11.1,41
2016-02-26,26.6,11.3,45.3,9.7,0.1,11.1,41
2016-02-27,30.4,8.8,48.2,9.8,0.0,11.1,41
2016-02-28,30.6,17.2,46.2,9.8,0.0,11.1,41
2016-02-29,32.7,25.7,45.7,9.8,0.0,11.1,40
2016-03-01,32.0,22.5,45.3,9.8,0.0,11.2,40
2016-03-02,31.3,18.9,45.5,9.8,0.0,11.2,40
2016-03-03,30.9,16.7,49.8,9.8,0.0,11.2,39
2016-03-04,33.8,20.8,,9.8,0.0,11.2,39
2016-03-05,34.3,13.5,48.0,9.8,0.1,11.2,39
2016-03-06,32.9,28.8,,9.9,0.0,11.3,38
2016-03-07,24.4,12.4,35.6,9.9,0.0,11.3,38
2016-03-08,21.6,9.7,38.1,9.9,0.0,11.3,39
2016-03-09,23.5,1.0,41.2,9.9,0.0,11.3,39
2016-03-10,29.3,10.9,50.2,9.9,0.0,11.2,38
2016-03-11,36.1,21.7,57.0,9.9,0.1,11.2,39
2016-03-12,31.8,24.8,47.5,10.0,0.4,11.2,37
2016-03-13,29.1,18.9,42.4,10.4,0.0,11.6,45
2016-03-14,31.5,19.2,43.9,10.4,0.0,11.6,42
2016-03-15,25.5,18.0,36.3,10.4,0.0,11.5,40
2016-03-16,25.7,14.4,39.9,10.4,0.0,11.4,40
2016-03-17,26.2,8.6,44.6,10.4,0.0,11.4,40
2016-03-18,29.8,16.3,45.0,10.4,0.0,11.4,39
2016-03-19,27.0,11.8,43.5,10.4,0.0,11.4,39
2016-03-20,27.0,9.0,45.0,10.4,0.0,11.4,38
2016-03-21,35.6,19.0,51.1,10.4,0.0,11.2,37
2016-03-22,36.9,18.9,47.5,10.4,0.1,11.0,36
2016-03-23,18.0,8.4,25.3,10.5,0.0,11.2,36
2016-03-24,23.9,5.7,38.3,10.5,0.1,11.3,37
2016-03-25,26.2,14.7,41.4,10.6,0.0,11.4,36
2016-03-26,18.9,1.8,33.3,10.6,0.1,11.4,36
2016-03-27,20.5,0.1,37.0,10.7,0.1,11.7,39
2016-03-28,32.2,15.8,48.0,10.8,0.1,11.7,38
2016-03-29,32.9,16.7,48.0,10.9,0.0,11.7,36
2016-03-30,17.4,6.4,27.7,10.9,0.0,11.7,36
2016-03-31,16.5,3.0,34.0,10.9,0.3,11.8,37
2016-04-01,16.3,2.7,33.4,11.2,0.0,11.9,40
2016-04-02,25.7,6.8,44.2,11.2,0.2,11.9,38
2016-04-03,32.4,14.9,50.7,11.4,0.1,11.9,36
2016-04-04,38.1,25.3,53.6,11.5,0.0,11.9,35
2016-04-05,34.3,16.0,50.9,11.5,0.0,11.9,33
2016-04-06,32.0,13.5,50.0,11.5,0.0,11.7,32
2016-04-07,38.5,24.4,57.4,11.5,0.0,11.1,29
2016-04-08,36.3,27.1,47.5,11.5,0.0,10.3,29
2016-04-09,35.8,29.1,47.7,11.5,0.0,9.8,27
2016-04-10,36.3,27.1,51.1,11.5,0.1,9.8,26
2016-04-11,34.2,28.8,46.8,11.6,0.1,9.3,26
2016-04-12,34.0,27.5,46.4,11.7,0.1,9.3,26
2016-04-13,35.6,23.9,51.1,11.8,0.0,9.3,26
2016-04-14,40.5,27.1,53.8,11.8,0.1,9.0,24
2016-04-15,36.5,27.5,49.6,11.9,0.1,8.3,23
2016-04-16,22.1,12.7,30.2,12.0,1.2,8.0,22
2016-04-17,22.3,10.9,31.6,13.2,0.2,9.1,34
2016-04-18,25.7,17.8,34.7,13.4,0.6,9.2,32
2016-04-19,27.1,21.4,38.7,14.0,0.2,10.0,38
2016-04-20,29.3,21.4,37.4,14.2,0.1,10.1,34
2016-04-21,35.1,17.6,52.7,14.3,0.0,10.3,35
2016-04-22,40.3,24.8,60.1,14.3,0.0,10.0,31
2016-04-23,42.1,30.4,55.9,14.3,0.0,9.6,28
2016-04-24,37.2,27.0,52.0,14.3,0.0,9.2,26
2016-04-25,36.5,21.2,52.0,14.3,0.0,9.2,24
2016-04-26,25.0,19.0,34.7,14.3,0.1,8.6,24
2016-04-27,32.5,23.0,48.2,14.4,0.2,8.7,27
2016-04-28,34.0,28.0,46.4,14.6,0.2,8.5,22
2016-04-29,27.0,23.4,37.0,14.8,1.0,8.7,25
2016-04-30,28.4,20.3,42.1,15.8,0.2,9.9,36
2016-05-01,25.2,20.8,30.6,16.0,0.2,10.1,35
2016-05-02,31.3,22.6,44.2,16.2,0.1,10.2,34
2016-05-03,35.8,25.5,50.4,16.3,0.0,10.2,32
2016-05-04,40.1,24.3,59.7,16.3,0.0,9.8,28
2016-05-05,42.8,28.8,63.7,16.3,0.0,9.5,26
2016-05-06,47.3,30.4,60.6,16.3,0.0,8.9,24
2016-05-07,39.0,24.4,48.0,16.3,0.0,7.0,20
2016-05-08,31.6,22.3,44.1,16.3,0.0,6.2,17
2016-05-09,36.5,28.8,52.5,16.3,0.3,5.7,14
2016-05-10,40.1,29.3,61.0,16.6,0.0,6.0,18
2016-05-11,34.3,25.5,45.0,16.6,0.2,5.3,14
2016-05-12,38.3,23.4,55.9,16.8,0.0,5.4,15
2016-05-13,43.0,26.8,61.2,16.8,0.0,4.1,11
2016-05-14,44.6,30.4,63.0,16.8,0.0,2.5,8
2016-05-15,37.4,31.8,66.2,16.8,0.7,1.1,3
2016-05-16,34.3,28.0,45.3,17.5,0.0,1.2,3
2016-05-17,32.7,26.4,48.2,17.5,0.4,1.0,4
2016-05-18,34.2,29.7,44.2,17.9,0.6,1.0,2
2016-05-19,37.0,30.4,50.9,18.5,0.4,1.6,7
2016-05-20,40.6,28.8,58.3,18.9,0.0,1.6,4
2016-05-21,47.7,30.4,61.3,18.9,0.0,0.7,4
2016-05-22,45.7,30.6,57.7,18.9,0.0,0.0,0
2016-05-23,40.5,28.0,56.1,18.9,0.0,0.0,0
