Date,Cumbres Trestle (431) Air Temperature Average (degF),Cumbres Trestle (431) Air Temperature Minimum (degF),Cumbres Trestle (431) Air Temperature Maximum (degF),Cumbres Trestle (431) Precipitation Accumulation (in) Start of Day Values,Cumbres Trestle (431) Precipitation Increment (in),Cumbres Trestle (431) Snow Water Equivalent (in) Start of Day Values,Cumbres Trestle (431) Snow Depth (in) Start of Day Values
2015-10-01,52.2,40.3,68.0,0.0,0.0,0.0,0
2015-10-02,51.3,45.9,62.1,0.0,0.0,0.0,0
2015-10-03,46.4,38.3,57.7,0.0,0.0,0.0,0
2015-10-04,44.2,35.8,56.8,0.0,0.0,0.0,0
2015-10-05,45.3,36.0,56.5,0.0,0.1,0.0,0
2015-10-06,43.2,34.3,55.0,0.1,0.0,0.0,0
2015-10-07,40.6,33.1,49.5,0.1,0.1,0.0,0
2015-10-08,46.0,36.7,56.8,0.2,0.0,0.0,0
2015-10-09,47.8,36.0,61.5,0.2,0.0,0.0,0
2015-10-10,47.3,32.9,61.5,0.2,0.0,0.0,0
2015-10-11,48.0,36.5,60.6,0.2,0.0,0.0,0
2015-10-12,47.3,29.5,64.8,0.2,0.0,0.0,0
2015-10-13,47.5,30.7,65.7,0.2,0.0,0.0,0
2015-10-14,47.1,30.0,65.3,0.2,0.0,0.0,0
2015-10-15,46.4,30.9,62.8,0.2,0.0,0.0,0
2015-10-16,42.4,29.5,58.5,0.2,0.2,0.0,0
2015-10-17,41.9,29.7,57.2,0.4,0.0,0.0,0
2015-10-18,41.9,39.2,47.8,0.4,0.1,0.0,0
2015-10-19,40.1,35.2,46.2,0.5,0.1,0.0,0
2015-10-20,36.7,29.7,51.3,0.6,0.4,0.0,0
2015-10-21,32.5,30.2,36.3,1.0,0.7,0.5,1
2015-10-22,32.7,31.5,35.1,1.7,0.6,0.9,3
2015-10-23,34.9,30.0,46.6,2.3,0.0,1.4,5
2015-10-24,36.5,29.5,49.1,2.3,0.0,1.2,4
2015-10-25,36.5,25.7,50.2,2.3,0.0,1.1,3
2015-10-26,34.9,27.5,41.9,2.3,0.0,1.1,3
2015-10-27,32.9,22.5,44.8,2.3,0.0,0.9,2
2015-10-28,32.2,22.5,43.5,2.3,0.2,0.8,1
2015-10-29,32.5,25.2,43.9,2.5,0.1,0.9,1
