Date,El Diente Peak (465) Air Temperature Average (degF),El Diente Peak (465) Air Temperature Minimum (degF),El Diente Peak (465) Air Temperature Maximum (degF),El Diente Peak (465) Precipitation Accumulation (in) Start of Day Values,El Diente Peak (465) Precipitation Increment (in),El Diente Peak (465) Snow Water Equivalent (in) Start of Day Values,El Diente Peak (465) Snow Depth (in) Start of Day Values
2015-10-01,52.7,40.1,66.0,0.0,0.0,0.0,0
2015-10-02,49.1,36.3,59.9,0.0,0.0,0.0,0
2015-10-03,41.2,28.8,53.6,0.0,0.0,0.0,0
2015-10-04,41.7,30.6,52.0,0.0,0.1,0.0,0
2015-10-05,39.4,33.4,47.5,0.1,0.7,0.0,0
2015-10-06,38.7,30.7,49.5,0.8,0.1,0.0,0
2015-10-07,37.8,30.0,50.0,0.9,0.0,0.0,0
2015-10-08,43.0,29.1,60.6,0.9,0.0,0.0,0
2015-10-09,44.6,32.4,62.6,0.9,0.0,0.0,0
2015-10-10,45.5,31.6,63.3,0.9,0.0,0.0,0
2015-10-11,46.2,33.3,59.2,0.9,0.0,0.0,0
2015-10-12,45.7,28.8,65.7,0.9,0.0,0.0,0
2015-10-13,45.5,28.8,64.8,0.9,0.0,0.0,0
2015-10-14,45.7,30.2,64.4,0.9,0.0,0.0,0
2015-10-15,45.9,29.8,65.8,0.9,0.0,0.0,0
2015-10-16,46.4,37.4,58.3,0.9,0.2,0.0,0
2015-10-17,42.1,32.7,51.4,1.1,0.0,0.0,0
2015-10-18,41.2,36.3,51.1,1.1,0.1,0.0,0
2015-10-19,37.9,32.5,45.5,1.2,0.5,0.0,0
2015-10-20,36.1,29.5,46.2,1.7,0.2,0.0,0
2015-10-21,35.1,29.7,43.0,1.9,0.1,0.0,0
2015-10-22,32.7,30.9,37.9,2.0,0.4,0.0,0
2015-10-23,33.3,25.2,44.2,2.4,0.1,0.0,0
2015-10-24,35.8,23.5,51.4,2.5,0.1,0.0,0
2015-10-25,37.9,27.3,51.1,2.6,0.0,0.0,0
2015-10-26,32.4,22.5,39.6,2.6,0.0,0.0,0
2015-10-27,32.4,22.5,44.6,2.6,0.0,0.0,0
2015-10-28,32.9,17.6,49.8,2.6,0.1,0.0,0
2015-10-29,32.5,25.3,42.4,2.7,0.0,0.0,0
2015-10-30,30.7,20.8,41.9,2.7,0.0,0.0,0
2015-10-31,35.2,24.1,49.5,2.7,0.0,0.0,0
2015-11-01,35.6,23.0,53.6,2.7,0.0,0.0,0
2015-11-02,39.2,24.8,55.8,2.7,0.1,0.0,0
2015-11-03,37.9,30.7,46.4,2.8,0.1,0.0,0
2015-11-04,24.8,15.6,31.8,2.9,0.7,0.1,1
2015-11-05,19.9,14.7,30.7,3.6,0.1,0.9,7
2015-11-06,18.3,5.9,33.4,3.7,0.1,0.9,3
2015-11-07,21.2,6.3,40.1,3.8,0.0,0.5,3
2015-11-08,22.6,9.7,42.6,3.8,0.0,0.6,2
2015-11-09,28.0,11.8,42.1,3.8,0.2,0.6,2
2015-11-10,25.7,16.0,36.5,4.0,0.4,0.7,2
2015-11-11,16.3,5.2,31.3,4.4,0.4,1.4,13
2015-11-12,19.4,6.1,40.3,4.8,0.1,1.5,14
2015-11-13,23.2,9.7,49.3,4.9,0.0,1.5,10
2015-11-14,25.0,10.9,49.5,4.9,0.0,1.5,8
2015-11-15,27.7,15.1,39.4,4.9,0.3,1.5,7
2015-11-16,20.8,14.5,28.0,5.2,1.3,1.9,10
