Date,Fremont Pass (485) Air Temperature Average (degF),Fremont Pass (485) Air Temperature Minimum (degF),Fremont Pass (485) Air Temperature Maximum (degF),Fremont Pass (485) Precipitation Accumulation (in) Start of Day Values,Fremont Pass (485) Precipitation Increment (in),Fremont Pass (485) Snow Water Equivalent (in) Start of Day Values,Fremont Pass (485) Snow Depth (in) Start of Day Values
2015-10-01,48.4,38.1,60.1,0.0,0.0,0.0,0
2015-10-02,44.8,30.9,60.6,0.0,0.0,0.0,0
2015-10-03,39.2,28.4,50.9,0.0,0.0,0.0,0
2015-10-04,40.1,30.0,53.6,0.0,0.0,0.0,0
2015-10-05,38.7,30.6,52.0,0.0,0.4,0.0,0
2015-10-06,36.9,32.5,43.9,0.4,0.2,0.0,0
2015-10-07,36.9,30.4,51.3,0.6,0.0,0.0,0
2015-10-08,40.6,30.2,55.2,0.6,0.0,0.0,0
2015-10-09,41.9,32.5,54.3,0.6,0.0,0.0,0
2015-10-10,43.2,32.9,58.5,0.6,0.0,0.0,0
2015-10-11,42.6,32.7,55.0,0.6,0.0,0.0,0
2015-10-12,40.6,29.8,55.2,0.6,0.0,0.0,0
2015-10-13,41.2,31.3,55.0,0.6,0.0,0.0,0
2015-10-14,42.3,31.3,56.7,0.6,0.0,0.0,0
2015-10-15,41.0,29.8,56.5,0.6,0.0,0.0,0
2015-10-16,40.3,27.5,54.7,0.6,0.1,0.0,0
2015-10-17,41.4,32.4,54.1,0.7,0.0,0.0,0
2015-10-18,39.9,34.2,49.1,0.7,0.0,0.0,0
2015-10-19,36.9,30.9,45.9,0.7,0.1,0.0,0
2015-10-20,35.8,27.7,45.7,0.8,0.1,0.0,0
2015-10-21,28.8,,39.0,0.9,0.0,0.0,0
2015-10-22,30.2,27.7,36.3,0.9,0.6,0.0,0
2015-10-23,28.8,22.1,34.9,1.5,0.2,0.6,4
2015-10-24,25.5,16.7,38.5,1.7,0.0,0.6,3
2015-10-25,31.8,23.7,46.2,1.7,0.1,0.6,3
2015-10-26,30.2,21.6,36.7,1.8,0.0,0.7,3
2015-10-27,23.5,13.6,33.1,1.8,0.2,0.7,3
2015-10-28,23.0,11.5,33.4,2.0,0.1,0.9,5
2015-10-29,30.6,24.4,40.5,2.1,0.0,1.0,5
2015-10-30,24.4,16.2,30.0,2.1,0.0,1.0,5
2015-10-31,27.1,21.2,38.5,2.1,0.0,1.0,5
2015-11-01,30.9,21.2,43.5,2.1,0.1,1.0,5
2015-11-02,36.3,27.7,49.6,2.2,0.1,1.1,5
2015-11-03,35.1,28.2,43.5,2.3,0.0,1.1,5
2015-11-04,27.7,17.8,36.5,2.3,0.2,1.1,5
2015-11-05,16.0,11.3,21.6,2.5,0.3,1.3,6
2015-11-06,12.4,2.8,19.0,2.8,0.0,1.7,13
2015-11-07,17.1,0.3,41.2,2.8,0.2,1.7,13
2015-11-08,23.7,15.4,40.8,3.0,0.0,1.8,12
2015-11-09,25.2,13.6,41.4,3.0,0.1,1.8,10
2015-11-10,25.2,16.5,37.2,3.1,0.4,1.8,10
2015-11-11,11.1,3.0,16.9,3.5,0.0,2.3,15
2015-11-12,13.6,3.9,26.8,3.5,0.1,2.3,17
2015-11-13,17.6,7.3,32.5,3.6,0.1,2.4,15
2015-11-14,24.3,15.8,42.8,3.7,0.1,2.5,14
2015-11-15,24.1,16.9,36.9,3.8,0.0,2.5,12
2015-11-16,21.6,16.2,29.5,3.8,0.4,2.5,13
2015-11-17,12.9,10.4,16.2,4.2,0.2,2.9,17
2015-11-18,16.9,12.7,21.7,4.4,0.3,3.2,21
2015-11-19,20.7,14.7,25.7,4.7,0.1,3.5,23
2015-11-20,17.8,-4.0,26.8,4.8,0.0,3.5,20
2015-11-21,5.4,-6.5,18.0,4.8,0.0,3.5,22
2015-11-22,17.1,6.6,33.3,4.8,0.1,3.5,20
2015-11-23,22.1,15.4,34.0,4.9,0.1,3.7,17
2015-11-24,23.9,17.2,32.4,5.0,0.0,3.7,17
2015-11-25,27.9,19.2,36.9,5.0,0.1,3.7,19
2015-11-26,21.4,8.8,30.0,5.1,0.0,3.8,16
2015-11-27,11.3,-0.2,20.3,5.1,0.1,3.8,17
2015-11-28,15.1,11.1,19.9,5.2,0.2,3.9,17
2015-11-29,12.9,5.7,20.7,5.4,0.0,3.9,19
2015-11-30,1.6,-2.7,7.5,5.4,0.2,3.9,19
2015-12-01,2.8,-7.1,12.0,5.6,0.0,4.1,21
2015-12-02,11.8,4.5,23.5,5.6,0.1,4.1,21
2015-12-03,16.7,11.7,25.7,5.7,0.0,4.1,20
2015-12-04,26.6,17.4,38.1,5.7,0.1,4.2,19
2015-12-05,13.6,2.5,23.5,5.8,0.0,4.3,20
2015-12-06,20.5,2.7,36.0,5.8,0.1,4.3,21
2015-12-07,27.7,16.9,36.9,5.9,0.1,4.4,20
2015-12-08,23.4,18.0,30.4,6.0,0.0,4.5,20
2015-12-09,28.8,17.4,39.9,6.0,0.1,4.5,21
2015-12-10,30.6,20.3,37.0,6.1,0.0,4.6,20
2015-12-11,26.2,22.6,30.6,6.1,0.0,4.6,20
2015-12-12,17.8,8.2,22.6,6.1,0.2,4.6,20
2015-12-13,12.0,1.8,21.4,6.3,0.0,4.8,24
2015-12-14,17.1,11.3,25.0,6.3,0.2,4.8,23
2015-12-15,4.6,-2.7,12.0,6.5,0.1,5.0,24
2015-12-16,-0.2,-5.3,9.0,6.6,0.0,5.1,26
2015-12-17,-1.7,-7.2,5.9,6.6,0.1,5.1,26
2015-12-18,12.9,3.4,23.5,6.7,0.2,5.2,26
2015-12-19,23.0,12.9,32.7,6.9,0.2,5.4,26
2015-12-20,16.7,11.3,24.6,7.1,0.1,5.5,26
2015-12-21,14.5,11.3,18.7,7.2,0.2,5.7,28
2015-12-22,19.4,12.0,28.0,7.4,0.5,5.9,29
2015-12-23,6.6,-2.6,13.6,7.9,0.3,6.4,34
2015-12-24,0.0,-11.6,7.0,8.2,0.0,6.7,37
2015-12-25,7.0,-5.1,17.2,8.2,0.0,6.8,35
2015-12-26,-4.5,-9.6,3.0,8.2,0.0,6.8,35
2015-12-27,3.9,-10.5,21.2,8.2,0.0,6.8,34
2015-12-28,8.2,0.9,19.0,8.2,0.0,6.8,33
2015-12-29,3.2,-2.6,13.3,8.2,0.0,6.8,33
2015-12-30,-1.8,-9.4,8.1,8.2,0.0,6.8,32
2015-12-31,-2.7,-8.9,6.6,8.2,0.0,6.8,32
2016-01-01,2.5,-8.3,18.3,8.2,0.0,6.8,32
2016-01-02,12.6,2.1,25.5,8.2,0.2,6.8,31
2016-01-03,18.0,11.1,29.5,8.4,0.1,7.0,31
2016-01-04,20.8,14.5,30.7,8.5,0.0,7.0,31
2016-01-05,18.0,10.0,26.6,8.5,0.0,7.0,29
2016-01-06,18.3,10.4,27.5,8.5,0.1,7.0,29
2016-01-07,15.1,4.6,19.8,8.6,0.1,7.1,31
2016-01-08,9.7,3.0,17.2,8.7,0.1,7.2,31
2016-01-09,6.8,-1.5,14.0,8.8,0.0,7.2,31
2016-01-10,-0.9,-7.4,8.4,8.8,0.0,7.2,33
2016-01-11,5.4,-3.5,16.2,8.8,0.0,7.2,33
2016-01-12,11.5,1.9,26.2,8.8,0.0,7.2,33
2016-01-13,18.3,9.0,33.4,8.8,0.0,7.2,32
2016-01-14,12.4,6.6,20.5,8.8,0.2,7.2,32
2016-01-15,8.8,3.6,14.4,9.0,0.2,7.5,35
2016-01-16,6.1,0.9,10.2,9.2,0.3,7.7,37
2016-01-17,12.2,5.7,17.4,9.5,0.2,8.1,39
2016-01-18,17.4,8.6,28.4,9.7,0.2,8.2,39
2016-01-19,14.4,8.1,22.6,9.9,0.0,8.4,41
2016-01-20,10.9,0.0,21.4,9.9,0.2,8.4,40
2016-01-21,7.3,4.1,15.1,10.1,0.0,8.7,44
2016-01-22,19.6,10.0,31.5,10.1,0.1,8.7,43
2016-01-23,23.7,14.7,36.3,10.2,0.0,8.7,40
2016-01-24,14.9,7.9,24.6,10.2,0.2,8.7,40
2016-01-25,6.3,0.9,14.5,10.4,0.0,9.0,44
2016-01-26,3.6,-7.2,15.6,10.4,0.0,9.0,41
2016-01-27,16.5,5.9,28.2,10.4,0.0,9.0,42
2016-01-28,19.9,12.0,31.5,10.4,0.1,9.1,39
2016-01-29,21.0,16.0,27.5,10.5,0.1,9.1,39
2016-01-30,25.3,14.5,33.8,10.6,0.7,9.2,41
2016-01-31,14.9,10.0,18.9,11.3,0.4,9.9,47
2016-02-01,13.5,2.3,21.7,11.7,0.2,10.4,49
2016-02-02,-0.6,-6.3,7.2,11.9,0.0,10.6,52
2016-02-03,-6.3,-14.6,-0.2,11.9,0.0,10.6,51
2016-02-04,0.7,-13.9,12.7,11.9,0.1,10.6,50
2016-02-05,2.5,-1.7,10.9,12.0,0.0,10.8,49
2016-02-06,12.7,2.1,25.5,12.0,0.1,10.8,50
2016-02-07,14.2,7.9,24.8,12.1,0.1,10.9,48
2016-02-08,16.7,9.3,27.5,12.2,0.0,10.9,47
2016-02-09,19.0,9.7,32.9,12.2,0.0,10.9,46
2016-02-10,23.4,14.2,38.7,12.2,0.0,10.9,46
2016-02-11,24.4,15.1,37.2,12.2,0.0,10.9,45
2016-02-12,28.0,19.4,41.7,12.2,0.0,10.9,45
