Date,Grizzly Peak (505) Air Temperature Average (degF),Grizzly Peak (505) Air Temperature Minimum (degF),Grizzly Peak (505) Air Temperature Maximum (degF),Grizzly Peak (505) Precipitation Accumulation (in) Start of Day Values,Grizzly Peak (505) Precipitation Increment (in),Grizzly Peak (505) Snow Water Equivalent (in) Start of Day Values,Grizzly Peak (505) Snow Depth (in) Start of Day Values
2015-10-01,50.0,41.7,62.2,0.0,0.0,0.0,0
2015-10-02,48.0,35.8,60.4,0.0,0.0,0.0,0
2015-10-03,42.1,34.7,53.1,0.0,0.0,0.0,0
2015-10-04,41.9,34.2,54.7,0.0,0.0,0.0,0
2015-10-05,41.4,36.9,53.4,0.0,0.3,0.0,0
2015-10-06,39.9,35.2,48.2,0.3,0.3,0.0,0
2015-10-07,39.6,33.8,49.6,0.6,0.1,0.0,0
2015-10-08,43.0,34.3,55.9,0.7,0.0,0.0,0
2015-10-09,44.6,35.8,56.3,0.7,0.0,0.0,0
2015-10-10,46.4,37.4,59.9,0.7,0.0,0.0,0
2015-10-11,45.9,38.3,56.5,0.7,0.0,0.0,0
2015-10-12,43.9,32.4,56.7,0.7,0.0,0.0,0
2015-10-13,45.7,38.7,55.6,0.7,0.0,0.0,0
2015-10-14,46.0,37.9,59.2,0.7,0.0,0.0,0
2015-10-15,44.1,34.2,58.5,0.7,0.0,0.0,0
2015-10-16,45.0,33.3,58.8,0.7,0.0,0.0,0
2015-10-17,45.0,38.1,56.8,0.7,0.0,0.0,0
2015-10-18,43.2,37.9,53.1,0.7,0.0,0.0,0
2015-10-19,39.9,35.6,45.5,0.7,0.0,0.0,0
2015-10-20,38.8,32.5,48.7,0.7,0.0,0.0,0
2015-10-21,35.4,31.5,39.4,0.7,0.0,0.0,0
2015-10-22,34.0,31.5,38.8,0.7,0.8,0.0,0
2015-10-23,32.4,28.0,37.6,1.5,0.2,1.0,7
2015-10-24,30.6,21.9,39.4,1.7,0.0,1.2,9
2015-10-25,35.4,27.9,46.0,1.7,0.0,1.2,8
2015-10-26,34.2,27.5,40.5,1.7,0.0,1.2,7
2015-10-27,27.5,21.0,36.5,1.7,0.2,1.2,6
2015-10-28,27.1,17.2,37.2,1.9,0.0,1.5,8
2015-10-29,32.9,26.8,42.4,1.9,0.1,1.5,7
2015-10-30,28.2,21.2,34.7,2.0,0.0,1.5,7
2015-10-31,30.7,25.0,37.8,2.0,0.1,1.7,9
2015-11-01,34.7,27.1,45.0,2.1,0.0,1.7,9
2015-11-02,39.4,30.7,50.4,2.1,0.1,1.7,8
2015-11-03,38.3,31.6,47.8,2.2,0.0,1.7,8
2015-11-04,31.6,23.7,41.2,2.2,0.2,1.7,7
2015-11-05,21.4,16.5,26.6,2.4,0.1,2.1,11
2015-11-06,17.8,11.7,23.7,2.5,0.1,2.3,15
2015-11-07,23.4,6.1,41.9,2.6,0.2,2.4,13
2015-11-08,31.6,25.5,45.7,2.8,0.0,2.4,13
2015-11-09,31.5,22.5,42.8,2.8,0.0,2.4,12
2015-11-10,31.3,22.6,43.2,2.8,0.2,2.4,12
2015-11-11,17.4,9.5,22.8,3.0,0.4,2.9,18
2015-11-12,18.3,10.2,32.5,3.4,0.1,3.3,22
2015-11-13,24.1,14.2,37.6,3.5,0.0,3.3,20
2015-11-14,30.4,23.0,44.1,3.5,0.0,3.3,18
2015-11-15,29.1,22.6,39.2,3.5,0.0,3.3,17
2015-11-16,26.4,20.1,32.0,3.5,0.2,3.3,16
2015-11-17,16.7,13.8,23.9,3.7,0.2,3.6,19
2015-11-18,20.8,16.9,25.2,3.9,0.5,4.0,21
2015-11-19,23.4,19.0,27.9,4.4,0.2,4.4,25
2015-11-20,20.7,1.6,28.8,4.6,0.4,4.6,27
2015-11-21,10.8,-2.4,23.0,5.0,0.1,5.3,33
2015-11-22,22.5,11.7,36.9,5.1,0.1,5.3,30
2015-11-23,27.0,21.2,37.4,5.2,0.0,5.3,27
2015-11-24,27.9,22.3,36.5,5.2,0.0,5.3,25
2015-11-25,30.6,23.0,41.9,5.2,0.0,5.3,23
2015-11-26,24.3,13.6,30.9,5.2,0.0,5.3,23
2015-11-27,21.9,10.8,31.3,5.2,0.0,5.3,22
2015-11-28,20.8,17.8,25.0,5.2,0.0,5.3,22
2015-11-29,16.2,9.3,24.1,5.2,0.0,5.3,22
2015-11-30,5.9,1.0,10.0,5.2,0.0,5.4,25
2015-12-01,7.5,-0.6,15.6,5.2,0.1,5.5,25
2015-12-02,18.5,9.1,30.2,5.3,0.1,5.5,24
2015-12-03,22.3,15.1,31.5,5.4,0.0,5.5,24
2015-12-04,30.9,22.8,41.9,5.4,0.0,5.5,23
2015-12-05,18.9,7.9,26.2,5.4,0.0,5.5,23
2015-12-06,26.2,8.8,41.0,5.4,0.1,5.5,23
2015-12-07,31.3,21.4,39.0,5.5,0.0,5.6,23
2015-12-08,28.8,24.8,33.4,5.5,0.0,5.6,22
2015-12-09,32.0,23.2,42.3,5.5,0.1,5.6,22
2015-12-10,32.0,22.5,39.0,5.6,0.0,5.6,22
2015-12-11,28.6,25.2,33.6,5.6,0.0,5.6,22
2015-12-12,21.2,9.9,26.6,5.6,0.1,5.6,21
2015-12-13,16.2,4.1,25.0,5.7,0.0,5.9,29
2015-12-14,22.8,17.6,31.6,5.7,0.4,5.9,26
2015-12-15,10.2,3.7,18.1,6.1,0.3,6.4,30
2015-12-16,5.2,0.1,14.4,6.4,0.1,6.9,33
2015-12-17,3.2,-2.2,7.2,6.5,0.1,7.0,33
2015-12-18,19.2,7.0,29.8,6.6,0.2,7.1,33
2015-12-19,26.2,18.7,36.9,6.8,0.1,7.2,31
2015-12-20,21.0,16.0,27.9,6.9,0.0,7.2,30
2015-12-21,19.0,16.3,26.1,6.9,0.2,7.3,33
2015-12-22,22.5,14.5,27.9,7.1,0.5,7.5,34
2015-12-23,10.6,1.2,17.2,7.6,0.3,8.3,42
2015-12-24,5.4,-1.8,14.0,7.9,0.1,8.6,44
2015-12-25,12.7,3.9,21.4,8.0,0.1,8.7,43
2015-12-26,2.8,-5.8,7.3,8.1,0.1,8.8,41
2015-12-27,13.8,2.3,32.4,8.2,0.1,9.0,40
2015-12-28,15.6,8.2,25.9,8.3,0.0,9.0,39
2015-12-29,10.4,4.8,21.0,8.3,0.0,9.0,38
2015-12-30,5.7,-1.3,16.3,8.3,0.0,9.0,38
2015-12-31,2.5,-2.2,14.9,8.3,0.0,9.1,36
2016-01-01,9.9,-1.1,26.1,8.3,0.0,9.1,37
2016-01-02,19.4,10.2,31.3,8.3,0.1,9.1,36
2016-01-03,23.7,17.6,35.4,8.4,0.0,9.1,36
2016-01-04,26.6,21.2,37.2,8.4,0.1,9.1,36
2016-01-05,24.4,17.1,34.2,8.5,0.0,9.1,36
2016-01-06,21.7,16.0,30.0,8.5,0.0,9.1,36
2016-01-07,19.4,13.5,25.2,8.5,0.0,9.1,35
2016-01-08,15.1,10.0,23.0,8.5,0.0,9.2,37
2016-01-09,11.1,3.2,16.7,8.5,0.0,9.2,36
2016-01-10,5.2,-1.8,17.2,8.5,0.0,9.2,36
2016-01-11,11.3,3.2,22.5,8.5,0.0,9.2,37
2016-01-12,17.6,7.5,30.9,8.5,0.0,9.2,37
2016-01-13,23.2,13.1,33.3,8.5,0.0,9.2,36
2016-01-14,16.2,11.3,23.5,8.5,0.0,9.3,36
2016-01-15,12.6,7.9,20.8,8.5,0.1,9.4,38
2016-01-16,10.0,3.9,15.8,8.6,0.2,9.6,40
2016-01-17,16.5,12.2,21.0,8.8,0.4,9.7,40
2016-01-18,22.1,13.6,31.8,9.2,0.0,10.1,42
2016-01-19,19.6,14.4,28.0,9.2,0.1,10.1,43
2016-01-20,16.0,7.9,24.4,9.3,0.1,10.3,44
2016-01-21,13.3,8.1,23.5,9.4,0.0,10.4,45
2016-01-22,24.6,14.0,37.2,9.4,0.2,10.5,44
2016-01-23,28.6,22.1,39.9,9.6,0.0,10.5,44
2016-01-24,21.0,12.7,33.1,9.6,0.0,10.5,43
2016-01-25,10.8,3.2,18.9,9.6,0.0,10.5,42
2016-01-26,10.2,0.9,21.4,9.6,0.0,10.6,42
2016-01-27,21.7,8.4,35.2,9.6,0.1,10.6,43
2016-01-28,25.3,15.8,37.8,9.7,0.0,10.6,42
2016-01-29,24.4,21.7,29.5,9.7,0.1,10.6,42
2016-01-30,28.6,17.4,37.0,9.8,0.4,10.7,41
2016-01-31,17.6,10.0,24.1,10.2,0.3,11.4,49
2016-02-01,16.3,5.2,25.0,10.5,0.1,11.8,51
2016-02-02,3.7,-3.6,11.1,10.6,0.0,12.0,51
2016-02-03,-2.6,-8.5,2.5,10.6,0.0,12.0,50
2016-02-04,5.9,-8.5,17.8,10.6,0.2,12.1,50
2016-02-05,7.0,2.1,14.5,10.8,0.0,12.1,48
2016-02-06,18.1,5.5,28.8,10.8,0.2,12.2,50
2016-02-07,19.8,15.6,25.9,11.0,0.0,12.2,49
2016-02-08,23.0,16.3,34.0,11.0,0.0,12.2,47
2016-02-09,25.0,15.1,39.0,11.0,0.0,12.2,47
2016-02-10,29.7,21.0,43.0,11.0,0.0,12.2,47
2016-02-11,31.1,21.7,41.5,11.0,0.0,12.2,47
2016-02-12,32.9,26.2,43.2,11.0,0.0,12.2,46
2016-02-13,32.2,21.9,43.2,11.0,0.0,12.2,46
2016-02-14,23.0,19.9,28.8,11.0,0.1,12.2,46
2016-02-15,25.5,20.1,30.0,11.1,0.4,12.6,49
2016-02-16,27.3,21.6,35.2,11.5,0.1,12.8,51
2016-02-17,32.5,21.2,45.3,11.6,0.0,12.9,52
2016-02-18,32.9,17.4,42.8,11.6,0.1,12.9,50
2016-02-19,26.2,11.8,38.3,11.7,0.0,13.1,52
2016-02-20,29.1,21.0,42.3,11.7,0.0,13.1,51
2016-02-21,27.3,20.5,40.5,11.7,0.1,13.1,51
2016-02-22,20.7,13.6,26.8,11.8,0.0,13.1,50
2016-02-23,13.8,5.5,24.4,11.8,0.0,13.2,51
2016-02-24,16.3,5.0,28.6,11.8,0.0,13.2,50
2016-02-25,23.2,12.6,34.3,11.8,0.0,13.2,50
2016-02-26,28.4,17.4,41.9,11.8,0.1,13.2,49
2016-02-27,31.6,23.5,43.2,11.9,0.0,13.2,49
2016-02-28,27.1,16.7,39.4,11.9,0.0,13.2,48
2016-02-29,26.1,15.8,37.4,11.9,0.0,13.2,48
2016-03-01,24.8,11.3,36.3,11.9,0.1,13.4,49
2016-03-02,25.9,19.4,32.2,12.0,0.2,13.4,50
2016-03-03,29.5,17.1,42.4,12.2,0.1,13.6,53
2016-03-04,31.3,26.2,40.1,12.3,0.0,13.6,51
2016-03-05,34.0,24.8,45.5,12.3,0.0,13.6,51
2016-03-06,31.8,25.9,39.7,12.3,0.0,13.6,50
2016-03-07,24.1,18.3,28.8,12.3,0.0,13.6,49
2016-03-08,21.0,10.4,34.7,12.3,0.0,13.8,50
2016-03-09,21.2,11.7,33.3,12.3,0.0,13.8,48
2016-03-10,28.9,16.3,41.5,12.3,0.1,13.8,48
2016-03-11,39.4,29.5,53.2,12.4,0.1,13.9,50
2016-03-12,33.3,25.7,40.3,12.5,0.0,14.0,49
2016-03-13,30.7,23.9,39.0,12.5,0.0,14.0,50
2016-03-14,25.7,16.7,32.5,12.5,0.4,14.1,48
2016-03-15,14.9,9.0,22.5,12.9,0.5,14.9,60
2016-03-16,15.6,9.1,21.6,13.4,0.4,15.4,62
2016-03-17,21.6,16.0,30.6,13.8,0.3,15.9,65
2016-03-18,16.3,11.5,26.1,14.1,0.2,16.3,67
2016-03-19,15.4,6.8,29.1,14.3,0.0,16.4,65
2016-03-20,25.5,9.5,39.0,14.3,0.1,16.4,64
2016-03-21,35.1,25.5,46.8,14.4,0.1,16.6,61
2016-03-22,32.7,23.4,42.3,14.5,0.0,16.6,57
2016-03-23,19.9,16.9,26.4,14.5,0.3,16.6,58
2016-03-24,20.8,14.2,29.7,14.8,0.1,17.1,62
2016-03-25,18.3,5.7,27.7,14.9,0.3,17.2,64
2016-03-26,13.3,4.6,24.6,15.2,0.1,17.6,67
2016-03-27,20.3,4.5,33.8,15.3,0.1,17.7,67
2016-03-28,32.4,19.9,44.2,15.4,0.1,17.8,61
2016-03-29,31.1,17.4,43.9,15.5,0.0,17.9,61
2016-03-30,18.1,9.9,25.5,15.5,0.0,17.9,59
2016-03-31,16.5,7.2,28.0,15.5,0.1,18.0,64
2016-04-01,17.8,7.3,29.3,15.6,0.0,18.2,63
2016-04-02,28.4,14.5,43.2,15.6,0.2,18.2,62
2016-04-03,32.9,24.4,42.3,15.8,0.0,18.3,60
2016-04-04,36.3,27.0,48.2,15.8,0.1,18.3,58
2016-04-05,26.6,19.0,38.1,15.9,0.0,18.3,57
2016-04-06,30.6,16.5,43.7,15.9,0.2,18.4,58
2016-04-07,34.9,25.2,46.8,16.1,0.0,18.5,56
2016-04-08,36.9,26.4,49.3,16.1,0.0,18.2,55
2016-04-09,34.3,30.0,44.4,16.1,0.0,18.0,55
2016-04-10,34.0,27.3,44.1,16.1,0.1,18.1,54
2016-04-11,33.6,26.6,40.8,16.2,0.0,18.1,55
2016-04-12,35.4,28.2,45.3,16.2,0.1,18.1,55
2016-04-13,36.3,27.3,49.5,16.3,0.1,17.9,52
2016-04-14,38.5,30.9,48.4,16.4,0.0,17.8,52
2016-04-15,29.7,22.5,38.8,16.4,0.5,17.7,52
2016-04-16,21.2,19.4,24.4,16.9,0.4,18.2,61
2016-04-17,22.3,14.7,32.4,17.3,0.3,19.6,66
2016-04-18,24.1,14.4,36.3,17.6,0.0,19.8,66
2016-04-19,26.2,18.9,35.4,17.6,0.1,19.8,63
2016-04-20,30.2,22.5,38.8,17.7,0.1,19.8,60
2016-04-21,35.8,25.2,47.8,17.8,0.1,19.8,59
2016-04-22,41.9,30.7,55.8,17.9,0.0,19.2,58
2016-04-23,38.8,26.6,52.9,17.9,0.0,18.8,57
2016-04-24,32.2,25.3,42.6,17.9,0.0,18.8,54
2016-04-25,36.7,26.8,49.3,17.9,0.1,18.7,54
2016-04-26,27.7,22.3,39.2,18.0,0.0,18.6,52
2016-04-27,28.0,22.3,37.2,18.0,0.2,18.8,53
2016-04-28,31.6,25.7,39.7,18.2,0.0,18.9,55
2016-04-29,26.2,21.9,31.3,18.2,0.2,19.0,54
2016-04-30,24.4,18.3,33.6,18.4,0.3,19.3,59
2016-05-01,23.4,16.9,33.1,18.7,0.1,19.6,59
2016-05-02,30.2,16.9,40.5,18.8,0.1,19.8,56
2016-05-03,35.2,23.4,46.6,18.9,0.0,19.7,54
2016-05-04,41.2,30.0,51.6,18.9,0.0,19.1,52
2016-05-05,45.5,34.9,55.0,18.9,0.0,17.8,51
2016-05-06,45.3,39.7,55.0,18.9,0.1,16.8,49
2016-05-07,36.5,26.1,46.4,19.0,0.0,16.2,47
2016-05-08,31.6,25.9,42.4,19.0,0.0,16.1,44
2016-05-09,34.0,28.0,41.5,19.0,0.4,16.1,45
2016-05-10,32.9,23.5,41.4,19.4,0.5,16.3,46
2016-05-11,31.3,22.5,41.5,19.9,0.0,16.9,48
2016-05-12,37.2,24.8,50.2,19.9,0.1,16.9,47
2016-05-13,42.8,33.6,52.2,20.0,0.0,16.5,46
2016-05-14,43.5,35.4,57.2,20.0,0.0,15.6,45
2016-05-15,38.8,32.5,47.3,20.0,0.0,14.5,41
2016-05-16,33.8,26.8,43.2,20.0,0.4,14.4,39
2016-05-17,33.4,26.6,44.1,20.4,0.2,14.8,40
2016-05-18,36.5,26.6,47.8,20.6,0.0,14.9,43
2016-05-19,38.8,31.5,47.8,20.6,0.0,14.6,40
2016-05-20,44.8,35.1,55.9,20.6,0.0,14.2,40
2016-05-21,47.1,38.7,56.7,20.6,0.1,13.3,37
2016-05-22,43.2,31.6,55.6,20.7,0.0,12.3,34
2016-05-23,38.8,30.6,49.5,20.7,0.0,11.4,32
2016-05-24,42.6,33.8,54.5,20.7,0.0,10.9,31
2016-05-25,40.1,31.8,50.9,20.7,0.0,10.1,29
2016-05-26,36.5,32.0,48.9,20.7,0.0,9.0,26
2016-05-27,34.7,30.9,42.1,20.7,0.0,8.6,25
2016-05-28,36.5,29.1,46.9,20.7,0.1,8.3,24
2016-05-29,40.3,33.1,52.3,20.8,0.1,7.9,22
2016-05-30,41.7,34.2,54.3,20.9,0.0,7.1,20
2016-05-31,41.0,33.4,52.2,20.9,0.0,6.3,18
2016-06-01,43.0,32.9,53.1,20.9,0.0,5.4,17
2016-06-02,46.4,36.3,56.8,20.9,0.0,4.2,15
2016-06-03,47.7,41.5,57.9,20.9,0.0,2.5,11
2016-06-04,48.9,39.7,60.6,20.9,0.0,1.3,5
2016-06-05,50.2,41.2,61.2,20.9,0.0,0.7,3
2016-06-06,50.2,41.0,64.9,20.9,0.0,0.2,1
2016-06-07,50.0,40.6,64.9,20.9,0.0,0.0,0
2016-06-08,48.9,39.7,61.7,20.9,0.1,0.0,0
2016-06-09,51.1,39.9,64.2,21.0,0.0,0.0,0
2016-06-10,54.9,45.5,68.5,21.0,0.0,0.0,0
2016-06-11,54.3,45.0,68.4,21.0,0.1,0.0,0
2016-06-12,49.1,42.4,63.7,21.1,0.0,0.0,0
2016-06-13,45.1,34.7,58.8,21.1,0.0,0.0,0
2016-06-14,43.3,34.0,54.5,21.1,0.0,0.0,0
2016-06-15,53.4,40.3,67.5,21.1,0.0,0.0,0
2016-06-16,54.0,43.9,68.4,21.1,0.0,0.0,0
2016-06-17,52.7,42.4,65.7,21.1,0.0,0.0,0
2016-06-18,57.7,43.3,72.5,21.1,0.1,0.0,0
2016-06-19,60.1,48.2,73.6,21.2,0.0,0.0,0
2016-06-20,58.3,50.2,73.8,21.2,0.0,0.0,0
2016-06-21,60.1,49.5,74.3,21.2,0.0,0.0,0
2016-06-22,53.4,43.0,71.2,21.2,0.0,0.0,0
2016-06-23,51.6,43.2,62.1,21.2,0.0,0.0,0
2016-06-24,54.3,44.6,69.4,21.2,0.0,0.0,0
2016-06-25,54.7,44.6,68.4,21.2,0.0,0.0,0
2016-06-26,55.2,43.7,69.3,21.2,0.0,0.0,0
2016-06-27,55.8,44.2,68.0,21.2,0.0,0.0,0
2016-06-28,57.0,46.4,70.7,21.2,0.0,0.0,0
2016-06-29,54.5,46.6,67.6,21.2,0.0,0.0,0
2016-06-30,48.4,45.1,53.1,21.2,0.4,0.0,0
2016-07-01,47.1,44.4,51.3,21.6,0.3,0.0,0
2016-07-02,46.8,42.8,53.6,21.9,0.2,0.0,0
2016-07-03,48.0,41.0,60.6,22.1,0.3,0.0,0
2016-07-04,50.5,40.6,61.7,22.4,0.0,0.0,0
2016-07-05,52.9,45.5,62.8,22.4,0.0,0.0,0
2016-07-06,55.0,46.2,66.9,22.4,0.0,0.0,0
2016-07-07,54.9,47.1,65.7,22.4,0.0,0.0,0
2016-07-08,56.1,46.2,69.4,22.4,0.0,0.0,0
2016-07-09,57.2,47.3,69.4,22.4,0.0,0.0,0
2016-07-10,58.8,49.5,71.2,22.4,0.0,0.0,0
2016-07-11,52.5,43.5,62.4,22.4,0.0,0.0,0
2016-07-12,54.1,43.2,66.0,22.4,0.0,0.0,0
2016-07-13,55.4,45.7,68.0,22.4,0.0,0.0,0
2016-07-14,53.2,43.2,65.5,22.4,0.0,0.0,0
2016-07-15,54.3,44.8,67.6,22.4,0.0,0.0,0
2016-07-16,57.2,46.2,70.0,22.4,0.0,0.0,0
2016-07-17,58.3,49.5,71.1,22.4,0.0,0.0,0
2016-07-18,53.8,47.5,63.5,22.4,0.0,0.0,0
2016-07-19,54.0,46.6,68.4,22.4,0.1,0.0,0
2016-07-20,51.4,44.8,68.7,22.5,0.5,0.0,0
2016-07-21,50.4,44.8,64.6,23.0,0.1,0.0,0
2016-07-22,53.4,46.0,66.4,23.1,0.0,0.0,0
2016-07-23,56.3,46.2,68.7,23.1,0.0,0.0,0
2016-07-24,55.2,44.8,68.4,23.1,0.0,0.0,0
2016-07-25,56.8,47.1,69.3,23.1,0.0,0.0,0
2016-07-26,54.1,46.8,64.8,23.1,0.0,0.0,0
2016-07-27,56.5,46.2,69.4,23.1,0.0,0.0,0
2016-07-28,57.2,47.5,70.9,23.1,0.0,0.0,0
2016-07-29,56.1,46.2,66.9,23.1,0.0,0.0,0
2016-07-30,57.2,47.8,70.0,23.1,0.0,0.0,0
2016-07-31,52.3,43.7,66.7,23.1,0.1,0.0,0
2016-08-01,54.1,43.5,67.3,23.2,0.1,0.0,0
2016-08-02,55.9,48.6,68.4,23.3,0.0,0.0,0
2016-08-03,57.0,47.1,70.3,23.3,0.0,0.0,0
2016-08-04,49.5,44.6,56.3,23.3,0.2,0.0,0
2016-08-05,48.7,44.6,56.1,23.5,0.6,0.0,0
2016-08-06,48.7,44.2,55.4,24.1,0.0,0.0,0
2016-08-07,52.2,43.3,65.8,24.1,0.0,0.0,0
2016-08-08,52.0,44.4,62.8,24.1,0.0,0.0,0
2016-08-09,52.3,45.3,68.7,24.1,0.0,0.0,0
2016-08-10,50.5,44.2,63.0,24.1,0.0,0.0,0
2016-08-11,50.4,41.7,62.1,24.1,0.0,0.0,0
2016-08-12,48.0,40.5,58.6,24.1,0.0,0.0,0
2016-08-13,49.3,39.2,61.9,24.1,0.1,0.0,0
2016-08-14,51.8,40.8,63.7,24.2,0.0,0.0,0
2016-08-15,52.2,44.1,64.9,24.2,0.0,0.0,0
2016-08-16,50.2,43.2,65.3,24.2,0.0,0.0,0
2016-08-17,49.1,41.0,62.2,24.2,0.0,0.0,0
2016-08-18,46.2,39.7,58.5,24.2,0.0,0.0,0
2016-08-19,45.5,39.0,57.2,24.2,0.1,0.0,0
2016-08-20,46.9,38.8,59.9,24.3,0.0,0.0,0
2016-08-21,52.3,41.4,65.1,24.3,0.2,0.0,0
2016-08-22,48.4,41.2,59.7,24.5,0.0,0.0,0
2016-08-23,45.0,39.6,56.7,24.5,0.1,0.0,0
2016-08-24,41.7,37.9,49.8,24.6,0.3,0.0,0
2016-08-25,41.9,36.1,55.9,24.9,0.3,0.0,0
2016-08-26,41.9,36.7,50.9,25.2,0.1,0.0,0
2016-08-27,45.5,36.5,58.5,25.3,0.0,0.0,0
2016-08-28,44.8,40.1,56.3,25.3,0.0,0.0,0
2016-08-29,45.7,39.6,58.1,25.3,0.0,0.0,0
2016-08-30,45.3,39.0,55.6,25.3,0.1,0.0,0
2016-08-31,50.2,40.1,63.0,25.4,0.1,0.0,0
2016-09-01,50.7,43.9,65.1,25.5,0.1,0.0,0
2016-09-02,47.1,42.6,55.8,25.6,0.0,0.0,0
2016-09-03,48.6,41.5,60.1,25.6,0.0,0.0,0
2016-09-04,48.0,41.7,58.8,25.6,0.0,0.0,0
2016-09-05,50.2,40.3,63.5,25.6,0.1,0.0,0
2016-09-06,51.4,44.1,63.5,25.7,0.0,0.0,0
2016-09-07,50.0,41.4,60.3,25.7,0.0,0.0,0
2016-09-08,50.2,39.6,62.6,25.7,0.0,0.0,0
2016-09-09,46.0,36.7,58.8,25.7,0.0,0.0,0
2016-09-10,48.9,36.5,63.5,25.7,0.0,0.0,0
2016-09-11,50.2,40.8,64.0,25.7,0.0,0.0,0
2016-09-12,47.3,39.6,59.2,25.7,0.0,0.0,0
2016-09-13,45.0,37.9,57.7,25.7,0.0,0.0,0
2016-09-14,45.0,35.8,57.6,25.7,0.0,0.0,0
2016-09-15,40.5,32.7,51.8,25.7,0.0,0.0,0
