Date,Hoosier Pass (531) Air Temperature Average (degF),Hoosier Pass (531) Air Temperature Minimum (degF),Hoosier Pass (531) Air Temperature Maximum (degF),Hoosier Pass (531) Precipitation Accumulation (in) Start of Day Values,Hoosier Pass (531) Precipitation Increment (in),Hoosier Pass (531) Snow Water Equivalent (in) Start of Day Values,Hoosier Pass (531) Snow Depth (in) Start of Day Values
2015-10-01,47.3,39.2,58.8,0.0,0.0,0.0,0
2015-10-02,43.0,29.5,58.5,0.0,0.0,0.0,0
2015-10-03,38.3,28.2,52.9,0.0,0.0,0.0,0
2015-10-04,38.5,31.8,51.3,0.0,0.0,0.0,0
2015-10-05,36.9,30.9,51.3,0.0,0.1,0.0,0
2015-10-06,36.7,29.7,48.2,0.1,0.4,0.1,1
2015-10-07,33.8,28.0,45.5,0.5,0.0,0.3,1
2015-10-08,38.7,29.3,52.2,0.5,0.0,0.1,1
2015-10-09,41.7,30.9,58.6,0.5,0.0,0.0,0
2015-10-10,43.0,32.5,59.5,0.5,0.0,0.0,0
2015-10-11,43.0,33.3,54.1,0.5,0.0,0.0,0
2015-10-12,40.1,27.3,55.8,0.5,0.0,0.0,0
2015-10-13,43.7,34.0,55.4,0.5,0.0,0.0,0
2015-10-14,43.2,32.7,59.5,0.5,0.0,0.0,0
2015-10-15,39.2,28.8,56.7,0.5,0.0,0.0,0
2015-10-16,40.5,25.9,58.8,0.5,0.0,0.0,0
2015-10-17,39.6,33.3,56.1,0.5,0.0,0.0,0
2015-10-18,39.4,34.3,49.5,0.5,0.1,0.0,0
2015-10-19,35.8,30.2,42.6,0.6,0.0,0.0,0
2015-10-20,33.4,27.5,46.6,0.6,0.3,0.1,1
2015-10-21,28.8,25.9,30.6,0.9,0.3,0.3,1
2015-10-22,28.8,25.9,32.9,1.2,0.7,0.4,3
2015-10-23,26.8,20.5,30.9,1.9,0.1,1.1,8
2015-10-24,25.0,16.5,34.0,2.0,0.0,1.2,7
2015-10-25,32.7,24.3,43.7,2.0,0.0,1.2,7
2015-10-26,28.8,20.5,37.0,2.0,0.0,1.2,7
2015-10-27,21.7,12.9,30.0,2.0,0.3,1.2,7
2015-10-28,24.1,11.5,36.0,2.3,0.0,1.5,9
2015-10-29,29.3,24.1,39.9,2.3,0.0,1.5,9
2015-10-30,21.6,14.9,26.4,2.3,0.2,1.5,7
2015-10-31,26.6,18.0,37.9,2.5,0.0,1.7,10
2015-11-01,32.0,21.6,44.1,2.5,0.0,1.8,9
2015-11-02,37.0,27.9,50.7,2.5,0.0,1.8,9
2015-11-03,33.3,27.3,44.2,2.5,0.0,1.8,8
2015-11-04,25.0,15.8,36.5,2.5,0.3,1.8,7
2015-11-05,14.5,10.8,21.7,2.8,0.2,2.0,12
2015-11-06,11.7,7.0,19.2,3.0,0.1,2.2,14
2015-11-07,21.0,1.4,43.7,3.1,0.1,2.3,13
