Date,Idarado (538) Air Temperature Average (degF),Idarado (538) Air Temperature Minimum (degF),Idarado (538) Air Temperature Maximum (degF),Idarado (538) Precipitation Accumulation (in) Start of Day Values,Idarado (538) Precipitation Increment (in),Idarado (538) Snow Water Equivalent (in) Start of Day Values,Idarado (538) Snow Depth (in) Start of Day Values
2015-10-01,55.4,40.6,70.0,0.0,0.0,0.0,0
2015-10-02,51.3,41.0,62.1,0.0,0.0,0.0,0
2015-10-03,43.0,29.5,57.6,0.0,0.0,0.0,0
2015-10-04,41.9,32.2,57.0,0.0,0.1,0.0,0
2015-10-05,40.1,36.7,53.2,0.1,0.8,0.0,0
2015-10-06,40.1,31.8,55.0,0.9,0.0,0.0,0
2015-10-07,39.0,32.5,56.8,0.9,0.1,0.0,0
2015-10-08,41.2,30.6,60.4,1.0,0.0,0.0,0
2015-10-09,45.3,33.8,63.1,1.0,0.0,0.0,0
2015-10-10,45.3,33.1,65.8,1.0,0.0,0.0,0
2015-10-11,45.0,33.8,63.7,1.0,0.0,0.0,0
2015-10-12,43.5,30.7,65.8,1.0,0.0,0.0,0
2015-10-13,43.2,30.6,65.5,1.0,0.0,0.0,0
2015-10-14,43.9,30.9,66.2,1.0,0.0,0.0,0
2015-10-15,44.2,31.3,66.0,1.0,0.0,0.0,0
2015-10-16,43.5,34.7,60.4,1.0,0.1,0.0,0
2015-10-17,43.0,32.9,56.5,1.1,0.1,0.0,0
2015-10-18,42.8,37.4,53.4,1.2,0.2,0.0,0
2015-10-19,40.1,35.1,50.2,1.4,0.3,0.0,0
2015-10-20,37.4,30.4,50.7,1.7,0.2,0.0,0
2015-10-21,37.4,31.5,47.7,1.9,0.1,0.0,0
2015-10-22,33.8,32.0,41.0,2.0,0.6,0.0,0
2015-10-23,33.3,26.8,42.8,2.6,0.2,0.3,3
2015-10-24,33.3,24.6,47.7,2.8,0.0,0.2,1
2015-10-25,37.4,29.1,52.2,2.8,0.0,0.0,0
2015-10-26,33.1,25.2,42.3,2.8,0.0,0.0,0
2015-10-27,34.2,23.4,46.0,2.8,0.0,0.0,0
2015-10-28,31.8,19.2,48.6,2.8,0.1,0.0,0
2015-10-29,34.2,28.0,46.2,2.9,0.1,0.2,1
2015-10-30,27.9,19.8,36.5,3.0,0.0,0.2,1
2015-10-31,29.5,20.1,47.5,3.0,0.0,0.2,1
2015-11-01,33.8,23.5,53.2,3.0,0.1,0.2,1
2015-11-02,39.4,25.9,55.6,3.1,0.0,0.3,1
2015-11-03,38.3,28.8,45.3,3.1,0.1,0.3,1
2015-11-04,27.7,18.3,33.3,3.2,0.7,0.3,1
2015-11-05,20.7,11.8,32.5,3.9,0.0,1.0,9
2015-11-06,20.5,9.3,30.6,3.9,0.0,1.0,6
2015-11-07,19.2,8.1,37.8,3.9,0.1,1.0,5
2015-11-08,22.3,10.4,40.8,4.0,0.0,1.2,5
2015-11-09,29.8,17.4,46.8,4.0,0.1,1.2,4
2015-11-10,27.0,17.2,38.1,4.1,0.2,1.1,4
2015-11-11,17.1,7.9,29.3,4.3,0.2,1.1,7
2015-11-12,17.8,7.5,36.0,4.5,0.1,1.2,14
2015-11-13,21.0,11.3,37.4,4.6,0.0,1.3,8
2015-11-14,24.3,14.9,40.8,4.6,0.0,1.5,8
2015-11-15,28.8,18.0,41.0,4.6,0.3,1.5,7
2015-11-16,24.1,19.0,29.8,4.9,1.2,1.5,11
2015-11-17,17.2,5.2,25.2,6.1,0.5,2.4,25
2015-11-18,16.3,8.1,30.6,6.6,0.1,3.0,29
2015-11-19,21.4,8.4,38.1,6.7,0.0,3.1,24
2015-11-20,27.1,5.0,37.9,6.7,0.0,3.2,22
2015-11-21,11.1,0.3,34.5,6.7,0.0,3.4,20
2015-11-22,19.0,6.4,38.1,6.7,0.0,3.4,19
2015-11-23,23.7,12.7,44.6,6.7,0.1,3.5,17
2015-11-24,27.9,13.5,44.2,6.8,0.1,3.5,16
2015-11-25,34.5,30.2,42.3,6.9,0.0,3.5,16
2015-11-26,27.7,24.1,31.8,6.9,0.1,3.5,15
2015-11-27,27.0,22.6,34.2,7.0,0.1,3.5,16
2015-11-28,21.7,10.6,30.4,7.1,0.0,3.5,17
2015-11-29,15.8,7.5,24.1,7.1,0.0,3.5,16
2015-11-30,11.3,6.3,18.3,7.1,0.0,3.5,17
2015-12-01,7.0,-4.2,27.0,7.1,0.0,3.6,17
2015-12-02,15.1,2.5,36.5,7.1,0.0,3.8,17
2015-12-03,21.9,9.7,41.2,7.1,0.1,3.8,16
2015-12-04,29.8,17.1,44.6,7.2,0.1,4.0,16
2015-12-05,18.3,5.0,26.4,7.3,0.1,4.0,16
2015-12-06,19.9,7.5,36.7,7.4,0.0,4.0,19
2015-12-07,26.4,13.8,45.5,7.4,0.0,3.9,18
2015-12-08,28.8,20.3,42.3,7.4,0.0,3.9,17
2015-12-09,31.8,18.9,49.5,7.4,0.2,3.9,17
2015-12-10,36.1,22.1,49.1,7.6,0.0,3.9,16
2015-12-11,32.2,25.0,38.1,7.6,0.1,3.9,16
2015-12-12,19.9,13.5,28.4,7.7,0.4,3.8,18
2015-12-13,16.3,0.7,31.8,8.1,0.0,4.3,23
2015-12-14,19.4,10.0,26.6,8.1,0.3,4.3,21
2015-12-15,9.3,4.3,14.4,8.4,0.1,4.6,24
2015-12-16,5.2,-6.5,18.7,8.5,0.1,4.8,24
2015-12-17,8.1,3.9,18.3,8.6,0.0,4.9,23
2015-12-18,16.9,4.6,32.9,8.6,0.1,4.9,23
2015-12-19,28.8,19.0,43.0,8.7,0.1,5.0,23
2015-12-20,21.0,13.6,29.7,8.8,0.1,5.1,22
2015-12-21,20.7,14.2,28.8,8.9,0.3,5.2,24
2015-12-22,23.4,19.4,26.8,9.2,0.8,5.3,25
2015-12-23,13.8,-6.5,21.9,10.0,0.1,6.2,38
2015-12-24,8.4,-10.7,19.4,10.1,0.5,6.4,37
2015-12-25,14.0,1.6,21.0,10.6,0.3,6.7,36
2015-12-26,-0.6,-9.8,7.9,10.9,0.0,7.1,39
2015-12-27,10.8,-4.4,30.4,10.9,0.1,7.1,37
2015-12-28,11.5,3.9,29.5,11.0,0.0,7.2,35
2015-12-29,7.9,-1.8,21.4,11.0,0.0,7.2,32
2015-12-30,9.0,0.0,19.9,11.0,0.0,7.3,33
2015-12-31,7.7,-4.0,18.9,11.0,0.0,7.4,31
2016-01-01,10.6,0.9,27.9,11.0,0.1,7.5,32
2016-01-02,14.7,0.9,33.8,11.1,0.0,7.5,31
2016-01-03,21.0,12.0,37.9,11.1,0.1,7.5,31
2016-01-04,25.2,14.4,38.7,11.2,0.0,7.6,30
2016-01-05,23.2,15.6,34.7,11.2,0.1,7.6,30
2016-01-06,23.9,17.2,31.5,11.3,0.0,7.6,30
2016-01-07,18.9,11.1,27.7,11.3,0.0,7.6,30
2016-01-08,14.9,9.5,22.5,11.3,0.0,7.6,30
2016-01-09,11.3,-3.3,22.5,11.3,0.0,7.6,29
2016-01-10,1.0,-8.3,19.8,11.3,0.0,7.6,31
2016-01-11,6.1,-6.7,27.9,11.3,0.0,7.6,31
2016-01-12,12.6,2.8,32.0,11.3,0.0,7.7,30
2016-01-13,18.7,7.3,41.9,11.3,0.0,7.9,30
2016-01-14,14.9,0.9,24.8,11.3,0.0,7.9,29
2016-01-15,16.0,5.0,22.1,11.3,0.4,7.9,30
2016-01-16,16.3,10.2,26.2,11.7,0.5,8.3,34
2016-01-17,17.2,5.0,28.4,12.2,0.1,8.7,43
2016-01-18,21.0,8.6,36.9,12.3,0.2,8.8,42
2016-01-19,23.0,18.0,34.3,12.5,0.0,8.8,40
2016-01-20,18.0,6.4,29.1,12.5,0.5,8.8,39
2016-01-21,8.2,-4.7,26.2,13.0,0.0,9.0,44
2016-01-22,21.6,10.2,37.4,13.0,0.1,9.0,42
2016-01-23,25.9,15.3,44.4,13.1,0.0,9.0,40
2016-01-24,20.8,15.1,28.8,13.1,0.8,9.0,38
2016-01-25,12.9,-3.3,21.6,13.9,0.0,9.7,49
2016-01-26,5.4,-7.2,26.8,13.9,0.0,9.8,47
2016-01-27,19.0,6.1,38.7,13.9,0.0,9.9,45
2016-01-28,21.6,12.9,38.1,13.9,0.1,9.9,42
2016-01-29,25.3,17.8,40.5,14.0,0.0,9.9,41
2016-01-30,33.4,23.5,42.6,14.0,0.3,10.0,41
2016-01-31,22.6,17.2,27.7,14.3,0.8,10.3,41
2016-02-01,16.2,6.8,25.2,15.1,0.4,11.2,51
2016-02-02,4.3,-5.6,12.4,15.5,0.0,11.8,55
2016-02-03,-3.5,-13.4,9.3,15.5,0.0,11.9,53
2016-02-04,3.6,-12.8,20.8,15.5,0.1,11.9,51
2016-02-05,9.1,-1.8,25.9,15.6,0.0,11.9,50
2016-02-06,15.1,1.8,36.3,15.6,0.1,11.9,49
2016-02-07,19.9,9.9,37.4,15.7,0.1,12.1,48
2016-02-08,21.4,9.0,42.4,15.8,0.0,12.2,47
2016-02-09,22.6,10.2,45.9,15.8,0.0,12.2,46
2016-02-10,26.4,15.8,51.3,15.8,0.0,12.2,45
2016-02-11,26.8,14.5,49.5,15.8,0.0,12.2,44
2016-02-12,31.5,19.9,54.1,15.8,0.1,12.2,44
2016-02-13,30.6,18.3,49.3,15.9,0.0,12.3,43
2016-02-14,25.2,12.2,37.2,15.9,0.0,12.4,42
2016-02-15,25.0,12.6,42.4,15.9,0.0,12.4,41
2016-02-16,27.0,15.1,47.5,15.9,0.0,12.4,42
2016-02-17,35.1,19.2,53.8,15.9,0.0,12.4,41
2016-02-18,38.5,29.3,46.4,15.9,0.0,12.4,41
2016-02-19,33.8,21.7,46.8,15.9,0.0,12.4,40
2016-02-20,30.0,18.3,47.1,15.9,0.0,12.4,40
2016-02-21,28.4,17.8,46.0,15.9,0.0,12.4,40
2016-02-22,20.8,14.4,29.5,15.9,0.3,12.4,39
2016-02-23,17.4,3.9,27.1,16.2,0.1,12.6,43
2016-02-24,14.0,-1.3,36.9,16.3,0.0,12.6,44
2016-02-25,22.6,7.7,43.7,16.3,0.0,12.6,42
2016-02-26,27.0,13.5,49.5,16.3,0.1,12.6,42
2016-02-27,33.8,19.6,48.9,16.4,0.1,12.7,41
2016-02-28,30.2,20.3,46.6,16.5,0.0,12.8,40
2016-02-29,31.5,20.5,44.2,16.5,0.0,12.8,39
2016-03-01,30.2,16.7,45.5,16.5,0.0,12.9,39
2016-03-02,31.6,21.6,44.2,16.5,0.0,12.9,38
2016-03-03,31.3,15.4,51.8,16.5,0.0,12.9,38
2016-03-04,33.3,22.5,49.8,16.5,0.0,12.9,38
2016-03-05,35.8,23.4,49.3,16.5,0.0,12.9,36
2016-03-06,32.5,26.6,38.1,16.5,0.4,12.9,36
2016-03-07,23.0,10.6,35.8,16.9,0.0,13.3,41
2016-03-08,18.9,5.0,38.3,16.9,0.0,13.3,41
2016-03-09,21.7,6.4,39.6,16.9,0.0,13.3,40
2016-03-10,29.5,12.7,52.5,16.9,0.1,13.3,40
2016-03-11,38.3,24.8,56.5,17.0,0.0,13.0,38
2016-03-12,31.3,23.0,41.7,17.0,0.0,12.9,36
2016-03-13,30.2,18.9,45.0,17.0,0.1,13.0,37
2016-03-14,33.4,24.3,42.6,17.1,0.1,13.1,37
2016-03-15,23.7,14.0,35.2,17.2,0.1,13.2,38
2016-03-16,24.6,13.3,38.1,17.3,0.0,13.4,38
2016-03-17,28.4,14.9,44.4,17.3,0.0,13.4,38
2016-03-18,27.1,15.6,43.5,17.3,0.0,13.4,37
2016-03-19,24.4,11.8,42.8,17.3,0.0,13.3,37
2016-03-20,28.8,12.2,49.5,17.3,0.1,12.8,37
2016-03-21,37.9,21.6,53.2,17.4,0.1,12.9,36
2016-03-22,34.5,18.0,47.1,17.5,0.2,13.2,34
2016-03-23,18.3,13.3,22.6,17.7,0.6,13.4,37
2016-03-24,22.6,9.5,40.3,18.3,0.0,13.8,41
2016-03-25,23.9,14.7,36.9,18.3,0.2,13.8,38
2016-03-26,19.0,6.4,27.0,18.5,0.3,13.9,39
2016-03-27,23.7,2.5,45.0,18.8,0.1,14.1,41
2016-03-28,34.2,25.2,46.4,18.9,0.1,14.1,39
2016-03-29,24.8,11.8,34.2,19.0,0.6,14.2,39
2016-03-30,16.5,2.8,33.1,19.6,0.1,14.9,46
2016-03-31,20.7,9.5,32.2,19.7,0.2,15.0,44
2016-04-01,20.8,4.6,38.5,19.9,0.0,15.0,43
2016-04-02,27.5,10.4,48.6,19.9,0.1,15.0,42
2016-04-03,32.2,17.6,52.2,20.0,0.0,15.0,40
2016-04-04,36.7,22.3,54.9,20.0,0.0,14.5,38
