Date,Independence Pass (542) Air Temperature Average (degF),Independence Pass (542) Air Temperature Minimum (degF),Independence Pass (542) Air Temperature Maximum (degF),Independence Pass (542) Precipitation Accumulation (in) Start of Day Values,Independence Pass (542) Precipitation Increment (in),Independence Pass (542) Snow Water Equivalent (in) Start of Day Values,Independence Pass (542) Snow Depth (in) Start of Day Values
2015-10-01,47.5,34.2,66.6,0.0,0.0,0.0,0
2015-10-02,44.2,30.7,57.4,0.0,0.0,0.0,0
2015-10-03,38.5,26.2,54.9,0.0,0.0,0.0,0
2015-10-04,38.8,26.8,55.0,0.0,0.1,0.0,0
2015-10-05,40.1,30.9,52.5,0.1,0.0,0.0,0
2015-10-06,39.6,30.6,52.7,0.1,0.1,0.0,0
2015-10-07,36.9,28.0,52.5,0.2,0.0,0.0,0
2015-10-08,38.5,25.7,57.9,0.2,0.0,0.0,0
2015-10-09,41.2,28.0,61.0,0.2,0.0,0.0,0
2015-10-10,41.0,28.8,62.1,0.2,0.0,0.0,0
2015-10-11,40.5,28.8,56.8,0.2,0.0,0.0,0
2015-10-12,38.8,26.2,60.6,0.2,0.0,0.0,0
2015-10-13,37.9,26.2,59.9,0.2,0.0,0.0,0
2015-10-14,39.0,27.0,61.0,0.2,0.0,0.0,0
2015-10-15,40.5,27.1,62.6,0.2,0.0,0.0,0
2015-10-16,39.2,27.0,59.0,0.2,0.0,0.0,0
2015-10-17,39.9,28.8,54.7,0.2,0.0,0.0,0
2015-10-18,39.6,32.0,49.5,0.2,0.0,0.0,0
2015-10-19,36.7,28.4,43.7,0.2,0.1,0.0,0
2015-10-20,36.1,27.5,48.4,0.3,0.0,0.0,0
2015-10-21,36.3,27.1,40.8,0.3,0.1,0.0,0
2015-10-22,30.2,27.1,34.5,0.4,0.9,0.0,0
2015-10-23,30.4,17.8,41.9,1.3,0.3,1.0,8
2015-10-24,24.1,12.4,47.5,1.6,0.0,1.2,7
2015-10-25,30.9,19.9,51.1,1.6,0.0,1.2,7
2015-10-26,29.5,17.2,38.5,1.6,0.1,1.2,6
2015-10-27,22.5,7.2,38.8,1.7,0.2,1.2,6
2015-10-28,21.9,6.1,39.4,1.9,0.0,1.3,6
2015-10-29,28.8,19.4,40.6,1.9,0.0,1.4,7
2015-10-30,25.5,15.8,32.4,1.9,0.2,1.4,4
2015-10-31,27.3,19.6,40.3,2.1,0.0,1.5,9
2015-11-01,27.9,16.7,48.2,2.1,0.0,1.5,8
2015-11-02,32.7,19.9,50.0,2.1,0.0,1.5,8
2015-11-03,35.6,24.4,46.0,2.1,0.1,1.6,7
2015-11-04,27.0,14.0,33.4,2.2,0.2,1.6,7
2015-11-05,14.5,7.0,27.0,2.4,0.2,1.9,9
2015-11-06,12.2,-1.1,21.2,2.6,0.1,2.0,12
2015-11-07,12.9,-5.1,39.4,2.7,0.0,2.0,13
2015-11-08,18.3,8.6,41.2,2.7,0.0,2.1,11
