Date,Ivanhoe (547) Air Temperature Average (degF),Ivanhoe (547) Air Temperature Minimum (degF),Ivanhoe (547) Air Temperature Maximum (degF),Ivanhoe (547) Precipitation Accumulation (in) Start of Day Values,Ivanhoe (547) Precipitation Increment (in),Ivanhoe (547) Snow Water Equivalent (in) Start of Day Values,Ivanhoe (547) Snow Depth (in) Start of Day Values
2015-10-01,51.8,40.5,67.3,0.0,0.0,0.0,0
2015-10-02,47.3,33.1,64.2,0.0,0.1,0.0,0
2015-10-03,41.9,30.2,55.0,0.1,0.0,0.0,0
2015-10-04,43.5,31.8,57.6,0.1,0.0,0.0,0
2015-10-05,41.0,32.2,53.8,0.1,0.0,0.0,0
2015-10-06,41.0,32.2,55.2,0.1,0.2,0.0,0
2015-10-07,39.9,31.6,52.9,0.3,0.0,0.0,0
2015-10-08,43.2,30.7,59.0,0.3,0.0,0.0,0
2015-10-09,45.0,32.9,60.1,0.3,0.0,0.0,0
2015-10-10,45.7,32.9,64.2,0.3,0.0,0.0,0
2015-10-11,43.5,29.8,58.5,0.3,0.0,0.0,0
2015-10-12,42.4,28.8,60.4,0.3,0.0,0.0,0
2015-10-13,41.9,27.1,61.7,0.3,0.0,0.0,0
2015-10-14,44.2,30.0,64.9,0.3,0.0,0.0,0
2015-10-15,45.5,32.7,64.9,0.3,0.1,0.0,0
2015-10-16,44.4,32.0,60.6,0.4,0.0,0.0,0
2015-10-17,45.0,33.8,60.1,0.4,0.0,0.0,0
2015-10-18,41.9,37.0,50.4,0.4,0.0,0.0,0
2015-10-19,38.5,31.5,47.1,0.4,0.1,0.0,0
2015-10-20,37.4,28.4,49.1,0.5,0.1,0.0,0
2015-10-21,35.6,31.3,38.7,0.6,0.0,0.0,0
2015-10-22,31.3,29.3,35.6,0.6,1.2,0.0,0
2015-10-23,30.4,23.9,38.5,1.8,0.3,1.0,6
2015-10-24,29.1,18.0,43.9,2.1,0.0,1.0,8
2015-10-25,34.3,23.7,48.4,2.1,0.1,1.0,7
2015-10-26,30.9,21.0,37.4,2.2,0.1,1.0,6
2015-10-27,23.7,9.1,39.4,2.3,0.1,1.0,6
2015-10-28,24.8,8.8,39.0,2.4,0.1,1.0,6
2015-10-29,31.3,21.4,45.7,2.5,0.1,1.0,6
2015-10-30,26.8,22.6,33.4,2.6,0.1,1.0,6
2015-10-31,30.2,21.9,44.2,2.7,0.0,1.0,7
2015-11-01,33.4,23.5,48.2,2.7,0.0,1.0,7
2015-11-02,37.4,23.2,55.4,2.7,0.0,1.0,7
2015-11-03,37.9,25.0,49.5,2.7,0.0,1.0,7
2015-11-04,27.3,18.3,35.6,2.7,0.6,1.0,6
2015-11-05,19.2,15.6,28.8,3.3,0.1,1.4,11
2015-11-06,16.2,5.9,23.5,3.4,0.1,1.5,11
2015-11-07,19.2,1.9,39.6,3.5,0.1,1.5,13
2015-11-08,23.4,11.8,42.1,3.6,0.0,1.5,12
2015-11-09,25.7,10.2,43.9,3.6,0.0,1.5,11
2015-11-10,26.6,16.9,41.4,3.6,0.4,1.6,11
2015-11-11,12.4,-0.8,21.6,4.0,0.1,1.9,9
2015-11-12,12.2,-0.6,30.2,4.1,0.0,2.0,16
2015-11-13,18.7,3.7,38.7,4.1,0.1,2.0,15
2015-11-14,24.4,12.6,45.7,4.2,0.0,2.1,14
2015-11-15,24.4,12.0,41.7,4.2,0.0,2.1,14
