Date,Kiln (556) Air Temperature Average (degF),Kiln (556) Air Temperature Minimum (degF),Kiln (556) Air Temperature Maximum (degF),Kiln (556) Precipitation Accumulation (in) Start of Day Values,Kiln (556) Precipitation Increment (in),Kiln (556) Snow Water Equivalent (in) Start of Day Values,Kiln (556) Snow Depth (in) Start of Day Values
2015-10-01,51.1,35.8,68.2,0.0,0.0,0.0,0
2015-10-02,48.0,36.3,65.8,0.0,0.1,0.0,0
2015-10-03,42.3,27.9,54.7,0.1,0.0,0.0,0
2015-10-04,43.0,29.3,60.4,0.1,0.0,0.0,0
2015-10-05,41.7,30.0,57.0,0.1,0.0,0.0,0
2015-10-06,42.3,31.8,57.7,0.1,0.4,0.0,0
2015-10-07,39.0,29.7,55.8,0.5,0.0,0.0,0
2015-10-08,42.3,27.5,60.4,0.5,0.0,0.0,0
2015-10-09,43.9,29.5,61.9,0.5,0.0,0.0,0
2015-10-10,44.6,28.8,63.9,0.5,0.0,0.0,0
2015-10-11,44.1,30.2,61.0,0.5,0.0,0.0,0
2015-10-12,42.4,27.3,61.5,0.5,0.0,0.0,0
2015-10-13,41.9,26.4,63.0,0.5,0.0,0.0,0
2015-10-14,42.6,27.1,63.5,0.5,0.0,0.0,0
2015-10-15,43.5,27.3,63.7,0.5,0.0,0.0,0
2015-10-16,42.3,27.1,61.5,0.5,0.0,0.0,0
2015-10-17,44.2,28.8,60.6,0.5,0.0,0.0,0
2015-10-18,43.0,35.2,51.8,0.5,0.0,0.0,0
2015-10-19,39.6,30.7,48.9,0.5,0.1,0.0,0
2015-10-20,38.7,30.4,48.4,0.6,0.0,0.0,0
2015-10-21,41.0,29.7,49.3,0.6,0.0,0.0,0
2015-10-22,31.6,28.8,34.5,0.6,0.6,0.0,0
2015-10-23,32.5,25.5,39.2,1.2,0.2,0.7,2
2015-10-24,29.1,19.0,43.9,1.4,0.0,0.7,1
2015-10-25,33.4,20.1,49.8,1.4,0.1,0.6,1
2015-10-26,31.8,23.4,38.8,1.5,0.0,0.6,1
2015-10-27,25.9,12.9,39.0,1.5,0.0,0.5,1
2015-10-28,26.6,10.4,42.3,1.5,0.2,0.4,1
2015-10-29,32.5,22.1,45.7,1.7,0.0,0.3,1
2015-10-30,29.5,21.6,38.1,1.7,0.0,0.4,2
2015-10-31,32.0,23.5,44.1,1.7,0.0,0.4,2
2015-11-01,33.1,22.5,48.6,1.7,0.0,0.4,2
2015-11-02,36.0,23.2,56.5,1.7,0.0,0.4,2
2015-11-03,38.1,25.0,50.4,1.7,0.1,0.4,2
2015-11-04,28.8,20.7,39.0,1.8,0.4,0.5,2
2015-11-05,21.6,17.6,25.9,2.2,0.2,1.1,8
2015-11-06,17.6,5.5,25.2,2.4,0.0,1.2,9
2015-11-07,14.2,-3.1,34.3,2.4,0.0,1.2,8
2015-11-08,19.6,7.3,39.4,2.4,0.1,1.3,7
2015-11-09,22.3,7.9,43.9,2.5,0.0,1.3,7
2015-11-10,27.3,14.4,42.4,2.5,0.3,1.4,8
2015-11-11,14.4,0.3,21.0,2.8,0.0,1.6,9
2015-11-12,12.6,-0.9,30.6,2.8,0.0,1.6,9
2015-11-13,17.1,2.8,38.8,2.8,0.1,1.7,11
2015-11-14,19.9,5.2,43.2,2.9,0.0,1.7,10
2015-11-15,22.5,9.3,43.9,2.9,0.0,1.7,9
2015-11-16,23.7,20.8,27.3,2.9,0.5,1.8,10
2015-11-17,18.3,15.4,24.3,3.4,0.1,2.3,15
2015-11-18,21.6,16.3,25.5,3.5,0.2,2.4,15
2015-11-19,25.3,19.6,33.4,3.7,0.0,2.5,16
2015-11-20,24.8,-0.2,34.2,3.7,0.0,2.5,14
2015-11-21,6.6,-9.6,27.1,3.7,0.0,2.5,15
2015-11-22,16.0,-0.2,38.7,3.7,0.0,2.6,14
2015-11-23,19.9,7.2,41.9,3.7,0.0,2.7,14
2015-11-24,23.2,11.3,39.4,3.7,0.0,2.7,13
2015-11-25,29.8,11.1,44.2,3.7,0.1,2.7,13
2015-11-26,23.5,13.6,31.6,3.8,0.0,2.8,13
2015-11-27,21.0,11.7,28.8,3.8,0.1,2.8,12
2015-11-28,16.9,5.0,27.3,3.9,0.0,2.8,12
2015-11-29,15.8,10.4,25.0,3.9,0.1,2.8,14
2015-11-30,7.9,5.4,11.7,4.0,0.0,3.0,16
2015-12-01,5.0,-5.1,18.7,4.0,0.0,3.0,16
2015-12-02,10.2,-6.5,30.6,4.0,0.1,3.0,16
2015-12-03,18.3,6.3,33.4,4.1,0.0,3.1,16
2015-12-04,23.4,6.4,43.7,4.1,0.0,3.1,15
2015-12-05,17.8,-2.2,27.1,4.1,0.0,3.1,15
2015-12-06,15.6,-2.6,41.7,4.1,0.1,3.1,15
2015-12-07,24.4,8.2,40.3,4.2,0.0,3.2,15
2015-12-08,29.3,19.8,38.8,4.2,0.0,3.3,15
2015-12-09,28.8,13.8,44.2,4.2,0.1,3.3,15
2015-12-10,34.0,20.3,42.4,4.3,0.0,3.3,15
2015-12-11,31.6,25.7,36.9,4.3,0.0,3.3,14
2015-12-12,21.9,13.6,27.1,4.3,0.2,3.1,14
2015-12-13,12.0,-2.9,30.4,4.5,0.0,3.3,17
2015-12-14,19.8,7.5,33.8,4.5,0.1,3.4,16
2015-12-15,10.0,2.1,14.2,4.6,0.1,3.6,17
2015-12-16,5.4,-3.3,11.5,4.7,0.1,3.8,20
2015-12-17,4.1,-5.3,9.9,4.8,0.0,3.8,20
2015-12-18,15.8,4.1,28.8,4.8,0.0,3.8,20
2015-12-19,20.8,6.1,39.0,4.8,0.2,3.9,18
2015-12-20,21.6,15.6,31.3,5.0,0.2,4.1,19
2015-12-21,19.8,16.7,24.6,5.2,0.2,4.3,23
2015-12-22,22.6,16.9,27.1,5.4,0.4,4.5,25
2015-12-23,12.4,3.6,19.8,5.8,0.2,4.8,28
2015-12-24,3.9,-11.2,12.0,6.0,0.1,4.9,29
