Date,Lake Eldora (564) Air Temperature Average (degF),Lake Eldora (564) Air Temperature Minimum (degF),Lake Eldora (564) Air Temperature Maximum (degF),Lake Eldora (564) Precipitation Accumulation (in) Start of Day Values,Lake Eldora (564) Precipitation Increment (in),Lake Eldora (564) Snow Water Equivalent (in) Start of Day Values,Lake Eldora (564) Snow Depth (in) Start of Day Values
2015-10-01,53.4,46.8,68.7,0.0,0.0,0.0,0
2015-10-02,50.2,37.4,67.8,0.0,0.0,0.0,0
2015-10-03,43.7,34.7,59.2,0.0,0.2,0.0,0
2015-10-04,42.4,33.3,55.8,0.2,0.1,0.0,0
2015-10-05,48.6,40.8,60.1,0.3,0.1,0.0,0
2015-10-06,41.9,36.7,56.1,0.4,0.7,0.0,0
2015-10-07,44.6,35.6,57.9,1.1,0.1,0.0,0
2015-10-08,46.2,39.2,60.6,1.2,0.1,0.0,0
2015-10-09,48.4,36.0,61.7,1.3,0.0,0.0,0
2015-10-10,53.4,41.4,63.7,1.3,0.0,0.0,0
2015-10-11,53.2,45.9,63.9,1.3,0.0,0.0,0
2015-10-12,49.5,38.8,60.1,1.3,0.0,0.0,0
2015-10-13,51.4,41.4,62.1,1.3,0.0,0.0,0
2015-10-14,52.7,45.0,63.7,1.3,0.0,0.0,0
2015-10-15,44.1,32.5,56.5,1.3,0.0,0.0,0
2015-10-16,48.2,32.0,63.5,1.3,0.0,0.0,0
2015-10-17,50.2,42.6,63.5,1.3,0.1,0.0,0
2015-10-18,48.0,41.9,56.8,1.4,0.0,0.0,0
2015-10-19,44.4,36.9,54.9,1.4,0.0,0.0,0
2015-10-20,40.5,32.4,52.5,1.4,0.2,0.0,1
2015-10-21,32.4,30.7,33.8,1.6,0.6,0.3,2
2015-10-22,32.5,30.6,37.9,2.2,0.7,0.5,2
2015-10-23,32.7,28.8,37.2,2.9,0.1,1.2,5
2015-10-24,34.0,27.1,44.6,3.0,0.0,1.2,5
2015-10-25,40.1,33.4,51.1,3.0,0.1,1.1,4
2015-10-26,,30.4,43.9,3.1,0.0,1.1,4
2015-10-27,29.5,23.7,41.0,3.1,0.2,0.9,4
2015-10-28,31.3,22.6,40.8,3.3,0.1,1.2,3
2015-10-29,35.8,29.7,45.7,3.4,0.1,1.2,2
2015-10-30,30.6,27.0,36.0,3.5,0.0,1.1,2
2015-10-31,34.2,27.0,42.1,3.5,0.0,1.1,2
2015-11-01,40.8,34.9,50.4,3.5,0.0,1.1,2
2015-11-02,43.9,34.5,57.6,3.5,0.0,1.1,2
2015-11-03,43.7,34.3,55.9,3.5,0.0,1.1,2
2015-11-04,32.5,23.7,43.0,3.5,0.3,1.1,2
2015-11-05,21.6,18.0,27.1,3.8,0.1,1.4,4
2015-11-06,19.2,16.0,23.0,3.9,0.2,1.4,3
2015-11-07,30.7,13.5,45.0,4.1,0.1,1.6,3
2015-11-08,40.6,28.8,55.6,4.2,0.0,1.6,4
2015-11-09,36.1,29.1,49.3,4.2,0.0,1.6,4
2015-11-10,34.0,22.6,47.5,4.2,0.1,1.6,2
2015-11-11,18.3,12.9,23.2,4.3,0.6,1.8,5
2015-11-12,21.6,13.8,31.3,4.9,0.1,2.3,15
2015-11-13,29.3,19.2,39.2,5.0,0.1,2.4,13
2015-11-14,38.1,30.9,49.5,5.1,0.0,2.4,12
2015-11-15,34.0,26.8,44.8,5.1,0.0,2.4,12
2015-11-16,27.9,20.8,36.0,5.1,0.1,2.4,11
2015-11-17,18.0,14.9,23.7,5.2,0.0,2.5,9
2015-11-18,21.2,18.0,26.4,5.2,0.4,2.6,10
2015-11-19,25.7,18.7,30.9,5.6,0.2,2.8,12
2015-11-20,21.0,6.3,29.5,5.8,0.2,3.0,13
2015-11-21,16.3,5.2,23.5,6.0,0.2,3.2,16
2015-11-22,29.8,21.0,39.0,6.2,0.1,3.3,14
2015-11-23,35.8,27.3,44.6,6.3,0.0,3.3,13
2015-11-24,32.7,25.5,39.9,6.3,0.0,3.3,11
2015-11-25,25.5,13.3,39.9,6.3,0.0,3.3,10
2015-11-26,7.7,-2.6,14.0,6.3,0.0,3.3,11
2015-11-27,6.1,-5.8,22.6,6.3,0.1,3.3,16
2015-11-28,15.6,6.1,28.2,6.4,0.1,3.3,14
2015-11-29,12.7,6.8,25.0,6.5,0.0,3.4,14
2015-11-30,6.8,4.3,10.6,6.5,0.1,3.5,16
2015-12-01,11.5,5.5,18.9,6.6,0.1,3.5,16
2015-12-02,23.5,13.8,32.5,6.7,0.1,3.6,16
2015-12-03,26.6,20.1,34.0,6.8,0.0,3.7,16
2015-12-04,33.1,25.9,46.6,6.8,0.0,3.7,15
2015-12-05,21.4,13.5,29.3,6.8,0.0,3.7,15
2015-12-06,31.3,15.6,44.6,6.8,0.0,3.7,16
2015-12-07,34.2,29.1,41.0,6.8,0.1,3.7,15
2015-12-08,30.7,25.7,35.1,6.9,0.0,3.7,14
2015-12-09,37.2,30.0,43.7,6.9,0.1,3.7,15
2015-12-10,35.2,26.6,41.4,7.0,0.0,3.7,14
2015-12-11,27.1,19.2,39.4,7.0,0.0,3.7,14
2015-12-12,18.0,14.2,22.5,7.0,0.2,3.8,16
2015-12-13,23.5,11.3,32.5,7.2,0.1,4.1,17
2015-12-14,27.1,16.0,38.8,7.3,0.0,4.2,18
2015-12-15,9.5,5.0,16.2,7.3,0.4,4.2,19
2015-12-16,6.6,3.7,12.0,7.7,0.1,4.4,21
2015-12-17,5.7,4.3,12.4,7.8,0.1,4.5,21
2015-12-18,21.7,11.3,29.3,7.9,0.1,4.5,20
2015-12-19,35.1,21.0,44.6,8.0,0.1,4.6,20
2015-12-20,25.5,18.3,34.3,8.1,0.0,4.7,19
2015-12-21,20.1,16.7,24.1,8.1,0.1,4.7,20
2015-12-22,23.5,15.6,29.3,8.2,0.3,4.9,22
2015-12-23,11.3,3.7,17.8,8.5,0.2,5.1,26
2015-12-24,6.8,1.9,13.5,8.7,0.1,5.3,27
2015-12-25,13.1,4.6,23.4,8.8,0.1,5.3,25
2015-12-26,3.6,-2.0,9.3,8.9,0.0,5.5,25
2015-12-27,12.2,-0.8,29.5,8.9,0.1,5.5,25
2015-12-28,19.0,9.5,30.6,9.0,0.0,5.5,26
2015-12-29,12.9,5.7,24.3,9.0,0.0,5.5,25
2015-12-30,8.6,-0.6,16.7,9.0,0.0,5.5,24
2015-12-31,5.5,-1.3,14.5,9.0,0.0,5.5,24
2016-01-01,14.9,3.2,30.6,9.0,0.0,5.5,24
2016-01-02,25.7,16.2,36.9,9.0,0.2,5.6,24
2016-01-03,29.3,23.7,41.9,9.2,0.0,5.7,24
2016-01-04,30.4,24.4,41.9,9.2,0.0,5.7,24
2016-01-05,28.8,21.6,38.8,9.2,0.0,5.7,24
2016-01-06,25.0,19.9,35.6,9.2,0.0,5.7,24
2016-01-07,22.1,17.8,28.4,9.2,0.0,5.7,23
2016-01-08,13.6,7.3,18.3,9.2,0.0,5.7,23
2016-01-09,12.4,8.1,19.6,9.2,0.0,5.8,25
2016-01-10,9.5,3.6,17.1,9.2,0.0,5.8,26
2016-01-11,15.6,8.2,23.4,9.2,0.1,5.8,26
2016-01-12,21.4,11.8,31.5,9.3,0.0,5.8,25
2016-01-13,28.8,19.9,39.0,9.3,0.0,5.8,25
2016-01-14,18.3,12.9,27.0,9.3,0.0,5.9,24
2016-01-15,14.0,8.8,21.9,9.3,0.1,5.9,26
2016-01-16,11.1,4.6,17.6,9.4,0.2,6.0,26
2016-01-17,17.8,16.0,21.6,9.6,0.5,6.2,28
2016-01-18,25.0,18.7,32.9,10.1,0.0,6.6,33
2016-01-19,21.7,17.6,29.8,10.1,0.0,6.7,30
2016-01-20,17.6,9.3,27.1,10.1,0.1,6.7,31
2016-01-21,15.8,10.2,23.0,10.2,0.1,6.8,31
2016-01-22,29.8,19.8,40.3,10.3,0.1,6.8,31
2016-01-23,32.5,25.9,44.4,10.4,0.0,6.9,30
2016-01-24,23.5,14.0,34.9,10.4,0.0,6.9,29
2016-01-25,13.5,8.2,21.0,10.4,0.0,6.9,29
2016-01-26,14.5,5.9,23.2,10.4,0.1,6.9,30
2016-01-27,28.4,18.0,37.0,10.5,0.0,7.0,30
