Date,Lily Pond (580) Air Temperature Average (degF),Lily Pond (580) Air Temperature Minimum (degF),Lily Pond (580) Air Temperature Maximum (degF),Lily Pond (580) Precipitation Accumulation (in) Start of Day Values,Lily Pond (580) Precipitation Increment (in),Lily Pond (580) Snow Water Equivalent (in) Start of Day Values,Lily Pond (580) Snow Depth (in) Start of Day Values
2015-10-01,52.3,43.2,65.3,0.0,0.0,0.0,0
2015-10-02,46.9,39.7,57.7,0.0,0.2,0.0,0
2015-10-03,43.9,37.6,53.8,0.2,0.0,0.0,0
2015-10-04,41.2,36.0,55.2,0.2,0.1,0.0,0
2015-10-05,42.8,37.6,53.8,0.3,0.0,0.0,0
2015-10-06,42.8,36.0,53.2,0.3,0.0,0.0,0
2015-10-07,40.6,36.0,52.5,0.3,0.0,0.0,0
2015-10-08,44.6,35.6,55.4,0.3,0.0,0.0,0
2015-10-09,45.3,36.1,59.5,0.3,0.0,0.0,0
2015-10-10,48.4,37.9,64.0,0.3,0.0,0.0,0
2015-10-11,48.4,38.1,63.3,0.3,0.0,0.0,0
2015-10-12,48.9,37.4,64.8,0.3,0.0,0.0,0
2015-10-13,50.4,40.5,68.5,0.3,0.0,0.0,0
2015-10-14,49.8,40.3,66.2,0.3,0.0,0.0,0
2015-10-15,46.8,34.5,60.1,0.3,0.0,0.0,0
2015-10-16,43.7,33.3,58.5,0.3,0.0,0.0,0
2015-10-17,43.2,33.8,56.3,0.3,0.0,0.0,0
2015-10-18,41.5,39.0,49.8,0.3,0.2,0.0,0
2015-10-19,39.7,35.1,48.2,0.5,0.2,0.0,0
2015-10-20,38.3,31.8,49.8,0.7,0.0,0.0,0
2015-10-21,34.3,32.2,37.0,0.7,0.4,0.0,0
2015-10-22,34.3,32.0,41.4,1.1,0.4,0.4,1
2015-10-23,34.3,27.7,46.2,1.5,0.0,0.7,2
2015-10-24,35.6,28.2,47.5,1.5,0.0,0.6,2
2015-10-25,38.5,29.5,52.9,1.5,0.0,0.4,2
2015-10-26,35.4,25.7,44.4,1.5,0.1,0.2,1
2015-10-27,33.8,25.5,45.1,1.6,0.0,0.1,1
2015-10-28,35.4,24.4,49.5,1.6,0.0,0.1,1
2015-10-29,34.5,30.0,43.2,1.6,0.1,0.1,1
2015-10-30,32.2,24.4,40.3,1.7,0.0,0.2,2
2015-10-31,37.6,24.4,50.5,1.7,0.0,0.1,1
2015-11-01,40.1,31.1,56.1,1.7,0.0,0.1,1
2015-11-02,39.9,31.6,52.0,1.7,0.0,0.1,1
2015-11-03,38.8,33.8,47.3,1.7,0.0,0.1,1
2015-11-04,27.7,19.6,35.4,1.7,0.8,0.1,1
2015-11-05,21.4,15.1,31.1,2.5,0.0,0.9,3
2015-11-06,,15.1,37.2,2.5,0.1,0.9,3
2015-11-07,24.8,13.1,41.2,2.6,0.0,0.9,3
2015-11-08,29.1,17.6,47.1,2.6,0.0,0.9,3
2015-11-09,31.3,19.4,45.9,2.6,0.1,0.9,3
2015-11-10,28.9,16.2,39.4,2.7,0.3,0.9,2
2015-11-11,20.1,15.3,30.9,3.0,0.2,1.3,4
2015-11-12,26.2,16.3,41.2,3.2,0.0,1.3,6
2015-11-13,30.0,20.8,46.0,3.2,0.0,1.3,5
2015-11-14,32.2,23.4,48.7,3.2,0.1,1.3,5
2015-11-15,29.8,22.5,40.5,3.3,0.2,1.3,5
2015-11-16,24.8,18.7,30.7,3.5,1.2,1.4,5
2015-11-17,21.4,16.0,26.2,4.7,0.1,2.6,18
2015-11-18,24.6,17.1,39.0,4.8,0.0,2.8,17
2015-11-19,31.3,18.5,45.3,4.8,0.1,2.8,14
2015-11-20,30.9,15.8,41.9,4.9,0.0,2.8,12
2015-11-21,25.2,14.0,40.1,4.9,0.0,2.8,12
2015-11-22,32.2,22.8,47.5,4.9,0.0,2.8,11
2015-11-23,32.7,22.8,47.7,4.9,0.0,2.8,11
2015-11-24,30.2,21.7,39.9,4.9,0.0,2.8,11
2015-11-25,32.0,26.4,39.2,4.9,0.3,2.8,10
2015-11-26,27.9,24.8,32.2,5.2,0.5,2.9,10
