Date,Lizard Head Pass (586) Air Temperature Average (degF),Lizard Head Pass (586) Air Temperature Minimum (degF),Lizard Head Pass (586) Air Temperature Maximum (degF),Lizard Head Pass (586) Precipitation Accumulation (in) Start of Day Values,Lizard Head Pass (586) Precipitation Increment (in),Lizard Head Pass (586) Snow Water Equivalent (in) Start of Day Values,Lizard Head Pass (586) Snow Depth (in) Start of Day Values
2015-10-01,52.0,37.4,69.8,0.0,0.0,0.0,0
2015-10-02,50.2,39.6,61.9,0.0,0.0,0.0,0
2015-10-03,41.7,29.3,56.7,0.0,0.0,0.0,0
2015-10-04,41.2,32.7,56.1,0.0,0.1,0.0,0
2015-10-05,39.0,33.1,50.9,0.1,1.3,0.0,0
2015-10-06,38.3,29.7,52.0,1.4,0.0,0.0,0
2015-10-07,37.2,30.9,49.5,1.4,0.0,0.0,0
2015-10-08,42.6,27.7,61.3,1.4,0.1,0.0,0
2015-10-09,43.2,30.2,61.3,1.5,0.0,0.0,0
2015-10-10,44.2,29.8,65.5,1.5,0.0,0.0,0
2015-10-11,45.7,31.5,61.2,1.5,0.0,0.0,0
2015-10-12,47.5,31.3,66.2,1.5,0.0,0.0,0
2015-10-13,46.0,28.8,65.8,1.5,0.0,0.0,0
2015-10-14,46.4,30.2,65.8,1.5,0.0,0.0,0
2015-10-15,45.5,30.6,67.6,1.5,0.0,0.0,0
2015-10-16,44.4,35.1,59.2,1.5,0.0,0.0,0
2015-10-17,41.4,29.8,52.5,1.5,0.1,0.0,0
2015-10-18,41.7,36.0,51.3,1.6,0.3,0.0,0
2015-10-19,38.3,32.9,48.9,1.9,0.4,0.0,0
2015-10-20,36.3,29.1,48.0,2.3,0.2,0.0,0
2015-10-21,34.7,28.8,47.8,2.5,0.0,0.0,0
2015-10-22,33.1,31.3,36.9,2.5,0.5,0.0,0
2015-10-23,33.8,25.5,44.6,3.0,0.0,0.2,1
2015-10-24,34.7,23.9,51.1,3.0,0.0,0.0,0
2015-10-25,37.4,27.0,53.4,3.0,0.0,0.0,0
2015-10-26,33.1,23.0,43.0,3.0,0.0,0.0,0
2015-10-27,31.8,21.6,45.3,3.0,0.1,0.0,0
2015-10-28,32.7,15.8,50.0,3.1,0.0,0.0,0
2015-10-29,32.7,25.5,44.2,3.1,0.1,0.0,0
2015-10-30,30.6,24.4,41.2,3.2,0.0,0.1,1
2015-10-31,33.4,24.3,48.2,3.2,0.0,0.0,0
2015-11-01,35.1,21.6,55.0,3.2,0.0,0.0,0
2015-11-02,38.7,24.1,57.0,3.2,0.1,0.0,0
2015-11-03,37.8,29.3,46.8,3.3,0.0,0.0,0
2015-11-04,25.2,16.0,31.3,3.3,0.5,0.1,1
2015-11-05,20.3,12.9,31.8,3.8,0.0,0.9,8
2015-11-06,18.3,5.0,31.8,3.8,0.0,0.9,7
2015-11-07,19.4,4.1,42.1,3.8,0.0,0.9,7
2015-11-08,22.3,8.4,46.0,3.8,0.0,0.9,7
2015-11-09,27.3,11.5,44.8,3.8,0.1,0.9,6
2015-11-10,25.2,16.2,39.6,3.9,0.4,0.9,6
2015-11-11,16.9,4.5,27.5,4.3,0.1,1.5,13
2015-11-12,16.9,3.4,42.4,4.4,0.0,1.7,15
2015-11-13,19.9,5.9,49.5,4.4,0.0,1.7,13
2015-11-14,22.3,6.1,49.1,4.4,0.1,1.7,12
2015-11-15,27.9,16.0,41.9,4.5,0.1,1.8,11
2015-11-16,21.7,16.0,28.0,4.6,0.9,2.2,12
