Date,Lone Cone (589) Air Temperature Average (degF),Lone Cone (589) Air Temperature Minimum (degF),Lone Cone (589) Air Temperature Maximum (degF),Lone Cone (589) Precipitation Accumulation (in) Start of Day Values,Lone Cone (589) Precipitation Increment (in),Lone Cone (589) Snow Water Equivalent (in) Start of Day Values,Lone Cone (589) Snow Depth (in) Start of Day Values
2015-10-01,55.8,39.9,70.2,0.0,0.0,0.0,0
2015-10-02,53.1,37.8,62.6,0.0,0.0,0.0,0
2015-10-03,43.0,29.1,58.5,0.0,0.0,0.0,0
2015-10-04,46.4,34.9,57.2,0.0,0.0,0.0,0
2015-10-05,42.6,37.0,53.2,0.0,0.6,0.0,0
2015-10-06,40.5,33.1,54.0,0.6,0.0,0.0,0
2015-10-07,39.2,31.6,53.4,0.6,0.3,0.0,0
2015-10-08,42.8,31.8,59.4,0.9,0.0,0.0,0
2015-10-09,44.8,34.2,62.1,0.9,0.0,0.0,0
2015-10-10,45.7,33.3,62.2,0.9,0.0,0.0,0
2015-10-11,44.8,33.4,60.6,0.9,0.0,0.0,0
2015-10-12,44.4,30.2,65.5,0.9,0.0,0.0,0
2015-10-13,44.6,32.2,64.9,0.9,0.0,0.0,0
2015-10-14,44.8,31.8,64.8,0.9,0.0,0.0,0
2015-10-15,45.7,32.0,64.2,0.9,0.0,0.0,0
2015-10-16,49.8,38.8,61.9,0.9,0.0,0.0,0
2015-10-17,45.3,33.4,55.2,0.9,0.0,0.0,0
2015-10-18,44.6,39.4,53.2,0.9,0.2,0.0,0
2015-10-19,41.4,34.3,50.9,1.1,0.5,0.0,0
2015-10-20,37.8,30.9,46.4,1.6,0.3,0.0,0
2015-10-21,37.0,30.7,46.6,1.9,0.0,0.0,0
2015-10-22,34.9,32.5,38.8,1.9,0.2,0.0,0
2015-10-23,34.5,29.3,43.5,2.1,0.1,0.2,3
2015-10-24,36.3,26.4,51.3,2.2,0.0,0.0,0
2015-10-25,39.6,29.3,52.0,2.2,0.0,0.0,0
2015-10-26,34.0,26.2,40.6,2.2,0.2,0.0,0
2015-10-27,33.1,22.6,45.3,2.4,0.0,0.0,0
2015-10-28,33.1,20.8,48.4,2.4,0.0,0.0,0
2015-10-29,35.1,29.3,46.0,2.4,0.1,0.0,0
2015-10-30,29.1,19.8,35.6,2.5,0.1,0.3,2
2015-10-31,30.9,18.7,44.4,2.6,0.0,0.0,0
2015-11-01,35.6,24.8,52.2,2.6,0.0,0.0,0
2015-11-02,43.5,32.4,54.3,2.6,0.0,0.0,0
2015-11-03,40.6,32.2,48.4,2.6,0.0,0.2,1
2015-11-04,27.0,19.8,32.4,2.6,1.1,0.2,1
2015-11-05,22.1,16.3,30.4,3.7,0.1,1.3,12
2015-11-06,20.1,8.2,30.4,3.8,0.0,1.3,11
2015-11-07,19.4,6.6,36.3,3.8,0.1,1.3,9
2015-11-08,23.0,7.7,41.2,3.9,0.0,1.3,9
2015-11-09,32.7,16.3,42.8,3.9,0.0,1.3,8
2015-11-10,28.4,18.3,38.7,3.9,0.6,1.3,7
2015-11-11,16.2,8.2,25.9,4.5,0.3,2.1,17
2015-11-12,19.6,8.8,37.2,4.8,0.0,2.2,18
2015-11-13,21.4,11.1,40.6,4.8,0.0,2.3,16
2015-11-14,23.7,11.5,43.7,4.8,0.0,2.3,14
2015-11-15,29.5,16.9,40.6,4.8,0.2,2.3,13
2015-11-16,23.4,17.8,32.0,5.0,1.3,2.4,14
2015-11-17,17.6,9.3,24.1,6.3,0.0,3.8,27
2015-11-18,18.7,8.6,29.8,6.3,0.0,3.8,25
2015-11-19,21.7,7.9,38.7,6.3,0.0,3.8,23
2015-11-20,25.2,4.3,37.8,6.3,0.0,3.8,21
2015-11-21,13.6,1.8,34.5,6.3,0.0,3.8,20
2015-11-22,20.7,5.7,40.8,6.3,0.1,3.8,20
2015-11-23,24.1,10.6,44.4,6.4,0.0,3.8,19
2015-11-24,31.5,20.3,39.2,6.4,0.0,3.8,18
2015-11-25,34.5,28.2,40.8,6.4,0.0,3.8,18
