Date,Loveland Basin (602) Air Temperature Average (degF),Loveland Basin (602) Air Temperature Minimum (degF),Loveland Basin (602) Air Temperature Maximum (degF),Loveland Basin (602) Precipitation Accumulation (in) Start of Day Values,Loveland Basin (602) Precipitation Increment (in),Loveland Basin (602) Snow Water Equivalent (in) Start of Day Values,Loveland Basin (602) Snow Depth (in) Start of Day Values
2015-10-01,47.5,39.7,59.5,0.0,0.0,0.0,0
2015-10-02,46.0,34.0,57.2,0.0,0.1,0.0,0
2015-10-03,39.9,33.4,50.7,0.1,0.0,0.0,0
2015-10-04,39.2,30.6,51.3,0.1,0.0,0.0,0
2015-10-05,39.2,32.9,53.1,0.1,0.3,0.0,0
2015-10-06,38.3,33.3,48.2,0.4,0.3,0.0,0
2015-10-07,36.9,31.3,48.6,0.7,0.1,0.0,0
2015-10-08,40.8,32.4,53.1,0.8,0.0,0.0,0
2015-10-09,42.6,32.5,54.3,0.8,0.0,0.0,0
2015-10-10,45.0,36.3,57.7,0.8,0.0,0.0,0
2015-10-11,44.8,37.0,53.8,0.8,0.0,0.0,0
2015-10-12,42.6,34.5,54.9,0.8,0.0,0.0,0
2015-10-13,44.6,39.2,54.9,0.8,0.0,0.0,0
2015-10-14,44.1,35.6,57.2,0.8,0.0,0.0,0
2015-10-15,40.6,29.7,55.0,0.8,0.0,0.0,0
2015-10-16,43.2,32.7,55.6,0.8,0.1,0.0,0
2015-10-17,42.3,34.3,55.6,0.9,0.0,0.0,0
2015-10-18,41.0,34.9,48.2,0.9,0.0,0.0,0
2015-10-19,38.1,33.1,44.4,0.9,0.0,0.0,0
2015-10-20,36.9,30.7,47.1,0.9,0.2,0.0,0
2015-10-21,31.3,26.8,34.2,1.1,0.1,0.2,1
2015-10-22,31.8,29.8,37.0,1.2,0.9,0.3,1
2015-10-23,30.0,24.4,36.1,2.1,0.4,1.3,10
2015-10-24,27.7,20.3,41.0,2.5,0.0,1.5,11
2015-10-25,32.7,23.4,46.6,2.5,0.0,1.5,9
2015-10-26,32.5,27.1,39.7,2.5,0.0,1.5,8
2015-10-27,25.5,18.0,32.9,2.5,0.4,1.5,7
2015-10-28,27.9,17.8,36.3,2.9,0.0,1.9,11
2015-10-29,30.7,25.5,39.4,2.9,0.0,1.9,9
2015-10-30,26.2,20.5,31.3,2.9,0.2,1.9,9
2015-10-31,29.3,23.7,35.1,3.1,0.0,2.0,10
2015-11-01,34.9,29.3,43.7,3.1,0.0,2.1,10
2015-11-02,37.6,29.5,49.6,3.1,0.0,2.1,9
2015-11-03,37.2,32.4,43.5,3.1,0.1,2.1,8
2015-11-04,29.7,20.3,37.0,3.2,0.3,2.1,8
2015-11-05,19.0,14.7,26.2,3.5,0.2,2.3,12
2015-11-06,15.4,9.7,19.6,3.7,0.1,2.5,14
2015-11-07,23.0,4.8,38.3,3.8,0.1,2.6,14
2015-11-08,30.4,23.2,45.5,3.9,0.0,2.6,13
2015-11-09,29.7,21.2,41.2,3.9,0.0,2.6,12
2015-11-10,29.3,20.5,38.7,3.9,0.4,2.6,12
2015-11-11,15.3,7.7,20.5,4.3,0.4,3.1,19
2015-11-12,18.0,11.5,26.1,4.7,0.0,3.5,22
2015-11-13,23.5,16.0,35.1,4.7,0.0,3.5,20
2015-11-14,27.0,21.0,41.5,4.7,0.0,3.5,18
2015-11-15,26.6,18.0,37.2,4.7,0.0,3.5,17
2015-11-16,24.3,17.6,31.3,4.7,0.4,3.5,16
2015-11-17,14.4,10.8,17.8,5.1,0.2,3.9,22
2015-11-18,18.9,16.3,21.4,5.3,0.4,4.1,21
2015-11-19,21.7,16.5,26.2,5.7,0.1,4.6,28
2015-11-20,18.3,-0.4,27.7,5.8,0.6,4.7,26
2015-11-21,10.2,-5.3,20.5,6.4,0.1,5.4,33
2015-11-22,21.9,14.9,33.6,6.5,0.0,5.4,29
2015-11-23,24.8,18.3,35.6,6.5,0.0,5.4,26
2015-11-24,27.0,20.8,35.2,6.5,0.0,5.4,25
2015-11-25,29.8,22.3,39.0,6.5,0.0,5.4,24
2015-11-26,12.9,1.8,26.4,6.5,0.1,5.4,22
2015-11-27,16.2,2.3,26.2,6.6,0.0,5.4,24
2015-11-28,16.5,8.8,23.2,6.6,0.1,5.4,23
2015-11-29,13.6,5.7,21.9,6.7,0.1,5.5,23
2015-11-30,3.2,0.0,7.5,6.8,0.1,5.5,24
2015-12-01,7.9,-0.9,13.1,6.9,0.0,5.6,24
2015-12-02,18.7,9.7,27.5,6.9,0.0,5.7,24
2015-12-03,21.2,15.6,27.9,6.9,0.0,5.7,23
2015-12-04,30.0,21.9,39.7,6.9,0.0,5.7,23
2015-12-05,17.6,10.6,25.2,6.9,0.0,5.7,23
2015-12-06,27.3,14.4,36.7,6.9,0.0,5.7,24
2015-12-07,30.0,21.0,36.5,6.9,0.0,5.7,23
2015-12-08,26.6,24.1,30.9,6.9,0.1,5.8,23
2015-12-09,33.8,26.1,40.6,7.0,0.0,5.8,23
2015-12-10,30.9,20.5,36.7,7.0,0.0,5.8,22
2015-12-11,24.8,19.0,30.7,7.0,0.1,5.8,22
2015-12-12,17.6,7.9,24.3,7.1,0.4,5.9,23
2015-12-13,18.5,5.9,27.5,7.5,0.1,6.3,31
2015-12-14,21.7,14.0,28.2,7.6,0.4,6.3,29
2015-12-15,7.2,0.9,15.3,8.0,0.4,6.8,33
2015-12-16,2.3,-1.5,7.2,8.4,0.1,7.2,35
2015-12-17,1.8,-2.9,10.0,8.5,0.1,7.3,34
2015-12-18,19.0,9.3,27.7,8.6,0.1,7.5,34
2015-12-19,27.0,18.9,34.5,8.7,0.0,7.6,33
2015-12-20,19.9,14.4,26.2,8.7,0.0,7.6,32
2015-12-21,17.2,14.2,21.4,8.7,0.3,7.6,33
2015-12-22,20.3,12.0,25.7,9.0,0.5,7.9,36
2015-12-23,7.9,-0.9,15.8,9.5,0.4,8.3,41
2015-12-24,2.3,-3.6,7.5,9.9,0.1,8.8,43
2015-12-25,10.2,1.6,19.8,10.0,0.1,8.8,41
2015-12-26,-2.9,-9.4,5.0,10.1,0.0,9.0,41
2015-12-27,8.1,-8.0,23.4,10.1,0.1,9.0,39
2015-12-28,11.8,3.7,21.2,10.2,0.0,9.0,38
2015-12-29,6.8,0.7,18.1,10.2,0.0,9.0,38
2015-12-30,3.2,-5.1,12.9,10.2,0.0,9.0,37
2015-12-31,-1.1,-6.2,8.8,10.2,0.0,9.0,37
2016-01-01,5.9,-4.0,20.1,10.2,0.0,9.0,37
2016-01-02,16.0,7.3,28.2,10.2,0.0,9.0,37
2016-01-03,20.5,13.5,30.4,10.2,0.0,9.1,36
2016-01-04,22.1,16.9,33.1,10.2,0.0,9.1,36
2016-01-05,20.7,13.3,30.2,10.2,0.0,9.1,35
2016-01-06,19.4,12.6,28.0,10.2,0.1,9.1,36
2016-01-07,17.2,11.1,23.7,10.3,0.0,9.2,35
2016-01-08,11.5,5.9,17.2,10.3,0.1,9.2,37
2016-01-09,8.8,2.3,17.2,10.4,0.0,9.3,37
2016-01-10,3.9,-2.0,11.5,10.4,0.0,9.3,38
2016-01-11,12.2,2.5,19.2,10.4,0.0,9.3,37
2016-01-12,18.9,10.0,28.0,10.4,0.0,9.3,37
2016-01-13,23.9,16.9,31.6,10.4,0.0,9.3,37
2016-01-14,14.4,8.6,22.6,10.4,0.2,9.4,36
2016-01-15,10.6,5.4,19.6,10.6,0.2,9.4,38
2016-01-16,8.6,1.0,16.5,10.8,0.1,9.7,41
2016-01-17,15.1,11.8,18.7,10.9,0.3,9.8,41
2016-01-18,21.4,14.5,30.4,11.2,0.0,10.1,44
2016-01-19,17.8,11.3,24.3,11.2,0.1,10.2,43
2016-01-20,14.2,5.9,23.0,11.3,0.2,10.3,44
2016-01-21,11.7,7.3,21.4,11.5,0.1,10.5,46
2016-01-22,24.4,17.1,34.3,11.6,0.0,10.5,45
2016-01-23,28.9,22.8,38.1,11.6,0.0,10.6,44
2016-01-24,19.2,10.2,28.9,11.6,0.0,10.6,43
2016-01-25,9.0,3.6,18.1,11.6,0.2,10.7,44
2016-01-26,8.6,-1.7,18.3,11.8,0.0,10.8,45
2016-01-27,21.7,16.7,30.4,11.8,0.0,10.8,44
2016-01-28,25.0,17.4,35.1,11.8,0.0,10.8,43
2016-01-29,23.9,19.2,28.2,11.8,0.1,10.9,43
2016-01-30,26.6,15.8,33.6,11.9,0.6,11.0,43
2016-01-31,14.2,8.6,22.8,12.5,0.5,11.6,50
2016-02-01,12.0,1.0,20.8,13.0,0.2,12.1,54
2016-02-02,0.7,-5.4,10.4,13.2,0.1,12.4,55
2016-02-03,-4.9,-11.2,0.9,13.3,0.0,12.5,54
2016-02-04,6.1,-8.3,15.4,13.3,0.1,12.6,54
2016-02-05,5.9,0.7,12.2,13.4,0.0,12.7,53
2016-02-06,18.0,9.1,26.2,13.4,0.1,12.7,53
2016-02-07,18.3,14.0,24.1,13.5,0.1,12.8,52
2016-02-08,21.9,17.1,29.7,13.6,0.0,12.8,51
2016-02-09,25.0,18.7,34.0,13.6,0.0,12.8,50
2016-02-10,29.1,19.6,41.2,13.6,0.0,12.8,50
2016-02-11,30.0,23.9,38.1,13.6,0.0,12.8,49
2016-02-12,33.4,27.7,42.6,13.6,0.0,12.8,49
2016-02-13,30.6,21.2,39.2,13.6,0.0,12.8,48
2016-02-14,21.4,17.6,27.1,13.6,0.3,12.8,48
2016-02-15,23.9,17.8,28.0,13.9,0.3,13.1,53
2016-02-16,26.2,20.7,33.4,14.2,0.0,13.4,54
2016-02-17,34.2,23.0,46.0,14.2,0.0,13.5,54
2016-02-18,30.9,15.3,39.9,14.2,0.3,13.6,54
2016-02-19,26.2,14.4,38.3,14.5,0.0,13.7,55
2016-02-20,28.6,21.4,38.7,14.5,0.0,13.8,53
2016-02-21,25.3,17.2,37.0,14.5,0.0,13.8,53
2016-02-22,18.5,10.9,25.2,14.5,0.0,13.8,52
2016-02-23,10.8,1.6,23.7,14.5,0.1,13.9,54
2016-02-24,15.6,3.9,27.0,14.6,0.0,13.9,54
2016-02-25,22.6,13.6,34.2,14.6,0.0,13.9,53
2016-02-26,27.5,16.9,41.4,14.6,0.0,13.9,53
