Date,Lynx Pass (607) Air Temperature Average (degF),Lynx Pass (607) Air Temperature Minimum (degF),Lynx Pass (607) Air Temperature Maximum (degF),Lynx Pass (607) Precipitation Accumulation (in) Start of Day Values,Lynx Pass (607) Precipitation Increment (in),Lynx Pass (607) Snow Water Equivalent (in) Start of Day Values,Lynx Pass (607) Snow Depth (in) Start of Day Values
2015-10-01,53.2,39.6,73.6,0.0,0.0,0.0,0
2015-10-02,51.1,36.1,72.5,0.0,0.0,0.0,0
2015-10-03,45.3,26.4,63.5,0.0,0.0,0.0,0
2015-10-04,48.4,32.7,64.2,0.0,0.0,0.0,0
2015-10-05,45.3,28.2,58.8,0.0,0.0,0.0,0
2015-10-06,45.5,34.2,59.4,0.0,0.0,0.0,0
2015-10-07,43.7,28.0,59.4,0.0,0.0,0.0,0
2015-10-08,43.7,25.2,61.7,0.0,0.0,0.0,0
2015-10-09,45.5,28.0,64.4,0.0,0.0,0.0,0
2015-10-10,46.6,26.4,68.0,0.0,0.0,0.0,0
2015-10-11,48.9,29.3,66.9,0.0,0.0,0.0,0
2015-10-12,46.0,28.2,63.0,0.0,0.0,0.0,0
2015-10-13,44.2,23.9,65.3,0.0,0.0,0.0,0
2015-10-14,44.8,25.2,67.6,0.0,0.0,0.0,0
2015-10-15,44.8,23.7,63.9,0.0,0.0,0.0,0
2015-10-16,46.8,28.8,68.0,0.0,0.0,0.0,0
2015-10-17,46.2,26.6,67.3,0.0,0.0,0.0,0
2015-10-18,43.9,34.2,55.0,0.0,0.1,0.0,0
2015-10-19,40.6,32.0,52.5,0.1,0.1,0.0,0
2015-10-20,42.1,32.9,54.1,0.2,0.0,0.0,0
2015-10-21,42.4,32.0,51.8,0.2,0.0,0.1,1
2015-10-22,32.4,27.7,36.1,0.2,0.6,0.2,1
2015-10-23,33.4,22.5,42.8,0.8,0.1,0.5,3
2015-10-24,31.5,18.3,47.3,0.9,0.0,0.2,1
2015-10-25,36.9,20.7,53.1,0.9,0.1,0.2,1
2015-10-26,37.9,31.3,49.3,1.0,0.0,0.3,1
2015-10-27,28.8,17.4,42.4,1.0,0.2,0.2,1
2015-10-28,27.3,12.9,40.3,1.2,0.0,0.3,1
2015-10-29,32.5,20.7,46.6,1.2,0.0,0.3,1
2015-10-30,30.2,24.1,35.8,1.2,0.1,0.3,1
2015-10-31,36.3,28.8,45.9,1.3,0.0,0.3,1
2015-11-01,39.4,25.9,55.4,1.3,0.0,0.3,1
2015-11-02,43.2,28.0,57.4,1.3,0.0,0.3,1
2015-11-03,41.4,27.5,56.1,1.3,0.0,0.2,1
2015-11-04,32.4,26.8,39.6,1.3,0.3,0.2,1
2015-11-05,22.6,19.8,27.7,1.6,0.1,0.5,2
2015-11-06,21.4,15.1,29.7,1.7,0.1,0.5,1
2015-11-07,18.3,1.4,35.1,1.8,0.0,0.6,3
2015-11-08,21.6,3.6,41.9,1.8,0.0,0.6,2
2015-11-09,28.2,10.0,44.1,1.8,0.0,0.6,2
2015-11-10,34.3,25.7,46.0,1.8,0.3,0.7,3
2015-11-11,19.0,4.6,26.4,2.1,0.3,1.0,5
2015-11-12,14.7,0.7,28.8,2.4,0.0,1.2,11
2015-11-13,16.3,-2.6,36.0,2.4,0.1,1.2,9
2015-11-14,21.7,4.6,43.2,2.5,0.0,1.3,8
2015-11-15,23.0,5.2,42.4,2.5,0.0,1.3,7
2015-11-16,25.3,18.7,31.8,2.5,0.3,1.3,7
2015-11-17,19.4,15.6,23.9,2.8,0.1,1.8,11
2015-11-18,24.4,17.4,33.8,2.9,0.1,1.8,11
2015-11-19,27.3,16.7,37.2,3.0,0.0,1.9,9
2015-11-20,24.1,2.1,36.0,3.0,0.0,1.9,9
2015-11-21,9.9,-10.1,27.0,3.0,0.0,1.9,11
2015-11-22,19.9,3.0,36.3,3.0,0.0,1.9,11
2015-11-23,20.7,2.8,40.1,3.0,0.1,1.9,10
2015-11-24,28.4,12.2,40.6,3.1,0.0,1.9,10
2015-11-25,33.1,21.9,47.8,3.1,0.0,2.0,9
2015-11-26,23.5,13.5,36.5,3.1,0.0,2.0,8
2015-11-27,22.5,12.6,33.3,3.1,0.1,2.0,9
2015-11-28,17.1,1.9,27.1,3.2,0.1,2.1,9
2015-11-29,13.5,4.5,25.7,3.3,0.1,2.1,13
2015-11-30,6.3,0.0,14.5,3.4,0.0,2.2,12
2015-12-01,7.5,-4.0,20.7,3.4,0.0,2.3,11
2015-12-02,10.8,-8.9,26.6,3.4,0.0,2.3,12
2015-12-03,18.3,4.1,34.0,3.4,0.0,2.3,12
2015-12-04,26.6,7.3,41.4,3.4,0.0,2.3,12
2015-12-05,19.8,0.7,30.7,3.4,0.0,2.3,11
2015-12-06,16.0,-4.7,33.3,3.4,0.1,2.3,12
2015-12-07,27.1,12.9,39.0,3.5,0.0,2.4,11
2015-12-08,31.6,23.0,41.4,3.5,0.0,2.5,10
2015-12-09,30.7,18.0,42.8,3.5,0.0,2.5,11
2015-12-10,32.2,18.7,40.6,3.5,0.0,2.5,10
2015-12-11,26.2,21.9,34.3,3.5,0.3,2.5,10
2015-12-12,19.6,14.5,23.0,3.8,0.1,2.8,16
2015-12-13,10.8,-5.1,23.9,3.9,0.0,2.9,14
2015-12-14,21.0,0.1,34.9,3.9,0.3,2.9,15
2015-12-15,12.6,5.9,20.1,4.2,0.4,3.2,19
2015-12-16,8.6,1.8,16.9,4.6,0.1,3.6,23
2015-12-17,6.4,-0.4,14.0,4.7,0.1,3.7,22
2015-12-18,16.7,4.1,29.1,4.8,0.0,3.8,22
2015-12-19,21.4,3.9,35.8,4.8,0.1,3.8,21
2015-12-20,24.1,15.6,35.8,4.9,0.0,4.0,19
2015-12-21,21.9,18.7,26.4,4.9,0.3,4.0,20
2015-12-22,23.5,17.4,30.4,5.2,0.2,4.2,22
2015-12-23,13.3,3.7,25.5,5.4,0.1,4.5,24
2015-12-24,3.7,-9.6,15.3,5.5,0.0,4.6,25
2015-12-25,12.7,0.7,20.8,5.5,0.2,4.6,25
2015-12-26,2.1,-11.7,13.6,5.7,0.0,4.7,25
2015-12-27,2.3,-13.0,19.9,5.7,0.0,4.7,25
2015-12-28,4.1,-13.7,22.6,5.7,0.0,4.7,24
2015-12-29,6.6,-8.3,20.5,5.7,0.0,4.7,24
2015-12-30,3.4,-7.6,12.7,5.7,0.0,4.8,23
2015-12-31,-2.6,-15.2,14.0,5.7,0.0,4.8,24
