Date,Mc Clure Pass (618) Air Temperature Average (degF),Mc Clure Pass (618) Air Temperature Minimum (degF),Mc Clure Pass (618) Air Temperature Maximum (degF),Mc Clure Pass (618) Precipitation Accumulation (in) Start of Day Values,Mc Clure Pass (618) Precipitation Increment (in),Mc Clure Pass (618) Snow Water Equivalent (in) Start of Day Values,Mc Clure Pass (618) Snow Depth (in) Start of Day Values
2015-10-01,61.0,49.6,74.1,0.0,0.0,0.0,0
2015-10-02,55.9,42.1,,0.0,0.0,0.0,0
2015-10-03,50.2,,,0.0,0.0,0.0,0
2015-10-04,50.7,,,0.0,0.0,0.0,0
2015-10-05,46.8,,,0.0,0.1,0.0,0
2015-10-06,47.7,,,0.1,0.0,0.0,0
2015-10-07,46.6,,,0.1,0.0,0.0,0
2015-10-08,49.8,,,0.1,0.0,0.0,0
2015-10-09,52.0,40.1,,0.1,0.0,0.0,0
2015-10-10,53.4,42.1,,0.1,0.1,0.0,0
2015-10-11,53.2,,,0.2,0.0,0.0,0
2015-10-12,51.6,,,0.2,0.0,0.0,0
2015-10-13,53.4,40.5,,0.2,0.0,0.0,0
2015-10-14,54.0,,,0.2,0.0,0.0,0
2015-10-15,53.4,,,0.2,0.0,0.0,0
2015-10-16,53.4,43.7,,0.2,0.0,0.0,0
2015-10-17,50.7,,,0.2,0.0,0.0,0
2015-10-18,46.6,40.6,,0.2,0.0,0.0,0
2015-10-19,43.9,38.1,,0.2,0.7,0.0,0
2015-10-20,41.7,,,0.9,0.4,0.0,0
2015-10-21,41.9,,,1.3,0.1,0.0,0
2015-10-22,33.3,,,1.4,0.7,0.0,0
2015-10-23,35.2,30.6,46.2,2.1,0.1,0.2,1
2015-10-24,39.0,26.2,,2.2,0.1,0.0,0
2015-10-25,44.1,,,2.3,0.1,0.0,0
2015-10-26,36.3,30.9,,2.4,0.3,0.0,0
2015-10-27,32.9,22.6,,2.7,0.0,0.0,0
2015-10-28,33.4,21.6,,2.7,0.1,0.0,0
2015-10-29,39.0,,50.7,2.8,0.1,0.0,0
2015-10-30,33.1,,,2.9,0.0,0.0,0
2015-10-31,38.1,,,2.9,0.0,0.0,0
2015-11-01,41.9,,,2.9,0.1,0.0,0
2015-11-02,46.4,,,3.0,0.0,0.0,0
2015-11-03,45.3,,,3.0,0.1,0.1,1
2015-11-04,30.6,,,3.1,0.9,0.1,1
2015-11-05,25.0,,,4.0,0.5,0.6,6
2015-11-06,23.2,,,4.5,0.1,1.0,8
2015-11-07,23.5,,,4.6,0.1,1.0,8
2015-11-08,30.2,,,4.7,0.0,1.0,7
2015-11-09,36.3,,47.5,4.7,0.1,1.0,6
2015-11-10,33.1,,,4.8,0.3,1.0,4
2015-11-11,22.1,,,5.1,0.2,1.4,7
2015-11-12,24.8,,,5.3,0.1,1.4,8
2015-11-13,29.8,,,5.4,0.0,1.4,8
2015-11-14,34.3,24.3,,5.4,0.0,1.4,7
2015-11-15,34.9,,,5.4,0.1,1.4,7
2015-11-16,27.1,,,5.5,0.8,1.4,6
2015-11-17,24.4,,,6.3,0.1,2.1,15
2015-11-18,24.8,,,6.4,0.0,2.1,14
2015-11-19,29.8,15.1,,6.4,0.0,2.1,12
2015-11-20,29.8,11.7,,6.4,0.0,2.1,11
2015-11-21,19.6,,,6.4,0.0,2.1,11
2015-11-22,29.7,16.9,,6.4,0.1,2.1,10
2015-11-23,34.7,,,6.5,0.0,2.1,10
2015-11-24,34.9,,43.9,6.5,0.0,2.1,9
2015-11-25,37.4,,47.5,6.5,0.1,2.1,10
2015-11-26,29.5,20.7,,6.6,0.0,2.1,9
2015-11-27,23.4,,,6.6,0.2,2.1,9
2015-11-28,21.0,14.5,,6.8,0.1,2.3,12
2015-11-29,18.7,,,6.9,0.2,2.4,12
2015-11-30,11.3,,,7.1,0.1,2.7,16
2015-12-01,14.0,,,7.2,0.0,2.8,15
2015-12-02,22.1,9.5,,7.2,0.1,2.8,15
2015-12-03,29.5,,,7.3,0.1,2.8,14
2015-12-04,35.2,,,7.4,0.0,2.8,13
2015-12-05,24.4,,,7.4,0.0,2.9,13
2015-12-06,27.7,,,7.4,0.1,2.9,14
2015-12-07,34.2,24.3,,7.5,0.0,2.9,14
2015-12-08,34.3,,,7.5,0.0,2.9,13
2015-12-09,35.8,,,7.5,0.1,2.9,13
2015-12-10,35.8,,,7.6,0.0,2.9,13
2015-12-11,34.2,,,7.6,0.0,3.0,12
2015-12-12,23.7,,,7.6,0.2,3.0,12
2015-12-13,21.0,,,7.8,0.0,3.1,15
2015-12-14,23.7,,,7.8,0.6,3.1,14
2015-12-15,13.5,,,8.4,0.3,4.0,24
2015-12-16,10.2,,,8.7,0.3,4.2,27
2015-12-17,11.1,,,9.0,0.2,4.6,27
2015-12-18,23.0,,,9.2,0.2,4.8,27
2015-12-19,32.5,,,9.4,0.1,4.9,25
