Date,Mesa Lakes (622) Air Temperature Average (degF),Mesa Lakes (622) Air Temperature Minimum (degF),Mesa Lakes (622) Air Temperature Maximum (degF),Mesa Lakes (622) Precipitation Accumulation (in) Start of Day Values,Mesa Lakes (622) Precipitation Increment (in),Mesa Lakes (622) Snow Water Equivalent (in) Start of Day Values,Mesa Lakes (622) Snow Depth (in) Start of Day Values
2015-10-01,56.8,49.6,67.1,0.0,0.0,0.0,0
2015-10-02,49.3,38.7,,0.0,0.0,0.0,0
2015-10-03,43.7,34.5,54.7,0.0,0.0,0.0,0
2015-10-04,42.6,33.1,55.6,0.0,0.0,0.0,0
2015-10-05,40.8,38.1,47.5,0.0,0.1,0.0,0
2015-10-06,40.6,32.9,51.4,0.1,0.0,0.0,0
2015-10-07,41.2,31.6,54.7,0.1,0.0,0.0,0
2015-10-08,43.2,33.4,56.7,0.1,0.0,0.0,0
2015-10-09,46.2,37.0,59.5,0.1,0.0,0.0,0
2015-10-10,45.9,34.9,58.5,0.1,0.0,0.0,0
2015-10-11,46.4,36.3,59.5,0.1,0.0,0.0,0
2015-10-12,45.3,33.8,59.5,0.1,0.0,0.0,0
2015-10-13,45.7,34.3,59.5,0.1,0.0,0.0,0
2015-10-14,46.2,37.2,61.7,0.1,0.0,0.0,0
2015-10-15,46.4,35.6,60.8,0.1,0.1,0.0,0
2015-10-16,48.6,38.8,60.8,0.2,0.0,0.0,0
2015-10-17,43.9,33.8,53.4,0.2,0.0,0.0,0
2015-10-18,41.9,40.1,46.6,0.2,0.1,0.0,0
2015-10-19,39.4,34.3,44.8,0.3,0.4,0.0,0
2015-10-20,36.9,32.4,43.9,0.7,0.3,0.0,0
2015-10-21,36.7,30.9,45.3,1.0,0.0,0.0,0
2015-10-22,32.5,30.2,34.3,1.0,1.0,0.0,0
2015-10-23,32.2,24.4,40.5,2.0,0.1,1.1,8
2015-10-24,32.7,22.3,44.2,2.1,0.0,1.1,7
2015-10-25,37.4,30.4,46.4,2.1,0.0,1.1,4
2015-10-26,32.5,27.9,41.0,2.1,0.6,1.1,5
2015-10-27,29.8,18.7,39.9,2.7,0.0,1.5,8
2015-10-28,30.6,18.0,45.0,2.7,0.0,1.5,7
2015-10-29,33.4,27.1,43.7,2.7,0.1,1.5,5
2015-10-30,25.2,19.6,29.1,2.8,0.2,1.6,4
2015-10-31,30.7,23.4,41.4,3.0,0.0,1.6,6
2015-11-01,37.2,26.4,49.3,3.0,0.0,1.7,5
2015-11-02,40.3,32.9,49.8,3.0,0.0,1.7,5
2015-11-03,36.9,30.4,43.9,3.0,0.1,1.7,5
2015-11-04,25.3,21.2,32.5,3.1,0.8,1.7,5
2015-11-05,20.3,17.4,26.8,3.9,0.4,2.3,7
2015-11-06,16.7,7.0,,4.3,0.0,2.5,14
2015-11-07,20.1,3.2,,4.3,0.1,2.5,12
2015-11-08,27.3,19.9,,4.4,0.0,2.6,13
2015-11-09,30.7,23.2,39.9,4.4,0.0,2.7,11
2015-11-10,26.6,17.2,35.1,4.4,0.3,2.7,11
2015-11-11,14.5,7.7,27.1,4.7,0.3,2.9,11
2015-11-12,17.6,9.3,37.9,5.0,0.0,3.1,16
2015-11-13,21.9,9.7,40.1,5.0,0.1,3.1,11
2015-11-14,31.8,21.4,45.3,5.1,0.0,3.2,14
2015-11-15,28.2,19.2,37.9,5.1,0.1,3.2,13
2015-11-16,22.5,19.0,,5.2,0.8,3.3,11
2015-11-17,16.7,14.2,25.0,6.0,0.1,4.1,21
2015-11-18,19.8,14.9,25.2,6.1,0.0,4.1,20
2015-11-19,26.2,16.3,33.3,6.1,0.0,4.1,16
2015-11-20,23.4,2.5,32.4,6.1,0.0,4.1,16
2015-11-21,14.7,1.2,32.4,6.1,0.0,4.1,16
2015-11-22,25.7,15.4,42.4,6.1,0.0,4.1,16
2015-11-23,31.3,16.5,43.7,6.1,0.0,4.1,16
2015-11-24,30.4,22.6,38.5,6.1,0.0,4.1,16
