Date,Middle Creek (624) Air Temperature Average (degF),Middle Creek (624) Air Temperature Minimum (degF),Middle Creek (624) Air Temperature Maximum (degF),Middle Creek (624) Precipitation Accumulation (in) Start of Day Values,Middle Creek (624) Precipitation Increment (in),Middle Creek (624) Snow Water Equivalent (in) Start of Day Values,Middle Creek (624) Snow Depth (in) Start of Day Values
2015-10-01,52.0,42.1,59.5,0.0,0.0,0.0,0
2015-10-02,45.3,36.5,51.6,0.0,0.0,0.0,0
2015-10-03,40.8,35.2,49.8,0.0,0.0,0.0,0
2015-10-04,39.0,34.0,46.8,0.0,0.0,0.0,0
2015-10-05,37.4,32.5,43.5,0.0,0.8,0.0,0
2015-10-06,36.5,30.6,45.7,0.8,0.0,0.0,0
2015-10-07,35.8,30.4,45.7,0.8,0.1,0.0,0
2015-10-08,39.6,29.5,55.2,0.9,0.1,0.0,0
2015-10-09,41.9,29.5,55.4,1.0,0.0,0.0,0
2015-10-10,45.5,32.4,60.1,1.0,0.0,0.0,0
2015-10-11,44.8,32.9,57.0,1.0,0.0,0.0,0
2015-10-12,44.6,32.9,60.8,1.0,0.0,0.0,0
2015-10-13,44.2,28.8,61.5,1.0,0.0,0.0,0
2015-10-14,44.6,32.5,60.1,1.0,0.0,0.0,0
2015-10-15,43.7,32.5,59.2,1.0,0.0,0.0,0
2015-10-16,39.6,29.7,50.9,1.0,0.0,0.0,0
2015-10-17,37.9,29.1,48.9,1.0,0.1,0.0,0
2015-10-18,37.8,33.4,41.4,1.1,0.6,0.1,1
2015-10-19,36.1,32.7,40.1,1.7,0.8,0.1,1
2015-10-20,35.1,25.7,45.3,2.5,0.3,0.1,1
2015-10-21,30.4,25.5,36.9,2.8,0.3,0.2,1
2015-10-22,30.0,28.4,35.6,3.1,0.4,0.3,2
2015-10-23,30.2,20.5,42.1,3.5,0.0,0.5,3
2015-10-24,33.3,20.1,47.3,3.5,0.0,0.3,2
2015-10-25,34.5,23.4,46.4,3.5,0.0,0.1,1
2015-10-26,30.4,18.9,37.9,3.5,0.0,0.1,1
2015-10-27,29.3,15.8,40.6,3.5,0.0,0.0,0
2015-10-28,31.3,14.4,44.6,3.5,0.1,0.0,0
2015-10-29,30.4,26.6,35.2,3.6,0.0,0.2,1
2015-10-30,26.2,14.9,35.2,3.6,0.0,0.2,1
2015-10-31,29.3,13.8,43.7,3.6,0.0,0.2,1
2015-11-01,36.0,21.2,49.8,3.6,0.1,0.3,1
2015-11-02,36.9,26.6,45.0,3.7,0.1,0.4,1
2015-11-03,33.3,28.0,38.5,3.8,0.0,0.5,1
2015-11-04,22.6,14.5,29.3,3.8,1.5,0.6,2
2015-11-05,16.7,10.9,24.6,5.3,0.1,2.2,14
2015-11-06,15.6,3.6,28.2,5.4,0.0,2.2,13
2015-11-07,16.2,1.9,34.7,5.4,0.1,2.1,11
