Date,Mineral Creek (629) Air Temperature Average (degF),Mineral Creek (629) Air Temperature Minimum (degF),Mineral Creek (629) Air Temperature Maximum (degF),Mineral Creek (629) Precipitation Accumulation (in) Start of Day Values,Mineral Creek (629) Precipitation Increment (in),Mineral Creek (629) Snow Water Equivalent (in) Start of Day Values,Mineral Creek (629) Snow Depth (in) Start of Day Values
2015-10-01,49.5,36.0,67.8,0.0,0.0,0.0,0
2015-10-02,48.4,37.9,59.2,0.0,0.0,0.0,0
2015-10-03,40.3,27.9,55.2,0.0,0.0,0.0,0
2015-10-04,39.2,28.4,52.5,0.0,0.1,0.0,0
2015-10-05,37.2,32.2,45.7,0.1,1.4,0.0,0
2015-10-06,36.9,29.8,52.5,1.5,0.1,0.0,0
2015-10-07,36.9,30.7,50.2,1.6,0.0,0.0,0
2015-10-08,41.9,29.5,58.8,1.6,0.0,0.0,0
2015-10-09,43.2,29.5,60.8,1.6,0.0,0.0,0
2015-10-10,44.4,30.0,62.8,1.6,0.0,0.0,0
2015-10-11,43.9,31.6,60.4,1.6,0.0,0.0,0
2015-10-12,44.2,30.4,64.9,1.6,0.0,0.0,0
2015-10-13,43.0,28.0,63.9,1.6,0.0,0.0,0
2015-10-14,43.0,28.8,65.8,1.6,0.0,0.0,0
2015-10-15,43.0,28.2,65.1,1.6,0.0,0.0,0
2015-10-16,41.9,29.8,58.8,1.6,0.1,0.0,0
2015-10-17,39.6,28.8,53.6,1.7,0.1,0.0,0
2015-10-18,40.3,35.6,47.8,1.8,0.2,0.0,0
2015-10-19,37.8,32.4,45.9,2.0,0.5,0.0,0
2015-10-20,35.6,29.5,48.6,2.5,0.4,0.0,0
2015-10-21,34.3,29.5,44.4,2.9,0.1,0.0,0
2015-10-22,32.9,30.7,37.8,3.0,0.5,0.0,0
2015-10-23,32.7,24.1,40.6,3.5,0.1,0.5,3
2015-10-24,32.7,20.5,48.6,3.6,0.1,0.2,1
2015-10-25,36.1,25.5,50.9,3.7,0.0,0.2,1
2015-10-26,32.5,23.2,40.8,3.7,0.0,0.2,1
2015-10-27,32.2,21.7,44.6,3.7,0.0,0.0,0
2015-10-28,32.0,18.3,47.5,3.7,0.0,0.0,0
2015-10-29,31.8,25.2,42.6,3.7,0.0,0.0,0
2015-10-30,29.1,22.1,36.1,3.7,0.0,0.0,0
2015-10-31,32.7,22.3,46.6,3.7,0.0,0.0,0
2015-11-01,32.9,21.7,51.3,3.7,0.1,0.0,0
2015-11-02,34.0,20.3,52.0,3.8,0.1,0.1,1
2015-11-03,36.3,25.0,44.6,3.9,0.1,0.2,1
2015-11-04,25.9,15.6,31.8,4.0,0.7,0.3,1
2015-11-05,16.7,7.7,31.8,4.7,0.1,1.1,9
2015-11-06,17.4,4.6,29.8,4.8,0.0,1.1,9
2015-11-07,15.4,0.3,34.3,4.8,0.2,1.1,9
2015-11-08,18.9,4.1,38.5,5.0,0.0,1.1,8
2015-11-09,23.7,7.5,42.3,5.0,0.1,1.1,8
2015-11-10,25.9,16.0,39.0,5.1,0.0,1.3,7
2015-11-11,15.8,4.1,27.0,5.1,0.1,1.5,9
2015-11-12,16.5,2.8,35.6,5.2,0.1,1.5,11
2015-11-13,19.4,5.5,39.0,5.3,0.0,1.6,10
2015-11-14,20.3,6.8,42.1,5.3,0.0,1.6,10
2015-11-15,23.0,9.0,40.1,5.3,0.3,1.6,9
2015-11-16,22.1,17.2,28.8,5.6,0.7,2.1,14
2015-11-17,18.0,11.5,24.4,6.3,0.3,3.0,19
2015-11-18,19.0,9.3,30.6,6.6,0.0,3.2,21
2015-11-19,19.4,5.5,38.1,6.6,0.1,3.2,19
2015-11-20,25.9,14.2,36.9,6.7,0.0,3.2,18
2015-11-21,14.5,-0.8,34.3,6.7,0.0,3.2,17
2015-11-22,20.5,7.0,42.1,6.7,0.0,3.2,17
2015-11-23,20.3,7.3,42.6,6.7,0.0,3.2,16
2015-11-24,23.0,8.2,40.5,6.7,0.1,3.2,16
2015-11-25,29.5,20.5,39.9,6.8,0.0,3.2,16
2015-11-26,25.9,23.0,30.4,6.8,0.0,3.3,15
2015-11-27,25.5,20.7,31.8,6.8,0.0,3.3,15
2015-11-28,19.9,12.2,25.7,6.8,0.0,3.3,16
2015-11-29,16.7,8.8,22.5,6.8,0.0,3.3,15
2015-11-30,6.8,-2.2,16.9,6.8,0.0,3.3,17
2015-12-01,9.5,-4.7,23.9,6.8,0.1,3.3,17
2015-12-02,15.1,1.2,34.0,6.9,0.1,3.3,17
2015-12-03,18.3,7.0,38.7,7.0,0.0,3.4,17
2015-12-04,23.9,9.7,41.4,7.0,0.2,3.4,17
2015-12-05,17.1,1.4,27.3,7.2,0.0,3.7,21
2015-12-06,16.2,3.2,36.3,7.2,0.1,3.7,21
2015-12-07,22.5,7.5,43.7,7.3,0.1,3.8,20
2015-12-08,30.9,20.7,44.1,7.4,0.0,3.9,19
2015-12-09,30.2,18.3,49.3,7.4,0.1,3.9,19
2015-12-10,33.3,20.3,48.2,7.5,0.0,4.0,19
2015-12-11,30.2,23.5,35.1,7.5,0.0,3.9,17
2015-12-12,19.8,12.4,29.5,7.5,0.0,3.8,16
2015-12-13,19.9,7.3,35.8,7.5,0.1,4.1,22
2015-12-14,16.2,8.8,24.3,7.6,0.1,4.1,21
2015-12-15,7.2,-4.0,13.6,7.7,0.2,4.5,24
2015-12-16,3.6,-9.4,16.3,7.9,0.1,4.4,24
2015-12-17,9.5,5.5,17.8,8.0,0.1,4.5,23
2015-12-18,23.7,9.1,37.8,8.1,0.2,4.6,24
2015-12-19,18.7,7.5,27.1,8.3,0.0,4.8,22
2015-12-20,19.0,11.3,26.4,8.3,0.4,5.0,26
2015-12-21,21.4,18.0,28.2,8.7,0.7,5.4,29
2015-12-22,12.9,-5.4,20.8,9.4,0.4,6.3,38
2015-12-23,4.6,-15.3,18.9,9.8,0.4,6.5,40
2015-12-24,12.0,-4.2,19.2,10.2,0.5,7.1,40
2015-12-25,-1.3,-7.2,8.1,10.7,0.0,7.4,42
2015-12-26,7.7,-4.4,28.4,10.7,0.1,7.4,40
2015-12-27,6.8,-3.5,26.6,10.8,0.0,7.4,38
2015-12-28,3.7,-7.4,18.9,10.8,0.0,7.4,36
2015-12-29,5.7,-0.9,14.7,10.8,0.1,7.5,36
2015-12-30,,,,10.9,0.0,7.5,35
2015-12-31,5.9,-9.0,17.8,10.9,0.0,7.5,35
2016-01-01,1.4,-11.2,21.0,10.9,0.0,7.5,35
2016-01-02,11.3,-5.1,34.0,10.9,0.2,7.5,35
2016-01-03,17.6,5.9,34.9,11.1,0.0,7.6,34
2016-01-04,19.2,5.4,37.2,11.1,0.1,7.7,34
2016-01-05,19.9,12.6,29.3,11.2,0.0,7.8,32
2016-01-06,19.9,12.2,28.8,11.2,0.0,7.8,34
2016-01-07,15.6,7.3,28.2,11.2,0.0,8.0,35
2016-01-08,12.7,6.3,23.5,11.2,0.0,8.0,35
2016-01-09,8.6,-7.4,26.8,11.2,0.0,8.0,36
2016-01-10,-0.2,-11.7,22.6,11.2,0.0,8.0,35
2016-01-11,9.3,-8.5,27.5,11.2,0.1,8.0,35
2016-01-12,13.3,-0.4,34.7,11.3,0.1,8.0,34
2016-01-13,16.5,5.5,38.7,11.4,0.0,8.0,34
2016-01-14,10.9,-1.3,24.6,11.4,0.0,8.0,34
2016-01-15,12.0,0.0,21.6,11.4,0.1,8.0,34
2016-01-16,16.5,7.2,25.3,11.5,0.1,8.3,35
2016-01-17,17.8,7.5,28.8,11.6,0.1,8.5,37
2016-01-18,20.5,7.5,36.0,11.7,0.1,8.6,39
2016-01-19,21.2,12.9,32.9,11.8,0.1,8.8,39
2016-01-20,17.4,4.5,28.8,11.9,0.3,8.8,38
2016-01-21,13.1,-2.6,31.5,12.2,0.0,9.2,43
2016-01-22,21.6,9.7,41.7,12.2,0.1,9.2,41
2016-01-23,22.1,6.3,43.0,12.3,0.1,9.2,40
2016-01-24,19.6,11.8,25.2,12.4,0.1,9.2,39
2016-01-25,8.6,-6.7,19.9,12.5,0.0,9.5,43
2016-01-26,6.1,-9.8,27.7,12.5,0.1,9.5,43
2016-01-27,21.2,7.2,39.9,12.6,0.2,9.6,42
2016-01-28,22.5,9.5,43.5,12.8,0.0,9.7,41
2016-01-29,24.3,12.9,39.4,12.8,0.0,9.7,40
2016-01-30,30.6,18.3,40.3,12.8,0.2,9.7,40
2016-01-31,25.2,23.5,29.3,13.0,0.6,10.1,41
2016-02-01,14.5,5.7,24.4,13.6,0.4,10.9,51
2016-02-02,2.7,-12.1,14.0,14.0,0.0,11.3,54
2016-02-03,-5.6,-17.5,16.7,14.0,0.0,11.3,52
2016-02-04,4.3,-16.1,23.7,14.0,0.2,11.3,51
2016-02-05,9.9,1.6,19.8,14.2,0.1,11.4,49
2016-02-06,16.0,4.6,36.5,14.3,0.1,11.5,49
2016-02-07,23.9,7.9,36.9,14.4,0.0,11.6,48
2016-02-08,29.1,14.9,43.0,14.4,0.0,11.6,47
2016-02-09,26.4,13.3,44.6,14.4,0.0,11.6,46
2016-02-10,23.9,9.9,49.1,14.4,0.0,11.6,46
2016-02-11,25.2,10.0,48.0,14.4,0.0,11.6,45
2016-02-12,28.8,14.9,51.4,14.4,0.0,11.6,45
2016-02-13,27.7,13.6,50.0,14.4,0.0,11.6,44
2016-02-14,23.2,8.6,39.4,14.4,0.0,11.6,44
2016-02-15,27.9,16.9,41.2,14.4,0.0,11.6,43
2016-02-16,29.5,15.8,47.5,14.4,0.0,11.6,43
2016-02-17,28.8,12.4,50.4,14.4,0.1,11.6,43
2016-02-18,36.1,27.9,43.7,14.5,0.0,11.6,42
2016-02-19,30.6,18.3,48.9,14.5,0.0,11.7,42
2016-02-20,26.6,14.4,45.3,14.5,0.0,11.7,42
2016-02-21,25.2,9.9,44.2,14.5,0.0,11.8,42
2016-02-22,19.2,9.5,33.1,14.5,0.0,11.8,41
2016-02-23,15.3,0.0,27.7,14.5,0.0,11.8,42
2016-02-24,14.7,-4.7,36.7,14.5,0.0,11.8,43
2016-02-25,24.1,9.9,41.2,14.5,0.0,11.8,42
2016-02-26,26.2,9.1,48.4,14.5,0.0,11.9,41
2016-02-27,27.7,12.0,46.8,14.5,0.1,12.1,41
2016-02-28,29.7,17.8,45.0,14.6,0.0,11.8,40
2016-02-29,29.8,15.6,41.7,14.6,0.0,11.7,40
2016-03-01,31.5,19.9,43.9,14.6,0.0,11.7,39
2016-03-02,30.6,23.0,41.7,14.6,0.0,11.7,39
2016-03-03,30.9,15.4,49.5,14.6,0.0,11.7,39
2016-03-04,30.2,18.3,49.3,14.6,0.0,11.7,38
2016-03-05,32.4,16.3,47.7,14.6,0.0,11.8,37
2016-03-06,30.7,25.2,38.5,14.6,0.2,11.8,37
2016-03-07,20.7,4.5,33.4,14.8,0.1,12.2,43
2016-03-08,16.5,-0.9,39.2,14.9,0.1,12.5,43
2016-03-09,19.2,0.7,36.5,15.0,0.1,12.6,42
2016-03-10,27.9,8.6,53.2,15.1,0.0,12.7,42
2016-03-11,32.7,15.3,53.2,15.1,0.1,12.7,40
2016-03-12,30.2,22.5,40.5,15.2,0.0,12.7,38
2016-03-13,29.8,17.1,42.8,15.2,0.0,12.7,38
2016-03-14,32.2,19.9,42.3,15.2,0.0,12.7,38
2016-03-15,23.5,13.3,31.5,15.2,0.0,12.7,38
2016-03-16,22.5,10.6,35.1,15.2,0.1,12.7,38
2016-03-17,25.9,9.5,43.5,15.3,0.0,12.8,40
2016-03-18,27.1,16.2,39.6,15.3,0.0,12.8,40
2016-03-19,27.1,15.4,41.0,15.3,0.0,12.8,39
2016-03-20,26.8,9.5,45.5,15.3,0.1,12.8,39
2016-03-21,35.1,16.5,52.9,15.4,0.0,12.9,39
2016-03-22,33.4,16.3,42.4,15.4,0.0,12.9,37
2016-03-23,17.6,12.2,23.5,15.4,0.3,12.9,39
2016-03-24,21.9,5.9,38.1,15.7,0.1,12.9,40
2016-03-25,23.5,15.8,36.0,15.8,0.1,13.0,41
2016-03-26,17.1,0.7,30.7,15.9,0.3,13.1,44
2016-03-27,20.8,-3.5,40.5,16.2,0.2,13.2,45
2016-03-28,31.5,21.0,45.9,16.4,0.3,13.6,43
2016-03-29,22.6,9.3,32.7,16.7,0.4,14.3,41
2016-03-30,14.2,-0.6,32.5,17.1,0.0,14.8,47
2016-03-31,16.5,6.6,30.4,17.1,0.0,14.8,45
2016-04-01,17.8,1.4,33.1,17.1,0.0,14.8,45
2016-04-02,25.2,5.4,46.4,17.1,0.0,14.8,45
2016-04-03,31.3,19.0,48.0,17.1,0.0,14.6,43
2016-04-04,34.3,17.2,52.0,17.1,0.0,14.4,41
2016-04-05,31.6,20.8,47.3,17.1,0.0,14.4,40
2016-04-06,32.4,16.5,50.2,17.1,0.0,14.2,39
2016-04-07,36.7,20.1,55.6,17.1,0.0,14.0,38
2016-04-08,36.3,23.5,53.2,17.1,0.0,13.6,36
2016-04-09,34.2,27.5,44.4,17.1,0.0,13.2,34
2016-04-10,35.6,26.6,48.4,17.1,0.0,12.7,32
2016-04-11,34.2,24.1,47.1,17.1,0.0,12.3,30
2016-04-12,32.9,24.1,47.3,17.1,0.0,11.8,28
2016-04-13,34.3,21.4,52.2,17.1,0.1,11.6,28
2016-04-14,38.3,27.0,48.6,17.2,0.0,11.2,25
2016-04-15,30.4,18.3,38.7,17.2,0.4,11.0,25
2016-04-16,25.2,16.9,32.9,17.6,0.3,11.4,30
2016-04-17,21.9,12.0,36.3,17.9,0.0,11.6,33
2016-04-18,21.7,8.8,34.9,17.9,0.3,11.6,35
2016-04-19,24.6,5.7,40.3,18.2,0.0,11.9,36
2016-04-20,32.7,22.5,45.7,18.2,0.0,11.9,34
2016-04-21,34.3,18.0,53.2,18.2,0.0,11.9,33
2016-04-22,40.6,23.2,58.5,18.2,0.0,11.8,31
2016-04-23,35.2,21.9,46.6,18.2,0.0,11.1,30
2016-04-24,35.1,22.1,48.9,18.2,0.1,11.1,30
2016-04-25,30.7,21.6,44.8,18.3,0.0,10.2,28
2016-04-26,25.5,20.1,35.6,18.3,0.1,10.2,28
2016-04-27,30.4,20.5,42.4,18.4,0.2,10.4,28
2016-04-28,32.0,24.6,46.6,18.6,0.1,10.4,28
2016-04-29,27.5,19.6,38.1,18.7,0.3,10.6,29
2016-04-30,30.6,22.5,45.5,19.0,0.0,10.7,30
2016-05-01,29.7,21.0,40.5,19.0,0.1,10.8,29
2016-05-02,32.0,23.0,46.0,19.1,0.0,10.8,27
2016-05-03,35.1,19.8,52.2,19.1,0.1,10.5,26
2016-05-04,39.4,23.9,59.7,19.2,0.0,9.6,24
2016-05-05,42.6,25.2,62.2,19.2,0.0,8.5,21
2016-05-06,43.5,30.9,58.3,19.2,0.0,7.5,18
2016-05-07,31.6,22.3,43.0,19.2,0.0,6.5,16
2016-05-08,29.1,19.4,42.1,19.2,0.1,6.3,15
2016-05-09,34.9,28.8,46.8,19.3,0.8,6.6,16
2016-05-10,36.1,28.8,47.7,20.1,0.2,7.0,18
2016-05-11,31.3,21.7,45.7,20.3,0.0,6.9,18
2016-05-12,36.3,17.8,55.2,20.3,0.1,6.8,16
2016-05-13,40.8,23.5,59.9,20.4,0.0,5.8,14
2016-05-14,44.6,27.1,64.8,20.4,0.0,4.8,11
2016-05-15,41.4,33.4,53.6,20.4,0.1,3.6,9
2016-05-16,34.3,29.3,47.8,20.5,0.2,2.8,7
2016-05-17,34.3,28.4,44.4,20.7,0.1,3.0,7
2016-05-18,35.6,30.2,46.2,20.8,0.2,2.8,6
2016-05-19,37.9,30.4,51.3,21.0,0.0,2.6,6
2016-05-20,42.8,30.6,55.8,21.0,0.1,1.6,4
2016-05-21,47.5,33.3,57.0,21.1,0.0,0.6,4
2016-05-22,42.4,27.9,55.6,21.1,0.0,0.3,2
2016-05-23,38.7,25.5,54.1,21.1,0.0,0.2,1
2016-05-24,41.0,25.9,55.9,21.1,0.0,0.0,0
2016-05-25,39.9,27.1,54.9,21.1,0.0,0.0,0
2016-05-26,34.2,27.9,44.2,21.1,0.0,0.0,0
2016-05-27,35.2,27.0,46.2,21.1,0.1,0.0,0
2016-05-28,37.9,24.4,54.9,21.2,0.1,0.0,0
2016-05-29,40.5,28.2,58.6,21.3,0.0,0.0,0
2016-05-30,41.9,27.5,61.9,21.3,0.0,0.0,0
2016-05-31,42.8,27.1,62.2,21.3,0.1,0.0,0
2016-06-01,44.8,29.7,61.7,21.4,0.0,0.0,0
2016-06-02,46.8,30.7,64.2,21.4,0.1,0.0,0
2016-06-03,48.2,32.0,65.8,21.5,0.0,0.0,0
2016-06-04,51.1,33.8,69.8,21.5,0.1,0.0,0
2016-06-05,52.0,35.2,70.0,21.6,0.0,0.0,0
2016-06-06,47.5,35.2,71.2,21.6,0.0,0.0,0
2016-06-07,51.1,34.2,70.0,21.6,0.0,0.0,0
2016-06-08,47.7,34.2,65.5,21.6,0.0,0.0,0
2016-06-09,50.9,35.6,71.2,21.6,0.0,0.0,0
2016-06-10,54.9,34.9,74.7,21.6,0.0,0.0,0
2016-06-11,51.1,36.9,70.0,21.6,0.0,0.0,0
2016-06-12,45.7,34.9,65.1,21.6,0.0,0.0,0
2016-06-13,41.7,30.9,57.4,21.6,0.0,0.0,0
2016-06-14,44.6,28.8,63.1,21.6,0.0,0.0,0
2016-06-15,49.8,30.0,69.4,21.6,0.0,0.0,0
