Date,Molas Lake (632) Air Temperature Average (degF),Molas Lake (632) Air Temperature Minimum (degF),Molas Lake (632) Air Temperature Maximum (degF),Molas Lake (632) Precipitation Accumulation (in) Start of Day Values,Molas Lake (632) Precipitation Increment (in),Molas Lake (632) Snow Water Equivalent (in) Start of Day Values,Molas Lake (632) Snow Depth (in) Start of Day Values
2015-10-01,51.4,38.5,65.8,0.0,0.0,0.0,0
2015-10-02,48.9,38.3,58.3,0.0,0.0,0.0,0
2015-10-03,42.8,36.0,54.0,0.0,0.1,0.0,0
2015-10-04,41.0,33.4,52.9,0.1,0.1,0.0,0
2015-10-05,36.9,32.5,47.5,0.2,1.4,0.0,0
2015-10-06,36.7,29.5,51.1,1.6,0.0,0.0,0
2015-10-07,38.3,30.6,53.2,1.6,0.0,0.0,0
2015-10-08,42.3,29.7,60.6,1.6,0.0,0.0,0
2015-10-09,43.2,29.8,59.2,1.6,0.0,0.0,0
2015-10-10,45.0,31.6,63.7,1.6,0.0,0.0,0
2015-10-11,44.4,32.5,60.4,1.6,0.0,0.0,0
2015-10-12,45.0,30.6,64.2,1.6,0.0,0.0,0
2015-10-13,44.4,30.9,63.7,1.6,0.0,0.0,0
2015-10-14,44.4,29.8,64.8,1.6,0.0,0.0,0
2015-10-15,44.4,29.3,64.2,1.6,0.0,0.0,0
2015-10-16,43.9,32.9,54.7,1.6,0.0,0.0,0
2015-10-17,38.8,29.3,48.4,1.6,0.1,0.0,0
2015-10-18,39.2,33.4,46.6,1.7,0.5,0.0,0
2015-10-19,38.8,32.9,48.2,2.2,0.7,0.0,0
2015-10-20,36.1,28.0,47.7,2.9,0.3,0.0,0
2015-10-21,33.3,28.0,43.7,3.2,0.0,0.0,0
2015-10-22,32.2,30.4,36.0,3.2,0.4,0.0,0
2015-10-23,32.0,23.5,42.3,3.6,0.0,0.0,0
2015-10-24,34.2,22.3,50.7,3.6,0.0,0.0,0
2015-10-25,36.1,26.6,48.6,3.6,0.0,0.0,0
2015-10-26,32.7,22.5,42.6,3.6,0.0,0.0,0
2015-10-27,31.5,21.6,43.7,3.6,0.0,0.0,0
2015-10-28,33.3,18.0,48.0,3.6,0.0,0.0,0
2015-10-29,31.5,26.2,38.1,3.6,0.2,0.0,0
2015-10-30,29.5,20.1,40.5,3.8,0.0,0.0,0
2015-10-31,33.4,25.0,47.1,3.8,0.0,0.0,0
2015-11-01,35.2,23.2,53.8,3.8,0.0,0.1,1
2015-11-02,38.1,26.4,50.2,3.8,0.1,0.1,1
2015-11-03,36.1,27.3,44.2,3.9,0.1,0.2,1
2015-11-04,23.9,16.2,31.5,4.0,0.8,0.2,1
2015-11-05,17.1,6.6,29.5,4.8,0.0,0.9,6
2015-11-06,16.3,4.1,32.2,4.8,0.0,0.9,4
2015-11-07,17.1,1.2,38.1,4.8,0.1,0.9,4
2015-11-08,22.3,7.0,41.7,4.9,0.0,0.9,3
2015-11-09,26.4,10.0,39.2,4.9,0.1,1.4,1
2015-11-10,24.6,14.0,33.8,5.0,0.4,1.4,1
2015-11-11,15.4,5.0,29.5,5.4,0.0,1.4,6
2015-11-12,19.4,5.0,39.4,5.4,0.0,1.4,7
2015-11-13,23.0,8.2,46.6,5.4,0.1,1.4,8
2015-11-14,24.6,9.9,45.9,5.5,0.0,1.4,8
2015-11-15,26.4,16.5,38.8,5.5,0.3,1.5,9
2015-11-16,20.8,13.6,28.4,5.8,0.9,1.9,11
2015-11-17,18.0,11.5,25.2,6.7,0.1,2.7,18
2015-11-18,18.9,10.6,34.0,6.8,0.0,2.8,19
2015-11-19,23.7,9.1,41.9,6.8,0.0,2.8,17
2015-11-20,25.2,9.5,37.2,6.8,0.0,2.8,16
2015-11-21,17.4,1.2,38.5,6.8,0.0,2.8,15
2015-11-22,23.7,10.2,48.0,6.8,0.0,2.8,14
2015-11-23,24.6,11.3,45.7,6.8,0.0,2.8,14
2015-11-24,26.8,13.8,38.5,6.8,0.1,2.8,14
2015-11-25,29.3,25.3,33.8,6.9,0.0,2.9,13
2015-11-26,23.5,20.1,27.5,6.9,0.3,2.9,13
2015-11-27,23.4,18.0,30.0,7.2,0.1,3.1,16
2015-11-28,17.4,10.8,25.2,7.3,0.0,3.1,16
2015-11-29,14.5,6.8,19.6,7.3,0.1,3.1,15
2015-11-30,4.6,-4.7,18.9,7.4,0.0,3.1,17
2015-12-01,10.6,-3.3,26.8,7.4,0.0,3.1,16
2015-12-02,17.8,4.6,38.3,7.4,0.0,3.1,16
2015-12-03,23.0,11.3,45.3,7.4,0.0,3.1,15
2015-12-04,27.3,17.8,36.3,7.4,0.3,3.1,16
2015-12-05,18.0,5.2,29.7,7.7,0.0,3.2,16
2015-12-06,21.9,5.9,43.9,7.7,0.0,3.2,18
2015-12-07,28.8,13.3,46.8,7.7,0.1,3.2,18
2015-12-08,31.5,20.8,46.8,7.8,0.0,3.2,16
2015-12-09,32.7,19.9,50.4,7.8,0.1,3.2,17
2015-12-10,31.3,22.1,42.8,7.9,0.0,3.4,17
2015-12-11,27.1,21.9,30.7,7.9,0.0,3.4,16
2015-12-12,19.9,8.4,34.0,7.9,0.5,3.4,16
2015-12-13,20.1,6.3,39.0,8.4,0.0,3.8,23
2015-12-14,14.9,6.6,22.6,8.4,0.4,3.8,21
2015-12-15,4.3,-8.0,14.0,8.8,0.0,4.2,24
2015-12-16,3.9,-9.2,20.3,8.8,0.1,4.1,23
2015-12-17,9.5,3.9,23.5,8.9,0.1,4.4,23
2015-12-18,21.9,10.4,38.8,9.0,0.0,4.4,22
2015-12-19,25.7,13.8,36.0,9.0,0.1,4.4,22
2015-12-20,18.3,9.5,23.0,9.1,0.4,4.6,20
2015-12-21,16.9,7.7,24.1,9.5,0.6,5.0,27
2015-12-22,18.9,16.7,23.2,10.1,1.4,5.7,36
2015-12-23,11.1,-7.2,17.2,11.5,0.1,7.1,54
2015-12-24,4.6,-13.5,16.2,11.6,0.6,7.2,50
2015-12-25,10.0,-7.2,17.4,12.2,0.7,7.8,52
2015-12-26,-1.5,-12.5,13.1,12.9,0.0,8.8,54
2015-12-27,9.1,-3.6,33.1,12.9,0.0,8.8,49
2015-12-28,10.0,0.3,24.8,12.9,0.1,8.8,47
2015-12-29,5.5,-5.8,21.2,13.0,0.0,8.9,43
2015-12-30,7.9,0.7,18.3,13.0,0.1,8.9,44
2015-12-31,5.5,-7.6,18.3,13.1,0.0,9.0,41
2016-01-01,3.9,-8.1,26.8,13.1,0.1,9.0,41
2016-01-02,13.5,-2.2,36.5,13.2,0.1,9.0,41
2016-01-03,18.7,7.3,40.5,13.3,0.0,9.2,39
2016-01-04,18.9,8.1,33.1,13.3,0.1,9.3,39
2016-01-05,19.8,12.2,26.8,13.4,0.1,9.4,38
2016-01-06,19.6,12.4,27.5,13.5,0.1,9.6,39
2016-01-07,14.9,6.8,24.4,13.6,0.1,9.8,39
2016-01-08,10.8,0.0,23.7,13.7,0.0,9.9,39
2016-01-09,5.2,-6.9,23.5,13.7,0.0,9.9,40
2016-01-10,0.7,-9.9,24.4,13.7,0.0,9.9,40
2016-01-11,10.6,-6.9,30.6,13.7,0.0,9.9,39
2016-01-12,16.3,2.3,40.3,13.7,0.1,9.9,38
2016-01-13,20.8,7.5,43.5,13.8,0.0,10.0,38
2016-01-14,12.9,-0.4,24.4,13.8,0.0,10.0,37
2016-01-15,12.4,1.0,22.3,13.8,0.1,10.0,37
2016-01-16,14.5,0.9,28.8,13.9,0.2,10.0,38
2016-01-17,18.3,8.6,28.8,14.1,0.1,10.2,38
2016-01-18,21.6,11.1,35.1,14.2,0.1,10.2,41
2016-01-19,19.9,12.0,30.7,14.3,0.1,10.2,39
2016-01-20,15.6,1.2,28.8,14.4,0.2,10.3,40
2016-01-21,15.1,-2.2,35.2,14.6,0.1,10.4,43
2016-01-22,25.2,13.1,48.6,14.7,0.0,10.7,42
2016-01-23,25.3,12.4,41.0,14.7,0.0,10.8,41
2016-01-24,18.3,6.6,24.8,14.7,0.2,10.9,40
2016-01-25,6.8,-7.4,21.4,14.9,0.0,11.0,43
2016-01-26,7.9,-8.5,28.4,14.9,0.1,11.0,42
2016-01-27,23.2,9.9,42.8,15.0,0.1,11.2,41
2016-01-28,25.2,11.3,46.2,15.1,0.0,11.3,41
2016-01-29,28.8,19.8,43.0,15.1,0.0,11.4,40
2016-01-30,28.0,24.8,36.7,15.1,0.5,11.4,40
2016-01-31,23.5,22.1,25.2,15.6,1.4,12.0,42
2016-02-01,11.5,-1.1,23.0,17.0,0.5,13.7,58
2016-02-02,1.8,-12.5,12.7,17.5,0.0,14.2,60
2016-02-03,-6.3,-16.1,10.8,17.5,0.0,14.2,58
2016-02-04,4.5,-10.3,23.4,17.5,0.0,14.2,56
2016-02-05,9.9,1.2,23.5,17.5,0.2,14.2,54
2016-02-06,17.1,4.6,38.1,17.7,0.1,14.3,54
2016-02-07,26.8,10.8,40.1,17.8,0.0,14.5,53
2016-02-08,30.9,21.0,42.3,17.8,0.0,14.5,52
2016-02-09,27.5,14.2,47.5,17.8,0.0,14.6,51
2016-02-10,27.1,12.9,49.1,17.8,0.0,14.6,51
2016-02-11,27.7,12.9,49.5,17.8,0.0,14.6,50
2016-02-12,30.9,18.0,52.9,17.8,0.0,14.7,49
2016-02-13,29.5,16.0,46.2,17.8,0.0,14.8,48
2016-02-14,22.6,12.2,37.4,17.8,0.0,14.8,48
2016-02-15,27.7,15.4,44.1,17.8,0.0,14.8,46
2016-02-16,30.2,18.0,46.8,17.8,0.0,14.8,46
2016-02-17,32.2,16.2,46.2,17.8,0.0,14.8,46
2016-02-18,32.5,28.0,37.2,17.8,0.1,14.8,46
2016-02-19,29.3,18.9,40.8,17.9,0.0,14.9,46
2016-02-20,30.2,15.1,45.5,17.9,0.0,14.9,46
2016-02-21,25.5,12.2,43.5,17.9,0.0,14.9,46
2016-02-22,18.0,7.9,34.9,17.9,0.0,15.0,46
2016-02-23,14.5,0.3,27.1,17.9,0.0,15.0,46
2016-02-24,16.3,-3.3,39.2,17.9,0.0,14.8,46
2016-02-25,26.4,12.7,44.1,17.9,0.0,14.8,45
2016-02-26,28.2,12.2,50.7,17.9,0.0,14.8,45
2016-02-27,29.3,15.3,43.2,17.9,0.0,14.7,44
2016-02-28,30.9,19.9,47.3,17.9,0.0,14.5,44
2016-02-29,30.2,18.9,40.6,17.9,0.0,14.2,43
2016-03-01,30.2,19.0,43.5,17.9,0.0,14.0,42
2016-03-02,30.7,20.8,41.4,17.9,0.0,13.7,41
2016-03-03,32.0,16.7,51.6,17.9,0.0,13.4,40
2016-03-04,32.0,21.2,47.7,17.9,0.0,13.4,40
2016-03-05,32.2,21.0,42.8,17.9,0.0,13.3,39
2016-03-06,28.8,24.6,33.3,17.9,0.6,13.3,38
2016-03-07,17.8,3.7,28.8,18.5,0.0,14.0,43
2016-03-08,15.8,0.0,37.2,18.5,0.0,14.1,44
2016-03-09,19.4,1.9,37.8,18.5,0.0,14.1,44
2016-03-10,29.8,10.2,53.2,18.5,0.0,14.1,43
2016-03-11,35.6,19.2,50.7,18.5,0.0,14.1,41
2016-03-12,30.0,23.5,40.1,18.5,0.0,14.1,40
2016-03-13,28.8,16.5,42.1,18.5,0.0,14.1,40
2016-03-14,29.5,15.3,38.5,18.5,0.0,14.1,40
2016-03-15,22.1,12.9,32.9,18.5,0.0,14.1,40
2016-03-16,23.2,13.6,37.2,18.5,0.0,14.1,40
2016-03-17,27.1,12.0,42.3,18.5,0.0,14.1,40
2016-03-18,27.9,16.3,41.0,18.5,0.0,14.1,40
2016-03-19,27.0,15.3,43.0,18.5,0.0,14.1,39
2016-03-20,28.4,11.8,46.0,18.5,0.0,14.1,38
2016-03-21,35.8,22.3,47.8,18.5,0.1,14.1,38
2016-03-22,30.4,14.7,40.1,18.6,0.0,14.2,37
2016-03-23,17.6,7.5,28.8,18.6,0.1,14.2,37
2016-03-24,23.2,5.5,41.9,18.7,0.0,14.5,39
