Date,Nast Lake (658) Air Temperature Average (degF),Nast Lake (658) Air Temperature Minimum (degF),Nast Lake (658) Air Temperature Maximum (degF),Nast Lake (658) Precipitation Accumulation (in) Start of Day Values,Nast Lake (658) Precipitation Increment (in),Nast Lake (658) Snow Water Equivalent (in) Start of Day Values,Nast Lake (658) Snow Depth (in) Start of Day Values
2015-10-01,53.6,35.8,77.2,0.0,0.0,0.0,0
2015-10-02,50.7,34.3,74.8,0.0,0.0,0.0,0
2015-10-03,45.0,29.1,61.9,0.0,0.0,0.0,0
2015-10-04,45.7,29.7,68.4,0.0,0.0,0.0,0
2015-10-05,43.9,29.3,62.1,0.0,0.1,0.0,0
2015-10-06,45.5,33.3,65.1,0.1,0.3,0.0,0
2015-10-07,42.4,30.4,61.3,0.4,0.0,0.0,0
2015-10-08,44.6,27.5,66.6,0.4,0.0,0.0,0
2015-10-09,45.9,28.8,68.9,0.4,0.0,0.0,0
2015-10-10,46.2,28.8,71.6,0.4,0.0,0.0,0
2015-10-11,45.5,30.6,68.5,0.4,0.0,0.0,0
2015-10-12,43.9,28.0,69.4,0.4,0.0,0.0,0
2015-10-13,42.8,24.3,69.4,0.4,0.0,0.0,0
2015-10-14,43.9,25.0,72.0,0.4,0.0,0.0,0
2015-10-15,48.6,25.9,72.5,0.4,0.0,0.0,0
2015-10-16,45.7,27.7,69.4,0.4,0.1,0.0,0
2015-10-17,46.4,27.7,66.6,0.5,0.1,0.0,0
2015-10-18,45.7,36.7,60.8,0.6,0.0,0.0,0
2015-10-19,41.9,32.0,55.8,0.6,0.0,0.0,0
2015-10-20,40.1,30.7,55.2,0.6,0.0,0.0,0
2015-10-21,44.6,30.7,54.1,0.6,0.0,0.0,0
2015-10-22,32.7,29.7,36.1,0.6,0.6,0.0,0
2015-10-23,34.3,28.0,46.2,1.2,0.0,0.3,1
2015-10-24,32.5,22.5,53.1,1.2,0.1,0.0,0
2015-10-25,36.9,21.4,57.7,1.3,0.2,0.0,0
2015-10-26,33.8,25.0,46.6,1.5,0.0,0.0,0
2015-10-27,28.0,15.4,46.4,1.5,0.0,0.0,0
2015-10-28,28.4,11.7,47.5,1.5,0.1,0.0,0
2015-10-29,34.5,23.0,52.2,1.6,0.0,0.0,0
2015-10-30,31.6,23.5,44.1,1.6,0.0,0.0,0
2015-10-31,34.2,24.1,52.2,1.6,0.0,0.0,0
2015-11-01,34.3,21.7,56.7,1.6,0.0,0.0,0
2015-11-02,35.8,21.6,63.3,1.6,0.0,0.0,0
2015-11-03,39.0,21.7,57.4,1.6,0.1,0.0,0
2015-11-04,31.6,23.5,42.4,1.7,0.3,0.1,1
2015-11-05,24.8,20.1,32.9,2.0,0.0,0.6,6
2015-11-06,21.0,6.8,34.7,2.0,0.2,0.7,7
2015-11-07,17.2,0.1,38.1,2.2,0.1,0.7,5
2015-11-08,22.1,7.2,44.2,2.3,0.0,0.8,2
2015-11-09,24.3,8.4,48.4,2.3,0.0,0.8,4
2015-11-10,30.9,17.2,48.9,2.3,0.2,0.8,4
