Date,Niwot (663) Air Temperature Average (degF),Niwot (663) Air Temperature Minimum (degF),Niwot (663) Air Temperature Maximum (degF),Niwot (663) Precipitation Accumulation (in) Start of Day Values,Niwot (663) Precipitation Increment (in),Niwot (663) Snow Water Equivalent (in) Start of Day Values,Niwot (663) Snow Depth (in) Start of Day Values
2015-10-01,48.0,39.9,63.5,0.0,0.0,0.0,0
2015-10-02,45.9,37.2,61.9,0.0,0.3,0.0,0
2015-10-03,41.0,32.4,54.3,0.3,0.4,0.0,0
2015-10-04,41.4,33.3,52.7,0.7,0.0,0.0,0
2015-10-05,43.7,32.2,59.4,0.7,0.0,0.0,0
2015-10-06,40.3,32.4,53.6,0.7,0.3,0.0,0
2015-10-07,39.9,32.5,54.3,1.0,0.0,0.0,0
2015-10-08,43.7,32.4,57.6,1.0,0.1,0.0,0
2015-10-09,46.2,32.7,57.6,1.1,0.1,0.0,0
2015-10-10,54.5,47.7,63.3,1.2,0.0,0.0,0
2015-10-11,52.5,46.6,61.3,1.2,0.0,0.0,0
2015-10-12,50.0,42.4,58.1,1.2,0.0,0.0,0
2015-10-13,51.1,42.1,60.1,1.2,0.0,0.0,0
2015-10-14,49.5,35.2,61.9,1.2,0.0,0.0,0
2015-10-15,41.0,30.4,52.3,1.2,0.0,0.0,0
2015-10-16,42.1,29.7,59.5,1.2,0.0,0.0,0
2015-10-17,43.7,30.7,60.1,1.2,0.0,0.0,0
2015-10-18,46.8,37.9,56.8,1.2,0.0,0.0,0
2015-10-19,40.5,31.1,52.7,1.2,0.0,0.0,0
2015-10-20,39.9,32.0,52.9,1.2,0.5,0.0,0
2015-10-21,34.3,32.7,39.2,1.7,0.5,0.3,1
2015-10-22,34.2,32.2,37.6,2.2,0.8,0.6,2
2015-10-23,34.0,28.9,39.6,3.0,0.0,1.1,6
2015-10-24,33.1,27.1,45.1,3.0,0.0,1.1,6
2015-10-25,38.3,29.7,50.7,3.0,0.0,1.0,6
2015-10-26,37.9,32.9,46.2,3.0,0.0,1.0,5
2015-10-27,32.0,27.1,40.6,3.0,0.2,1.0,5
2015-10-28,33.8,27.0,42.4,3.2,0.0,1.0,5
2015-10-29,34.9,29.1,45.7,3.2,0.0,1.0,5
2015-10-30,32.5,29.7,36.3,3.2,0.1,1.0,5
2015-10-31,36.0,29.5,41.9,3.3,0.0,1.0,5
2015-11-01,40.5,36.0,48.9,3.3,0.0,1.0,5
2015-11-02,41.0,30.4,54.7,3.3,0.0,1.0,4
2015-11-03,43.0,31.5,53.2,3.3,0.0,1.0,3
