Date,North Lost Trail (669) Air Temperature Average (degF),North Lost Trail (669) Air Temperature Minimum (degF),North Lost Trail (669) Air Temperature Maximum (degF),North Lost Trail (669) Precipitation Accumulation (in) Start of Day Values,North Lost Trail (669) Precipitation Increment (in),North Lost Trail (669) Snow Water Equivalent (in) Start of Day Values,North Lost Trail (669) Snow Depth (in) Start of Day Values
2015-10-01,55.6,45.0,71.2,0.0,0.0,0.0,0
2015-10-02,50.2,36.3,63.5,0.0,0.1,0.0,0
2015-10-03,45.5,33.1,62.1,0.1,0.0,0.0,0
2015-10-04,47.5,38.3,61.2,0.1,0.0,0.0,0
2015-10-05,44.2,38.7,50.9,0.1,0.2,0.0,0
2015-10-06,44.2,36.3,58.3,0.3,0.1,0.0,0
2015-10-07,43.0,33.8,59.4,0.4,0.0,0.0,0
2015-10-08,45.3,34.2,62.6,0.4,0.0,0.0,0
2015-10-09,47.5,36.9,64.0,0.4,0.0,0.0,0
2015-10-10,49.3,37.9,67.1,0.4,0.0,0.0,0
2015-10-11,48.6,39.9,64.2,0.4,0.0,0.0,0
2015-10-12,47.1,34.9,65.5,0.4,0.0,0.0,0
2015-10-13,47.7,36.3,66.2,0.4,0.0,0.0,0
2015-10-14,48.6,37.8,68.2,0.4,0.0,0.0,0
2015-10-15,48.2,36.7,67.6,0.4,0.0,0.0,0
2015-10-16,48.2,38.5,64.4,0.4,0.0,0.0,0
2015-10-17,46.4,38.1,61.0,0.4,0.0,0.0,0
2015-10-18,44.6,41.2,54.1,0.4,0.1,0.0,0
2015-10-19,40.5,35.1,46.6,0.5,0.4,0.0,0
2015-10-20,39.0,33.8,53.8,0.9,0.3,0.0,0
2015-10-21,39.9,33.3,50.2,1.2,0.0,0.0,0
2015-10-22,33.1,31.8,35.2,1.2,0.9,0.1,1
2015-10-23,33.3,28.2,42.4,2.1,0.2,0.6,3
2015-10-24,32.0,24.4,45.7,2.3,0.0,0.5,3
2015-10-25,38.1,29.5,53.1,2.3,0.0,0.3,1
2015-10-26,34.3,29.1,42.1,2.3,0.3,0.2,1
2015-10-27,30.0,19.9,40.1,2.6,0.0,0.3,1
2015-10-28,29.1,19.6,43.0,2.6,0.1,0.5,1
2015-10-29,36.0,29.3,47.3,2.7,0.1,0.5,1
2015-10-30,30.6,25.7,38.1,2.8,0.1,0.2,1
2015-10-31,34.2,27.0,49.5,2.9,0.0,0.1,1
2015-11-01,36.7,28.8,52.2,2.9,0.0,0.1,1
2015-11-02,39.9,31.5,55.9,2.9,0.0,0.1,1
2015-11-03,39.6,29.8,53.1,2.9,0.0,0.1,1
2015-11-04,30.0,23.9,40.3,2.9,0.5,0.2,1
2015-11-05,23.9,21.7,29.5,3.4,0.2,0.7,5
2015-11-06,20.8,11.1,30.9,3.6,0.0,0.9,7
2015-11-07,20.5,9.1,39.2,3.6,0.0,0.9,7
2015-11-08,25.2,16.7,42.4,3.6,0.0,0.9,6
2015-11-09,28.4,19.0,45.7,3.6,0.0,0.9,5
2015-11-10,29.1,19.9,41.0,3.6,0.3,0.9,4
2015-11-11,19.2,11.3,29.5,3.9,0.0,1.3,9
2015-11-12,20.1,11.5,38.1,3.9,0.1,1.3,10
2015-11-13,23.5,15.1,40.6,4.0,0.0,1.4,8
2015-11-14,25.5,17.4,42.4,4.0,0.0,1.4,8
2015-11-15,28.8,20.8,44.6,4.0,0.5,1.4,7
2015-11-16,25.7,22.5,30.7,4.5,0.4,1.4,6
2015-11-17,21.2,17.6,27.5,4.9,0.0,2.1,14
2015-11-18,22.6,18.7,27.1,4.9,0.2,2.2,16
2015-11-19,27.5,20.3,38.5,5.1,0.1,2.2,13
2015-11-20,26.8,8.8,38.1,5.2,0.0,2.2,13
2015-11-21,13.6,2.3,33.1,5.2,0.0,2.2,13
2015-11-22,23.5,12.7,42.3,5.2,0.0,2.2,12
2015-11-23,27.3,19.0,46.6,5.2,0.0,2.2,12
2015-11-24,30.4,22.5,42.3,5.2,0.0,2.2,11
2015-11-25,34.0,25.2,43.2,5.2,0.1,2.2,11
2015-11-26,26.4,19.4,36.9,5.3,0.0,2.1,11
2015-11-27,22.1,16.7,27.7,5.3,0.0,2.1,11
2015-11-28,19.2,12.4,30.7,5.3,0.1,2.1,11
2015-11-29,18.3,12.9,27.0,5.4,0.0,2.2,12
2015-11-30,10.0,5.7,16.0,5.4,0.1,2.4,14
2015-12-01,10.2,1.2,24.4,5.5,0.0,2.4,14
2015-12-02,17.2,6.8,34.5,5.5,0.3,2.4,14
2015-12-03,23.4,16.3,40.5,5.8,0.0,2.5,13
2015-12-04,30.7,21.2,45.3,5.8,0.0,2.5,13
2015-12-05,21.2,9.0,29.7,5.8,0.0,2.6,12
2015-12-06,21.4,8.6,34.3,5.8,0.0,2.6,15
2015-12-07,28.8,17.8,45.9,5.8,0.1,2.7,15
2015-12-08,32.2,25.5,43.7,5.9,0.0,2.8,14
2015-12-09,32.7,23.7,45.7,5.9,0.0,2.8,14
2015-12-10,36.0,25.7,43.7,5.9,0.0,2.7,14
2015-12-11,32.5,26.6,37.4,5.9,0.0,2.7,13
2015-12-12,22.5,17.4,28.2,5.9,0.0,2.7,11
2015-12-13,17.8,7.0,32.4,5.9,0.1,2.9,15
2015-12-14,21.6,14.2,27.1,6.0,0.3,2.9,14
2015-12-15,11.5,3.2,16.5,6.3,0.0,3.4,21
2015-12-16,8.8,2.7,20.5,6.3,0.1,3.5,20
2015-12-17,8.1,2.3,17.6,6.4,0.1,3.6,20
2015-12-18,19.4,10.4,32.5,6.5,0.4,3.7,21
2015-12-19,27.7,18.7,40.5,6.9,0.0,3.8,20
2015-12-20,23.9,19.9,30.9,6.9,0.5,3.8,18
2015-12-21,21.7,18.9,24.8,7.4,0.4,4.4,27
2015-12-22,24.3,19.9,27.5,7.8,0.4,4.8,29
2015-12-23,14.5,5.0,23.0,8.2,0.0,5.1,30
2015-12-24,7.5,-2.6,16.5,8.2,0.3,5.2,31
2015-12-25,15.3,8.6,22.3,8.5,0.7,5.4,33
2015-12-26,3.2,-4.5,13.8,9.2,0.1,6.1,37
2015-12-27,7.5,-4.7,27.0,9.3,0.0,6.1,35
2015-12-28,15.1,7.7,25.7,9.3,0.0,6.1,31
2015-12-29,14.4,8.6,23.4,9.3,0.1,6.1,30
2015-12-30,10.4,5.2,15.1,9.4,0.0,6.2,29
2015-12-31,5.0,-2.9,17.2,9.4,0.0,6.2,31
2016-01-01,5.2,-3.8,26.2,9.4,0.0,6.2,30
2016-01-02,14.9,4.1,30.0,9.4,0.3,6.2,28
2016-01-03,21.7,14.7,33.1,9.7,0.0,6.4,28
2016-01-04,24.4,16.7,40.1,9.7,0.0,6.5,28
2016-01-05,24.3,18.0,31.3,9.7,0.0,6.5,26
2016-01-06,26.8,21.9,34.5,9.7,0.0,6.5,26
2016-01-07,20.3,8.6,28.8,9.7,0.0,6.5,27
2016-01-08,14.2,5.7,22.1,9.7,0.0,6.5,28
2016-01-09,14.9,7.0,24.4,9.7,0.0,6.6,29
2016-01-10,8.4,0.3,22.5,9.7,0.0,6.6,29
2016-01-11,9.7,-0.4,27.3,9.7,0.0,6.6,29
2016-01-12,15.3,6.3,34.0,9.7,0.1,6.6,28
2016-01-13,20.1,12.7,38.3,9.8,0.0,6.7,28
2016-01-14,17.1,11.3,21.9,9.8,0.1,6.8,27
2016-01-15,16.2,12.9,21.2,9.9,0.1,6.9,28
2016-01-16,14.9,10.8,21.7,10.0,0.2,7.1,32
2016-01-17,18.3,11.3,25.5,10.2,0.3,7.3,34
2016-01-18,23.7,15.1,36.7,10.5,0.0,7.4,34
2016-01-19,22.6,16.7,33.3,10.5,0.2,7.4,34
2016-01-20,19.0,7.9,27.0,10.7,0.2,7.5,35
2016-01-21,12.6,3.9,29.5,10.9,0.1,7.8,39
2016-01-22,23.2,11.3,43.2,11.0,0.0,7.8,37
2016-01-23,27.1,19.4,44.1,11.0,0.0,7.9,35
2016-01-24,22.5,14.4,31.6,11.0,0.1,7.9,33
2016-01-25,13.8,3.7,23.4,11.1,0.0,8.2,36
2016-01-26,9.3,0.0,26.8,11.1,0.2,8.3,36
2016-01-27,19.8,8.1,37.4,11.3,0.1,8.3,34
2016-01-28,24.6,15.1,43.7,11.4,0.0,8.3,34
2016-01-29,28.0,21.0,39.4,11.4,0.1,8.3,34
2016-01-30,31.3,19.9,42.3,11.5,0.3,8.5,34
2016-01-31,21.2,17.2,26.8,11.8,1.1,9.1,42
2016-02-01,18.9,8.6,25.9,12.9,0.5,10.2,52
2016-02-02,7.9,1.4,15.6,13.4,0.1,10.9,57
2016-02-03,1.4,-6.7,13.6,13.5,0.0,10.9,53
2016-02-04,6.3,-6.3,20.5,13.5,0.1,10.9,51
2016-02-05,10.2,3.7,23.7,13.6,0.1,11.0,49
2016-02-06,17.6,5.9,35.8,13.7,0.1,11.0,47
2016-02-07,20.8,13.5,36.3,13.8,0.0,11.0,47
2016-02-08,22.6,13.3,39.9,13.8,0.0,11.0,45
2016-02-09,24.8,14.7,43.5,13.8,0.0,11.0,44
2016-02-10,28.8,19.2,50.9,13.8,0.0,11.0,44
2016-02-11,30.2,20.3,49.5,13.8,0.0,11.1,43
2016-02-12,33.3,23.5,52.7,13.8,0.0,11.1,41
2016-02-13,33.1,23.9,48.9,13.8,0.0,11.1,40
2016-02-14,26.4,21.2,36.3,13.8,0.0,11.1,40
2016-02-15,29.3,23.7,38.5,13.8,0.0,11.1,39
2016-02-16,30.6,21.6,44.2,13.8,0.0,11.2,37
2016-02-17,36.5,24.3,55.4,13.8,0.0,11.2,39
2016-02-18,36.1,25.7,45.3,13.8,0.1,11.2,38
2016-02-19,29.8,16.9,45.7,13.9,0.1,11.4,40
2016-02-20,33.8,25.0,46.4,14.0,0.0,11.4,39
2016-02-21,30.6,22.1,44.2,14.0,0.0,11.4,38
2016-02-22,24.1,19.9,30.4,14.0,0.0,11.4,38
2016-02-23,18.3,8.4,28.8,14.0,0.0,11.6,39
2016-02-24,18.3,5.7,36.1,14.0,0.2,11.6,39
2016-02-25,25.7,12.6,43.9,14.2,0.0,11.6,39
2016-02-26,30.6,19.6,48.4,14.2,0.0,11.6,38
2016-02-27,33.1,23.4,47.5,14.2,0.0,11.6,37
2016-02-28,30.7,20.8,45.9,14.2,0.0,11.6,37
2016-02-29,31.6,22.6,42.8,14.2,0.0,11.6,37
2016-03-01,31.6,21.0,43.9,14.2,0.0,11.6,36
2016-03-02,34.3,25.9,45.7,14.2,0.0,11.6,35
2016-03-03,33.1,21.6,49.6,14.2,0.0,11.4,34
2016-03-04,36.1,27.7,50.0,14.2,0.0,11.2,33
2016-03-05,38.7,27.5,53.6,14.2,0.0,11.1,33
2016-03-06,33.3,29.1,38.3,14.2,0.0,11.0,31
2016-03-07,25.2,16.7,32.2,14.2,0.0,11.0,31
2016-03-08,23.4,12.0,37.8,14.2,0.0,11.1,33
2016-03-09,24.1,13.5,35.1,14.2,0.0,11.1,32
2016-03-10,31.8,17.6,50.2,14.2,0.1,11.1,32
2016-03-11,38.3,27.7,54.9,14.3,0.0,11.0,31
2016-03-12,34.5,29.3,45.9,14.3,0.0,11.0,30
2016-03-13,34.7,25.9,46.8,14.3,0.0,11.0,29
2016-03-14,31.3,20.3,38.7,14.3,0.1,11.0,28
2016-03-15,21.4,14.9,28.8,14.4,0.2,11.4,31
2016-03-16,23.2,14.5,33.8,14.6,0.0,11.6,32
2016-03-17,31.5,22.6,44.6,14.6,0.0,11.6,32
2016-03-18,27.7,19.9,39.2,14.6,0.0,11.6,30
2016-03-19,25.3,13.3,40.6,14.6,0.0,11.6,29
2016-03-20,30.6,15.8,48.6,14.6,0.0,11.6,29
2016-03-21,41.2,27.7,53.8,14.6,0.0,11.4,27
2016-03-22,36.7,21.9,46.6,14.6,0.1,11.4,26
2016-03-23,21.6,18.0,29.3,14.7,0.5,11.5,28
2016-03-24,24.8,14.4,36.7,15.2,0.1,12.1,34
2016-03-25,23.0,11.5,29.5,15.3,0.4,12.2,30
2016-03-26,16.7,8.8,32.2,15.7,0.1,12.7,36
2016-03-27,23.2,6.6,40.1,15.8,0.1,12.7,33
2016-03-28,35.2,23.4,48.9,15.9,0.1,12.8,32
2016-03-29,29.3,17.4,38.7,16.0,0.0,12.8,31
2016-03-30,21.6,15.6,33.8,16.0,0.0,13.0,31
2016-03-31,20.7,11.3,32.7,16.0,0.1,13.1,31
2016-04-01,21.4,7.3,38.1,16.1,0.1,13.2,33
2016-04-02,29.7,13.5,47.3,16.2,0.0,13.4,32
2016-04-03,36.5,24.6,53.2,16.2,0.0,13.2,31
2016-04-04,39.2,27.5,55.0,16.2,0.0,13.0,29
2016-04-05,31.8,19.2,45.3,16.2,0.1,12.7,28
2016-04-06,33.1,17.8,51.6,16.3,0.0,12.8,29
2016-04-07,40.1,27.1,58.8,16.3,0.0,12.5,27
2016-04-08,42.1,28.4,60.4,16.3,0.0,11.7,26
2016-04-09,35.8,32.4,42.4,16.3,0.0,10.8,23
2016-04-10,37.0,29.5,51.4,16.3,0.0,10.7,23
2016-04-11,36.5,29.1,48.0,16.3,0.0,10.0,22
2016-04-12,36.7,30.0,48.4,16.3,0.1,9.8,20
2016-04-13,40.8,29.3,56.7,16.4,0.0,9.3,20
