Date,Overland Res. (675) Air Temperature Average (degF),Overland Res. (675) Air Temperature Minimum (degF),Overland Res. (675) Air Temperature Maximum (degF),Overland Res. (675) Precipitation Accumulation (in) Start of Day Values,Overland Res. (675) Precipitation Increment (in),Overland Res. (675) Snow Water Equivalent (in) Start of Day Values,Overland Res. (675) Snow Depth (in) Start of Day Values
2015-10-01,54.3,42.1,67.3,0.0,0.0,0.0,0
2015-10-02,50.7,34.3,58.5,0.0,0.0,0.0,0
2015-10-03,41.7,29.5,56.8,0.0,0.0,0.0,0
2015-10-04,41.2,31.3,57.0,0.0,0.0,0.0,0
2015-10-05,41.4,33.8,52.9,0.0,0.0,0.0,0
2015-10-06,42.3,32.4,55.4,0.0,0.0,0.0,0
2015-10-07,42.6,30.6,57.7,0.0,0.0,0.0,0
2015-10-08,44.4,30.4,58.3,0.0,0.0,0.0,0
2015-10-09,45.3,32.7,60.6,0.0,0.0,0.0,0
2015-10-10,46.6,33.3,63.7,0.0,0.0,0.0,0
2015-10-11,46.4,35.2,62.2,0.0,0.0,0.0,0
2015-10-12,44.6,32.5,64.0,0.0,0.0,0.0,0
2015-10-13,44.4,30.6,62.6,0.0,0.0,0.0,0
2015-10-14,45.7,33.1,64.0,0.0,0.0,0.0,0
2015-10-15,45.7,32.5,62.8,0.0,0.0,0.0,0
2015-10-16,45.7,31.3,62.6,0.0,0.0,0.0,0
2015-10-17,43.7,34.0,54.3,0.0,0.0,0.0,0
2015-10-18,42.4,38.1,51.4,0.0,0.1,0.0,0
2015-10-19,39.0,33.3,46.6,0.1,0.6,0.0,0
2015-10-20,37.0,32.2,47.7,0.7,0.2,0.0,0
2015-10-21,36.1,29.3,49.1,0.9,0.0,0.0,0
2015-10-22,32.0,29.5,34.0,0.9,0.5,0.0,0
2015-10-23,32.4,24.4,41.0,1.4,0.1,0.5,3
2015-10-24,30.9,21.4,47.8,1.5,0.1,0.6,3
2015-10-25,36.7,25.7,49.6,1.6,0.1,0.5,1
2015-10-26,32.5,26.8,39.4,1.7,0.2,0.4,1
2015-10-27,28.8,17.2,42.3,1.9,0.0,0.4,1
2015-10-28,28.4,16.0,41.0,1.9,0.1,0.2,1
2015-10-29,33.8,27.9,45.3,2.0,0.0,0.2,1
2015-10-30,27.1,19.9,34.0,2.0,0.0,0.2,1
2015-10-31,32.0,25.9,47.5,2.0,0.1,0.1,1
2015-11-01,35.1,22.6,49.6,2.1,0.0,0.1,1
2015-11-02,41.9,30.4,49.8,2.1,0.0,0.0,0
2015-11-03,39.9,31.6,45.7,2.1,0.0,0.0,0
2015-11-04,26.6,21.6,32.5,2.1,0.7,0.0,0
2015-11-05,21.4,19.0,28.8,2.8,0.3,0.7,8
2015-11-06,18.7,5.5,31.6,3.1,0.0,0.9,8
2015-11-07,16.7,3.2,33.4,3.1,0.0,0.9,7
2015-11-08,23.2,11.1,37.8,3.1,0.1,0.9,6
2015-11-09,28.4,12.2,38.8,3.2,0.1,1.0,5
2015-11-10,28.8,17.4,37.0,3.3,0.1,1.1,5
2015-11-11,15.3,3.6,28.0,3.4,0.0,1.3,9
2015-11-12,15.6,1.6,35.6,3.4,0.0,1.3,9
2015-11-13,19.4,7.2,38.3,3.4,0.0,1.3,9
2015-11-14,22.6,8.6,43.9,3.4,0.0,1.3,8
2015-11-15,28.2,14.9,38.7,3.4,0.2,1.4,7
2015-11-16,23.4,20.3,26.2,3.6,0.7,1.5,7
2015-11-17,18.3,14.9,21.9,4.3,0.0,2.1,12
2015-11-18,21.2,15.1,27.3,4.3,0.0,2.2,12
2015-11-19,24.8,12.6,35.1,4.3,0.1,2.2,11
2015-11-20,25.3,5.0,34.5,4.4,0.0,2.2,11
2015-11-21,10.2,-4.2,30.0,4.4,0.0,2.2,11
2015-11-22,20.3,5.4,40.8,4.4,0.0,2.2,11
2015-11-23,24.3,10.6,42.1,4.4,0.0,2.2,11
2015-11-24,30.2,19.4,38.3,4.4,0.0,2.2,10
2015-11-25,32.5,25.9,36.3,4.4,0.0,2.2,10
2015-11-26,23.0,16.9,29.1,4.4,0.0,2.0,9
