Date,Park Cone (680) Air Temperature Average (degF),Park Cone (680) Air Temperature Minimum (degF),Park Cone (680) Air Temperature Maximum (degF),Park Cone (680) Precipitation Accumulation (in) Start of Day Values,Park Cone (680) Precipitation Increment (in),Park Cone (680) Snow Water Equivalent (in) Start of Day Values,Park Cone (680) Snow Depth (in) Start of Day Values
2015-10-01,50.0,34.7,69.8,0.0,0.0,0.0,0
2015-10-02,48.2,35.8,63.9,0.0,0.1,0.0,0
2015-10-03,44.8,34.5,61.5,0.1,0.0,0.0,0
2015-10-04,44.2,29.8,59.9,0.1,0.0,0.0,0
2015-10-05,43.2,34.5,56.7,0.1,0.2,0.0,0
2015-10-06,43.7,33.8,56.8,0.3,0.0,0.0,0
2015-10-07,42.3,33.3,57.9,0.3,0.0,0.0,0
2015-10-08,45.9,31.1,62.1,0.3,0.0,0.0,0
2015-10-09,46.6,31.8,62.4,0.3,0.0,0.0,0
2015-10-10,46.4,31.5,65.8,0.3,0.0,0.0,0
2015-10-11,45.7,31.5,64.0,0.3,0.0,0.0,0
2015-10-12,45.3,31.1,64.4,0.3,0.0,0.0,0
2015-10-13,43.5,26.6,63.5,0.3,0.0,0.0,0
2015-10-14,43.5,26.1,65.1,0.3,0.0,0.0,0
2015-10-15,44.1,26.4,64.0,0.3,0.0,0.0,0
2015-10-16,44.4,28.9,61.9,0.3,0.0,0.0,0
2015-10-17,42.6,29.7,58.6,0.3,0.1,0.0,0
2015-10-18,43.2,37.4,55.4,0.4,0.0,0.0,0
2015-10-19,41.5,34.2,52.3,0.4,0.1,0.0,0
2015-10-20,41.5,33.3,53.1,0.5,0.0,0.0,0
2015-10-21,40.1,32.9,49.1,0.5,0.0,0.0,0
2015-10-22,35.4,32.7,38.7,0.5,0.4,0.0,0
2015-10-23,36.5,32.4,44.8,0.9,0.1,0.4,1
2015-10-24,34.7,28.0,48.2,1.0,0.0,0.3,1
2015-10-25,37.9,25.2,52.3,1.0,0.0,0.2,1
2015-10-26,36.9,28.9,46.0,1.0,0.0,0.0,0
2015-10-27,31.1,20.5,45.1,1.0,0.2,0.0,0
2015-10-28,30.0,13.6,43.5,1.2,0.0,0.2,1
2015-10-29,36.5,28.8,46.6,1.2,0.1,0.3,1
2015-10-30,34.5,26.2,42.8,1.3,0.1,0.3,1
2015-10-31,36.9,28.6,46.9,1.4,0.0,0.3,1
2015-11-01,35.1,23.9,50.0,1.4,0.0,0.3,1
2015-11-02,35.2,22.3,54.0,1.4,0.0,0.3,1
2015-11-03,36.7,22.8,50.9,1.4,0.1,0.3,1
2015-11-04,34.0,26.2,38.8,1.5,0.2,0.3,1
2015-11-05,26.2,22.1,31.3,1.7,0.1,0.5,1
2015-11-06,22.8,10.2,32.7,1.8,0.0,0.5,2
2015-11-07,19.2,0.3,38.5,1.8,0.1,0.5,2
2015-11-08,24.3,9.3,43.2,1.9,0.0,0.6,3
2015-11-09,26.1,12.6,43.9,1.9,0.0,0.6,3
2015-11-10,28.2,14.4,44.2,1.9,0.4,0.6,3
2015-11-11,21.0,8.6,29.1,2.3,0.0,1.0,8
2015-11-12,16.2,0.0,35.6,2.3,0.0,1.0,6
2015-11-13,18.9,0.7,38.8,2.3,0.0,1.0,6
2015-11-14,20.7,5.0,41.9,2.3,0.0,1.0,6
2015-11-15,21.4,5.5,42.6,2.3,0.0,1.0,6
2015-11-16,26.8,18.9,36.0,2.3,0.3,1.0,6
2015-11-17,24.8,20.3,29.7,2.6,0.1,1.3,5
2015-11-18,26.6,20.5,32.7,2.7,0.0,1.3,7
2015-11-19,29.8,19.6,37.2,2.7,0.0,1.5,7
2015-11-20,30.7,10.8,37.4,2.7,0.1,1.5,7
2015-11-21,13.1,-4.4,32.7,2.8,0.0,1.5,8
2015-11-22,18.5,0.1,41.0,2.8,0.0,1.5,9
2015-11-23,20.1,3.6,42.8,2.8,0.0,1.5,9
2015-11-24,21.7,6.8,41.0,2.8,0.0,1.5,9
2015-11-25,27.7,10.2,41.7,2.8,0.0,1.5,9
2015-11-26,31.3,22.6,38.8,2.8,0.0,1.5,8
2015-11-27,26.6,14.0,36.7,2.8,0.1,1.5,8
2015-11-28,24.1,14.4,31.5,2.9,0.0,1.6,7
2015-11-29,23.5,16.3,30.7,2.9,0.1,1.6,9
2015-11-30,11.5,2.3,17.4,3.0,0.0,1.7,10
2015-12-01,8.1,-6.3,26.1,3.0,0.0,1.7,10
2015-12-02,10.9,-8.7,33.6,3.0,0.1,1.7,10
2015-12-03,16.9,2.3,34.9,3.1,0.0,1.7,10
2015-12-04,22.6,5.0,42.6,3.1,0.0,1.8,10
2015-12-05,22.3,0.3,31.5,3.1,0.0,1.8,10
2015-12-06,10.0,-8.9,31.1,3.1,0.1,1.8,10
2015-12-07,18.5,-3.1,42.6,3.2,0.0,1.8,10
2015-12-08,32.0,19.4,44.2,3.2,0.0,1.8,10
2015-12-09,27.1,10.9,45.5,3.2,0.0,1.9,10
2015-12-10,36.7,22.6,43.2,3.2,0.0,1.9,9
2015-12-11,36.3,32.5,40.3,3.2,0.0,1.9,9
2015-12-12,27.5,18.0,33.1,3.2,0.5,1.9,9
2015-12-13,14.4,1.9,27.9,3.7,0.0,2.4,9
2015-12-14,17.1,0.9,34.0,3.7,0.2,2.4,10
2015-12-15,14.4,1.4,21.4,3.9,0.1,2.6,16
2015-12-16,5.7,-5.6,18.0,4.0,0.0,2.6,16
2015-12-17,5.0,-8.5,15.6,4.0,0.0,2.6,15
2015-12-18,9.1,-10.8,31.6,4.0,0.1,2.7,15
2015-12-19,15.1,0.7,28.9,4.1,0.0,2.7,15
2015-12-20,23.5,14.5,31.6,4.1,0.2,2.8,14
2015-12-21,23.2,16.7,27.9,4.3,0.3,2.9,16
2015-12-22,27.0,21.9,30.9,4.6,0.4,3.2,20
2015-12-23,17.4,6.1,22.8,5.0,0.2,3.6,23
2015-12-24,4.8,-15.7,15.4,5.2,0.2,3.8,24
2015-12-25,14.4,3.4,21.9,5.4,0.3,4.0,24
2015-12-26,0.7,-11.7,15.8,5.7,0.0,4.3,25
2015-12-27,-1.3,-18.9,19.4,5.7,0.0,4.3,25
2015-12-28,1.2,-18.9,22.5,5.7,0.0,4.3,24
2015-12-29,4.3,-10.1,21.7,5.7,0.0,4.3,22
2015-12-30,2.3,-8.5,18.3,5.7,0.1,4.3,22
2015-12-31,2.5,-16.2,18.1,5.8,0.0,4.4,23
2016-01-01,-8.5,-27.6,14.4,5.8,0.0,4.5,23
2016-01-02,-2.2,-26.1,20.8,5.8,0.1,4.5,23
2016-01-03,9.5,-10.1,30.9,5.9,0.0,4.5,23
2016-01-04,15.1,-1.7,34.9,5.9,0.0,4.5,22
2016-01-05,18.0,3.2,32.2,5.9,0.1,4.6,22
