Date,Park Reservoir (682) Air Temperature Average (degF),Park Reservoir (682) Air Temperature Minimum (degF),Park Reservoir (682) Air Temperature Maximum (degF),Park Reservoir (682) Precipitation Accumulation (in) Start of Day Values,Park Reservoir (682) Precipitation Increment (in),Park Reservoir (682) Snow Water Equivalent (in) Start of Day Values,Park Reservoir (682) Snow Depth (in) Start of Day Values
2015-10-01,53.4,40.8,68.7,0.0,0.0,0.0,0
2015-10-02,50.0,35.1,60.8,0.0,0.0,0.0,0
2015-10-03,42.3,28.8,55.8,0.0,0.0,0.0,0
2015-10-04,40.6,30.7,55.8,0.0,0.0,0.0,0
2015-10-05,41.0,34.3,49.8,0.0,0.1,0.0,0
2015-10-06,41.9,32.7,54.1,0.1,0.1,0.0,0
2015-10-07,42.3,31.5,55.2,0.2,0.0,0.0,0
2015-10-08,44.4,31.3,57.6,0.2,0.0,0.0,0
2015-10-09,43.9,32.5,59.7,0.2,0.0,0.0,0
2015-10-10,43.9,32.4,63.0,0.2,0.0,0.0,0
2015-10-11,43.7,33.4,60.4,0.2,0.0,0.0,0
2015-10-12,44.2,29.3,61.5,0.2,0.0,0.0,0
2015-10-13,42.6,29.8,61.9,0.2,0.0,0.0,0
2015-10-14,44.1,32.4,63.7,0.2,0.0,0.0,0
2015-10-15,44.8,32.0,61.5,0.2,0.0,0.0,0
2015-10-16,43.5,30.4,60.4,0.2,0.0,0.0,0
2015-10-17,42.8,32.5,51.8,0.2,0.0,0.0,0
2015-10-18,41.9,39.4,46.6,0.2,0.3,0.0,0
2015-10-19,38.8,34.0,44.2,0.5,1.1,0.0,0
2015-10-20,36.7,33.8,44.6,1.6,0.3,0.0,0
2015-10-21,36.9,29.7,48.0,1.9,0.0,0.0,0
2015-10-22,33.1,29.8,35.8,1.9,0.8,0.1,1
2015-10-23,33.4,24.8,43.2,2.7,0.1,0.6,4
2015-10-24,30.2,20.8,50.2,2.8,0.0,0.1,4
2015-10-25,35.2,24.3,48.4,2.8,0.0,0.1,3
2015-10-26,33.1,27.9,41.2,2.8,0.5,0.1,2
2015-10-27,29.1,16.3,41.0,3.3,0.0,0.3,4
2015-10-28,28.4,14.5,43.9,3.3,0.0,0.3,4
