Date,Porphyry Creek (701) Air Temperature Average (degF),Porphyry Creek (701) Air Temperature Minimum (degF),Porphyry Creek (701) Air Temperature Maximum (degF),Porphyry Creek (701) Precipitation Accumulation (in) Start of Day Values,Porphyry Creek (701) Precipitation Increment (in),Porphyry Creek (701) Snow Water Equivalent (in) Start of Day Values,Porphyry Creek (701) Snow Depth (in) Start of Day Values
2015-10-01,49.1,38.3,66.2,0.0,0.0,0.0,0
2015-10-02,48.4,,59.9,0.0,0.0,0.0,0
2015-10-03,41.0,28.4,56.1,0.0,0.0,0.0,0
2015-10-04,41.0,33.1,53.6,0.0,0.0,0.0,0
2015-10-05,40.6,34.3,55.0,0.0,0.1,0.0,0
2015-10-06,40.1,32.2,54.0,0.1,0.0,0.0,0
2015-10-07,41.2,33.4,53.2,0.1,0.0,0.0,0
2015-10-08,43.2,29.8,57.7,0.1,0.0,0.0,0
2015-10-09,43.9,32.4,56.1,0.1,0.0,0.0,0
2015-10-10,42.6,30.0,59.9,0.1,0.0,0.0,0
2015-10-11,44.1,33.1,57.2,0.1,0.0,0.0,0
2015-10-12,41.4,28.8,59.5,0.1,0.0,0.0,0
2015-10-13,40.5,26.4,60.1,0.1,0.0,0.0,0
2015-10-14,41.2,27.5,59.9,0.1,0.0,0.0,0
2015-10-15,41.7,29.1,60.1,0.1,0.0,0.0,0
2015-10-16,40.3,28.2,57.4,0.1,0.0,0.0,0
2015-10-17,40.5,30.6,54.1,0.1,0.1,0.0,0
2015-10-18,40.6,34.9,50.0,0.2,0.0,0.0,0
2015-10-19,37.0,30.4,45.9,0.2,0.1,0.0,0
2015-10-20,36.7,28.8,49.1,0.3,0.2,0.0,0
2015-10-21,32.4,28.8,34.7,0.5,0.4,0.2,1
2015-10-22,30.0,28.8,33.4,0.9,0.8,0.3,2
2015-10-23,30.6,26.6,36.1,1.7,0.0,1.2,7
2015-10-24,30.2,24.1,42.8,1.7,0.0,1.2,4
2015-10-25,31.5,22.1,45.7,1.7,0.1,1.2,4
2015-10-26,31.5,24.6,36.5,1.8,0.0,1.2,4
2015-10-27,25.9,13.5,36.1,1.8,0.0,1.2,4
2015-10-28,25.0,13.6,36.9,1.8,0.1,1.2,4
2015-10-29,30.9,21.6,40.3,1.9,0.1,1.2,4
2015-10-30,27.0,16.3,32.7,2.0,0.1,1.3,4
2015-10-31,28.2,20.5,38.8,2.1,0.0,1.5,7
2015-11-01,30.9,19.6,44.1,2.1,0.0,1.5,6
2015-11-02,35.6,25.5,49.3,2.1,0.0,1.5,5
2015-11-03,34.7,26.8,46.4,2.1,0.1,1.5,5
2015-11-04,27.1,18.0,31.6,2.2,0.3,1.5,5
2015-11-05,17.8,16.0,,2.5,0.1,2.0,8
2015-11-06,13.8,1.9,,2.6,0.0,2.0,8
2015-11-07,15.4,1.6,,2.6,0.1,2.1,10
2015-11-08,19.0,9.7,36.9,2.7,0.0,2.2,10
2015-11-09,21.4,10.0,38.1,2.7,0.0,2.2,10
2015-11-10,25.3,13.6,37.8,2.7,0.0,2.2,10
2015-11-11,13.8,3.0,18.0,2.7,0.2,2.3,11
2015-11-12,12.9,1.6,27.0,2.9,0.0,2.4,12
2015-11-13,16.3,4.6,32.5,2.9,0.0,2.4,12
2015-11-14,20.7,10.2,38.5,2.9,0.0,2.4,11
2015-11-15,23.4,12.6,36.3,2.9,0.0,2.4,11
2015-11-16,22.6,17.8,27.7,2.9,0.3,2.5,11
2015-11-17,16.2,11.8,21.7,3.2,0.0,2.9,14
2015-11-18,18.0,13.3,20.7,3.2,0.2,2.9,15
2015-11-19,22.1,11.7,29.5,3.4,0.0,3.0,14
2015-11-20,22.3,4.6,27.1,3.4,0.0,3.0,14
2015-11-21,12.2,-4.7,22.5,3.4,0.1,3.0,15
2015-11-22,16.7,3.4,32.7,3.5,0.0,3.0,15
2015-11-23,20.3,10.2,35.8,3.5,0.0,3.1,14
2015-11-24,21.0,10.6,32.9,3.5,0.0,3.1,14
2015-11-25,27.3,12.2,36.5,3.5,0.0,3.1,14
2015-11-26,22.6,6.4,33.8,3.5,0.0,3.1,13
2015-11-27,17.6,4.5,26.6,3.5,0.1,3.2,15
2015-11-28,16.3,7.9,24.6,3.6,0.0,3.3,14
2015-11-29,15.1,8.2,23.2,3.6,0.1,3.3,15
2015-11-30,4.6,2.5,8.2,3.7,0.1,3.5,20
2015-12-01,4.6,-2.2,13.6,3.8,0.0,3.6,19
2015-12-02,7.7,-2.2,23.5,3.8,0.0,3.6,20
2015-12-03,14.9,4.6,27.9,3.8,0.1,3.7,18
2015-12-04,20.5,,36.1,3.9,0.0,3.7,18
2015-12-05,15.8,1.0,23.9,3.9,0.0,3.8,17
2015-12-06,16.7,0.9,35.2,3.9,0.0,3.8,18
2015-12-07,21.4,9.0,33.3,3.9,0.0,3.8,18
2015-12-08,26.8,16.2,34.5,3.9,0.0,3.8,17
2015-12-09,27.1,14.7,35.6,3.9,0.1,3.8,17
2015-12-10,29.1,16.3,36.9,4.0,0.0,3.9,17
2015-12-11,28.0,23.0,33.8,4.0,0.0,3.9,16
2015-12-12,21.2,13.5,25.0,4.0,0.3,3.9,16
2015-12-13,11.1,0.0,20.1,4.3,0.1,4.4,23
2015-12-14,16.2,7.3,25.5,4.4,0.1,4.4,22
2015-12-15,5.9,1.6,9.1,4.5,0.2,4.6,23
2015-12-16,2.8,-1.3,7.5,4.7,0.0,4.8,25
2015-12-17,2.5,-0.2,4.6,4.7,0.1,4.9,25
2015-12-18,14.0,2.7,22.5,4.8,0.0,4.9,24
2015-12-19,21.0,11.3,32.2,4.8,0.1,5.0,24
2015-12-20,17.8,13.8,23.9,4.9,0.1,5.1,23
2015-12-21,15.1,13.3,17.4,5.0,0.4,5.3,26
2015-12-22,19.6,14.9,22.6,5.4,1.5,5.9,31
2015-12-23,9.7,0.1,15.1,6.9,0.3,7.5,43
2015-12-24,1.2,-11.4,9.3,7.2,0.1,7.9,47
2015-12-25,9.7,4.1,17.8,7.3,0.1,7.9,44
2015-12-26,1.2,-8.1,7.2,7.4,0.0,8.2,44
2015-12-27,7.0,-1.1,,7.4,0.2,8.3,44
2015-12-28,5.0,-2.2,16.9,7.6,0.0,8.4,42
2015-12-29,5.7,-4.4,15.4,7.6,0.0,8.5,40
2015-12-30,3.7,-4.7,6.6,7.6,0.0,8.5,41
2015-12-31,1.2,-7.4,12.7,7.6,0.1,8.6,41
2016-01-01,1.6,-7.8,17.2,7.7,0.0,8.6,40
2016-01-02,8.1,-2.9,24.1,7.7,0.0,8.6,39
2016-01-03,15.8,5.2,30.4,7.7,0.1,8.7,38
2016-01-04,17.8,9.5,29.8,7.8,0.0,8.7,37
2016-01-05,16.3,9.3,23.7,7.8,0.0,8.8,37
2016-01-06,19.2,14.0,27.7,7.8,0.1,8.8,36
2016-01-07,14.4,4.1,19.4,7.9,0.0,8.8,35
2016-01-08,10.8,3.0,16.7,7.9,0.1,8.9,36
2016-01-09,8.8,3.6,12.4,8.0,0.0,9.1,37
2016-01-10,3.6,-4.5,,8.0,0.0,9.1,38
