Date,Red Mountain Pass (713) Air Temperature Average (degF),Red Mountain Pass (713) Air Temperature Minimum (degF),Red Mountain Pass (713) Air Temperature Maximum (degF),Red Mountain Pass (713) Precipitation Accumulation (in) Start of Day Values,Red Mountain Pass (713) Precipitation Increment (in),Red Mountain Pass (713) Snow Water Equivalent (in) Start of Day Values,Red Mountain Pass (713) Snow Depth (in) Start of Day Values
2015-10-01,49.5,38.8,64.0,0.0,0.0,0.0,0
2015-10-02,45.3,36.5,55.0,0.0,0.0,0.0,0
2015-10-03,38.8,28.8,52.9,0.0,0.1,0.0,0
2015-10-04,37.8,31.5,52.2,0.1,0.0,0.0,0
2015-10-05,34.3,31.5,44.4,0.1,1.3,0.0,0
2015-10-06,35.1,29.5,48.9,1.4,0.0,0.0,0
2015-10-07,35.6,29.7,47.8,1.4,0.0,0.0,0
2015-10-08,40.1,30.2,55.8,1.4,0.0,0.0,0
2015-10-09,41.2,30.7,57.4,1.4,0.0,0.0,0
2015-10-10,42.8,32.2,61.3,1.4,0.0,0.0,0
2015-10-11,43.7,33.8,57.6,1.4,0.0,0.0,0
2015-10-12,43.7,31.8,61.5,1.4,0.0,0.0,0
2015-10-13,42.6,32.9,59.7,1.4,0.0,0.0,0
2015-10-14,42.8,32.2,61.2,1.4,0.0,0.0,0
2015-10-15,42.6,32.0,61.3,1.4,0.0,0.0,0
2015-10-16,40.5,31.8,54.9,1.4,0.0,0.0,0
2015-10-17,37.8,29.3,50.2,1.4,0.1,0.0,0
2015-10-18,36.5,32.0,46.4,1.5,0.5,0.0,0
2015-10-19,34.9,31.6,45.7,2.0,0.6,0.0,0
2015-10-20,33.4,27.3,44.8,2.6,0.2,0.0,0
2015-10-21,31.6,26.8,43.0,2.8,0.1,0.0,0
2015-10-22,30.6,29.1,35.2,2.9,0.9,0.0,0
2015-10-23,30.0,19.9,38.7,3.8,0.2,1.1,6
2015-10-24,30.4,19.6,46.6,4.0,0.1,1.1,6
2015-10-25,33.3,23.7,49.6,4.1,0.1,1.1,4
2015-10-26,29.3,18.0,37.0,4.2,0.0,1.1,3
2015-10-27,29.3,20.3,41.7,4.2,0.0,1.0,2
2015-10-28,30.6,16.7,43.9,4.2,0.1,0.9,2
2015-10-29,29.1,24.3,38.8,4.3,0.1,1.1,4
2015-10-30,24.6,16.9,34.2,4.4,0.0,1.2,4
2015-10-31,28.8,19.8,44.1,4.4,0.0,1.2,4
2015-11-01,32.5,22.5,49.5,4.4,0.0,1.2,4
2015-11-02,34.7,24.8,51.8,4.4,0.0,1.2,4
2015-11-03,32.5,25.3,39.9,4.4,0.3,1.4,3
2015-11-04,22.3,11.7,27.3,4.7,1.0,1.6,5
2015-11-05,13.6,4.6,28.2,5.7,0.1,2.6,18
2015-11-06,15.8,3.0,30.4,5.8,0.1,2.7,14
2015-11-07,16.2,1.4,40.3,5.9,0.1,2.7,13
2015-11-08,20.5,7.2,43.9,6.0,0.0,2.7,14
2015-11-09,23.5,9.9,39.9,6.0,0.0,2.7,13
2015-11-10,22.1,11.5,32.7,6.0,0.2,2.7,12
2015-11-11,12.9,5.9,25.7,6.2,0.4,3.1,17
2015-11-12,16.9,7.9,34.3,6.6,0.1,3.3,20
2015-11-13,20.3,9.7,43.0,6.7,0.0,3.4,18
2015-11-14,23.0,11.7,45.5,6.7,0.0,3.4,17
2015-11-15,23.5,16.2,36.3,6.7,0.2,3.4,16
2015-11-16,18.9,13.8,25.0,6.9,1.5,3.7,20
