Date,Ripple Creek (717) Air Temperature Average (degF),Ripple Creek (717) Air Temperature Minimum (degF),Ripple Creek (717) Air Temperature Maximum (degF),Ripple Creek (717) Precipitation Accumulation (in) Start of Day Values,Ripple Creek (717) Precipitation Increment (in),Ripple Creek (717) Snow Water Equivalent (in) Start of Day Values,Ripple Creek (717) Snow Depth (in) Start of Day Values
2015-10-01,52.9,44.6,66.2,0.0,0.0,0.0,0
2015-10-02,47.5,31.8,60.6,0.0,0.0,0.0,0
2015-10-03,40.1,31.3,51.4,0.0,0.0,0.0,0
2015-10-04,43.5,34.7,55.4,0.0,0.0,0.0,0
2015-10-05,41.0,36.3,50.4,0.0,0.0,0.0,0
2015-10-06,39.6,34.5,48.2,0.0,0.0,0.0,0
2015-10-07,40.6,32.9,53.8,0.0,0.0,0.0,0
2015-10-08,41.9,34.5,54.1,0.0,0.0,0.0,0
2015-10-09,43.9,36.5,57.0,0.0,0.0,0.0,0
2015-10-10,47.1,36.0,63.3,0.0,0.0,0.0,0
2015-10-11,45.7,34.3,59.4,0.0,0.0,0.0,0
2015-10-12,43.7,32.5,58.8,0.0,0.0,0.0,0
2015-10-13,46.0,36.9,60.1,0.0,0.0,0.0,0
2015-10-14,47.3,37.8,61.2,0.0,0.0,0.0,0
2015-10-15,45.3,34.9,58.5,0.0,0.0,0.0,0
2015-10-16,46.8,37.9,62.1,0.0,0.0,0.0,0
2015-10-17,43.5,36.0,56.7,0.0,0.0,0.0,0
2015-10-18,40.3,36.1,45.7,0.0,0.0,0.0,0
2015-10-19,38.1,31.3,44.8,0.0,0.0,0.0,0
2015-10-20,34.7,30.4,40.6,0.0,0.1,0.0,0
2015-10-21,36.7,31.3,47.8,0.1,0.0,0.0,0
2015-10-22,31.8,30.4,34.0,0.1,0.6,0.0,0
2015-10-23,30.4,23.5,39.6,0.7,0.3,1.1,9
2015-10-24,30.2,21.7,47.1,1.0,0.1,1.1,8
2015-10-25,34.9,27.5,46.0,1.1,0.2,1.1,8
2015-10-26,31.6,27.7,37.4,1.3,0.0,1.2,7
2015-10-27,25.2,17.1,34.3,1.3,0.0,1.4,8
2015-10-28,24.8,15.6,35.1,1.3,0.2,1.5,10
2015-10-29,29.5,23.7,37.8,1.5,0.1,1.6,9
2015-10-30,24.8,19.8,30.4,1.6,0.0,1.6,9
2015-10-31,29.7,23.2,39.9,1.6,0.1,1.8,11
2015-11-01,35.2,26.6,46.2,1.7,0.0,1.8,7
2015-11-02,40.1,32.4,52.0,1.7,0.0,1.8,9
2015-11-03,37.2,30.4,45.3,1.7,0.0,1.8,9
2015-11-04,25.5,20.5,32.7,1.7,0.0,1.8,9
