Date,Schofield Pass (737) Air Temperature Average (degF),Schofield Pass (737) Air Temperature Minimum (degF),Schofield Pass (737) Air Temperature Maximum (degF),Schofield Pass (737) Precipitation Accumulation (in) Start of Day Values,Schofield Pass (737) Precipitation Increment (in),Schofield Pass (737) Snow Water Equivalent (in) Start of Day Values,Schofield Pass (737) Snow Depth (in) Start of Day Values
2015-10-01,50.9,39.4,65.8,0.0,0.1,0.0,0
2015-10-02,44.4,33.1,61.0,0.1,0.0,0.0,0
2015-10-03,39.4,29.1,54.9,0.1,0.0,0.0,0
2015-10-04,41.2,31.5,54.9,0.1,0.1,0.0,0
2015-10-05,39.4,34.3,46.4,0.2,0.2,0.0,0
2015-10-06,38.8,31.5,52.7,0.4,0.2,0.0,0
2015-10-07,38.7,30.6,53.8,0.6,0.0,0.0,0
2015-10-08,41.7,29.7,58.5,0.6,0.0,0.0,0
2015-10-09,43.0,33.8,58.3,0.6,0.0,0.0,0
2015-10-10,43.5,32.4,61.5,0.6,0.0,0.0,0
2015-10-11,42.8,33.3,57.9,0.6,0.0,0.0,0
2015-10-12,42.4,30.6,61.5,0.6,0.0,0.0,0
2015-10-13,42.6,31.6,60.6,0.6,0.0,0.0,0
2015-10-14,43.5,32.0,62.1,0.6,0.0,0.0,0
2015-10-15,43.9,31.8,62.6,0.6,0.0,0.0,0
2015-10-16,42.8,33.8,59.0,0.6,0.0,0.0,0
2015-10-17,40.5,34.2,54.0,0.6,0.1,0.0,0
2015-10-18,39.4,36.1,48.9,0.7,0.1,0.0,0
2015-10-19,36.3,32.4,44.6,0.8,0.3,0.0,0
2015-10-20,35.2,32.4,45.7,1.1,0.3,0.0,0
2015-10-21,35.2,31.3,40.5,1.4,0.0,0.0,0
2015-10-22,30.9,29.1,34.9,1.4,0.5,0.2,1
2015-10-23,30.0,19.9,39.4,1.9,0.0,0.9,4
2015-10-24,27.0,16.0,45.0,1.9,0.0,0.9,4
2015-10-25,33.3,24.3,47.3,1.9,0.1,0.9,3
2015-10-26,30.7,21.0,42.6,2.0,0.1,0.9,2
2015-10-27,24.4,9.9,34.7,2.1,0.0,1.1,3
2015-10-28,24.3,9.1,39.9,2.1,0.3,1.4,6
2015-10-29,31.5,23.5,42.8,2.4,0.1,1.5,5
2015-10-30,27.1,20.3,34.7,2.5,0.0,1.6,5
2015-10-31,29.7,21.6,43.9,2.5,0.0,1.6,5
2015-11-01,32.5,21.9,48.0,2.5,0.0,1.6,5
2015-11-02,36.3,27.1,51.6,2.5,0.0,1.6,4
2015-11-03,34.3,23.5,48.0,2.5,0.1,1.6,4
2015-11-04,25.9,19.0,32.2,2.6,0.5,1.7,2
2015-11-05,19.2,16.3,28.4,3.1,0.3,2.4,10
2015-11-06,14.2,0.9,24.4,3.4,0.0,2.7,13
2015-11-07,16.2,1.6,32.4,3.4,0.2,3.0,16
2015-11-08,21.0,11.5,39.4,3.6,0.0,3.0,14
2015-11-09,23.7,12.0,40.3,3.6,0.1,3.0,13
2015-11-10,23.5,15.3,36.7,3.7,0.4,3.1,11
2015-11-11,13.1,4.1,22.1,4.1,0.0,3.6,17
2015-11-12,14.4,4.6,31.3,4.1,0.0,3.8,20
2015-11-13,18.3,7.5,38.8,4.1,0.1,3.8,18
2015-11-14,22.3,12.6,43.0,4.2,0.0,3.8,17
2015-11-15,24.1,15.3,41.2,4.2,0.2,3.8,17
2015-11-16,21.4,17.4,29.1,4.4,0.5,3.8,16
2015-11-17,17.1,13.1,24.6,4.9,0.1,4.5,22
2015-11-18,19.2,15.4,23.2,5.0,0.2,4.8,24
2015-11-19,24.1,16.2,31.3,5.2,0.1,5.0,23
2015-11-20,22.5,0.3,31.5,5.3,0.0,5.1,22
2015-11-21,9.0,-5.4,27.9,5.3,0.0,5.1,22
2015-11-22,21.9,12.2,41.9,5.3,0.0,5.1,22
2015-11-23,23.4,13.6,41.9,5.3,0.0,5.1,21
2015-11-24,26.2,16.2,37.2,5.3,0.0,5.1,20
2015-11-25,28.2,20.3,34.2,5.3,0.0,5.1,21
2015-11-26,19.6,10.6,31.6,5.3,0.1,5.1,19
