Date,Scotch Creek (739) Air Temperature Average (degF),Scotch Creek (739) Air Temperature Minimum (degF),Scotch Creek (739) Air Temperature Maximum (degF),Scotch Creek (739) Precipitation Accumulation (in) Start of Day Values,Scotch Creek (739) Precipitation Increment (in),Scotch Creek (739) Snow Water Equivalent (in) Start of Day Values,Scotch Creek (739) Snow Depth (in) Start of Day Values
2015-10-01,53.4,39.4,74.3,0.0,0.0,0.0,0
2015-10-02,50.7,38.3,65.5,0.0,0.0,0.0,0
2015-10-03,42.4,28.8,58.8,0.0,0.0,0.0,0
2015-10-04,44.6,34.2,59.0,0.0,0.0,0.0,0
2015-10-05,43.0,36.5,52.9,0.0,1.2,0.0,0
2015-10-06,40.3,32.4,55.8,1.2,0.1,0.0,0
2015-10-07,40.5,32.0,54.9,1.3,0.0,0.0,0
2015-10-08,44.1,30.0,66.2,1.3,0.0,0.0,0
2015-10-09,44.8,32.9,64.2,1.3,0.0,0.0,0
2015-10-10,46.0,32.4,68.7,1.3,0.0,0.0,0
2015-10-11,45.9,33.4,66.6,1.3,0.0,0.0,0
2015-10-12,45.0,29.7,71.6,1.3,0.0,0.0,0
2015-10-13,44.4,28.0,70.9,1.3,0.0,0.0,0
2015-10-14,44.6,28.8,70.7,1.3,0.0,0.0,0
2015-10-15,45.0,29.3,70.3,1.3,0.0,0.0,0
2015-10-16,44.2,34.2,59.5,1.3,0.0,0.0,0
2015-10-17,43.9,32.5,57.2,1.3,0.1,0.0,0
2015-10-18,44.8,40.1,54.1,1.4,0.1,0.0,0
2015-10-19,42.1,36.1,50.9,1.5,0.4,0.0,0
2015-10-20,39.0,30.9,53.2,1.9,0.3,0.0,0
2015-10-21,37.2,31.5,48.2,2.2,0.0,0.0,0
2015-10-22,35.6,32.9,41.0,2.2,0.2,0.0,0
2015-10-23,36.3,27.3,50.4,2.4,0.1,0.0,0
2015-10-24,36.9,26.2,56.8,2.5,0.1,0.0,0
2015-10-25,38.8,28.4,54.0,2.6,0.0,0.0,0
2015-10-26,35.2,24.6,45.3,2.6,0.0,0.0,0
2015-10-27,34.0,23.7,50.4,2.6,0.0,0.0,0
2015-10-28,33.1,19.4,54.1,2.6,0.1,0.0,0
2015-10-29,34.7,27.0,47.8,2.7,0.0,0.0,0
2015-10-30,34.3,23.2,49.5,2.7,0.0,0.0,0
2015-10-31,34.7,23.0,55.8,2.7,0.0,0.0,0
2015-11-01,35.1,23.0,58.5,2.7,0.0,0.0,0
2015-11-02,37.8,25.2,58.8,2.7,0.0,0.0,0
2015-11-03,39.9,28.4,51.6,2.7,0.1,0.0,0
2015-11-04,28.8,21.2,36.7,2.8,0.4,0.0,0
2015-11-05,24.3,18.3,36.3,3.2,0.1,0.3,1
2015-11-06,23.0,12.0,38.7,3.3,0.1,0.3,2
2015-11-07,23.2,11.1,44.1,3.4,0.1,0.5,4
2015-11-08,24.8,12.4,45.9,3.5,0.0,0.7,4
2015-11-09,28.8,16.3,48.0,3.5,0.0,0.7,2
2015-11-10,27.7,19.6,41.7,3.5,0.5,0.7,2
2015-11-11,19.6,7.0,34.5,4.0,0.4,1.1,7
2015-11-12,19.2,5.9,43.5,4.4,0.1,1.1,13
2015-11-13,22.5,9.5,48.2,4.5,0.0,1.1,10
2015-11-14,24.8,11.5,51.6,4.5,0.0,1.1,9
2015-11-15,28.8,16.7,44.2,4.5,0.3,1.1,8
2015-11-16,23.9,16.9,30.6,4.8,0.8,1.3,11
2015-11-17,23.5,10.4,33.1,5.6,0.1,2.3,19
2015-11-18,19.9,8.2,37.4,5.7,0.1,2.2,20
2015-11-19,21.9,8.2,47.1,5.8,0.1,2.1,17
2015-11-20,25.3,11.3,43.7,5.9,0.0,2.1,16
2015-11-21,17.6,4.6,45.0,5.9,0.0,2.0,14
2015-11-22,21.9,7.7,51.8,5.9,0.1,1.9,14
2015-11-23,24.1,11.3,50.4,6.0,0.0,2.0,13
2015-11-24,26.6,16.0,45.3,6.0,0.1,2.1,13
2015-11-25,32.0,23.4,38.1,6.1,0.0,2.1,13
2015-11-26,27.9,18.3,36.3,6.1,0.0,2.2,12
2015-11-27,27.0,18.0,36.0,6.1,0.0,2.2,13
2015-11-28,21.9,12.2,30.9,6.1,0.0,2.2,14
2015-11-29,18.0,8.6,26.8,6.1,0.0,2.2,14
2015-11-30,9.1,-2.2,21.9,6.1,0.2,2.3,14
2015-12-01,9.9,-5.1,34.9,6.3,0.1,2.3,16
2015-12-02,17.1,3.0,44.6,6.4,0.0,2.3,15
2015-12-03,21.4,8.8,49.1,6.4,0.1,2.4,15
2015-12-04,28.8,15.6,43.2,6.5,0.0,2.5,14
2015-12-05,21.7,7.9,34.3,6.5,0.0,2.5,13
2015-12-06,21.0,8.1,48.6,6.5,0.0,2.5,16
2015-12-07,24.8,12.0,50.4,6.5,0.0,2.5,15
2015-12-08,30.9,22.3,52.7,6.5,0.0,2.5,15
2015-12-09,30.6,20.3,50.9,6.5,0.0,2.5,15
2015-12-10,32.0,20.3,46.2,6.5,0.1,2.5,15
2015-12-11,33.3,26.8,38.3,6.6,0.0,2.5,14
2015-12-12,23.7,11.1,32.2,6.6,0.3,2.6,17
2015-12-13,22.6,6.8,46.8,6.9,0.1,3.0,20
2015-12-14,18.7,12.9,26.2,7.0,0.2,3.0,19
2015-12-15,10.4,-3.1,17.6,7.2,0.2,3.4,22
2015-12-16,5.5,-7.4,23.4,7.4,0.2,3.4,22
2015-12-17,10.6,0.3,25.5,7.6,0.0,3.5,21
2015-12-18,16.9,1.0,40.5,7.6,0.0,3.5,21
2015-12-19,27.3,13.3,40.5,7.6,0.1,3.5,19
2015-12-20,23.2,17.2,28.0,7.7,0.1,3.6,18
2015-12-21,22.5,18.3,29.3,7.8,0.4,3.9,22
2015-12-22,24.1,22.5,27.7,8.2,1.1,4.4,28
2015-12-23,15.8,-5.6,23.0,9.3,0.5,5.5,37
2015-12-24,9.0,-11.6,24.3,9.8,0.2,5.8,40
2015-12-25,15.8,1.4,23.9,10.0,0.8,6.1,40
2015-12-26,2.5,-9.8,23.4,10.8,0.1,6.7,45
2015-12-27,9.7,-1.3,36.7,10.9,0.1,6.7,41
2015-12-28,10.2,-0.4,27.9,11.0,0.0,6.7,38
2015-12-29,9.3,-2.6,24.4,11.0,0.0,6.7,35
2015-12-30,12.0,7.0,22.3,11.0,0.0,6.8,34
2015-12-31,10.8,-1.5,26.2,11.0,0.1,6.9,35
2016-01-01,8.8,-3.5,30.9,11.1,0.2,6.9,34
2016-01-02,15.3,0.0,40.8,11.3,0.0,6.9,33
2016-01-03,21.2,9.3,45.0,11.3,0.0,6.9,32
2016-01-04,24.6,14.5,36.9,11.3,0.0,7.0,31
2016-01-05,26.2,22.3,34.2,11.3,0.0,7.0,31
2016-01-06,25.5,21.9,30.6,11.3,0.1,7.2,31
2016-01-07,21.0,17.1,29.8,11.4,0.0,7.5,33
2016-01-08,16.0,0.3,23.5,11.4,0.3,7.7,37
2016-01-09,6.8,-4.4,29.3,11.7,0.2,7.8,39
2016-01-10,1.9,-9.9,27.0,11.9,0.0,7.8,36
2016-01-11,9.0,-6.0,36.0,11.9,0.0,7.8,32
2016-01-12,13.3,0.0,42.3,11.9,0.0,7.8,34
2016-01-13,17.2,5.9,47.1,11.9,0.0,7.8,32
2016-01-14,12.0,0.7,32.0,11.9,0.0,7.8,29
2016-01-15,14.0,3.6,24.1,11.9,0.0,7.8,28
2016-01-16,17.2,6.8,28.4,11.9,0.0,8.1,34
