Date,Slumgullion (762) Air Temperature Average (degF),Slumgullion (762) Air Temperature Minimum (degF),Slumgullion (762) Air Temperature Maximum (degF),Slumgullion (762) Precipitation Accumulation (in) Start of Day Values,Slumgullion (762) Precipitation Increment (in),Slumgullion (762) Snow Water Equivalent (in) Start of Day Values,Slumgullion (762) Snow Depth (in) Start of Day Values
2015-10-01,51.4,43.9,67.5,0.0,0.0,0.0,0
2015-10-02,45.3,35.8,57.7,0.0,0.0,0.0,0
2015-10-03,40.5,32.7,52.0,0.0,0.0,0.0,0
2015-10-04,38.1,31.3,50.7,0.0,0.0,0.0,0
2015-10-05,37.0,32.5,44.6,0.0,0.3,0.0,0
2015-10-06,36.9,31.5,48.6,0.3,0.0,0.0,0
2015-10-07,36.9,32.4,48.0,0.3,0.0,0.0,0
2015-10-08,41.9,32.5,53.4,0.3,0.0,0.0,0
2015-10-09,43.9,34.2,55.9,0.3,0.0,0.0,0
2015-10-10,45.5,34.3,59.5,0.3,0.0,0.0,0
2015-10-11,44.1,34.3,57.6,0.3,0.0,0.0,0
2015-10-12,45.7,35.6,59.7,0.3,0.0,0.0,0
2015-10-13,45.3,34.9,59.9,0.3,0.0,0.0,0
2015-10-14,46.4,37.0,59.4,0.3,0.0,0.0,0
2015-10-15,45.9,35.6,60.4,0.3,0.0,0.0,0
2015-10-16,39.4,33.8,55.6,0.3,0.1,0.0,0
2015-10-17,38.5,32.5,48.4,0.4,0.1,0.0,0
2015-10-18,38.5,33.1,51.1,0.5,0.0,0.0,0
2015-10-19,35.8,31.5,44.6,0.5,0.3,0.0,0
2015-10-20,34.2,28.0,46.0,0.8,0.1,0.0,0
2015-10-21,30.4,26.8,34.7,0.9,0.2,0.0,0
2015-10-22,30.0,27.9,35.6,1.1,0.3,0.2,1
2015-10-23,29.1,23.5,40.3,1.4,0.0,0.5,3
2015-10-24,32.2,23.0,43.7,1.4,0.0,0.5,2
2015-10-25,36.1,28.2,47.7,1.4,0.0,0.5,1
2015-10-26,30.4,20.5,38.5,1.4,0.0,0.3,1
2015-10-27,28.0,17.8,38.3,1.4,0.0,0.0,0
2015-10-28,30.2,19.6,40.1,1.4,0.1,0.0,0
2015-10-29,30.0,25.2,37.9,1.5,0.0,0.4,1
2015-10-30,24.6,16.9,30.2,1.5,0.0,0.4,1
2015-10-31,29.1,19.4,40.3,1.5,0.0,0.3,1
2015-11-01,34.3,25.5,44.4,1.5,0.1,0.3,1
2015-11-02,36.1,28.2,49.1,1.6,0.0,0.5,1
2015-11-03,31.3,24.4,43.2,1.6,0.0,0.5,1
2015-11-04,21.9,8.6,31.3,1.6,0.9,0.7,1
2015-11-05,13.1,6.4,21.7,2.5,0.1,1.5,10
2015-11-06,14.4,8.2,23.5,2.6,0.0,1.5,9
2015-11-07,24.1,9.0,38.3,2.6,0.0,1.5,7
2015-11-08,27.3,17.6,40.6,2.6,0.0,1.5,7
2015-11-09,26.4,16.7,40.1,2.6,0.1,1.5,7
2015-11-10,21.0,6.3,31.3,2.7,0.2,1.6,7
2015-11-11,12.9,7.3,20.1,2.9,0.0,1.8,10
2015-11-12,21.0,12.6,33.3,2.9,0.1,1.8,10
2015-11-13,26.2,16.3,39.9,3.0,0.0,1.9,9
2015-11-14,29.3,23.2,43.9,3.0,0.0,1.9,9
2015-11-15,24.1,17.4,34.3,3.0,0.1,2.0,9
2015-11-16,19.4,14.4,25.5,3.1,0.7,2.2,10
2015-11-17,14.0,11.7,16.5,3.8,0.1,3.1,19
2015-11-18,17.4,11.7,23.9,3.9,0.0,3.1,18
2015-11-19,25.0,17.2,31.8,3.9,0.0,3.1,16
2015-11-20,23.0,12.7,29.5,3.9,0.0,3.2,15
2015-11-21,17.8,8.8,29.1,3.9,0.0,3.2,15
2015-11-22,26.2,15.4,39.9,3.9,0.1,3.2,15
2015-11-23,28.0,21.4,39.6,4.0,0.0,3.2,14
2015-11-24,25.5,20.3,37.9,4.0,0.0,3.2,15
2015-11-25,25.0,21.0,34.2,4.0,0.0,3.2,14
2015-11-26,20.3,16.9,25.9,4.0,0.2,3.3,14
2015-11-27,18.3,12.0,25.2,4.2,0.4,3.5,15
2015-11-28,13.5,6.1,19.9,4.6,0.1,3.9,21
2015-11-29,10.9,2.1,19.8,4.7,0.1,3.9,21
2015-11-30,3.7,-2.2,7.0,4.8,0.0,4.0,21
2015-12-01,9.3,-1.7,18.3,4.8,0.0,4.0,21
2015-12-02,19.2,10.0,30.2,4.8,0.1,4.1,20
2015-12-03,24.1,14.7,33.3,4.9,0.0,4.2,20
2015-12-04,27.0,19.2,38.3,4.9,0.0,4.2,19
2015-12-05,16.9,7.0,24.1,4.9,0.0,4.3,19
2015-12-06,28.2,20.3,40.6,4.9,0.1,4.3,19
2015-12-07,29.3,20.8,38.1,5.0,0.1,4.3,19
2015-12-08,27.9,21.4,36.0,5.1,0.0,4.5,19
2015-12-09,33.8,23.2,42.4,5.1,0.0,4.5,19
2015-12-10,30.9,20.7,41.9,5.1,0.0,4.5,19
2015-12-11,23.7,19.0,31.3,5.1,0.2,4.5,19
2015-12-12,17.2,10.9,23.4,5.3,0.9,4.8,23
2015-12-13,17.2,7.0,28.0,6.2,0.1,5.7,34
2015-12-14,12.4,-1.7,19.4,6.3,0.3,5.7,28
2015-12-15,0.7,-6.3,9.3,6.6,0.0,6.1,35
2015-12-16,3.0,-4.7,15.6,6.6,0.1,6.1,32
2015-12-17,5.4,-0.6,16.0,6.7,0.2,6.1,31
2015-12-18,21.7,10.6,30.9,6.9,0.0,6.3,31
2015-12-19,24.6,18.7,36.0,6.9,0.0,6.5,32
2015-12-20,14.9,7.3,23.9,6.9,0.0,6.5,30
2015-12-21,15.1,6.4,23.2,6.9,0.1,6.5,29
2015-12-22,18.0,12.9,27.1,7.0,0.4,6.7,29
2015-12-23,7.9,-4.5,16.5,7.4,0.1,7.1,34
2015-12-24,3.7,-11.2,13.8,7.5,0.3,7.2,35
2015-12-25,5.9,-7.8,15.3,7.8,0.5,7.5,36
2015-12-26,-1.3,-9.8,4.6,8.3,0.0,8.0,40
2015-12-27,13.1,0.3,26.4,8.3,0.0,8.0,38
2015-12-28,11.7,3.6,23.4,8.3,0.0,8.0,36
2015-12-29,5.2,-1.3,17.4,8.3,0.0,8.0,36
2015-12-30,2.8,-3.6,11.3,8.3,0.1,8.0,34
2015-12-31,3.0,-2.0,12.2,8.4,0.0,8.0,34
2016-01-01,9.9,-0.6,21.9,8.4,0.0,8.0,35
2016-01-02,19.0,10.8,31.3,8.4,0.1,8.0,34
2016-01-03,23.2,14.4,34.2,8.5,0.0,8.1,34
2016-01-04,20.8,15.1,29.5,8.5,0.0,8.2,34
2016-01-05,17.6,11.5,27.7,8.5,0.0,8.3,33
2016-01-06,17.4,12.4,27.3,8.5,0.0,8.3,32
2016-01-07,12.9,7.3,23.0,8.5,0.0,8.3,32
2016-01-08,10.2,5.7,18.3,8.5,0.2,8.3,32
2016-01-09,5.0,-2.9,14.0,8.7,0.0,8.5,36
2016-01-10,1.9,-3.8,13.6,8.7,0.0,8.5,36
2016-01-11,12.7,0.1,20.7,8.7,0.0,8.5,34
2016-01-12,19.2,11.3,30.4,8.7,0.1,8.5,36
2016-01-13,22.1,14.0,33.8,8.8,0.0,8.5,36
2016-01-14,11.7,2.5,18.9,8.8,0.0,8.5,36
2016-01-15,10.0,3.0,17.2,8.8,0.0,8.5,35
2016-01-16,10.6,2.8,17.2,8.8,0.2,8.6,35
2016-01-17,12.6,6.4,19.4,9.0,0.1,8.9,35
2016-01-18,20.1,12.0,30.7,9.1,0.1,9.1,37
2016-01-19,16.9,11.5,28.8,9.2,0.0,9.2,37
2016-01-20,11.7,0.7,21.2,9.2,0.2,9.2,37
2016-01-21,13.8,0.7,25.0,9.4,0.1,9.5,42
2016-01-22,25.9,18.0,38.3,9.5,0.0,9.5,40
2016-01-23,27.5,19.4,40.3,9.5,0.0,9.6,40
2016-01-24,15.3,4.3,23.5,9.5,0.0,9.6,39
2016-01-25,5.7,-1.8,14.2,9.5,0.1,9.6,42
2016-01-26,9.7,-2.7,21.2,9.6,0.1,9.7,42
2016-01-27,24.8,16.9,34.0,9.7,0.0,9.9,41
2016-01-28,25.7,16.9,39.2,9.7,0.1,10.0,40
2016-01-29,24.8,19.2,32.2,9.8,0.0,10.0,40
2016-01-30,27.5,21.9,40.1,9.8,0.1,10.0,40
2016-01-31,19.9,12.0,28.4,9.9,0.7,10.3,42
2016-02-01,10.4,-0.2,19.4,10.6,0.6,11.0,50
2016-02-02,-1.8,-8.5,6.6,11.2,0.0,11.4,54
2016-02-03,-7.2,-15.0,0.3,11.2,0.0,11.4,52
2016-02-04,4.1,-6.5,18.3,11.2,0.3,11.4,51
2016-02-05,7.0,-0.9,16.3,11.5,0.0,11.7,50
2016-02-06,19.4,11.7,32.7,11.5,0.0,11.7,49
2016-02-07,22.3,15.3,30.6,11.5,0.0,11.7,48
2016-02-08,26.4,19.0,34.7,11.5,0.0,11.7,47
2016-02-09,28.0,20.1,38.1,11.5,0.0,11.7,46
2016-02-10,28.8,20.3,41.4,11.5,0.0,11.7,46
2016-02-11,30.2,19.0,42.6,11.5,0.0,11.7,46
2016-02-12,32.9,23.9,45.7,11.5,0.0,11.7,45
2016-02-13,29.1,17.8,39.9,11.5,0.0,11.8,44
2016-02-14,21.6,15.4,29.8,11.5,0.0,11.8,44
2016-02-15,23.5,13.6,34.3,11.5,0.0,11.8,43
2016-02-16,28.8,17.6,39.6,11.5,0.0,11.8,44
2016-02-17,33.1,23.0,46.2,11.5,0.0,11.8,44
2016-02-18,29.8,18.0,41.9,11.5,0.0,11.8,44
2016-02-19,27.3,16.9,41.2,11.5,0.0,11.9,42
2016-02-20,27.7,19.4,39.2,11.5,0.0,11.9,42
