Date,South Colony (773) Air Temperature Average (degF),South Colony (773) Air Temperature Minimum (degF),South Colony (773) Air Temperature Maximum (degF),South Colony (773) Precipitation Accumulation (in) Start of Day Values,South Colony (773) Precipitation Increment (in),South Colony (773) Snow Water Equivalent (in) Start of Day Values,South Colony (773) Snow Depth (in) Start of Day Values
2015-10-01,49.5,36.5,62.1,0.0,0.0,0.0,0
2015-10-02,50.2,42.3,58.8,0.0,0.0,0.0,0
2015-10-03,44.2,35.8,53.2,0.0,0.0,0.0,0
2015-10-04,41.7,35.6,47.8,0.0,0.1,0.0,0
2015-10-05,40.6,35.8,47.3,0.1,0.2,0.0,0
2015-10-06,39.0,30.2,50.9,0.3,0.1,0.0,0
2015-10-07,36.5,30.6,49.1,0.4,0.2,0.0,0
2015-10-08,37.9,28.8,53.2,0.6,0.0,0.0,0
2015-10-09,43.2,28.8,55.2,0.6,0.0,0.0,0
2015-10-10,45.5,32.0,60.8,0.6,0.0,0.0,0
2015-10-11,47.3,30.0,58.3,0.6,0.0,0.0,0
2015-10-12,42.4,27.1,58.8,0.6,0.0,0.0,0
2015-10-13,43.9,29.7,59.4,0.6,0.0,0.0,0
2015-10-14,40.5,28.8,59.4,0.6,0.0,0.0,0
2015-10-15,39.0,28.8,59.5,0.6,0.0,0.0,0
2015-10-16,43.5,27.1,53.6,0.6,0.0,0.0,0
2015-10-17,42.6,29.3,54.1,0.6,0.0,0.0,0
2015-10-18,42.6,40.1,46.4,0.6,0.0,0.0,0
2015-10-19,41.2,35.6,44.2,0.6,0.1,0.0,0
2015-10-20,38.3,32.9,47.3,0.7,0.0,0.0,0
2015-10-21,32.5,30.2,34.2,0.7,0.7,0.2,1
2015-10-22,31.3,29.7,35.6,1.4,1.0,0.7,3
2015-10-23,32.5,27.1,43.9,2.4,0.0,1.4,9
2015-10-24,32.5,27.1,42.4,2.4,0.0,1.4,8
2015-10-25,33.1,24.6,46.0,2.4,0.0,1.4,7
2015-10-26,33.8,21.4,41.9,2.4,0.1,1.4,6
2015-10-27,30.9,17.1,40.5,2.5,0.0,1.4,4
2015-10-28,37.0,15.1,45.0,2.5,0.0,1.4,4
2015-10-29,33.3,27.9,40.6,2.5,0.3,1.4,4
2015-10-30,26.4,13.6,32.9,2.8,0.3,1.7,5
2015-10-31,30.6,15.1,41.9,3.1,0.1,2.1,10
2015-11-01,38.7,25.9,50.4,3.2,0.0,2.1,9
2015-11-02,41.2,33.4,49.6,3.2,0.0,2.1,9
2015-11-03,38.1,32.5,46.8,3.2,0.0,2.1,8
2015-11-04,28.0,17.2,34.7,3.2,0.5,2.1,7
2015-11-05,19.4,15.1,24.4,3.7,0.1,2.5,11
2015-11-06,17.4,3.0,26.8,3.8,0.0,2.5,12
2015-11-07,15.3,2.8,34.0,3.8,0.0,2.5,12
2015-11-08,21.2,7.2,40.1,3.8,0.0,2.5,11
2015-11-09,33.4,21.9,43.5,3.8,0.0,2.5,11
2015-11-10,29.8,16.0,38.3,3.8,0.0,2.5,11
2015-11-11,21.2,12.9,28.0,3.8,0.1,2.6,11
2015-11-12,27.5,23.5,34.2,3.9,0.0,2.6,10
2015-11-13,25.9,16.3,38.3,3.9,0.0,2.6,10
2015-11-14,25.9,14.7,38.1,3.9,0.0,2.6,10
2015-11-15,30.2,24.6,37.4,3.9,0.0,2.6,10
2015-11-16,23.9,16.9,28.4,3.9,1.3,2.6,10
2015-11-17,16.3,8.8,21.9,5.2,0.1,4.0,23
2015-11-18,23.9,11.7,32.2,5.3,0.4,4.3,24
2015-11-19,28.4,20.3,33.4,5.7,0.0,4.3,22
2015-11-20,26.8,8.2,32.2,5.7,0.0,4.3,21
2015-11-21,17.4,-2.7,29.8,5.7,0.1,4.3,20
2015-11-22,25.9,14.5,40.1,5.8,0.0,4.3,19
2015-11-23,31.8,25.7,40.5,5.8,0.0,4.3,18
2015-11-24,30.9,27.5,34.2,5.8,0.0,4.3,18
2015-11-25,32.4,28.8,38.8,5.8,0.0,4.3,18
2015-11-26,21.0,3.7,30.6,5.8,0.2,4.4,18
2015-11-27,14.2,1.2,25.5,6.0,0.8,4.5,19
2015-11-28,19.9,16.9,22.5,6.8,0.1,5.2,24
2015-11-29,17.4,11.3,20.7,6.9,0.3,5.4,24
2015-11-30,7.3,5.2,11.5,7.2,0.1,5.7,29
2015-12-01,13.1,3.7,21.0,7.3,0.0,5.9,29
2015-12-02,16.3,2.5,30.0,7.3,0.2,5.9,28
2015-12-03,21.0,7.7,30.6,7.5,0.0,6.0,26
2015-12-04,30.9,23.5,37.0,7.5,0.0,6.0,26
2015-12-05,17.1,0.3,24.6,7.5,0.0,6.0,25
2015-12-06,29.5,3.2,40.1,7.5,0.2,6.0,26
2015-12-07,36.1,31.3,38.8,7.7,0.0,6.0,25
2015-12-08,34.5,28.4,38.7,7.7,0.0,6.0,24
2015-12-09,36.9,23.2,46.2,7.7,0.0,6.0,24
2015-12-10,33.3,30.6,38.8,7.7,0.0,6.0,23
2015-12-11,27.5,23.2,31.5,7.7,0.4,6.0,23
2015-12-12,21.6,16.7,26.4,8.1,1.1,6.4,26
2015-12-13,19.6,13.5,26.4,9.2,0.1,7.5,38
2015-12-14,19.9,7.3,27.1,9.3,0.6,7.5,36
2015-12-15,5.7,-0.9,8.8,9.9,0.2,8.1,43
2015-12-16,1.2,-8.3,9.9,10.1,0.0,8.3,40
2015-12-17,7.5,1.2,18.0,10.1,0.1,8.3,37
2015-12-18,28.8,17.2,32.5,10.2,0.1,8.3,37
2015-12-19,31.5,27.9,36.1,10.3,0.0,8.4,35
2015-12-20,20.8,15.4,28.8,10.3,0.2,8.4,34
2015-12-21,17.1,14.2,21.6,10.5,0.0,8.6,36
2015-12-22,19.4,16.0,22.5,10.5,0.3,8.6,36
2015-12-23,11.1,1.6,16.0,10.8,0.0,8.9,39
2015-12-24,7.5,-5.4,16.7,10.8,0.6,8.9,39
2015-12-25,12.4,4.3,18.7,11.4,0.7,9.2,40
2015-12-26,0.1,-13.0,8.8,12.1,0.0,10.2,46
2015-12-27,-1.3,-9.0,8.6,12.1,0.0,10.2,44
2015-12-28,13.3,3.0,19.4,12.1,0.1,10.2,43
2015-12-29,6.3,-4.4,14.4,12.2,0.0,10.2,41
2015-12-30,6.8,2.8,9.3,12.2,0.0,10.2,41
2015-12-31,1.9,-10.5,12.0,12.2,0.0,10.3,41
