Date,Spud Mountain (780) Air Temperature Average (degF),Spud Mountain (780) Air Temperature Minimum (degF),Spud Mountain (780) Air Temperature Maximum (degF),Spud Mountain (780) Precipitation Accumulation (in) Start of Day Values,Spud Mountain (780) Precipitation Increment (in),Spud Mountain (780) Snow Water Equivalent (in) Start of Day Values,Spud Mountain (780) Snow Depth (in) Start of Day Values
2015-10-01,53.4,45.9,66.2,0.0,0.0,0.0,0
2015-10-02,48.0,40.6,58.8,0.0,0.0,0.0,0
2015-10-03,42.1,,,0.0,0.0,0.0,0
2015-10-04,40.5,34.9,53.8,0.0,0.0,0.0,0
2015-10-05,37.2,32.5,47.7,0.0,1.6,0.0,0
2015-10-06,37.9,32.5,49.1,1.6,0.1,0.0,0
2015-10-07,39.2,34.0,49.3,1.7,0.0,0.0,0
2015-10-08,45.5,34.5,60.8,1.7,0.1,0.0,0
2015-10-09,45.3,36.3,59.0,1.8,0.0,0.0,0
2015-10-10,46.8,36.7,62.8,1.8,0.0,0.0,0
2015-10-11,47.1,38.1,59.0,1.8,0.0,0.0,0
2015-10-12,49.1,37.9,65.8,1.8,0.0,0.0,0
2015-10-13,49.5,39.9,64.4,1.8,0.0,0.0,0
2015-10-14,48.6,38.7,66.0,1.8,0.0,0.0,0
2015-10-15,48.9,38.3,64.2,1.8,0.0,0.0,0
2015-10-16,44.4,36.9,57.2,1.8,0.0,0.0,0
2015-10-17,39.9,34.7,48.6,1.8,0.0,0.0,0
2015-10-18,38.3,32.7,44.2,1.8,0.7,0.0,0
2015-10-19,37.4,33.4,43.7,2.5,0.7,0.0,0
2015-10-20,35.8,29.3,45.5,3.2,0.4,0.0,0
2015-10-21,34.2,30.7,40.8,3.6,0.0,0.0,0
2015-10-22,31.6,28.0,34.0,3.6,0.7,0.0,0
2015-10-23,32.2,26.2,46.6,4.3,0.0,0.8,4
2015-10-24,36.0,26.2,49.1,4.3,0.0,0.7,3
2015-10-25,36.7,29.8,48.2,4.3,0.0,0.4,1
2015-10-26,33.1,26.8,40.6,4.3,0.0,0.0,0
2015-10-27,33.8,26.6,45.5,4.3,0.0,0.0,0
2015-10-28,35.8,24.3,47.7,4.3,0.1,0.0,0
2015-10-29,32.2,29.1,40.3,4.4,0.0,0.0,0
2015-10-30,30.4,25.5,40.3,4.4,0.0,0.3,1
2015-10-31,35.8,27.0,48.4,4.4,0.1,0.2,1
2015-11-01,39.6,30.0,55.0,4.5,0.0,0.0,0
2015-11-02,38.7,32.2,50.9,4.5,0.0,0.0,0
2015-11-03,35.6,27.9,45.3,4.5,0.0,0.0,0
2015-11-04,23.7,17.2,29.1,4.5,1.6,0.0,0
2015-11-05,17.1,11.3,28.8,6.1,0.1,1.9,11
2015-11-06,17.6,10.4,32.9,6.2,0.0,2.0,8
2015-11-07,21.2,10.0,38.1,6.2,0.1,2.0,10
2015-11-08,25.0,15.4,40.3,6.3,0.0,2.0,9
2015-11-09,27.9,17.4,41.4,6.3,0.1,2.0,8
2015-11-10,24.4,14.5,37.2,6.4,0.1,2.0,8
2015-11-11,18.7,13.6,32.0,6.5,0.2,2.3,10
2015-11-12,24.4,13.8,40.8,6.7,0.1,2.5,14
2015-11-13,28.2,18.3,46.8,6.8,0.0,2.5,12
2015-11-14,30.0,21.2,45.7,6.8,0.0,2.5,9
2015-11-15,27.5,23.4,38.5,6.8,0.2,2.5,10
2015-11-16,20.3,14.2,27.1,7.0,1.0,2.9,14
2015-11-17,19.0,16.0,25.2,8.0,0.2,3.9,21
2015-11-18,22.5,15.6,30.7,8.2,0.0,3.9,17
2015-11-19,28.0,16.3,44.4,8.2,0.0,3.9,16
2015-11-20,27.5,15.1,39.0,8.2,0.0,3.9,15
2015-11-21,24.1,13.5,40.6,8.2,0.0,3.9,15
2015-11-22,29.7,20.1,49.5,8.2,0.1,3.8,15
2015-11-23,30.0,22.1,45.3,8.3,0.0,3.8,14
2015-11-24,28.8,22.6,40.3,8.3,0.0,3.8,14
2015-11-25,27.7,23.4,32.5,8.3,0.0,3.8,13
2015-11-26,23.0,20.8,27.9,8.3,0.1,3.8,13
2015-11-27,21.9,16.7,27.1,8.4,0.0,4.0,16
2015-11-28,17.4,12.9,25.9,8.4,0.0,4.2,18
2015-11-29,14.5,6.3,19.4,8.4,0.2,4.2,17
2015-11-30,6.4,-3.1,20.8,8.6,0.1,4.6,22
2015-12-01,14.0,1.6,30.6,8.7,0.2,4.6,20
2015-12-02,23.7,13.1,40.8,8.9,0.0,4.6,19
2015-12-03,28.2,19.9,45.3,8.9,0.0,4.6,18
2015-12-04,28.4,22.5,37.4,8.9,0.0,4.6,17
2015-12-05,21.2,14.7,32.0,8.9,0.0,4.7,18
2015-12-06,29.7,17.8,45.9,8.9,0.2,4.8,20
2015-12-07,32.4,24.4,44.8,9.1,0.0,4.8,19
2015-12-08,34.2,27.5,47.5,9.1,0.0,4.8,18
