Date,Stillwater Creek (793) Air Temperature Average (degF),Stillwater Creek (793) Air Temperature Minimum (degF),Stillwater Creek (793) Air Temperature Maximum (degF),Stillwater Creek (793) Precipitation Accumulation (in) Start of Day Values,Stillwater Creek (793) Precipitation Increment (in),Stillwater Creek (793) Snow Water Equivalent (in) Start of Day Values,Stillwater Creek (793) Snow Depth (in) Start of Day Values
2015-10-01,53.4,41.4,68.5,0.0,0.1,0.0,0
2015-10-02,53.4,38.3,71.8,0.1,0.0,0.0,0
2015-10-03,46.6,33.4,61.3,0.1,0.0,0.0,0
2015-10-04,48.7,35.8,65.5,0.1,0.0,0.0,0
2015-10-05,48.6,35.8,65.5,0.1,0.1,0.0,0
2015-10-06,45.3,36.7,61.2,0.2,0.0,0.0,0
2015-10-07,45.0,35.4,60.6,0.2,0.0,0.0,0
2015-10-08,47.7,32.9,64.4,0.2,0.1,0.0,0
2015-10-09,49.5,36.5,66.6,0.3,0.0,0.0,0
2015-10-10,49.8,34.2,66.7,0.3,0.0,0.0,0
2015-10-11,50.9,36.9,67.5,0.3,0.0,0.0,0
2015-10-12,48.2,32.4,66.9,0.3,0.0,0.0,0
2015-10-13,48.9,32.9,66.9,0.3,0.0,0.0,0
2015-10-14,49.1,33.8,68.7,0.3,0.0,0.0,0
2015-10-15,47.5,33.6,66.9,0.3,0.0,0.0,0
2015-10-16,48.7,31.3,68.5,0.3,0.0,0.0,0
2015-10-17,49.3,34.9,68.5,0.3,0.0,0.0,0
2015-10-18,46.8,38.8,60.3,0.3,0.0,0.0,0
2015-10-19,41.7,34.3,51.8,0.3,0.0,0.0,0
2015-10-20,43.0,33.3,55.0,0.3,0.0,0.0,0
2015-10-21,42.3,32.4,50.9,0.3,0.0,0.0,0
2015-10-22,34.7,31.6,38.3,0.3,0.4,0.0,0
2015-10-23,36.5,29.3,46.2,0.7,0.0,0.4,2
2015-10-24,35.4,27.3,49.5,0.7,0.0,0.2,1
2015-10-25,39.7,27.0,55.0,0.7,0.2,0.0,0
2015-10-26,38.5,32.2,49.6,0.9,0.0,0.0,0
2015-10-27,33.4,28.8,41.2,0.9,0.0,0.0,0
2015-10-28,34.0,22.6,48.2,0.9,0.1,0.2,1
2015-10-29,36.5,27.1,50.4,1.0,0.0,0.0,0
2015-10-30,34.5,27.5,45.5,1.0,0.0,0.0,0
2015-10-31,36.9,30.9,46.4,1.0,0.1,0.2,1
2015-11-01,41.4,30.7,56.7,1.1,0.0,0.0,0
2015-11-02,42.6,29.5,61.0,1.1,0.0,0.0,0
2015-11-03,41.0,28.4,59.2,1.1,0.0,0.0,0
2015-11-04,33.6,29.3,46.9,1.1,0.2,0.0,0
2015-11-05,28.0,22.8,36.7,1.3,0.2,0.6,1
2015-11-06,24.8,16.0,37.4,1.5,0.1,0.6,2
2015-11-07,24.6,12.0,39.2,1.6,0.1,0.6,2
2015-11-08,27.3,13.3,44.2,1.7,0.1,0.6,2
2015-11-09,30.0,16.9,46.9,1.8,0.0,0.6,2
2015-11-10,35.1,21.4,51.4,1.8,0.2,0.7,2
2015-11-11,24.6,18.0,34.2,2.0,0.5,1.1,6
2015-11-12,25.0,14.4,38.7,2.5,0.1,1.6,11
2015-11-13,23.7,7.7,42.3,2.6,0.1,1.6,10
2015-11-14,27.9,12.7,47.7,2.7,0.0,1.6,10
2015-11-15,28.8,14.7,46.8,2.7,0.0,1.6,8
2015-11-16,26.1,17.6,32.9,2.7,0.1,1.6,8
2015-11-17,23.9,19.8,35.1,2.8,0.0,1.8,9
2015-11-18,27.5,20.8,35.1,2.8,0.1,1.9,10
2015-11-19,31.3,25.2,36.1,2.9,0.1,2.1,11
2015-11-20,27.5,3.4,39.6,3.0,0.3,2.2,11
2015-11-21,15.4,-2.0,26.8,3.3,0.2,2.2,12
2015-11-22,23.7,8.6,41.5,3.5,0.0,2.3,12
2015-11-23,27.0,12.7,47.3,3.5,0.0,2.3,11
2015-11-24,29.8,16.9,47.8,3.5,0.0,2.3,10
2015-11-25,32.9,18.5,49.6,3.5,0.1,2.3,10
2015-11-26,28.2,19.8,35.2,3.6,0.0,2.4,9
2015-11-27,25.3,16.3,38.8,3.6,0.0,2.5,12
2015-11-28,21.7,10.9,33.6,3.6,0.0,2.5,11
